DATETIME,TANGARA_2BBA,TANGARA_14D6,TANGARA_1CE2,TANGARA_2492,TANGARA_2FF6,TANGARA_48C6,TANGARA_4D7A,TANGARA_532E,TANGARA_EA06,TANGARA_F1AE,TANGARA_FAC6,TANGARA_06BE
2022-09-26T17:18:30,15,14,11,19,16,7,4,16,27,11,15,23
2022-09-26T17:19:00,14,14,10,18,15,9,4,16,22,12,15,20
2022-09-26T17:19:30,15,13,12,18,16,7,4,13,22,11,15,20
2022-09-26T17:20:00,15,13,12,17,16,6,4,16,23,11,14,18
2022-09-26T17:20:30,16,13,12,16,16,7,4,21,23,11,14,20
2022-09-26T17:21:00,15,13,12,17,15,9,4,14,19,11,15,21
2022-09-26T17:21:30,15,13,12,16,16,7,4,18,26,11,15,22
2022-09-26T17:22:00,15,12,12,17,16,7,4,16,28,11,16,23
2022-09-26T17:22:30,15,13,12,16,15,9,4,15,27,12,17,23
2022-09-26T17:23:00,15,12,11,17,16,9,4,20,29,11,17,22
2022-09-26T17:23:30,15,13,13,17,15,8,4,17,36,12,17,27
2022-09-26T17:24:00,15,12,11,16,16,9,4,16,32,11,19,26
2022-09-26T17:24:30,15,13,11,15,14,10,4,18,32,12,18,26
2022-09-26T17:25:00,15,13,10,15,16,9,4,16,34,11,19,27
2022-09-26T17:25:30,18,14,11,16,15,9,4,16,33,12,19,22
2022-09-26T17:26:00,17,13,10,16,16,9,4,13,33,12,18,22
2022-09-26T17:26:30,17,13,10,16,15,9,4,16,28,13,18,20
2022-09-26T17:27:00,17,13,10,14,16,8,3,17,26,13,18,19
2022-09-26T17:27:30,15,13,10,17,15,8,4,15,25,12,18,21
2022-09-26T17:28:00,15,14,10,16,15,9,4,13,27,12,15,25
2022-09-26T17:28:30,16,13,9,16,17,9,4,11,26,12,15,20
2022-09-26T17:29:00,16,14,11,14,15,8,4,14,27,12,15,20
2022-09-26T17:29:30,15,13,11,15,16,10,4,14,23,12,15,19
2022-09-26T17:30:00,16,13,11,15,15,9,4,13,25,13,14,19
2022-09-26T17:30:30,16,13,11,14,15,8,4,14,25,12,16,19
2022-09-26T17:31:00,16,13,11,14,15,10,3,12,28,12,16,21
2022-09-26T17:31:30,15,21,11,14,15,9,3,11,27,13,16,22
2022-09-26T17:32:00,16,14,11,14,15,9,4,11,31,14,15,22
2022-09-26T17:32:30,15,14,11,16,15,7,4,10,27,15,15,19
