DATETIME,TANGARA_2BBA,TANGARA_14D6,TANGARA_1CE2,TANGARA_1FCA,TANGARA_2492,TANGARA_2FF6,TANGARA_48C6,TANGARA_4D7A,TANGARA_532E,TANGARA_EA06,TANGARA_F1AE,TANGARA_FAC6,TANGARA_06BE
2022-09-22T01:54:00,24.0,14.0,13.0,15.0,16.0,15.0,8.0,,8.0,10.0,10.0,9.0,15.0
2022-09-22T01:54:30,23.0,14.0,12.0,14.0,15.0,,6.0,,10.0,13.0,10.0,9.0,18.0
2022-09-22T01:55:00,24.0,14.0,12.0,14.0,16.0,15.0,7.0,,7.0,,11.0,8.0,18.0
2022-09-22T01:55:30,22.0,13.0,12.0,14.0,15.0,14.0,9.0,,6.0,11.0,12.0,8.0,19.0
2022-09-22T01:56:00,24.0,13.0,12.0,14.0,15.0,15.0,8.0,,7.0,11.0,16.0,9.0,16.0
2022-09-22T01:56:30,24.0,12.0,12.0,14.0,16.0,15.0,8.0,,8.0,10.0,17.0,8.0,15.0
2022-09-22T01:57:00,22.0,13.0,13.0,15.0,15.0,14.0,8.0,,7.0,11.0,21.0,8.0,15.0
2022-09-22T01:57:30,20.0,12.0,13.0,15.0,13.0,14.0,11.0,,8.0,11.0,18.0,8.0,19.0
2022-09-22T01:58:00,20.0,13.0,12.0,14.0,12.0,13.0,9.0,,8.0,11.0,16.0,8.0,21.0
2022-09-22T01:58:30,21.0,13.0,13.0,14.0,11.0,14.0,9.0,,6.0,14.0,18.0,7.0,25.0
2022-09-22T01:59:00,21.0,12.0,12.0,14.0,11.0,14.0,13.0,,5.0,11.0,18.0,8.0,18.0
2022-09-22T01:59:30,20.0,13.0,12.0,15.0,11.0,13.0,15.0,,6.0,9.0,13.0,8.0,15.0
2022-09-22T02:00:00,20.0,12.0,13.0,14.0,11.0,14.0,12.0,,11.0,14.0,14.0,8.0,14.0
2022-09-22T02:00:30,21.0,13.0,12.0,14.0,12.0,14.0,11.0,,8.0,15.0,14.0,9.0,14.0
2022-09-22T02:01:00,20.0,13.0,13.0,15.0,13.0,14.0,15.0,,6.0,13.0,14.0,9.0,14.0
2022-09-22T02:01:30,21.0,12.0,12.0,15.0,12.0,14.0,15.0,,7.0,12.0,14.0,9.0,14.0
2022-09-22T02:02:00,22.0,12.0,12.0,15.0,11.0,14.0,15.0,,,12.0,13.0,9.0,15.0
2022-09-22T02:02:30,22.0,12.0,12.0,14.0,13.0,15.0,19.0,,7.0,13.0,17.0,9.0,15.0
2022-09-22T02:03:00,19.0,12.0,12.0,14.0,12.0,13.0,19.0,,8.0,14.0,15.0,9.0,17.0
2022-09-22T02:03:30,20.0,12.0,12.0,15.0,11.0,14.0,19.0,,6.0,14.0,13.0,8.0,17.0
2022-09-22T02:04:00,21.0,11.0,12.0,15.0,12.0,14.0,18.0,,6.0,12.0,22.0,9.0,16.0
2022-09-22T02:04:30,21.0,12.0,12.0,14.0,11.0,12.0,20.0,,,12.0,14.0,9.0,16.0
2022-09-22T02:05:00,22.0,12.0,12.0,15.0,11.0,13.0,18.0,,8.0,13.0,13.0,10.0,15.0
2022-09-22T02:05:30,22.0,12.0,12.0,15.0,10.0,11.0,20.0,,7.0,12.0,12.0,9.0,15.0
2022-09-22T02:06:00,22.0,,12.0,15.0,10.0,11.0,,,8.0,12.0,13.0,10.0,14.0
2022-09-22T02:06:30,23.0,12.0,13.0,15.0,11.0,11.0,22.0,,6.0,13.0,12.0,9.0,
2022-09-22T02:07:00,23.0,12.0,12.0,15.0,10.0,11.0,23.0,,5.0,14.0,12.0,9.0,16.0
2022-09-22T02:07:30,22.0,11.0,12.0,15.0,11.0,9.0,26.0,,9.0,12.0,14.0,8.0,16.0
2022-09-22T02:08:00,23.0,12.0,12.0,15.0,11.0,9.0,24.0,,9.0,12.0,15.0,8.0,15.0
2022-09-22T02:08:30,22.0,12.0,11.0,15.0,11.0,8.0,22.0,,5.0,15.0,16.0,8.0,16.0
2022-09-22T02:09:00,21.0,11.0,12.0,15.0,13.0,9.0,19.0,,6.0,12.0,16.0,9.0,16.0
2022-09-22T02:09:30,20.0,11.0,12.0,15.0,11.0,9.0,23.0,,7.0,15.0,15.0,8.0,15.0
