DATETIME,TANGARA_2BBA,TANGARA_14D6,TANGARA_1CE2,TANGARA_2492,TANGARA_2FF6,TANGARA_48C6,TANGARA_4D7A,TANGARA_532E,TANGARA_EA06,TANGARA_F1AE,TANGARA_FAC6,TANGARA_06BE
2022-09-26T15:02:00-05:00,34,21,17,17,42,21,9,9,30,21,21,42
2022-09-26T15:02:30-05:00,30,30,17,21,38,17,9,,25,17,17,42
2022-09-26T15:03:00-05:00,30,25,17,25,38,21,9,21,25,17,17,42
2022-09-26T15:04:00-05:00,34,30,17,25,30,21,9,21,21,21,17,38
2022-09-26T15:04:30-05:00,34,34,17,25,25,21,9,17,21,17,17,42
2022-09-26T15:05:00-05:00,30,34,17,21,25,21,9,13,30,17,17,42
2022-09-26T15:05:30-05:00,34,34,21,21,30,9,9,17,21,17,17,38
2022-09-26T15:06:00-05:00,34,34,17,21,25,25,9,13,21,21,17,38
2022-09-26T15:06:30-05:00,34,25,17,21,30,17,9,13,21,21,17,38
2022-09-26T15:07:00-05:00,34,34,17,21,25,17,9,13,30,21,17,38
2022-09-26T15:07:30-05:00,34,38,17,25,30,21,,21,25,21,17,38
2022-09-26T15:08:00-05:00,30,34,,25,30,21,9,13,25,25,17,42
2022-09-26T15:08:30-05:00,25,30,17,25,30,17,9,25,30,25,17,42
2022-09-26T15:09:00-05:00,25,50,21,21,30,25,9,,21,25,21,42
2022-09-26T15:09:30-05:00,25,30,17,,25,13,,46,25,,21,42
2022-09-26T15:10:00-05:00,30,30,17,21,25,13,9,,30,21,21,38
2022-09-26T15:10:30-05:00,25,,17,25,30,13,9,25,25,21,,34
2022-09-26T15:11:00-05:00,25,34,17,25,25,17,9,25,30,17,17,38
2022-09-26T15:11:30-05:00,30,,17,21,25,17,9,13,30,17,21,38
2022-09-26T15:12:00-05:00,38,34,21,21,25,13,9,21,30,17,21,34
2022-09-26T15:12:30-05:00,34,30,21,25,30,13,9,13,30,21,21,34
2022-09-26T15:13:00-05:00,30,25,21,21,30,17,9,17,21,21,17,38
2022-09-26T15:13:30-05:00,25,21,17,25,30,13,9,9,30,21,17,38
