DATETIME,TANGARA_2BBA,TANGARA_14D6,TANGARA_1CE2,TANGARA_2492,TANGARA_2FF6,TANGARA_48C6,TANGARA_4D7A,TANGARA_532E,TANGARA_EA06,TANGARA_F1AE,TANGARA_FAC6,TANGARA_06BE
2022-09-25 15:17:00,84,89,103,78,93.0,68,24,84,153,94,108,92
2022-09-25 16:17:00,83,86,93,94,99.0,63,36,73,143,92,95,98
2022-09-25 17:17:00,74,80,81,93,89.0,64,39,72,144,92,94,88
2022-09-25 18:17:00,67,75,73,85,77.0,62,30,71,125,88,87,77
2022-09-25 19:17:00,69,70,67,79,79.0,66,33,70,132,89,91,82
2022-09-25 20:17:00,73,69,69,80,,67,33,73,134,85,92,85
2022-09-25 21:17:00,73,71,73,81,,64,33,69,135,77,91,85
2022-09-25 22:17:00,61,67,69,54,,52,17,26,52,52,32,56
2022-09-25 23:17:00,16,66,49,13,,9,8,8,21,29,15,19
2022-09-26 00:17:00,10,55,16,5,,11,3,10,9,34,10,16
2022-09-26 01:17:00,9,71,71,11,11.0,8,3,8,8,39,9,16
2022-09-26 02:17:00,17,69,62,38,21.0,15,1,10,5,49,7,31
2022-09-26 03:17:00,24,20,19,54,28.0,26,1,15,3,16,6,28
2022-09-26 04:17:00,18,46,16,29,25.0,27,5,36,30,12,25,26
2022-09-26 05:17:00,17,60,18,56,31.0,48,6,21,35,14,28,32
2022-09-26 06:17:00,30,35,25,56,48.0,20,7,38,57,19,44,44
2022-09-26 07:17:00,27,56,46,55,52.0,31,9,26,56,27,43,50
2022-09-26 08:17:00,38,59,55,57,56.0,17,8,23,53,31,38,40
2022-09-26 09:17:00,48,60,57,55,58.0,19,8,34,58,29,46,52
2022-09-26 10:17:00,55,53,55,55,59.0,38,9,44,63,48,52,59
2022-09-26 11:17:00,59,59,59,56,60.0,52,10,38,64,63,48,65
2022-09-26 12:17:00,58,55,58,57,57.0,57,13,55,91,55,67,61
2022-09-26 13:17:00,53,42,54,59,57.0,46,19,57,96,81,71,59
2022-09-26 14:17:00,45,40,44,50,53.0,49,20,60,98,81,72,57
