DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_14D6,TANGARA_1EE6,TANGARA_2E9A,TANGARA_2FF6,TANGARA_1712,TANGARA_48C6,TANGARA_532E,TANGARA_F1AE,TANGARA_06BE
2023-09-26T01:59:00-05:00,0.0,58.74,65.23,60.24,50.55,61.48,71.04,65.37,99.9,93.7,56.56,62.43
2023-09-26T01:59:30-05:00,0.0,58.62,65.22,60.23,50.54,61.78,,65.44,,93.7,56.55,62.45
2023-09-26T02:00:00-05:00,0.0,58.65,65.15,60.28,50.49,61.68,71.05,65.55,99.9,93.8,56.62,62.49
2023-09-26T02:00:30-05:00,0.0,58.67,,60.34,50.55,61.49,71.04,65.53,99.9,93.8,56.59,62.46
2023-09-26T02:01:00-05:00,0.0,58.74,65.2,60.41,50.52,61.56,71.02,65.52,99.9,93.8,56.56,62.42
2023-09-26T02:01:30-05:00,0.0,58.76,65.23,60.37,50.56,61.46,71.02,65.58,99.9,93.9,56.56,62.51
2023-09-26T02:02:00-05:00,0.0,58.72,65.23,60.32,50.56,61.62,71.01,65.49,99.9,,56.59,62.59
2023-09-26T02:02:30-05:00,0.0,58.73,65.22,60.4,50.58,61.46,71.02,65.44,99.9,93.9,56.62,62.57
2023-09-26T02:03:00-05:00,0.0,58.81,65.32,60.5,50.57,61.45,71.01,65.41,99.9,94.0,56.59,62.57
2023-09-26T02:03:30-05:00,0.0,58.86,65.37,60.48,50.54,61.41,71.03,65.33,99.9,94.0,56.52,62.57
