DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_14D6,TANGARA_1EE6,TANGARA_2E9A,TANGARA_2FF6,TANGARA_1712,TANGARA_48C6,TANGARA_532E,TANGARA_F1AE,TANGARA_06BE
2023-09-26T01:59:00-05:00,0.0,28.65,27.29,28.89,29.74,29.89,28.17,27.34,27.5,27.4,29.38,28.85
2023-09-26T01:59:30-05:00,0.0,28.67,27.31,28.86,29.77,29.89,,27.3,,27.3,29.38,28.86
2023-09-26T02:00:00-05:00,0.0,28.68,27.3,28.89,29.79,29.93,28.18,27.28,27.5,27.3,29.41,28.82
2023-09-26T02:00:30-05:00,0.0,28.67,,28.85,29.79,29.89,28.2,27.28,27.5,27.2,29.36,28.81
2023-09-26T02:01:00-05:00,0.0,28.69,27.31,28.85,29.77,29.9,28.18,27.28,27.5,27.3,29.36,28.83
2023-09-26T02:01:30-05:00,0.0,28.67,27.3,28.82,29.81,29.93,28.18,27.3,27.6,27.3,29.35,28.79
2023-09-26T02:02:00-05:00,0.0,28.68,27.3,28.85,29.8,29.97,28.2,27.31,27.5,,29.35,28.81
2023-09-26T02:02:30-05:00,0.0,28.68,27.29,28.86,29.8,29.99,28.2,27.31,27.5,27.1,29.36,28.77
2023-09-26T02:03:00-05:00,0.0,28.64,27.27,28.83,29.83,30.0,28.18,27.33,27.5,27.2,29.35,28.77
2023-09-26T02:03:30-05:00,0.0,28.64,27.27,28.88,29.84,30.01,28.2,27.31,27.5,27.2,29.35,28.75
