DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_14D6,TANGARA_1EE6,TANGARA_2E9A,TANGARA_2FF6,TANGARA_1712,TANGARA_48C6,TANGARA_532E,TANGARA_F1AE,TANGARA_06BE
2023-09-26T01:59:00-05:00,1.0,12.0,16.0,14.0,6.0,9.0,13.0,14.0,7.0,9.0,11.0,0.0
2023-09-26T01:59:30-05:00,1.0,12.0,17.0,14.0,7.0,9.0,,13.0,,12.0,12.0,0.0
2023-09-26T02:00:00-05:00,1.0,12.0,15.0,14.0,6.0,9.0,13.0,12.0,8.0,13.0,12.0,0.0
2023-09-26T02:00:30-05:00,1.0,13.0,,13.0,6.0,10.0,14.0,13.0,7.0,11.0,12.0,0.0
2023-09-26T02:01:00-05:00,1.0,12.0,15.0,13.0,6.0,8.0,14.0,12.0,10.0,8.0,12.0,0.0
2023-09-26T02:01:30-05:00,1.0,15.0,15.0,14.0,5.0,7.0,14.0,13.0,8.0,8.0,11.0,0.0
2023-09-26T02:02:00-05:00,1.0,14.0,16.0,14.0,5.0,7.0,13.0,12.0,7.0,,12.0,0.0
2023-09-26T02:02:30-05:00,1.0,14.0,16.0,14.0,4.0,10.0,14.0,12.0,6.0,12.0,11.0,0.0
2023-09-26T02:03:00-05:00,1.0,14.0,16.0,,3.0,9.0,14.0,13.0,10.0,12.0,11.0,0.0
2023-09-26T02:03:30-05:00,1.0,14.0,16.0,,2.0,9.0,14.0,13.0,11.0,11.0,10.0,0.0
