DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_14D6,TANGARA_1EE6,TANGARA_2E9A,TANGARA_2FF6,TANGARA_1712,TANGARA_48C6,TANGARA_532E,TANGARA_F1AE,TANGARA_06BE
2023-09-26T01:59:00-05:00,5,50,60,55,25,38,53,55,30,38,46,0
2023-09-26T01:59:30-05:00,5,50,62,55,30,38,,53,,50,50,0
2023-09-26T02:00:00-05:00,5,50,58,55,25,38,53,50,34,53,50,0
2023-09-26T02:00:30-05:00,5,53,,53,25,42,55,53,30,46,50,0
2023-09-26T02:01:00-05:00,5,50,58,53,25,34,55,50,42,34,50,0
2023-09-26T02:01:30-05:00,5,58,58,55,21,30,55,53,34,34,46,0
2023-09-26T02:02:00-05:00,5,55,60,55,21,30,53,50,30,,50,0
2023-09-26T02:02:30-05:00,5,55,60,55,17,42,55,50,25,50,46,0
2023-09-26T02:03:00-05:00,5,55,60,,13,38,55,53,42,50,46,0
2023-09-26T02:03:30-05:00,5,55,60,,9,38,55,53,46,46,42,0
