DATETIME,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-01T00:00:30-05:00,25.87,30.8,25.76,30.49,26.22,29.23,26.47,26.06,25.04,25.8,26.49,26.84
2023-05-01T00:01:00-05:00,25.84,30.78,25.71,30.48,26.19,29.25,26.5,26.08,25.06,25.8,26.49,26.89
2023-05-01T00:01:30-05:00,25.83,30.76,25.69,30.45,26.2,29.23,26.5,26.08,25.04,25.8,26.49,26.93
2023-05-01T00:02:00-05:00,25.81,30.74,25.69,30.44,26.22,29.22,26.52,26.11,25.02,25.8,26.49,26.98
2023-05-01T00:02:30-05:00,25.78,30.73,25.68,30.41,26.22,29.19,26.56,26.06,25.03,25.8,26.5,27.01
2023-05-01T00:03:00-05:00,25.75,30.68,25.66,30.41,26.22,29.2,26.53,26.05,25.02,25.8,26.5,27.07
2023-05-01T00:03:30-05:00,25.74,30.68,25.68,30.39,26.2,29.18,26.54,26.05,25.0,25.8,26.5,27.05
2023-05-01T00:04:00-05:00,25.74,30.67,25.68,30.39,26.2,29.19,26.57,26.05,25.0,25.7,26.46,27.08
2023-05-01T00:04:30-05:00,25.73,30.68,25.68,30.39,26.17,29.18,26.57,26.05,24.97,25.8,26.47,27.11
2023-05-01T00:05:00-05:00,25.71,30.67,25.68,30.38,26.2,29.19,26.57,26.05,24.94,25.7,26.47,27.11
2023-05-01T00:05:30-05:00,25.77,30.68,25.68,30.35,26.16,29.2,26.59,26.05,24.96,25.7,26.47,27.13
2023-05-01T00:06:00-05:00,25.77,30.66,25.66,30.37,26.14,29.19,26.59,26.01,24.94,25.8,26.46,27.17
2023-05-01T00:06:30-05:00,25.75,30.67,25.69,30.38,26.16,29.19,26.57,26.04,24.91,25.8,26.46,27.17
2023-05-01T00:07:00-05:00,25.78,30.67,25.69,30.41,26.16,29.16,26.59,26.02,24.9,25.7,26.46,27.17
2023-05-01T00:07:30-05:00,25.75,30.66,25.69,30.39,26.19,29.16,26.57,26.01,24.91,25.7,26.44,27.24
2023-05-01T00:08:00-05:00,25.73,30.66,25.65,30.39,26.19,29.19,26.57,26.01,24.9,25.7,26.44,27.21
2023-05-01T00:08:30-05:00,25.67,30.66,25.65,30.41,26.19,29.15,26.57,25.98,24.87,25.7,26.44,27.25
2023-05-01T00:09:00-05:00,25.69,30.64,,30.41,26.22,29.13,26.59,26.01,24.86,25.7,26.44,27.24
