DATETIME,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-01T00:00:30-05:00,25,9,42,9,25,30,13,17,13,0,9,21
2023-05-01T00:01:00-05:00,25,13,58,13,25,21,13,17,17,0,9,25
2023-05-01T00:01:30-05:00,25,13,60,13,25,21,13,17,17,21,13,25
2023-05-01T00:02:00-05:00,25,13,60,13,25,17,13,17,17,13,13,17
2023-05-01T00:02:30-05:00,21,13,62,13,21,17,13,17,17,13,9,17
2023-05-01T00:03:00-05:00,21,13,,17,21,17,13,17,17,13,9,13
2023-05-01T00:03:30-05:00,25,13,,13,25,17,13,13,17,13,13,13
2023-05-01T00:04:00-05:00,25,13,,13,25,21,13,13,17,13,9,17
2023-05-01T00:04:30-05:00,25,13,,13,25,17,13,13,17,17,9,17
2023-05-01T00:05:00-05:00,21,13,,13,25,17,13,13,17,13,13,13
2023-05-01T00:05:30-05:00,21,13,,17,25,21,13,17,17,13,9,17
2023-05-01T00:06:00-05:00,21,13,,17,25,17,13,17,17,13,9,17
2023-05-01T00:06:30-05:00,25,13,,13,25,21,13,17,21,13,9,17
2023-05-01T00:07:00-05:00,25,13,,17,25,21,13,13,21,17,9,13
2023-05-01T00:07:30-05:00,25,13,64,17,25,21,13,17,17,13,9,17
2023-05-01T00:08:00-05:00,25,13,,17,25,21,13,17,13,13,9,13
2023-05-01T00:08:30-05:00,21,13,60,17,25,17,13,17,17,13,17,13
2023-05-01T00:09:00-05:00,21,13,,17,25,21,13,17,17,13,13,17
2023-05-01T00:09:30-05:00,25,13,,17,25,21,13,17,17,9,13,17
2023-05-01T00:10:00-05:00,25,17,64,17,17,17,13,17,17,9,9,17
2023-05-01T00:10:30-05:00,25,13,53,13,21,17,13,17,17,9,9,17
2023-05-01T00:11:00-05:00,25,9,50,17,21,17,13,17,17,13,13,13
2023-05-01T00:11:30-05:00,21,13,55,17,17,21,13,17,17,17,13,13
2023-05-01T00:12:00-05:00,21,13,55,17,17,17,13,17,17,13,13,17
2023-05-01T00:12:30-05:00,25,13,60,17,17,17,13,17,17,13,13,17
2023-05-01T00:13:00-05:00,25,13,60,17,17,21,13,13,21,13,9,13
2023-05-01T00:13:30-05:00,21,13,50,17,17,17,13,17,21,9,13,13
2023-05-01T00:14:00-05:00,21,13,38,17,17,17,13,17,21,13,9,13
2023-05-01T00:14:30-05:00,21,13,38,17,17,21,13,13,21,9,9,13
2023-05-01T00:15:00-05:00,17,9,38,17,17,17,13,17,21,9,9,17
2023-05-01T00:15:30-05:00,17,9,30,17,17,17,13,17,21,13,13,17
2023-05-01T00:16:00-05:00,17,9,30,17,17,17,13,17,17,9,13,17
2023-05-01T00:16:30-05:00,21,17,25,17,17,17,13,17,21,13,9,17
2023-05-01T00:17:00-05:00,21,13,21,17,17,21,13,17,17,13,9,13
2023-05-01T00:17:30-05:00,25,13,21,17,17,21,13,17,21,13,13,17
2023-05-01T00:18:00-05:00,21,13,25,17,17,17,13,17,21,17,13,17
2023-05-01T00:18:30-05:00,17,13,25,17,17,17,13,17,21,13,13,17
2023-05-01T00:19:00-05:00,21,13,25,17,17,17,13,13,21,5,13,17
2023-05-01T00:19:30-05:00,21,17,25,13,17,21,13,13,21,13,13,17
2023-05-01T00:20:00-05:00,21,13,25,17,17,21,13,13,21,13,13,13
2023-05-01T00:20:30-05:00,21,13,25,17,17,17,17,17,17,9,9,13
2023-05-01T00:21:00-05:00,21,17,,17,17,21,17,17,21,9,9,13
2023-05-01T00:21:30-05:00,17,13,,17,17,17,17,17,17,13,9,17
2023-05-01T00:22:00-05:00,21,17,25,17,17,21,17,17,17,17,9,17
2023-05-01T00:22:30-05:00,17,17,21,17,17,17,17,17,17,13,9,17
2023-05-01T00:23:00-05:00,17,17,25,17,17,17,17,17,21,13,9,17
2023-05-01T00:23:30-05:00,21,17,25,17,17,21,17,17,21,9,9,17
2023-05-01T00:24:00-05:00,17,13,21,17,17,17,17,17,21,9,9,17
2023-05-01T00:24:30-05:00,21,13,25,21,17,17,17,13,21,9,9,17
2023-05-01T00:25:00-05:00,21,13,30,17,21,17,17,17,17,13,9,17
2023-05-01T00:25:30-05:00,21,13,30,17,21,17,17,17,21,5,9,17
2023-05-01T00:26:00-05:00,17,17,30,17,21,21,17,17,17,9,9,17
2023-05-01T00:26:30-05:00,21,17,30,17,21,17,17,21,21,13,9,13
2023-05-01T00:27:00-05:00,21,17,30,17,21,17,17,21,21,17,9,13
2023-05-01T00:27:30-05:00,17,17,25,17,21,21,17,21,17,13,9,13
2023-05-01T00:28:00-05:00,17,17,30,21,17,17,13,17,21,9,9,13
2023-05-01T00:28:30-05:00,17,13,34,17,17,17,17,21,21,9,9,17
2023-05-01T00:29:00-05:00,21,17,30,21,17,17,17,21,21,9,13,17
2023-05-01T00:29:30-05:00,21,17,,17,21,21,17,21,17,17,9,17
2023-05-01T00:30:00-05:00,21,17,34,17,21,17,13,17,21,17,9,17
2023-05-01T00:30:30-05:00,21,17,38,21,21,17,17,21,17,13,9,17
2023-05-01T00:31:00-05:00,21,13,34,17,21,17,13,17,17,21,9,13
2023-05-01T00:31:30-05:00,21,13,34,17,21,17,17,21,17,,13,13
2023-05-01T00:32:00-05:00,21,17,34,21,21,21,17,21,17,21,9,13
2023-05-01T00:32:30-05:00,25,17,38,21,21,21,13,21,21,,9,17
2023-05-01T00:33:00-05:00,25,17,34,21,21,17,13,17,21,30,13,13
2023-05-01T00:33:30-05:00,21,17,34,21,21,21,13,17,21,34,9,13
2023-05-01T00:34:00-05:00,21,17,34,21,21,17,17,17,21,34,13,17
2023-05-01T00:34:30-05:00,21,17,30,25,21,17,17,17,17,21,13,17
2023-05-01T00:35:00-05:00,21,17,30,34,21,17,13,17,17,17,9,13
2023-05-01T00:35:30-05:00,17,21,34,30,21,17,17,17,21,13,13,17
2023-05-01T00:36:00-05:00,21,21,34,25,21,17,17,17,17,25,9,17
2023-05-01T00:36:30-05:00,21,17,34,30,21,17,17,17,17,21,9,17
2023-05-01T00:37:00-05:00,21,17,34,30,21,17,17,17,21,21,13,17
2023-05-01T00:37:30-05:00,21,17,34,25,21,17,17,17,17,9,9,17
2023-05-01T00:38:00-05:00,21,21,30,21,21,17,17,17,17,25,9,13
2023-05-01T00:38:30-05:00,21,17,30,21,21,17,17,21,17,17,9,13
2023-05-01T00:39:00-05:00,21,17,34,25,21,17,17,17,21,13,9,17
2023-05-01T00:39:30-05:00,17,17,38,25,21,17,21,17,21,9,13,13
2023-05-01T00:40:00-05:00,21,17,34,25,21,17,17,17,21,9,13,13
2023-05-01T00:40:30-05:00,21,21,34,25,21,17,17,17,25,9,9,17
2023-05-01T00:41:00-05:00,21,21,34,,21,17,17,17,21,9,13,17
2023-05-01T00:41:30-05:00,21,17,38,38,21,17,17,21,21,17,13,17
2023-05-01T00:42:00-05:00,21,21,42,34,21,17,17,21,17,9,17,17
2023-05-01T00:42:30-05:00,21,17,38,34,21,17,17,21,17,13,17,17
2023-05-01T00:43:00-05:00,21,17,38,34,21,17,17,21,21,9,17,17
2023-05-01T00:43:30-05:00,21,21,38,46,21,17,17,21,21,13,13,17
2023-05-01T00:44:00-05:00,17,21,38,34,21,17,13,17,17,13,17,17
2023-05-01T00:44:30-05:00,21,21,42,30,21,17,13,17,17,13,17,17
2023-05-01T00:45:00-05:00,21,21,38,30,21,17,17,17,21,9,17,17
2023-05-01T00:45:30-05:00,21,21,38,30,21,17,17,17,21,17,17,17
2023-05-01T00:46:00-05:00,21,,38,25,21,17,17,17,21,13,13,13
2023-05-01T00:46:30-05:00,21,21,38,30,21,17,13,17,21,13,17,17
2023-05-01T00:47:00-05:00,21,21,34,30,21,17,17,17,21,13,13,17
2023-05-01T00:47:30-05:00,21,25,38,38,21,17,17,17,21,17,13,13
2023-05-01T00:48:00-05:00,21,30,38,38,21,17,17,17,21,13,13,17
2023-05-01T00:48:30-05:00,21,21,38,38,21,17,17,17,21,13,17,13
2023-05-01T00:49:00-05:00,21,21,38,30,21,13,17,17,21,17,17,13
2023-05-01T00:49:30-05:00,25,21,38,34,21,17,13,17,21,13,17,13
2023-05-01T00:50:00-05:00,21,25,34,38,21,17,13,17,21,9,17,13
2023-05-01T00:50:30-05:00,21,21,38,34,21,17,17,17,21,13,13,17
2023-05-01T00:51:00-05:00,25,21,38,25,21,17,13,17,21,17,13,13
2023-05-01T00:51:30-05:00,21,25,42,25,21,17,13,17,17,21,13,17
2023-05-01T00:52:00-05:00,21,25,38,25,21,17,13,17,17,13,13,17
2023-05-01T00:52:30-05:00,21,25,38,25,21,17,13,17,21,17,13,13
2023-05-01T00:53:00-05:00,21,25,38,25,21,17,17,17,21,17,13,13
2023-05-01T00:53:30-05:00,25,25,38,25,21,17,13,17,17,13,17,17
2023-05-01T00:54:00-05:00,21,30,38,25,21,17,17,17,21,13,13,17
2023-05-01T00:54:30-05:00,17,30,34,25,21,17,17,17,21,9,13,17
2023-05-01T00:55:00-05:00,17,25,34,30,21,13,17,17,17,21,13,17
2023-05-01T00:55:30-05:00,17,25,38,25,21,17,17,17,21,13,17,17
2023-05-01T00:56:00-05:00,21,25,38,25,21,17,17,17,21,13,17,17
2023-05-01T00:56:30-05:00,17,25,34,30,21,17,17,17,17,13,17,13
2023-05-01T00:57:00-05:00,25,30,34,30,21,17,17,17,21,5,17,13
2023-05-01T00:57:30-05:00,21,25,34,30,21,13,17,17,17,5,17,17
2023-05-01T00:58:00-05:00,21,25,30,34,21,17,13,17,17,13,17,17
2023-05-01T00:58:30-05:00,17,21,30,30,21,17,13,17,21,13,17,17
2023-05-01T00:59:00-05:00,21,21,34,34,21,17,17,21,21,9,17,13
2023-05-01T00:59:30-05:00,21,21,30,34,21,17,17,17,21,9,21,13
2023-05-01T01:00:00-05:00,21,25,34,34,21,17,13,21,17,13,21,13
2023-05-01T01:00:30-05:00,21,30,30,34,21,13,13,17,21,13,21,13
2023-05-01T01:01:00-05:00,21,30,30,34,21,17,13,21,21,17,17,17
2023-05-01T01:01:30-05:00,17,25,30,34,21,17,13,21,21,5,17,17
2023-05-01T01:02:00-05:00,21,25,30,38,21,17,13,17,17,9,17,17
2023-05-01T01:02:30-05:00,17,25,30,34,21,17,17,17,21,9,17,17
2023-05-01T01:03:00-05:00,17,21,30,38,21,17,13,21,21,13,17,21
2023-05-01T01:03:30-05:00,21,25,30,38,30,17,17,21,17,9,17,17
2023-05-01T01:04:00-05:00,21,25,30,38,30,17,13,21,17,13,17,17
2023-05-01T01:04:30-05:00,17,30,30,42,30,17,17,17,17,9,17,17
2023-05-01T01:05:00-05:00,21,25,38,38,30,17,17,17,21,13,17,17
2023-05-01T01:05:30-05:00,21,25,42,38,30,17,13,17,21,17,17,13
2023-05-01T01:06:00-05:00,21,25,34,38,30,17,13,17,21,13,17,13
2023-05-01T01:06:30-05:00,21,25,34,38,30,17,13,17,17,13,17,17
2023-05-01T01:07:00-05:00,25,25,38,34,30,17,13,21,17,13,17,17
2023-05-01T01:07:30-05:00,30,25,34,38,30,17,13,17,21,9,17,13
2023-05-01T01:08:00-05:00,25,25,34,34,30,17,13,17,21,9,21,17
2023-05-01T01:08:30-05:00,25,25,34,30,30,21,13,17,17,9,21,17
2023-05-01T01:09:00-05:00,30,25,30,38,30,17,13,17,21,9,17,17
2023-05-01T01:09:30-05:00,34,25,34,34,30,17,13,21,21,13,17,17
2023-05-01T01:10:00-05:00,42,21,34,38,30,17,13,21,21,13,17,17
2023-05-01T01:10:30-05:00,42,25,34,38,30,17,13,17,17,13,21,17
2023-05-01T01:11:00-05:00,34,21,34,38,30,17,13,21,21,13,21,17
