DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-02T10:08:00-05:00,0.0,0.0,63.47,72.96,62.69,52.76,53.31,44.34,53.47,62.91,55.45,60.18,46.63,,62.53,91.6,55.35,54.55
2023-05-02T10:08:30-05:00,0.0,0.0,63.31,72.59,62.5,52.68,53.64,44.25,53.42,62.59,55.47,60.26,46.25,,62.04,91.5,55.35,54.66
2023-05-02T10:09:00-05:00,0.0,0.0,62.84,72.24,62.06,52.51,53.5,43.97,53.06,62.87,55.52,59.95,46.79,,63.0,91.5,55.38,54.82
2023-05-02T10:09:30-05:00,0.0,0.0,63.08,72.38,62.22,52.28,53.23,43.48,52.97,63.96,55.69,60.01,46.67,,62.59,91.5,55.38,54.55
2023-05-02T10:10:00-05:00,0.0,0.0,62.49,72.03,61.88,52.63,53.2,43.56,52.74,64.28,56.0,59.95,46.45,,62.12,91.4,55.38,54.96
2023-05-02T10:10:30-05:00,0.0,0.0,62.6,71.84,61.74,52.54,53.18,43.96,52.86,63.9,55.57,59.96,46.4,,61.82,91.4,55.36,55.11
2023-05-02T10:11:00-05:00,0.0,0.0,62.39,71.73,61.36,52.25,53.02,44.07,53.02,63.66,55.54,59.51,47.07,,62.53,91.4,55.27,55.46
2023-05-02T10:11:30-05:00,0.0,0.0,62.18,71.52,61.47,52.25,52.55,43.98,53.1,63.72,55.86,59.23,46.89,,62.39,91.5,55.08,55.15
2023-05-02T10:12:00-05:00,0.0,0.0,62.33,71.61,61.43,51.53,52.07,43.47,52.99,63.68,55.52,59.39,46.69,,62.57,91.4,55.1,55.06
2023-05-02T10:12:30-05:00,0.0,0.0,62.05,71.32,61.25,51.71,53.32,44.21,52.6,,55.1,59.27,45.74,,61.7,91.5,55.09,55.49
2023-05-02T10:13:00-05:00,0.0,0.0,62.07,71.24,61.05,50.69,53.34,44.48,52.6,63.68,55.09,58.56,46.01,,62.55,91.5,55.1,55.71
2023-05-02T10:13:30-05:00,0.0,0.0,61.17,70.55,60.54,52.07,53.33,44.12,52.58,63.67,55.27,57.78,46.09,,61.68,91.6,55.11,55.45
2023-05-02T10:14:00-05:00,0.0,0.0,60.5,70.05,60.33,52.13,53.52,44.75,52.68,63.46,55.43,58.28,45.84,,62.32,91.6,55.14,55.15
2023-05-02T10:14:30-05:00,0.0,0.0,61.12,70.22,60.38,52.2,53.52,44.85,52.8,63.65,55.64,58.3,46.08,,61.38,91.6,55.14,55.23
2023-05-02T10:15:00-05:00,0.0,0.0,60.74,70.16,60.15,52.26,53.57,44.71,52.79,63.47,55.7,58.77,46.53,,61.81,91.6,55.0,55.68
2023-05-02T10:15:30-05:00,0.0,0.0,61.06,70.1,60.09,51.86,53.78,45.74,52.76,63.92,55.91,59.36,45.95,,,91.7,54.54,55.76
2023-05-02T10:16:00-05:00,0.0,0.0,60.87,70.13,59.95,51.56,53.0,45.98,52.66,63.65,55.86,59.63,46.43,,62.66,91.7,54.57,55.55
2023-05-02T10:16:30-05:00,0.0,0.0,61.06,69.99,60.15,51.13,52.69,46.01,53.02,63.22,55.21,59.91,46.67,,62.76,91.7,54.63,55.47
2023-05-02T10:17:00-05:00,0.0,0.0,61.19,69.89,60.17,51.24,52.11,46.23,53.03,63.24,55.41,,47.01,,62.6,91.8,54.17,55.68
2023-05-02T10:17:30-05:00,0.0,0.0,61.0,69.83,59.96,51.12,51.95,46.73,53.11,63.01,54.67,60.13,47.32,,62.6,91.8,53.8,55.86
2023-05-02T10:18:00-05:00,0.0,0.0,60.91,69.76,59.83,51.85,52.48,46.83,52.74,63.15,54.4,60.9,47.28,,62.73,91.8,53.6,55.8
2023-05-02T10:18:30-05:00,0.0,0.0,60.7,69.64,59.95,51.95,53.35,46.94,52.64,64.02,55.05,60.97,46.97,,62.33,91.9,,55.99
2023-05-02T10:19:00-05:00,0.0,0.0,60.43,69.42,59.68,51.67,53.58,47.36,51.99,63.89,54.49,61.14,46.93,,62.28,91.9,53.49,56.5
2023-05-02T10:19:30-05:00,0.0,0.0,60.85,69.43,59.56,51.77,54.73,47.07,52.27,63.58,53.82,61.11,47.35,,62.74,92.0,53.43,56.11
2023-05-02T10:20:00-05:00,0.0,0.0,60.27,69.05,59.51,51.46,54.81,47.16,52.45,63.66,54.09,61.05,47.65,,63.16,92.1,53.41,55.93
2023-05-02T10:20:30-05:00,0.0,0.0,60.52,69.09,59.35,50.37,53.3,47.36,52.44,63.5,54.56,61.38,48.11,,62.77,92.2,53.61,55.92
2023-05-02T10:21:00-05:00,0.0,0.0,60.14,68.86,59.37,50.27,52.56,46.95,52.66,63.05,54.82,61.68,47.9,,62.59,92.3,53.71,56.19
