DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-02T10:08:00-05:00,60,38,64,53,60,70,,50,46,60,,46,42,,46,46,46,55
2023-05-02T10:08:30-05:00,60,34,60,53,60,70,,50,53,60,77,50,38,,46,42,50,60
2023-05-02T10:09:00-05:00,60,38,60,55,62,68,,46,50,64,,50,34,,50,42,50,55
2023-05-02T10:09:30-05:00,60,38,60,55,60,66,,50,53,66,77,50,38,,50,55,46,55
2023-05-02T10:10:00-05:00,60,38,62,55,62,66,,42,53,66,,46,38,,50,42,46,60
2023-05-02T10:10:30-05:00,60,38,60,55,62,64,,46,53,66,74,50,34,,50,58,50,58
2023-05-02T10:11:00-05:00,60,34,62,55,58,64,,46,53,66,77,50,34,,46,46,53,58
2023-05-02T10:11:30-05:00,60,38,58,55,62,64,,46,53,66,72,53,34,,50,46,46,58
2023-05-02T10:12:00-05:00,60,42,60,53,62,68,,46,53,66,77,46,38,,46,42,50,60
2023-05-02T10:12:30-05:00,60,38,60,53,62,70,,46,50,,74,50,34,,50,46,50,55
2023-05-02T10:13:00-05:00,60,38,60,53,60,66,,50,53,66,77,46,38,,46,53,46,55
2023-05-02T10:13:30-05:00,60,42,58,53,60,68,,46,53,66,,46,38,,46,46,46,58
2023-05-02T10:14:00-05:00,60,38,58,50,62,66,,46,50,66,,50,38,,46,53,46,58
2023-05-02T10:14:30-05:00,60,38,58,53,58,70,,50,53,66,74,46,42,,46,50,50,58
2023-05-02T10:15:00-05:00,60,38,60,50,60,68,,46,50,66,68,46,42,,46,53,46,55
2023-05-02T10:15:30-05:00,60,42,58,50,60,70,,50,50,66,68,46,42,,,55,42,55
2023-05-02T10:16:00-05:00,60,42,58,50,58,68,,50,50,66,64,50,38,,50,55,46,55
2023-05-02T10:16:30-05:00,60,42,58,53,62,68,,46,53,66,66,46,38,,46,53,46,55
2023-05-02T10:17:00-05:00,60,42,60,53,58,68,,46,53,66,70,,38,,46,53,50,55
2023-05-02T10:17:30-05:00,60,42,58,50,58,68,,46,50,68,68,50,42,,46,53,46,60
2023-05-02T10:18:00-05:00,60,42,58,50,58,66,,42,50,68,74,46,38,,46,58,46,55
2023-05-02T10:18:30-05:00,60,42,60,50,58,64,,50,50,68,72,50,34,,50,62,,58
2023-05-02T10:19:00-05:00,60,42,55,50,58,64,,50,53,64,68,50,42,,53,64,50,55
2023-05-02T10:19:30-05:00,60,42,55,53,55,66,,46,50,64,72,50,38,,53,55,50,55
2023-05-02T10:20:00-05:00,60,38,58,50,55,64,,50,53,64,77,53,38,,50,55,46,55
2023-05-02T10:20:30-05:00,60,42,58,50,58,68,,46,53,64,77,53,42,,55,58,46,53
2023-05-02T10:21:00-05:00,60,46,58,50,58,64,,53,50,64,,53,38,,50,60,46,58
2023-05-02T10:21:30-05:00,60,42,58,46,60,62,,50,50,64,72,50,34,,50,62,,55
2023-05-02T10:22:00-05:00,60,42,53,50,58,60,,46,50,64,68,50,38,,55,58,46,58
2023-05-02T10:22:30-05:00,60,42,58,50,58,60,,46,53,66,66,53,38,,53,53,46,55
2023-05-02T10:23:00-05:00,60,42,55,50,58,62,,46,50,66,66,53,34,,53,50,46,55
2023-05-02T10:23:30-05:00,60,42,53,46,55,64,,46,50,66,68,50,38,,,46,42,55
2023-05-02T10:24:00-05:00,60,42,55,50,55,66,,46,53,66,66,53,38,,50,38,46,58
2023-05-02T10:24:30-05:00,60,38,58,50,55,64,,50,50,66,66,53,38,,46,46,46,58
2023-05-02T10:25:00-05:00,60,42,58,50,58,62,,50,50,66,66,53,34,,,34,42,58
2023-05-02T10:25:30-05:00,60,46,55,53,55,64,,50,50,66,66,50,34,,46,34,38,53
2023-05-02T10:26:00-05:00,60,42,55,46,58,,,46,53,66,66,50,38,,50,38,46,55
2023-05-02T10:26:30-05:00,60,46,55,53,60,64,,50,50,66,62,50,38,,50,46,42,58
2023-05-02T10:27:00-05:00,60,42,55,50,55,64,,50,50,66,66,53,38,,50,46,46,55
2023-05-02T10:27:30-05:00,60,38,55,46,55,64,,53,53,66,62,53,38,,46,46,42,55
2023-05-02T10:28:00-05:00,60,46,55,50,55,,,53,60,66,64,50,38,,50,38,42,55
2023-05-02T10:28:30-05:00,60,42,55,50,55,64,,55,53,66,64,50,38,,50,34,46,55
2023-05-02T10:29:00-05:00,60,42,55,50,58,64,,58,53,66,66,50,38,,46,42,50,55
2023-05-02T10:29:30-05:00,60,38,53,50,58,64,,58,50,66,66,50,38,,50,38,,55
2023-05-02T10:30:00-05:00,60,42,55,50,53,,,55,50,66,64,53,34,,50,42,46,58
2023-05-02T10:30:30-05:00,60,42,55,50,58,66,,55,53,66,68,50,38,,50,42,42,58
2023-05-02T10:31:00-05:00,60,42,55,50,55,66,,53,50,66,66,53,34,,50,50,46,58
2023-05-02T10:31:30-05:00,60,46,58,42,55,66,,53,46,66,66,53,34,,46,50,50,58
2023-05-02T10:32:00-05:00,60,46,55,46,55,,,53,46,66,66,53,38,,46,50,46,58
2023-05-02T10:32:30-05:00,60,42,53,50,55,,,53,50,66,62,53,38,,50,50,46,58
