DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-05T00:00:00-05:00,0.0,0.0,67.11,65.1,66.88,,,,,62.38,,70.41,63.92,70.92,,62.09,
2023-05-05T00:00:30-05:00,0.0,0.0,67.1,65.11,66.85,62.3,53.28,64.82,52.76,62.49,58.6,70.42,63.83,70.66,99.9,62.08,63.58
2023-05-05T00:01:00-05:00,0.0,0.0,67.35,65.2,67.17,62.49,53.38,65.37,52.71,62.45,59.14,70.41,63.99,70.5,99.9,62.08,63.5
2023-05-05T00:01:30-05:00,0.0,0.0,66.8,64.99,66.63,61.88,53.47,65.3,52.91,62.56,58.71,70.4,64.03,70.58,99.9,62.01,63.46
2023-05-05T00:02:00-05:00,0.0,0.0,66.68,64.96,66.56,61.95,53.46,65.27,52.83,62.69,58.66,70.41,63.86,70.48,99.9,62.09,63.42
2023-05-05T00:02:30-05:00,0.0,0.0,66.58,64.89,66.43,62.08,53.54,65.54,52.85,62.56,58.92,70.42,63.98,70.63,99.9,62.07,63.3
2023-05-05T00:03:00-05:00,0.0,0.0,66.69,64.85,66.51,62.27,53.61,65.6,52.89,62.47,59.34,70.44,63.99,70.5,99.9,62.0,63.31
2023-05-05T00:03:30-05:00,0.0,0.0,66.73,65.04,66.5,62.42,53.67,65.66,52.95,62.77,58.61,70.43,64.25,70.43,99.9,61.96,63.3
2023-05-05T00:04:00-05:00,0.0,0.0,66.96,64.98,66.76,62.18,53.7,65.31,53.01,62.67,58.83,70.57,64.27,70.46,99.9,61.92,63.2
2023-05-05T00:04:30-05:00,0.0,0.0,66.88,64.98,66.59,62.32,53.76,65.58,53.03,62.4,58.97,70.45,64.25,70.31,99.9,61.9,63.15
2023-05-05T00:05:00-05:00,0.0,0.0,66.71,64.92,66.52,62.51,53.79,65.82,53.23,62.46,58.82,70.61,64.31,70.35,99.9,61.92,63.27
2023-05-05T00:05:30-05:00,0.0,0.0,66.7,64.94,66.52,62.55,53.73,65.63,53.19,62.62,58.96,70.52,64.37,70.5,99.9,61.92,63.07
2023-05-05T00:06:00-05:00,0.0,0.0,66.6,64.82,66.29,62.69,53.73,65.48,53.23,62.66,59.33,70.69,64.41,70.37,99.9,61.94,63.18
2023-05-05T00:06:30-05:00,0.0,0.0,66.63,64.88,66.34,62.37,53.74,65.85,53.26,62.7,59.02,70.66,64.45,70.47,99.9,61.93,63.2
2023-05-05T00:07:00-05:00,0.0,0.0,66.74,64.97,66.45,62.78,53.82,65.96,53.41,62.69,58.86,70.79,64.46,70.29,99.9,61.9,63.19
2023-05-05T00:07:30-05:00,0.0,0.0,66.65,64.99,66.55,62.34,53.82,65.72,53.29,62.65,58.87,70.87,64.57,70.28,99.9,61.89,
2023-05-05T00:08:00-05:00,0.0,0.0,66.71,65.03,66.5,62.6,53.77,65.72,53.3,62.69,59.07,70.95,64.55,70.37,99.9,61.87,62.94
2023-05-05T00:08:30-05:00,0.0,0.0,66.58,65.01,66.48,62.69,53.8,66.04,53.54,62.63,59.34,70.91,64.58,70.63,99.9,61.88,62.96
2023-05-05T00:09:00-05:00,0.0,0.0,66.42,64.87,66.25,62.54,53.85,65.65,53.45,62.69,59.08,71.01,64.86,70.4,99.9,61.85,62.95
2023-05-05T00:09:30-05:00,0.0,0.0,66.41,64.91,66.18,62.54,53.81,65.81,53.48,62.49,59.68,71.03,64.84,70.53,99.9,61.82,63.0
2023-05-05T00:10:00-05:00,0.0,0.0,66.39,64.86,66.12,62.29,53.79,65.38,53.35,62.44,59.06,70.98,64.78,70.39,99.9,61.82,63.05
2023-05-05T00:10:30-05:00,0.0,0.0,66.4,64.86,66.12,62.51,53.87,65.45,53.29,62.4,58.99,70.99,64.79,70.48,99.9,61.82,63.16
2023-05-05T00:11:00-05:00,0.0,0.0,66.23,64.87,66.08,62.4,53.8,65.37,53.32,62.54,59.13,71.09,64.9,70.34,99.9,61.75,63.04
2023-05-05T00:11:30-05:00,0.0,0.0,66.36,64.95,66.1,62.58,53.79,65.63,53.39,62.42,58.88,71.17,64.92,70.34,99.9,61.74,63.07
2023-05-05T00:12:00-05:00,0.0,0.0,66.12,64.84,65.99,62.41,53.87,65.36,53.39,62.49,59.42,71.15,64.78,70.58,99.9,61.8,63.11
2023-05-05T00:12:30-05:00,0.0,0.0,66.15,64.84,65.96,62.66,53.82,65.76,53.44,62.58,58.93,71.17,64.79,70.58,99.9,61.77,63.19
2023-05-05T00:13:00-05:00,0.0,0.0,66.09,64.81,65.83,62.59,53.81,65.8,53.49,62.63,58.84,71.27,64.77,70.62,99.9,61.8,63.08
2023-05-05T00:13:30-05:00,0.0,0.0,66.07,64.84,65.86,62.42,53.79,65.7,53.49,62.59,58.93,71.24,64.63,70.41,99.9,61.79,63.22
2023-05-05T00:14:00-05:00,0.0,0.0,65.92,64.8,65.84,62.5,53.81,65.41,53.61,62.57,58.92,71.2,64.54,70.24,99.9,61.78,63.16
2023-05-05T00:14:30-05:00,0.0,0.0,66.14,64.83,65.93,62.28,53.84,65.71,53.57,62.56,58.91,71.15,64.72,70.27,99.9,61.7,63.26
2023-05-05T00:15:00-05:00,0.0,0.0,65.99,64.82,65.73,62.44,53.8,65.53,53.38,62.73,58.87,71.28,64.58,70.46,99.9,61.7,63.26
2023-05-05T00:16:00-05:00,0.0,0.0,66.12,64.87,65.9,62.32,53.85,65.46,53.48,62.66,58.68,71.29,64.9,70.48,99.9,61.68,63.15
2023-05-05T00:16:30-05:00,0.0,0.0,66.98,65.25,66.69,62.19,53.85,65.69,53.46,62.68,58.94,71.29,64.87,70.23,99.9,61.71,62.84
2023-05-05T00:17:00-05:00,0.0,0.0,66.88,65.07,66.64,61.78,53.85,65.47,53.58,62.73,59.21,71.29,64.73,70.49,99.9,61.7,62.9
2023-05-05T00:17:30-05:00,0.0,0.0,66.53,65.05,66.5,61.92,53.82,65.48,53.53,62.72,59.26,71.35,64.8,70.54,99.9,61.74,62.96
2023-05-05T00:18:00-05:00,0.0,0.0,67.38,65.49,66.96,62.17,53.82,65.77,53.56,62.71,59.0,71.4,64.83,70.59,99.9,61.76,63.03
2023-05-05T00:19:00-05:00,0.0,0.0,67.78,65.53,67.49,62.54,53.82,65.51,53.63,62.68,58.83,71.4,64.79,70.57,99.9,61.79,63.19
2023-05-05T00:19:30-05:00,0.0,0.0,67.36,65.38,67.06,62.88,53.81,65.28,53.58,62.71,58.85,71.35,64.73,70.59,99.9,61.79,63.13
2023-05-05T00:20:00-05:00,0.0,0.0,67.26,65.39,67.05,62.7,53.82,65.46,53.57,62.71,58.93,71.29,64.64,70.55,99.9,61.85,62.93
2023-05-05T00:20:30-05:00,0.0,0.0,67.55,65.34,67.15,62.88,53.85,65.57,53.59,62.77,58.87,71.24,64.6,70.81,99.9,61.89,62.88
2023-05-05T00:21:30-05:00,0.0,0.0,67.41,65.31,67.03,63.2,53.85,65.49,53.79,62.71,58.86,71.22,64.5,70.76,99.9,61.83,63.13
2023-05-05T00:22:00-05:00,0.0,0.0,67.34,65.31,67.02,62.99,53.88,65.27,53.71,62.75,58.87,71.22,64.54,70.7,99.9,61.82,63.18
2023-05-05T00:23:00-05:00,0.0,0.0,67.37,65.28,67.01,63.0,53.85,65.34,53.63,62.76,58.9,71.18,64.53,70.79,99.9,61.89,62.88
2023-05-05T00:24:00-05:00,0.0,0.0,67.32,65.34,66.99,62.65,53.81,65.1,53.91,62.8,58.9,71.16,64.66,70.63,99.9,62.02,62.66
2023-05-05T00:24:30-05:00,0.0,0.0,67.43,65.33,67.07,62.69,53.88,65.42,53.76,62.77,58.97,71.18,64.62,70.9,99.9,62.02,63.01
2023-05-05T00:25:00-05:00,0.0,0.0,67.39,65.3,66.98,62.57,53.87,65.17,53.82,62.83,58.93,71.21,64.81,70.66,99.9,62.08,62.93
2023-05-05T00:26:00-05:00,0.0,0.0,67.61,65.33,67.17,62.68,53.91,65.33,53.97,62.55,59.02,71.18,64.79,70.84,99.9,62.07,62.77
2023-05-05T00:26:30-05:00,0.0,0.0,67.48,65.31,67.1,62.61,54.0,64.93,53.98,62.47,58.94,71.07,65.01,70.68,99.9,62.09,62.86
2023-05-05T00:27:00-05:00,0.0,0.0,67.46,65.32,67.1,62.39,54.0,64.92,53.9,62.54,59.08,71.03,64.83,70.75,99.9,62.12,62.88
2023-05-05T00:27:30-05:00,0.0,0.0,67.52,65.32,67.07,62.26,53.96,65.39,53.95,62.63,59.08,71.13,64.85,70.84,99.9,62.0,63.04
2023-05-05T00:28:00-05:00,0.0,0.0,67.22,65.3,66.96,62.31,53.9,64.92,53.99,62.57,58.93,71.27,64.83,70.88,99.9,61.97,63.2
2023-05-05T00:28:30-05:00,0.0,0.0,67.26,65.25,66.99,62.26,53.91,64.85,53.94,62.64,58.92,71.35,64.76,70.86,99.9,62.0,63.16
2023-05-05T00:29:00-05:00,0.0,0.0,67.27,65.31,66.9,62.29,53.84,64.67,54.06,62.67,58.54,71.53,64.82,70.75,99.9,62.0,63.19
2023-05-05T00:29:30-05:00,0.0,0.0,67.33,65.22,66.93,62.46,53.87,64.84,54.01,62.62,58.79,71.52,64.89,70.75,99.9,62.03,63.27
2023-05-05T00:30:00-05:00,0.0,0.0,67.17,65.2,66.84,62.46,53.95,65.17,54.23,62.65,59.19,71.56,64.84,70.89,99.9,61.99,
2023-05-05T00:30:30-05:00,0.0,0.0,67.12,65.13,66.75,62.6,53.92,65.27,54.26,62.73,59.19,71.61,64.83,70.98,99.9,62.05,63.41
2023-05-05T00:31:00-05:00,0.0,0.0,67.09,65.16,66.8,62.6,53.88,65.09,54.33,62.78,58.88,71.63,64.86,71.0,99.9,62.07,63.39
2023-05-05T00:31:30-05:00,0.0,0.0,66.91,65.18,66.71,62.46,53.89,65.62,54.27,62.77,58.73,71.62,64.86,70.81,99.9,62.14,63.6
2023-05-05T00:32:00-05:00,0.0,0.0,67.04,65.17,66.75,62.66,53.95,65.52,54.44,62.87,58.86,71.66,64.84,70.64,99.9,62.09,63.61
2023-05-05T00:32:30-05:00,0.0,0.0,66.97,65.15,66.7,62.77,53.95,65.22,54.51,62.99,58.84,71.64,64.92,70.66,99.9,62.17,63.63
2023-05-05T00:33:00-05:00,0.0,0.0,66.77,65.05,66.56,62.68,53.89,64.81,54.4,62.99,58.75,71.55,64.98,70.68,99.9,62.23,63.72
2023-05-05T00:33:30-05:00,0.0,0.0,66.78,65.07,66.46,62.93,53.9,64.75,54.56,62.99,58.59,71.63,65.01,70.69,99.9,62.23,63.59
2023-05-05T00:34:00-05:00,0.0,0.0,66.69,64.97,66.44,62.9,53.9,65.11,54.55,62.98,58.86,71.57,64.94,70.7,99.9,62.15,63.47
2023-05-05T00:34:30-05:00,0.0,0.0,66.72,65.02,66.45,62.99,53.89,64.99,54.52,63.04,58.88,71.58,64.93,70.75,99.9,62.18,63.49
2023-05-05T00:35:00-05:00,0.0,0.0,66.69,64.99,66.37,62.68,53.9,65.17,54.42,63.03,58.78,71.61,64.87,70.72,99.9,62.19,63.45
2023-05-05T00:35:30-05:00,0.0,0.0,66.51,64.96,66.17,62.55,53.88,65.33,54.43,63.03,58.94,71.53,64.93,70.75,99.9,62.22,
2023-05-05T00:36:00-05:00,0.0,0.0,66.49,64.99,66.32,62.66,53.93,65.07,54.43,63.11,58.81,71.53,64.92,70.76,99.9,62.22,63.49
2023-05-05T00:36:30-05:00,0.0,0.0,66.55,65.03,66.46,62.91,53.92,65.08,54.55,63.09,58.8,71.51,64.88,70.82,99.9,62.19,63.5
2023-05-05T00:37:00-05:00,0.0,0.0,66.51,64.98,66.32,62.91,53.92,65.28,54.51,63.03,58.71,71.53,64.83,70.93,99.9,62.17,63.45
2023-05-05T00:37:30-05:00,0.0,0.0,66.51,,66.2,62.69,53.92,65.22,54.52,63.0,58.57,71.48,64.8,70.84,99.9,62.2,63.53
2023-05-05T00:38:00-05:00,0.0,0.0,66.29,64.89,66.18,62.82,53.95,65.49,54.6,63.01,58.8,71.42,64.89,70.86,99.9,62.26,63.58
2023-05-05T00:38:30-05:00,0.0,0.0,66.72,64.94,66.52,62.72,53.99,65.33,54.42,63.12,58.9,71.43,64.9,70.86,99.9,62.26,63.6
2023-05-05T00:39:00-05:00,0.0,0.0,66.28,64.89,66.07,62.94,54.0,65.3,54.54,63.03,58.84,71.4,64.84,70.88,99.9,62.24,63.78
2023-05-05T00:39:30-05:00,0.0,0.0,66.41,64.92,66.42,63.14,53.95,65.37,54.45,62.96,58.95,71.49,64.92,70.96,99.9,62.3,63.81
2023-05-05T00:40:00-05:00,0.0,0.0,66.99,65.12,66.69,63.3,53.95,65.57,54.39,63.03,58.95,71.5,65.0,71.02,99.9,62.28,63.53
2023-05-05T00:40:30-05:00,0.0,0.0,66.97,65.17,66.76,63.53,53.96,65.45,54.45,63.0,59.18,71.56,64.93,71.0,99.9,62.21,63.4
2023-05-05T00:41:00-05:00,0.0,0.0,66.94,65.12,66.7,63.74,53.94,65.62,54.42,63.04,59.21,71.51,64.91,70.98,99.9,62.09,63.49
2023-05-05T00:41:30-05:00,0.0,0.0,66.63,65.0,66.38,63.87,,65.55,54.55,63.08,59.09,71.42,65.0,71.02,99.9,62.05,63.59
2023-05-05T00:42:00-05:00,0.0,0.0,66.53,64.92,66.34,64.12,53.97,65.55,54.68,63.06,59.14,71.38,64.85,71.06,99.9,61.98,63.75
2023-05-05T00:42:30-05:00,0.0,0.0,66.53,64.87,66.37,64.08,54.02,65.55,54.61,63.18,59.19,71.47,64.9,71.06,99.9,61.96,
2023-05-05T00:43:00-05:00,0.0,0.0,66.68,64.95,66.47,64.17,54.03,65.41,54.69,63.21,59.1,71.45,64.8,71.11,99.9,61.96,63.85
2023-05-05T00:43:30-05:00,0.0,0.0,66.84,64.93,66.63,64.25,54.01,65.48,54.66,63.28,59.27,71.53,64.83,71.08,99.9,61.99,63.77
2023-05-05T00:44:00-05:00,0.0,0.0,66.64,64.88,66.42,64.32,54.05,65.92,54.7,63.31,59.14,71.62,64.79,71.18,99.9,61.97,63.71
2023-05-05T00:44:30-05:00,0.0,0.0,67.03,64.9,66.88,64.3,54.05,65.87,54.83,63.19,59.22,71.63,64.73,71.08,99.9,62.04,63.76
2023-05-05T00:45:00-05:00,0.0,0.0,66.69,64.88,66.45,64.0,54.06,65.74,54.87,63.0,59.19,71.64,64.83,70.98,99.9,62.03,
2023-05-05T00:45:30-05:00,0.0,0.0,66.66,64.88,66.47,63.9,54.04,65.8,54.79,63.06,59.24,71.64,64.74,71.07,99.9,62.07,63.9
2023-05-05T00:46:00-05:00,0.0,0.0,66.86,64.99,66.68,63.86,54.16,65.44,54.87,62.87,59.2,71.64,64.71,71.11,99.9,62.24,63.71
2023-05-05T00:46:30-05:00,0.0,0.0,67.13,65.0,66.75,64.1,54.15,65.55,54.83,62.93,59.42,71.71,64.82,71.34,99.9,62.28,
2023-05-05T00:47:00-05:00,0.0,0.0,67.15,64.95,66.86,63.98,54.09,65.72,54.91,62.81,58.98,71.67,64.72,71.14,99.9,62.29,63.78
2023-05-05T00:47:30-05:00,0.0,0.0,66.9,64.88,66.64,63.88,54.15,65.73,54.88,62.97,59.31,71.65,64.82,71.23,99.9,62.29,63.7
2023-05-05T00:48:00-05:00,0.0,0.0,66.79,64.87,66.49,64.25,54.2,65.56,54.95,62.95,59.41,71.62,64.83,71.09,99.9,62.3,63.82
2023-05-05T00:48:30-05:00,0.0,0.0,66.82,64.82,66.51,64.17,54.18,65.71,54.93,62.99,59.26,71.71,64.8,70.97,99.9,62.28,63.59
2023-05-05T00:49:00-05:00,0.0,0.0,66.87,64.83,66.53,63.77,54.15,65.78,54.96,62.49,59.21,71.77,64.82,71.08,99.9,62.24,
2023-05-05T00:49:30-05:00,0.0,0.0,66.81,64.81,66.52,64.11,54.17,65.74,54.97,62.83,58.64,71.79,64.77,71.2,99.9,62.19,63.77
2023-05-05T00:50:00-05:00,0.0,0.0,66.77,64.79,66.38,63.8,54.15,65.99,54.99,62.89,58.85,71.8,64.82,71.28,99.9,62.13,
2023-05-05T00:50:30-05:00,0.0,0.0,66.66,64.75,66.3,63.58,54.17,65.86,55.04,62.93,59.15,71.82,64.81,71.16,99.9,62.17,63.87
2023-05-05T00:51:00-05:00,0.0,0.0,66.88,64.81,66.52,63.93,54.1,65.83,55.0,63.19,59.39,71.89,64.93,71.02,99.9,62.12,63.93
2023-05-05T00:51:30-05:00,0.0,0.0,66.97,64.81,66.63,63.36,54.14,66.05,54.99,63.27,59.53,71.84,64.89,71.16,99.9,62.1,63.82
2023-05-05T00:52:00-05:00,0.0,0.0,66.79,64.78,66.43,63.57,54.15,65.95,55.15,63.34,59.44,71.88,64.99,71.09,99.9,62.1,
2023-05-05T00:52:30-05:00,0.0,0.0,66.75,64.78,66.42,63.74,54.15,65.87,55.08,63.48,59.55,71.87,64.86,71.18,99.9,62.0,64.03
2023-05-05T00:53:00-05:00,0.0,0.0,66.52,64.73,66.25,63.57,54.2,66.06,55.07,63.56,59.31,71.82,64.87,71.1,99.9,61.94,63.92
2023-05-05T00:53:30-05:00,0.0,0.0,66.52,64.71,66.2,63.65,54.15,66.32,55.02,63.7,59.41,71.83,64.9,71.09,99.9,61.93,63.95
2023-05-05T00:54:00-05:00,0.0,0.0,66.45,64.74,66.23,63.47,54.2,66.05,55.1,63.77,59.43,71.85,64.88,71.15,99.9,61.96,63.96
2023-05-05T00:54:30-05:00,0.0,0.0,66.39,64.69,66.17,63.73,54.16,66.08,55.09,63.82,59.3,71.86,65.08,71.14,99.9,61.99,
2023-05-05T00:55:00-05:00,0.0,0.0,66.66,64.74,66.42,63.61,54.2,66.23,55.15,63.9,59.23,71.87,65.02,71.05,99.9,62.01,63.94
2023-05-05T00:55:30-05:00,0.0,0.0,66.41,64.7,66.24,63.45,54.17,65.97,54.94,63.16,58.99,71.86,64.99,71.19,99.9,62.01,63.97
2023-05-05T00:56:00-05:00,0.0,0.0,66.36,64.69,66.13,63.49,54.16,66.06,55.0,63.84,59.2,71.87,64.97,70.98,99.9,62.06,64.05
2023-05-05T00:56:30-05:00,0.0,0.0,66.22,64.68,66.17,63.64,54.19,66.41,54.92,64.0,59.25,71.84,64.9,71.2,99.9,62.1,
2023-05-05T00:57:00-05:00,0.0,0.0,66.29,64.66,66.06,63.54,54.23,65.67,54.95,63.87,59.09,71.92,64.94,71.12,99.9,62.1,63.8
2023-05-05T00:57:30-05:00,0.0,0.0,66.41,64.74,66.1,63.59,54.27,66.25,55.04,63.86,59.04,72.03,65.05,71.08,99.9,62.19,63.87
2023-05-05T00:58:00-05:00,0.0,0.0,66.34,64.68,66.01,63.63,54.22,65.96,54.96,64.12,58.77,72.05,65.11,71.22,99.9,62.19,
2023-05-05T00:58:30-05:00,0.0,0.0,66.44,64.73,66.21,63.7,54.24,65.99,55.06,64.06,59.15,72.05,64.92,71.29,99.9,62.23,63.88
2023-05-05T00:59:00-05:00,0.0,0.0,66.19,64.79,66.15,63.69,54.24,66.0,55.08,64.19,59.28,72.09,64.9,71.24,99.9,62.25,63.89
2023-05-05T00:59:30-05:00,0.0,0.0,66.42,64.84,66.14,64.07,54.22,65.67,55.24,63.96,58.93,72.14,64.89,71.13,99.9,62.25,63.97
2023-05-05T01:00:00-05:00,0.0,0.0,66.27,64.79,66.09,63.78,54.23,65.9,55.18,64.07,58.97,72.16,65.02,71.3,99.9,62.21,63.92
2023-05-05T01:00:30-05:00,0.0,0.0,66.27,64.77,66.04,63.94,54.27,65.83,55.31,63.94,59.15,72.09,64.96,71.21,99.9,62.16,63.98
2023-05-05T01:01:00-05:00,0.0,0.0,66.12,64.78,66.04,63.68,54.26,65.82,55.25,63.83,59.16,72.14,65.05,71.28,99.9,62.19,63.85
2023-05-05T01:01:30-05:00,0.0,0.0,65.98,64.63,65.79,63.73,54.29,65.67,55.26,64.01,59.24,72.12,65.1,71.31,99.9,62.19,
2023-05-05T01:02:00-05:00,0.0,0.0,65.95,64.66,65.75,63.69,54.26,65.54,55.2,64.08,58.97,72.05,65.12,71.19,99.9,62.23,63.84
2023-05-05T01:02:30-05:00,0.0,0.0,65.95,64.65,65.79,63.79,54.29,65.95,55.29,64.03,59.28,72.14,65.18,71.49,99.9,62.22,63.76
2023-05-05T01:03:00-05:00,0.0,0.0,66.0,64.71,65.82,63.72,54.23,66.59,55.27,64.19,59.17,72.13,65.1,71.35,99.9,62.29,
2023-05-05T01:03:30-05:00,0.0,0.0,66.07,64.68,65.74,63.52,54.29,65.89,55.34,64.29,59.06,72.05,65.24,71.34,99.9,62.29,63.71
2023-05-05T01:04:00-05:00,0.0,0.0,65.95,64.68,65.84,63.69,54.28,65.79,55.27,64.32,59.16,72.0,65.05,71.57,99.9,62.28,63.84
2023-05-05T01:04:30-05:00,0.0,0.0,65.96,64.73,65.83,63.91,54.26,65.72,55.24,64.28,59.25,72.04,65.05,71.49,99.9,62.33,63.79
2023-05-05T01:05:00-05:00,0.0,0.0,66.01,64.71,65.98,63.79,54.23,65.72,55.39,64.42,59.22,72.03,64.99,71.54,99.9,62.43,63.78
2023-05-05T01:05:30-05:00,0.0,0.0,65.95,64.73,65.85,64.03,54.26,66.1,55.4,64.41,59.57,72.01,65.06,71.65,99.9,62.35,
2023-05-05T01:06:00-05:00,0.0,0.0,65.98,64.67,65.97,64.15,54.27,65.65,55.43,64.33,59.58,72.02,65.05,71.77,99.9,62.35,63.84
2023-05-05T01:06:30-05:00,0.0,0.0,65.77,64.66,65.67,64.43,54.29,66.01,55.43,64.29,59.56,72.02,65.12,71.72,99.9,62.34,63.99
2023-05-05T01:07:00-05:00,0.0,0.0,65.86,64.74,65.82,64.4,,65.77,55.47,64.4,59.7,71.96,65.06,71.56,99.9,62.38,63.78
2023-05-05T01:07:30-05:00,0.0,0.0,66.41,64.81,66.25,64.62,54.31,65.81,55.43,64.48,59.74,72.09,65.1,71.74,99.9,62.41,
2023-05-05T01:08:00-05:00,0.0,0.0,66.52,65.03,66.41,64.5,54.3,65.97,55.38,64.42,60.22,72.01,65.27,71.67,99.9,62.44,63.89
2023-05-05T01:08:30-05:00,0.0,0.0,66.09,64.86,66.19,64.61,54.34,65.68,55.43,64.33,60.48,72.14,65.06,71.74,99.9,62.46,64.04
2023-05-05T01:09:00-05:00,0.0,0.0,66.2,64.87,66.22,64.73,54.31,65.73,55.51,64.38,59.64,72.2,64.97,71.56,99.9,62.47,
2023-05-05T01:09:30-05:00,0.0,0.0,66.03,64.81,66.23,64.88,54.36,65.71,55.56,64.33,60.12,72.26,65.03,71.47,99.9,62.4,64.04
2023-05-05T01:10:00-05:00,0.0,0.0,65.92,64.81,66.09,64.83,54.31,65.71,55.49,64.27,60.17,72.32,65.02,71.5,99.9,62.44,64.07
2023-05-05T01:10:30-05:00,0.0,0.0,65.91,64.79,66.08,65.03,54.37,65.5,55.54,64.28,60.03,72.2,64.99,71.58,99.9,62.4,64.11
2023-05-05T01:11:00-05:00,0.0,0.0,65.85,64.79,66.06,64.72,54.37,65.58,55.48,64.18,60.05,72.22,65.21,71.42,99.9,62.4,64.13
2023-05-05T01:11:30-05:00,0.0,0.0,65.83,64.79,65.94,64.68,54.38,66.24,55.47,64.3,60.14,72.21,65.11,71.39,99.9,62.39,64.13
2023-05-05T01:12:00-05:00,0.0,0.0,65.85,64.83,66.28,64.67,54.39,65.94,55.6,64.19,60.3,72.2,65.09,71.37,99.9,62.35,64.21
2023-05-05T01:12:30-05:00,0.0,0.0,65.92,64.78,66.24,64.84,54.39,65.83,55.57,64.24,60.25,72.15,65.19,71.34,99.9,62.4,64.1
2023-05-05T01:13:00-05:00,0.0,0.0,65.91,64.92,66.29,64.93,54.39,65.82,55.48,64.24,60.14,72.06,65.24,71.5,99.9,62.42,64.06
2023-05-05T01:13:30-05:00,0.0,0.0,66.03,64.87,66.35,65.04,54.37,65.96,55.5,64.17,60.32,71.86,65.14,71.36,99.9,62.42,64.12
2023-05-05T01:14:00-05:00,0.0,0.0,66.19,64.83,66.18,65.19,54.41,65.91,55.58,64.22,60.1,71.85,65.11,71.37,99.9,62.47,63.98
2023-05-05T01:14:30-05:00,0.0,0.0,65.86,64.79,66.13,65.2,54.44,65.86,55.41,64.26,59.66,71.88,65.12,71.58,99.9,62.52,63.97
2023-05-05T01:15:00-05:00,0.0,0.0,65.87,64.79,66.13,65.22,54.44,66.17,55.45,64.13,60.12,72.01,65.06,71.4,99.9,62.57,63.94
2023-05-05T01:15:30-05:00,0.0,0.0,66.0,64.88,66.13,65.16,54.42,66.34,55.41,64.26,59.87,72.21,64.97,71.29,99.9,62.57,64.04
2023-05-05T01:16:00-05:00,0.0,0.0,65.87,64.85,66.13,65.45,54.48,66.34,55.19,64.17,60.01,72.16,64.97,71.57,99.9,62.53,64.14
2023-05-05T01:16:30-05:00,0.0,0.0,65.89,64.81,66.03,65.17,54.43,66.31,55.36,64.19,60.06,72.15,65.01,71.14,99.9,62.5,64.03
2023-05-05T01:17:00-05:00,0.0,0.0,65.67,64.82,65.96,65.11,54.49,66.15,55.41,64.24,60.05,72.15,64.95,71.29,99.9,62.6,64.0
2023-05-05T01:17:30-05:00,0.0,0.0,65.74,64.82,65.95,65.0,54.51,66.14,55.24,64.15,59.94,72.04,64.87,71.22,99.9,62.74,64.0
2023-05-05T01:18:00-05:00,0.0,0.0,65.65,64.76,65.88,64.9,54.47,66.07,55.29,64.26,60.07,71.74,64.93,71.17,99.9,62.78,64.07
2023-05-05T01:18:30-05:00,0.0,0.0,65.64,64.79,65.87,65.01,54.51,66.13,55.29,64.26,59.89,71.79,64.89,71.33,99.9,62.73,64.03
2023-05-05T01:19:00-05:00,0.0,0.0,65.61,64.76,65.8,65.15,54.52,66.32,55.34,64.27,59.89,71.74,64.82,71.23,99.9,62.72,63.94
2023-05-05T01:19:30-05:00,0.0,0.0,65.62,64.76,65.75,65.28,54.47,66.03,55.24,64.28,59.87,71.76,64.84,71.28,99.9,62.67,63.96
2023-05-05T01:20:00-05:00,0.0,0.0,65.76,64.84,66.09,65.28,54.49,66.17,55.23,64.32,59.95,71.71,64.79,71.24,99.9,62.67,64.02
2023-05-05T01:20:30-05:00,0.0,0.0,65.82,64.83,66.04,65.19,54.54,65.89,55.27,64.27,60.01,71.71,64.73,71.57,99.9,62.68,64.08
2023-05-05T01:21:00-05:00,0.0,0.0,65.65,64.83,66.01,65.19,54.54,65.99,55.38,64.31,60.09,71.73,65.01,71.45,99.9,62.65,64.18
2023-05-05T01:21:30-05:00,0.0,0.0,65.69,64.79,66.07,65.26,54.49,65.82,55.59,64.28,60.13,71.71,65.01,71.29,99.9,62.55,64.33
2023-05-05T01:22:00-05:00,0.0,0.0,65.73,64.83,66.04,65.37,54.49,65.95,55.79,64.33,59.72,71.83,64.95,71.13,99.9,62.47,64.29
