DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-06T00:59:00-05:00,36,52,38,33,38,62,40,76,54,54,32,54,53,55,57,44,57
2023-05-06T01:59:00-05:00,41,51,43,37,43,71,54,83,53,55,43,55,54,57,59,55,61
2023-05-06T02:59:00-05:00,42,54,42,36,41,60,50,79,50,55,45,54,52,54,43,53,58
2023-05-06T03:59:00-05:00,40,55,41,36,40,59,51,79,50,56,36,55,52,55,45,52,58
2023-05-06T04:59:00-05:00,37,53,40,35,40,68,53,75,52,55,41,54,51,51,46,52,58
2023-05-06T05:59:00-05:00,37,59,39,34,39,65,54,63,53,56,44,54,57,54,43,58,60
2023-05-06T06:59:00-05:00,37,64,33,30,35,84,64,70,55,61,52,58,53,67,61,63,67
2023-05-06T07:59:00-05:00,36,66,38,33,38,86,67,69,59,64,48,67,48,59,58,71,75
2023-05-06T08:59:00-05:00,42,69,42,41,44,98,75,92,61,62,56,73,54,57,73,75,78
2023-05-06T09:59:00-05:00,42,65,43,40,45,99,75,102,63,64,,65,59,65,73,72,66
2023-05-06T10:59:00-05:00,42,54,54,50,56,97,81,65,56,63,65,56,47,54,57,71,59
2023-05-06T11:59:00-05:00,42,53,48,43,51,80,86,55,56,68,65,55,39,48,56,71,56
2023-05-06T12:59:00-05:00,49,41,48,42,50,57,71,43,45,64,55,43,31,37,38,61,50
2023-05-06T13:59:00-05:00,50,46,39,34,41,40,71,42,46,54,48,46,31,37,29,56,53
2023-05-06T14:59:00-05:00,43,39,46,41,48,53,68,49,46,52,52,48,29,40,45,52,54
2023-05-06T15:59:00-05:00,43,38,46,40,47,53,65,58,36,43,46,39,37,48,36,49,46
2023-05-06T16:59:00-05:00,43,50,46,39,46,46,63,69,45,43,41,46,48,58,38,54,52
2023-05-06T17:59:00-05:00,45,57,50,43,51,54,69,65,51,35,36,53,54,63,33,57,57
2023-05-06T18:59:00-05:00,52,40,52,45,52,47,63,54,27,24,26,28,52,63,31,32,40
2023-05-06T19:59:00-05:00,46,44,47,40,48,28,60,40,20,14,25,20,44,61,14,34,38
2023-05-06T20:59:00-05:00,49,62,52,46,53,31,59,37,37,13,17,19,56,60,16,36,23
2023-05-06T21:59:00-05:00,43,69,45,38,45,40,61,54,49,18,18,60,65,63,17,36,62
2023-05-06T22:59:00-05:00,38,59,43,36,43,48,56,89,58,53,18,65,59,62,47,38,70
2023-05-06T23:59:00-05:00,38,63,43,36,43,46,51,70,60,61,21,64,57,60,55,31,66
