DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-07T00:00:00-05:00,0.0,0.0,25.06,25.36,25.11,,,,,28.32,,28.62,28.23,26.76,,28.16,
2023-05-07T00:00:30-05:00,0.0,0.0,25.04,25.35,25.09,28.81,31.56,28.29,31.55,28.32,29.4,28.59,28.26,26.74,28.6,28.19,29.22
2023-05-07T00:01:00-05:00,0.0,0.0,25.01,25.32,25.08,28.81,31.54,28.24,31.54,28.32,29.37,28.61,28.2,26.76,28.6,28.17,29.23
2023-05-07T00:01:30-05:00,0.0,0.0,24.96,25.31,25.08,28.77,31.53,28.19,31.55,28.31,29.37,28.61,28.21,26.77,28.6,28.19,29.32
2023-05-07T00:02:00-05:00,0.0,0.0,24.96,25.32,25.04,28.77,31.52,28.19,31.53,28.33,29.37,28.67,28.23,26.77,28.6,28.17,29.33
2023-05-07T00:02:30-05:00,0.0,0.0,24.91,25.31,25.02,28.77,31.49,28.19,31.53,28.32,29.33,28.64,28.2,26.8,28.6,28.16,29.38
2023-05-07T00:03:00-05:00,0.0,0.0,24.92,25.32,25.02,28.77,31.49,,31.5,28.32,29.33,28.67,28.21,26.8,28.6,28.17,29.41
2023-05-07T00:04:00-05:00,0.0,,24.91,25.31,24.98,28.77,31.49,,31.51,28.38,29.32,28.65,28.2,26.82,28.6,28.19,29.38
2023-05-07T00:04:30-05:00,0.0,0.0,24.88,25.29,25.01,28.75,31.46,28.27,31.5,28.35,29.29,28.67,28.21,26.8,28.5,28.19,29.4
2023-05-07T00:05:00-05:00,0.0,0.0,24.89,25.32,25.01,28.74,31.46,28.26,31.48,28.33,29.32,28.68,28.2,26.79,28.6,28.2,29.4
2023-05-07T00:05:30-05:00,0.0,0.0,24.91,25.31,25.02,28.71,31.45,28.29,31.48,28.32,29.29,28.69,28.23,26.77,28.6,28.16,29.44
2023-05-07T00:06:00-05:00,0.0,0.0,24.91,25.31,25.01,28.64,31.43,28.33,31.45,28.32,29.26,28.69,28.24,26.74,28.6,28.22,29.46
2023-05-07T00:06:30-05:00,0.0,0.0,24.86,25.31,25.01,28.61,31.43,28.33,31.47,28.29,29.27,28.74,28.23,26.73,28.6,28.17,29.46
2023-05-07T00:07:00-05:00,0.0,0.0,24.89,25.32,24.99,28.57,31.43,28.32,31.47,28.28,29.29,28.72,28.21,26.72,28.6,28.2,29.43
2023-05-07T00:07:30-05:00,0.0,,24.88,25.33,25.02,28.59,31.45,28.36,31.43,28.26,29.29,28.72,28.21,26.72,28.6,28.2,29.46
2023-05-07T00:08:00-05:00,0.0,0.0,24.91,25.32,25.01,28.59,31.43,28.36,31.44,28.23,29.25,28.75,28.26,26.73,28.6,28.2,29.43
2023-05-07T00:08:30-05:00,0.0,,24.88,25.32,25.04,28.56,31.43,28.35,31.44,28.22,29.26,28.72,28.23,26.7,28.7,28.19,29.4
2023-05-07T00:09:00-05:00,0.0,0.0,24.89,25.32,25.02,28.5,31.42,28.32,31.4,28.2,29.25,28.72,28.2,26.7,28.6,28.17,29.43
2023-05-07T00:09:30-05:00,0.0,0.0,24.86,25.28,24.99,28.47,31.42,28.33,31.38,28.22,29.22,28.74,28.23,26.7,28.6,28.19,29.41
2023-05-07T00:10:00-05:00,0.0,,24.89,25.29,25.02,28.43,31.43,28.35,31.4,28.22,29.25,28.74,28.23,26.73,28.7,28.19,29.43
2023-05-07T00:10:30-05:00,0.0,0.0,24.91,25.31,24.99,28.4,31.41,28.36,31.38,28.2,29.23,28.79,28.24,26.7,28.6,28.19,29.38
2023-05-07T00:11:00-05:00,0.0,0.0,24.88,25.29,24.98,28.35,31.43,28.39,31.38,28.19,29.26,28.76,28.24,26.69,28.7,28.19,29.43
2023-05-07T00:11:30-05:00,0.0,0.0,24.85,25.28,24.96,28.31,31.42,28.42,31.38,28.22,29.26,28.78,28.23,26.72,28.6,28.19,29.38
2023-05-07T00:12:00-05:00,0.0,0.0,24.86,25.28,24.96,28.29,31.41,28.44,31.4,28.15,29.23,28.75,28.24,26.72,28.6,28.17,29.41
2023-05-07T00:12:30-05:00,0.0,0.0,24.86,25.28,24.95,28.29,31.42,28.49,31.38,28.16,29.29,28.72,28.23,26.7,28.7,28.17,29.4
