DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-08T00:00:00-05:00,46,46,46,38,46,,,,,42,,46,42,42,,50,
2023-05-08T00:00:30-05:00,46,42,46,34,46,30,,38,30,38,38,46,38,46,0,50,25
2023-05-08T00:01:00-05:00,46,42,42,34,42,34,,55,42,38,38,42,42,42,0,50,42
2023-05-08T00:01:30-05:00,46,42,46,34,46,34,200,62,42,38,34,,42,46,30,46,50
2023-05-08T00:02:00-05:00,46,46,46,38,46,34,165,62,42,38,34,42,38,42,38,50,46
2023-05-08T00:02:30-05:00,46,42,42,38,46,34,157,64,38,38,34,46,38,42,38,46,50
2023-05-08T00:03:00-05:00,46,42,46,38,46,30,152,62,38,42,38,42,38,42,46,46,46
2023-05-08T00:03:30-05:00,46,46,42,34,46,34,135,60,42,42,38,42,38,38,38,50,46
2023-05-08T00:04:00-05:00,46,46,42,38,42,30,135,60,42,42,38,46,38,46,53,50,46
2023-05-08T00:04:30-05:00,46,42,42,38,46,30,125,62,38,42,42,46,42,42,,53,46
2023-05-08T00:05:00-05:00,46,46,42,34,42,30,120,62,34,42,38,46,42,42,55,50,50
2023-05-08T00:06:00-05:00,46,42,46,38,42,30,113,60,42,42,38,42,42,42,50,46,46
2023-05-08T00:06:30-05:00,46,42,46,34,38,30,100,60,38,42,38,42,38,42,46,46,46
2023-05-08T00:07:00-05:00,46,42,42,34,42,77,91,55,38,46,38,42,38,46,34,46,50
2023-05-08T00:07:30-05:00,46,42,46,34,42,79,95,53,38,42,38,42,38,42,38,42,50
2023-05-08T00:08:00-05:00,46,42,42,30,46,,87,53,38,46,42,46,38,46,38,42,50
2023-05-08T00:08:30-05:00,46,42,42,34,42,,85,55,38,42,34,42,38,42,42,42,50
2023-05-08T00:09:00-05:00,46,46,42,34,42,93,85,58,34,42,34,42,38,46,42,42,46
2023-05-08T00:09:30-05:00,46,46,42,34,42,91,83,55,42,42,38,42,38,46,42,42,46
2023-05-08T00:10:00-05:00,46,46,42,34,42,77,79,55,38,42,38,42,42,42,30,42,46
2023-05-08T00:10:30-05:00,46,42,42,34,46,68,74,55,38,38,38,46,38,42,34,42,46
2023-05-08T00:11:00-05:00,46,42,42,34,42,64,72,53,42,42,38,46,38,46,42,42,46
2023-05-08T00:11:30-05:00,46,42,46,38,42,62,74,55,38,46,38,46,38,42,34,38,46
2023-05-08T00:12:00-05:00,46,46,42,34,42,64,77,53,42,46,42,46,38,42,38,42,50
2023-05-08T00:12:30-05:00,46,46,42,34,42,64,74,50,42,46,42,46,38,42,30,42,46
2023-05-08T00:13:00-05:00,46,46,42,34,46,62,81,53,38,42,42,42,38,42,30,42,46
2023-05-08T00:13:30-05:00,46,46,38,30,42,66,85,55,42,42,34,46,38,38,30,42,42
2023-05-08T00:14:00-05:00,46,46,42,30,42,70,81,58,42,42,38,42,38,38,30,42,46
2023-05-08T00:14:30-05:00,46,46,38,34,42,62,74,53,42,46,38,46,42,42,42,46,46
2023-05-08T00:15:00-05:00,46,42,42,30,42,62,77,55,38,46,42,42,38,38,38,42,50
2023-05-08T00:15:30-05:00,46,46,42,30,42,62,74,53,38,46,34,42,38,46,30,42,50
2023-05-08T00:16:00-05:00,46,50,42,,42,62,83,55,42,46,34,46,42,42,38,42,46
2023-05-08T00:16:30-05:00,46,42,42,34,42,62,72,55,38,42,38,46,38,42,34,46,46
2023-05-08T00:17:00-05:00,46,42,42,34,42,62,72,55,46,38,38,42,42,42,34,53,
2023-05-08T00:17:30-05:00,46,46,42,30,38,64,79,55,46,42,38,46,46,42,38,58,46
2023-05-08T00:18:00-05:00,46,50,42,34,38,60,74,53,42,42,38,42,42,42,30,53,50
2023-05-08T00:18:30-05:00,38,42,42,30,42,60,74,53,50,38,38,42,38,42,34,58,
2023-05-08T00:19:00-05:00,38,42,42,34,38,60,81,55,46,42,38,46,34,42,42,,46
2023-05-08T00:19:30-05:00,38,46,42,34,46,58,77,55,46,42,38,46,38,42,42,,42
2023-05-08T00:20:00-05:00,38,46,38,34,42,53,77,55,46,42,38,42,38,38,34,,46
2023-05-08T00:20:30-05:00,38,46,42,38,42,64,79,53,46,42,38,46,42,42,34,,50
2023-05-08T00:21:00-05:00,38,50,46,38,42,66,79,53,42,42,38,42,46,42,38,,46
2023-05-08T00:21:30-05:00,38,46,38,34,42,66,79,55,46,42,38,42,38,42,30,,46
2023-05-08T00:22:00-05:00,38,42,38,34,42,53,72,58,42,42,38,42,42,38,34,,46
2023-05-08T00:22:30-05:00,38,46,38,34,42,50,68,55,42,46,34,42,42,38,34,,50
2023-05-08T00:23:00-05:00,38,46,38,34,42,53,72,53,42,46,38,46,42,38,34,,50
2023-05-08T00:23:30-05:00,38,50,42,34,42,50,74,55,46,42,38,42,42,38,38,,46
2023-05-08T00:24:00-05:00,38,46,42,34,42,50,72,58,46,42,38,46,42,38,30,,46
2023-05-08T00:24:30-05:00,38,46,42,34,42,46,,58,42,42,34,42,42,42,34,,50
2023-05-08T00:25:00-05:00,38,46,42,34,42,53,77,55,42,42,38,42,42,42,30,,42
2023-05-08T00:25:30-05:00,38,46,46,,42,50,79,58,42,42,38,42,38,42,38,,46
2023-05-08T00:26:00-05:00,38,50,42,34,42,46,70,55,42,42,38,46,38,38,34,,46
2023-05-08T00:26:30-05:00,38,46,42,34,46,46,,60,42,42,38,38,42,42,42,,46
2023-05-08T00:27:00-05:00,38,50,42,34,42,42,74,60,42,46,42,46,38,46,42,,46
2023-05-08T00:27:30-05:00,38,50,42,34,42,42,81,55,42,46,42,42,38,42,34,,46
2023-05-08T00:28:00-05:00,38,46,38,34,42,46,74,58,38,46,38,46,38,42,34,,50
2023-05-08T00:28:30-05:00,38,46,38,34,42,46,77,58,46,46,38,46,42,38,34,,46
2023-05-08T00:29:00-05:00,38,50,42,34,42,42,74,60,42,42,42,50,34,38,30,,46
2023-05-08T00:29:30-05:00,38,46,42,34,42,46,81,55,42,42,38,42,38,42,46,,50
2023-05-08T00:30:00-05:00,38,42,42,30,38,46,81,55,42,46,38,42,38,38,38,,46
2023-05-08T00:30:30-05:00,38,46,38,34,42,42,72,58,42,42,38,42,38,42,30,,46
2023-05-08T00:31:00-05:00,38,46,38,38,42,38,77,55,38,42,38,,34,38,34,,46
2023-05-08T00:31:30-05:00,38,46,42,34,38,42,77,58,38,46,38,46,34,42,30,,46
2023-05-08T00:32:00-05:00,38,46,38,34,38,38,72,62,46,46,42,46,34,42,30,,46
2023-05-08T00:32:30-05:00,38,46,38,34,42,42,74,58,38,50,38,42,34,38,30,,50
2023-05-08T00:33:00-05:00,38,46,38,34,38,42,77,60,38,50,34,42,34,38,34,,46
2023-05-08T00:33:30-05:00,38,46,38,38,38,42,79,62,38,50,38,42,38,34,34,,46
2023-05-08T00:34:00-05:00,38,46,38,34,42,38,74,60,38,46,38,46,38,38,38,,46
2023-05-08T00:34:30-05:00,38,46,42,34,38,38,74,66,42,46,34,46,34,42,34,,46
2023-05-08T00:35:00-05:00,38,46,38,34,34,38,74,66,42,46,42,46,34,42,38,60,46
2023-05-08T00:35:30-05:00,38,50,42,30,42,42,77,68,42,46,38,46,38,38,34,60,50
2023-05-08T00:36:00-05:00,38,46,38,34,38,42,79,70,42,46,34,46,38,38,34,,46
2023-05-08T00:36:30-05:00,38,42,42,30,38,50,81,68,38,42,34,46,38,42,34,60,50
2023-05-08T00:37:00-05:00,38,50,42,34,42,55,81,66,42,42,34,46,38,42,25,60,46
2023-05-08T00:37:30-05:00,38,46,42,34,42,55,81,72,42,42,38,46,34,42,25,58,46
2023-05-08T00:38:00-05:00,38,46,38,34,42,50,81,72,42,42,38,42,38,42,38,60,50
2023-05-08T00:38:30-05:00,38,46,38,34,34,53,83,68,42,50,38,46,42,38,30,,46
2023-05-08T00:39:00-05:00,38,46,38,34,38,53,79,64,46,42,34,46,42,38,42,60,46
2023-05-08T00:39:30-05:00,38,46,38,34,42,58,81,64,38,42,38,42,38,38,42,58,46
2023-05-08T00:40:00-05:00,38,46,42,34,42,53,83,62,38,46,38,42,38,42,34,58,50
2023-05-08T00:40:30-05:00,38,46,38,30,42,53,83,58,42,46,34,46,38,38,34,,46
2023-05-08T00:41:00-05:00,38,46,38,30,38,60,85,55,46,42,34,42,42,42,30,60,46
2023-05-08T00:41:30-05:00,38,46,38,30,38,53,93,55,42,42,38,42,38,42,34,58,46
2023-05-08T00:42:00-05:00,38,46,38,34,38,50,100,58,42,42,38,42,34,42,38,58,50
2023-05-08T00:42:30-05:00,38,46,38,30,42,55,98,60,42,42,38,46,38,46,25,60,
2023-05-08T00:43:00-05:00,38,50,38,30,42,55,89,60,38,42,38,46,38,42,34,60,46
2023-05-08T00:43:30-05:00,38,50,38,34,42,50,89,60,38,42,38,46,38,42,38,,50
2023-05-08T00:44:00-05:00,38,42,38,34,38,50,91,60,42,42,38,42,42,42,38,60,50
2023-05-08T00:44:30-05:00,38,46,38,34,38,46,91,58,42,42,34,42,42,38,30,60,50
2023-05-08T00:45:00-05:00,38,42,38,30,38,42,93,64,38,42,42,42,38,38,30,58,50
2023-05-08T00:45:30-05:00,38,46,38,,42,46,91,62,38,42,38,46,38,42,30,60,
2023-05-08T00:46:00-05:00,38,42,38,30,42,38,93,60,38,46,30,46,38,42,30,,46
2023-05-08T00:46:30-05:00,38,46,42,34,42,38,100,55,42,42,38,42,38,38,25,60,50
2023-05-08T00:47:00-05:00,38,42,34,30,42,42,100,55,42,42,38,42,38,42,34,58,50
2023-05-08T00:47:30-05:00,38,46,38,30,42,34,95,55,42,46,34,46,38,42,30,50,50
2023-05-08T00:48:00-05:00,38,50,38,34,42,34,103,53,38,46,34,42,38,42,34,58,50
2023-05-08T00:48:30-05:00,38,46,38,30,38,34,100,55,42,46,34,46,42,38,38,50,50
2023-05-08T00:49:00-05:00,38,46,38,34,38,34,98,53,38,46,38,42,42,42,17,50,50
2023-05-08T00:49:30-05:00,38,42,34,38,38,38,93,55,46,46,38,46,38,38,25,53,50
2023-05-08T00:50:00-05:00,38,42,38,34,38,34,98,53,46,46,38,46,38,38,30,50,50
2023-05-08T00:50:30-05:00,38,46,38,34,34,38,100,53,42,42,34,46,42,38,30,50,50
2023-05-08T00:51:00-05:00,38,46,38,30,42,38,95,53,42,38,38,46,42,42,25,46,50
2023-05-08T00:51:30-05:00,38,46,38,25,42,34,95,50,38,38,38,42,38,38,30,46,50
