DATETIME,TANGARA_25CE,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_333E,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-10T00:00:00-05:00,0.0,,,,,,59.56,,65.16,,64.34,,60.88,
2023-05-10T00:00:30-05:00,0.0,58.73,51.95,62.08,,51.21,59.7,58.34,65.19,,63.9,99.5,60.88,59.58
2023-05-10T00:01:00-05:00,0.0,58.76,51.96,62.22,,51.52,59.71,58.35,65.25,,64.09,99.5,61.38,59.37
2023-05-10T00:01:30-05:00,0.0,58.93,52.11,62.18,,51.34,59.7,58.35,65.48,,64.28,99.6,62.03,59.44
2023-05-10T00:02:00-05:00,0.0,59.12,52.22,62.41,,51.33,59.6,58.49,65.53,,64.0,99.7,62.52,59.55
2023-05-10T00:02:30-05:00,0.0,59.21,52.25,62.41,,51.4,59.57,58.47,65.55,,64.22,99.8,62.84,59.42
2023-05-10T00:03:00-05:00,0.0,59.21,52.29,62.63,,51.57,59.68,58.45,65.56,,64.42,99.8,63.11,59.52
2023-05-10T00:03:30-05:00,0.0,59.51,52.51,62.76,,51.56,59.79,58.46,65.6,,65.17,99.8,63.35,59.75
2023-05-10T00:04:00-05:00,0.0,59.51,52.43,62.8,,51.54,59.88,58.48,65.71,,65.09,99.9,63.64,59.48
2023-05-10T00:04:30-05:00,0.0,59.1,52.49,62.78,,51.7,59.73,58.48,65.79,,64.6,99.9,63.74,59.63
2023-05-10T00:05:00-05:00,0.0,59.09,52.56,62.54,,51.35,59.68,58.39,65.88,,64.23,99.9,63.74,59.25
2023-05-10T00:05:30-05:00,0.0,59.1,52.64,62.55,,51.55,59.76,58.58,66.03,,64.36,99.9,63.56,59.47
2023-05-10T00:06:00-05:00,0.0,59.05,52.79,62.34,,51.74,59.69,58.51,66.18,,64.33,99.9,63.51,59.44
2023-05-10T00:06:30-05:00,0.0,58.9,52.82,62.55,,51.81,59.87,58.57,66.18,,64.63,99.9,63.67,59.83
2023-05-10T00:07:00-05:00,0.0,58.59,52.89,62.76,,51.55,60.38,58.59,66.16,,65.01,99.9,63.87,59.4
