DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-11T12:28:00-05:00,46,72,,,,62,53,62,85,77,,83,68,,85,58,46,68
2023-05-11T12:28:30-05:00,46,74,,,,60,53,64,81,77,,81,70,,85,53,53,70
2023-05-11T12:29:00-05:00,46,79,,,,62,55,60,81,77,,79,70,,85,55,55,70
2023-05-11T12:29:30-05:00,46,79,,,,58,55,62,83,77,,74,70,,,60,55,68
2023-05-11T12:30:00-05:00,46,77,,,,60,55,62,83,77,,79,68,,,50,50,68
2023-05-11T12:30:30-05:00,46,,,,,62,55,64,83,79,,74,68,,83,50,50,66
2023-05-11T12:31:00-05:00,46,77,,,,60,55,64,85,79,,79,70,,81,60,46,68
2023-05-11T12:31:30-05:00,46,77,,,,60,55,64,89,77,,77,70,,83,60,,66
2023-05-11T12:32:00-05:00,46,74,,,,62,55,64,87,74,,74,68,,83,62,50,68
2023-05-11T12:32:30-05:00,46,77,,,,64,55,64,89,79,,77,68,,81,64,46,66
2023-05-11T12:33:00-05:00,46,77,,,,60,53,62,87,79,,77,68,,79,50,46,66
2023-05-11T12:33:30-05:00,46,79,,,,60,53,64,83,79,,79,68,,77,55,53,70
2023-05-11T12:34:00-05:00,46,77,,,,62,58,62,85,74,,74,70,,79,55,50,66
2023-05-11T12:34:30-05:00,46,74,,,,62,55,64,91,79,,74,68,,79,53,53,62
2023-05-11T12:35:00-05:00,46,74,,,,62,60,62,85,79,,74,68,,77,50,53,66
2023-05-11T12:35:30-05:00,46,74,,,,64,60,62,83,74,,72,68,,79,53,55,64
2023-05-11T12:36:00-05:00,46,74,,,,66,55,60,83,74,,77,70,,77,55,53,62
2023-05-11T12:36:30-05:00,46,77,,,,66,,60,83,74,,74,68,,79,55,53,64
2023-05-11T12:37:00-05:00,46,72,,,127,66,55,62,85,77,,72,68,,81,53,53,66
2023-05-11T12:37:30-05:00,46,74,,,,66,55,62,83,79,,74,68,,81,58,53,66
2023-05-11T12:38:00-05:00,46,77,,,,60,55,60,85,77,,72,68,,77,62,50,68
2023-05-11T12:38:30-05:00,46,74,,,,64,62,60,81,77,,72,66,,77,53,53,68
2023-05-11T12:39:00-05:00,46,72,,,,62,60,60,83,77,,72,68,,77,55,58,68
2023-05-11T12:39:30-05:00,46,72,,,,64,60,60,83,77,,70,68,,79,53,55,66
2023-05-11T12:40:30-05:00,46,74,,,,68,58,62,85,74,,72,68,,81,58,60,66
2023-05-11T12:41:00-05:00,46,74,,,,68,58,62,85,74,,66,68,,81,53,55,66
2023-05-11T12:41:30-05:00,46,72,,,,64,58,62,83,72,,66,68,,79,58,55,68
2023-05-11T12:42:00-05:00,46,72,,,,64,58,62,87,72,,68,68,,81,42,50,70
2023-05-11T12:42:30-05:00,46,72,,,,66,58,62,81,77,,72,68,,85,38,55,66
2023-05-11T12:43:00-05:00,46,74,,,,68,60,62,83,72,,68,70,100,85,50,55,68
2023-05-11T12:43:30-05:00,46,72,,,,66,60,66,83,72,,70,70,,83,46,55,68
2023-05-11T12:44:00-05:00,46,72,118,,127,64,60,64,83,74,,72,70,,81,46,55,68
2023-05-11T12:44:30-05:00,46,72,,,125,64,62,62,83,74,,70,68,,81,46,55,68
2023-05-11T12:45:00-05:00,46,72,,,122,64,58,62,83,72,,68,68,98,79,42,58,68
2023-05-11T12:45:30-05:00,46,74,118,,125,68,58,62,85,72,,66,68,,81,42,55,68
2023-05-11T12:46:00-05:00,46,77,115,,127,68,58,60,81,72,,68,66,100,81,42,58,70
2023-05-11T12:46:30-05:00,46,74,118,,125,64,58,62,77,77,,66,64,,83,46,53,68
2023-05-11T12:47:00-05:00,46,72,113,,125,64,58,58,83,72,,68,64,100,81,42,55,66
2023-05-11T12:47:30-05:00,46,74,115,,125,60,58,60,81,72,,74,66,95,81,46,55,66
2023-05-11T12:48:00-05:00,46,74,115,,120,62,58,62,81,70,,72,66,89,83,50,55,66
2023-05-11T12:48:30-05:00,46,74,113,,118,62,58,64,85,72,,68,68,89,81,50,58,66
2023-05-11T12:49:00-05:00,46,72,115,,115,62,58,64,83,72,,85,68,95,83,42,55,68
2023-05-11T12:49:30-05:00,46,74,113,,115,55,,64,85,72,,72,66,95,83,46,60,64
2023-05-11T12:50:00-05:00,46,70,113,103,115,55,62,62,85,72,,74,68,98,83,42,55,64
2023-05-11T12:50:30-05:00,46,68,105,,115,58,58,62,85,72,,74,64,95,81,46,60,66
2023-05-11T12:51:00-05:00,46,70,108,,108,62,60,62,85,72,,70,66,98,83,46,62,70
2023-05-11T12:51:30-05:00,46,70,105,103,110,62,62,60,85,74,,70,68,93,81,53,58,68
2023-05-11T12:52:00-05:00,46,68,100,103,113,60,60,64,81,72,,68,68,91,85,55,62,68
2023-05-11T12:52:30-05:00,46,70,100,103,108,58,60,66,83,72,,70,70,93,81,46,53,70
2023-05-11T12:53:00-05:00,46,68,103,103,108,60,60,64,85,72,,68,68,95,83,38,46,70
2023-05-11T12:53:30-05:00,46,66,108,,108,60,55,64,83,70,,68,68,95,81,42,53,70
2023-05-11T12:54:30-05:00,46,70,110,103,115,64,60,64,79,77,,66,68,91,77,46,46,74
2023-05-11T12:55:00-05:00,46,68,108,103,113,64,64,66,79,74,,68,66,100,77,46,50,74
2023-05-11T12:55:30-05:00,46,72,108,,113,64,58,62,77,74,,66,66,95,77,38,55,70
2023-05-11T12:56:00-05:00,46,70,113,,115,66,58,64,77,72,,68,68,95,74,42,53,70
2023-05-11T12:56:30-05:00,46,68,110,,120,64,58,68,74,74,,70,68,95,77,42,46,66
2023-05-11T12:57:00-05:00,46,68,108,100,115,64,81,64,77,72,,70,70,98,,53,50,68
2023-05-11T12:57:30-05:00,46,70,110,,118,66,60,62,74,74,,68,68,93,77,42,53,68
2023-05-11T12:58:00-05:00,46,70,108,,118,68,58,66,74,72,,66,68,93,77,42,53,68
2023-05-11T12:58:30-05:00,46,70,105,103,120,68,55,64,74,70,,70,70,95,74,42,53,68
2023-05-11T12:59:00-05:00,46,70,105,103,118,,,,77,,,,72,93,74,,53,
2023-05-11T12:59:30-05:00,46,72,108,103,110,,,,74,,,,72,93,72,,55,
