DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-12T11:11:00-05:00,11.0,11.0,17.0,,13.0,45.0,16.0,34.0,16.0,,30.0,25.0,18.0,,,,9.0,9.0,21.0
2023-05-12T11:11:30-05:00,11.0,10.0,19.0,,14.0,13.0,16.0,34.0,16.0,,30.0,24.0,21.0,,16.0,10.0,8.0,8.0,20.0
2023-05-12T11:12:00-05:00,11.0,10.0,20.0,,15.0,12.0,16.0,33.0,15.0,,27.0,28.0,20.0,,17.0,13.0,8.0,8.0,21.0
2023-05-12T11:12:30-05:00,11.0,15.0,19.0,,14.0,13.0,14.0,32.0,16.0,,27.0,28.0,21.0,,17.0,15.0,9.0,8.0,21.0
2023-05-12T11:13:00-05:00,11.0,11.0,17.0,,,20.0,13.0,32.0,16.0,,27.0,28.0,20.0,,16.0,15.0,10.0,8.0,21.0
2023-05-12T11:13:30-05:00,11.0,10.0,17.0,,15.0,333.0,12.0,33.0,17.0,,27.0,27.0,21.0,13.0,16.0,15.0,9.0,9.0,21.0
2023-05-12T11:14:00-05:00,11.0,10.0,18.0,,15.0,150.0,14.0,31.0,14.0,,27.0,28.0,22.0,12.0,17.0,14.0,6.0,9.0,22.0
2023-05-12T11:14:30-05:00,11.0,10.0,16.0,,15.0,71.0,13.0,33.0,15.0,,28.0,27.0,20.0,12.0,16.0,14.0,11.0,9.0,23.0
2023-05-12T11:15:30-05:00,11.0,10.0,16.0,,17.0,566.0,12.0,29.0,17.0,,,26.0,20.0,12.0,15.0,12.0,8.0,9.0,24.0
2023-05-12T11:16:00-05:00,11.0,11.0,17.0,,16.0,109.0,,31.0,16.0,,26.0,27.0,20.0,12.0,16.0,12.0,8.0,9.0,23.0
2023-05-12T11:16:30-05:00,11.0,11.0,16.0,,15.0,840.0,12.0,31.0,15.0,,26.0,25.0,20.0,13.0,15.0,13.0,7.0,10.0,23.0
2023-05-12T11:17:00-05:00,11.0,11.0,16.0,,16.0,34.0,12.0,32.0,14.0,,26.0,28.0,19.0,12.0,14.0,13.0,8.0,9.0,23.0
2023-05-12T11:17:30-05:00,11.0,12.0,17.0,,16.0,376.0,13.0,32.0,15.0,,26.0,25.0,21.0,10.0,15.0,12.0,8.0,10.0,24.0
2023-05-12T11:18:00-05:00,11.0,11.0,16.0,,18.0,39.0,13.0,31.0,16.0,,28.0,27.0,23.0,12.0,15.0,12.0,7.0,9.0,24.0
2023-05-12T11:18:30-05:00,11.0,11.0,16.0,,17.0,67.0,12.0,32.0,15.0,,27.0,25.0,23.0,12.0,16.0,12.0,10.0,7.0,24.0
2023-05-12T11:19:00-05:00,11.0,12.0,17.0,,14.0,39.0,13.0,32.0,16.0,,27.0,26.0,23.0,12.0,15.0,12.0,9.0,8.0,23.0
2023-05-12T11:19:30-05:00,11.0,12.0,14.0,,16.0,17.0,13.0,31.0,16.0,,27.0,26.0,23.0,11.0,13.0,14.0,9.0,8.0,23.0
2023-05-12T11:20:00-05:00,11.0,13.0,15.0,,17.0,16.0,12.0,33.0,17.0,,26.0,26.0,25.0,11.0,14.0,12.0,8.0,8.0,25.0
2023-05-12T11:20:30-05:00,11.0,12.0,14.0,,16.0,57.0,13.0,34.0,18.0,,30.0,34.0,24.0,12.0,13.0,12.0,9.0,8.0,
2023-05-12T11:21:00-05:00,11.0,12.0,15.0,,15.0,16.0,12.0,32.0,19.0,,30.0,27.0,26.0,11.0,13.0,12.0,12.0,8.0,23.0
2023-05-12T11:21:30-05:00,11.0,12.0,15.0,,15.0,17.0,12.0,31.0,19.0,,27.0,26.0,27.0,12.0,13.0,12.0,10.0,8.0,23.0
2023-05-12T11:22:00-05:00,11.0,12.0,15.0,,14.0,17.0,12.0,29.0,19.0,,27.0,24.0,25.0,11.0,13.0,12.0,9.0,8.0,24.0
2023-05-12T11:22:30-05:00,11.0,12.0,14.0,,15.0,88.0,12.0,31.0,21.0,,26.0,24.0,23.0,11.0,12.0,10.0,8.0,8.0,24.0
2023-05-12T11:23:00-05:00,11.0,12.0,14.0,,16.0,67.0,13.0,32.0,19.0,,27.0,25.0,23.0,12.0,13.0,11.0,8.0,8.0,25.0
2023-05-12T11:23:30-05:00,11.0,12.0,15.0,,16.0,96.0,12.0,33.0,20.0,,31.0,28.0,24.0,12.0,13.0,11.0,9.0,8.0,23.0
2023-05-12T11:24:00-05:00,11.0,11.0,15.0,,17.0,11.0,13.0,34.0,20.0,,32.0,26.0,23.0,13.0,13.0,11.0,8.0,9.0,23.0
2023-05-12T11:24:30-05:00,11.0,12.0,15.0,,18.0,14.0,13.0,33.0,19.0,,30.0,25.0,23.0,13.0,14.0,13.0,8.0,8.0,23.0
2023-05-12T11:25:00-05:00,11.0,11.0,16.0,,21.0,18.0,13.0,31.0,20.0,,29.0,25.0,24.0,12.0,16.0,12.0,9.0,8.0,22.0
2023-05-12T11:25:30-05:00,11.0,12.0,16.0,,20.0,72.0,14.0,32.0,20.0,,28.0,28.0,25.0,12.0,13.0,12.0,6.0,9.0,23.0
