DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-13T00:00:00-05:00,0.0,0.0,69.92,,,,58.42,,59.26,66.42,,73.53,68.68,68.51,72.86,,58.49,
2023-05-13T00:00:30-05:00,0.0,0.0,69.87,59.97,60.08,67.28,58.44,56.5,59.23,66.39,62.27,73.61,68.66,68.34,73.09,99.9,58.46,64.79
2023-05-13T00:01:00-05:00,0.0,0.0,69.81,60.06,60.16,67.59,58.41,56.43,59.33,66.17,62.22,73.59,68.69,68.25,73.09,99.9,58.48,65.24
2023-05-13T00:01:30-05:00,0.0,0.0,69.77,60.18,60.15,67.9,58.41,56.17,59.37,66.13,62.0,73.68,68.68,68.07,73.15,99.9,58.56,65.37
2023-05-13T00:02:00-05:00,0.0,0.0,69.83,60.25,60.27,68.58,58.39,56.29,59.43,66.21,62.36,73.7,68.98,68.12,73.14,99.9,58.54,65.35
2023-05-13T00:02:30-05:00,0.0,0.0,69.84,60.35,60.33,68.3,58.39,56.58,59.45,66.23,61.82,73.81,69.05,68.07,73.23,99.9,58.64,65.18
2023-05-13T00:03:00-05:00,0.0,0.0,69.81,60.34,60.41,68.45,58.4,56.69,59.64,66.15,62.35,73.83,68.86,68.09,73.33,99.9,58.66,65.16
2023-05-13T00:03:30-05:00,0.0,0.0,69.81,60.46,60.39,68.29,58.41,56.86,59.69,66.2,62.35,73.76,68.88,68.06,73.23,99.9,58.76,65.31
2023-05-13T00:04:00-05:00,0.0,0.0,69.77,60.55,60.68,68.14,58.44,56.7,59.77,66.18,61.79,73.78,68.58,68.03,73.3,99.9,58.83,65.34
2023-05-13T00:04:30-05:00,0.0,0.0,69.79,60.68,60.52,68.4,58.43,56.69,59.8,66.12,62.41,73.82,68.51,68.19,73.16,99.9,58.83,65.47
2023-05-13T00:05:00-05:00,0.0,0.0,69.77,60.69,60.59,68.93,,56.55,59.83,66.07,62.34,73.8,68.47,68.11,73.19,99.9,58.88,65.48
2023-05-13T00:05:30-05:00,0.0,0.0,69.77,60.94,60.72,68.74,58.43,56.78,59.91,65.75,61.84,73.81,68.91,68.15,73.05,99.9,58.99,65.33
2023-05-13T00:06:00-05:00,0.0,0.0,69.75,60.99,60.71,68.97,58.39,56.71,59.98,65.74,62.05,73.86,68.82,68.09,73.09,99.9,58.99,65.38
2023-05-13T00:06:30-05:00,0.0,0.0,69.76,60.96,60.83,68.89,58.41,56.94,60.07,65.4,62.09,73.77,68.69,68.01,73.17,99.9,59.07,65.41
2023-05-13T00:07:00-05:00,0.0,0.0,69.77,60.95,60.89,68.64,58.45,57.14,60.16,65.92,61.54,73.78,68.85,67.93,73.08,99.9,59.11,65.46
2023-05-13T00:07:30-05:00,0.0,0.0,69.74,60.78,60.84,68.94,58.41,56.78,60.34,65.68,62.13,73.8,68.85,67.93,72.98,99.9,59.08,65.53
2023-05-13T00:08:00-05:00,0.0,0.0,69.84,60.7,60.85,68.66,58.4,57.0,60.38,65.76,62.04,73.8,68.88,67.97,73.11,99.9,59.15,65.55
2023-05-13T00:08:30-05:00,0.0,0.0,69.81,60.63,60.9,68.81,58.44,56.88,60.36,65.79,61.63,73.87,68.81,68.07,73.08,99.9,59.12,65.56
2023-05-13T00:09:30-05:00,0.0,0.0,69.92,60.76,60.89,68.63,58.41,57.19,60.4,65.89,61.58,73.91,68.82,68.37,73.13,99.9,59.19,65.64
2023-05-13T00:10:00-05:00,0.0,0.0,69.99,60.73,60.98,68.62,58.41,57.12,60.47,65.93,61.55,73.91,68.91,68.37,72.94,99.9,59.16,65.66
2023-05-13T00:10:30-05:00,0.0,0.0,69.98,60.87,61.0,68.69,58.46,57.15,60.54,66.0,61.65,73.99,68.97,68.48,72.97,99.9,59.17,65.53
2023-05-13T00:11:00-05:00,0.0,0.0,70.0,60.91,61.02,68.56,58.43,57.3,60.61,66.02,61.93,74.05,68.81,68.3,73.2,99.9,59.12,65.52
2023-05-13T00:11:30-05:00,0.0,0.0,70.1,61.0,61.04,68.6,58.45,57.13,60.57,66.01,61.51,74.04,68.85,68.56,73.3,99.9,59.16,65.49
2023-05-13T00:12:00-05:00,0.0,0.0,70.22,60.9,61.12,68.41,58.47,57.12,60.67,66.11,61.78,74.11,69.01,68.93,73.2,99.9,59.19,65.61
2023-05-13T00:12:30-05:00,0.0,0.0,70.16,61.03,61.09,68.59,58.44,57.09,60.73,66.11,61.84,74.14,68.77,68.65,73.35,99.9,59.05,65.61
2023-05-13T00:13:00-05:00,0.0,0.0,70.18,61.11,61.14,68.72,58.43,57.46,60.82,66.04,61.61,74.24,68.88,68.58,73.46,99.9,58.92,65.74
2023-05-13T00:13:30-05:00,0.0,0.0,70.06,61.12,61.13,68.83,58.43,57.54,60.82,65.95,61.51,74.17,69.03,68.2,73.4,99.9,58.92,65.43
