DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-13T00:00:00-05:00,11.0,,8.0,,,,2.0,,8.0,19.0,,13.0,5.0,8.0,5.0,,8.0,
2023-05-13T00:00:30-05:00,11.0,16.0,8.0,11.0,11.0,8.0,2.0,18.0,8.0,17.0,2.0,14.0,5.0,7.0,5.0,0.0,7.0,
2023-05-13T00:01:00-05:00,11.0,16.0,9.0,11.0,12.0,5.0,2.0,17.0,8.0,17.0,2.0,15.0,5.0,8.0,5.0,0.0,8.0,14.0
2023-05-13T00:01:30-05:00,11.0,16.0,8.0,11.0,12.0,5.0,2.0,18.0,8.0,17.0,2.0,14.0,5.0,7.0,4.0,7.0,9.0,13.0
2023-05-13T00:02:00-05:00,11.0,,8.0,10.0,11.0,6.0,2.0,19.0,8.0,18.0,2.0,14.0,5.0,8.0,4.0,7.0,8.0,13.0
2023-05-13T00:02:30-05:00,11.0,15.0,8.0,10.0,12.0,6.0,2.0,18.0,8.0,17.0,2.0,14.0,5.0,8.0,4.0,6.0,8.0,15.0
2023-05-13T00:03:00-05:00,11.0,,8.0,10.0,12.0,6.0,2.0,17.0,8.0,16.0,2.0,13.0,5.0,8.0,4.0,6.0,8.0,14.0
2023-05-13T00:03:30-05:00,11.0,16.0,7.0,10.0,11.0,5.0,2.0,17.0,8.0,17.0,2.0,14.0,5.0,8.0,5.0,6.0,8.0,14.0
2023-05-13T00:04:00-05:00,11.0,,8.0,10.0,11.0,5.0,2.0,17.0,8.0,15.0,2.0,14.0,6.0,8.0,5.0,5.0,7.0,15.0
2023-05-13T00:04:30-05:00,11.0,,8.0,10.0,11.0,5.0,2.0,18.0,8.0,15.0,2.0,15.0,6.0,8.0,4.0,8.0,7.0,16.0
2023-05-13T00:05:00-05:00,11.0,16.0,9.0,11.0,10.0,5.0,,18.0,8.0,15.0,2.0,15.0,5.0,7.0,4.0,6.0,7.0,17.0
2023-05-13T00:05:30-05:00,11.0,,9.0,10.0,12.0,5.0,2.0,18.0,8.0,15.0,2.0,15.0,6.0,7.0,4.0,7.0,7.0,16.0
2023-05-13T00:06:00-05:00,11.0,,8.0,12.0,11.0,5.0,2.0,18.0,8.0,16.0,2.0,15.0,6.0,7.0,5.0,7.0,8.0,17.0
2023-05-13T00:06:30-05:00,11.0,16.0,8.0,10.0,11.0,5.0,2.0,18.0,8.0,16.0,2.0,15.0,6.0,8.0,5.0,7.0,8.0,16.0
2023-05-13T00:07:00-05:00,11.0,16.0,8.0,10.0,11.0,5.0,2.0,17.0,8.0,17.0,2.0,16.0,6.0,8.0,5.0,5.0,7.0,17.0
