DATETIME,TANGARA_25CE,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-14T00:00:00-05:00,0.0,,,,29.18,,29.66,28.53,,27.97,27.04,26.18,,29.09,
2023-05-14T00:00:30-05:00,0.0,28.03,29.16,26.0,29.16,31.93,29.68,28.55,30.48,27.93,27.04,26.19,27.0,29.09,27.7
2023-05-14T00:01:00-05:00,0.0,28.01,29.1,25.97,29.18,31.91,29.65,28.56,30.45,27.93,27.03,26.16,27.0,29.11,27.72
2023-05-14T00:01:30-05:00,0.0,27.99,29.1,25.96,29.16,31.89,29.64,28.57,30.44,27.87,26.98,26.16,27.0,29.11,27.76
2023-05-14T00:02:00-05:00,0.0,28.02,29.09,25.89,29.16,31.84,29.61,28.55,30.41,27.84,26.97,26.13,27.0,29.11,27.77
2023-05-14T00:02:30-05:00,0.0,27.96,29.1,25.9,29.15,31.85,29.58,28.52,30.4,27.77,26.97,26.13,26.9,29.11,27.77
2023-05-14T00:03:00-05:00,0.0,27.93,29.06,,29.14,31.78,29.54,28.52,30.41,27.79,26.94,26.11,26.9,29.11,27.77
2023-05-14T00:03:30-05:00,0.0,27.91,29.03,25.79,29.12,31.8,29.53,28.53,30.43,27.79,26.94,26.16,26.9,29.09,27.73
2023-05-14T00:04:00-05:00,0.0,27.84,29.03,25.68,29.14,31.78,29.51,28.52,30.4,27.73,26.93,26.12,26.8,29.11,27.72
2023-05-14T00:04:30-05:00,0.0,27.8,29.0,25.68,29.14,31.8,29.48,28.47,30.4,27.72,26.93,26.12,26.8,,27.73
2023-05-14T00:05:00-05:00,0.0,27.77,29.02,25.66,29.12,31.75,29.45,28.5,30.41,27.65,26.9,26.12,26.8,29.09,27.75
2023-05-14T00:05:30-05:00,0.0,27.77,28.98,25.65,29.14,31.74,29.37,28.5,30.41,27.65,26.89,26.11,26.7,,27.7
2023-05-14T00:06:30-05:00,0.0,27.71,28.96,25.64,29.12,31.72,29.31,28.53,30.44,27.63,26.87,26.06,26.7,,27.69
2023-05-14T00:07:00-05:00,0.0,27.72,28.95,25.62,29.15,31.72,29.3,28.5,30.43,27.6,26.89,26.05,26.7,29.06,27.69
2023-05-14T00:07:30-05:00,0.0,27.69,28.98,25.61,29.11,31.71,29.27,28.5,30.43,27.6,26.89,26.02,26.7,29.06,27.69
2023-05-14T00:08:00-05:00,0.0,27.68,28.96,25.48,29.12,31.72,29.23,28.52,30.44,27.56,26.87,26.01,26.6,29.02,27.69
2023-05-14T00:08:30-05:00,0.0,27.68,28.96,25.47,29.09,31.71,29.18,28.55,30.44,27.53,26.89,26.02,26.5,,27.69
2023-05-14T00:09:00-05:00,0.0,27.68,28.95,25.44,29.14,31.71,29.18,28.52,30.45,27.49,26.9,26.01,26.5,29.01,27.66
2023-05-14T00:09:30-05:00,0.0,27.68,28.95,25.45,29.11,31.71,29.16,28.53,30.43,27.49,26.9,26.02,26.5,28.99,27.66
2023-05-14T00:10:00-05:00,0.0,27.68,28.91,25.41,29.11,31.71,29.11,28.52,30.45,27.48,26.89,26.03,26.5,,27.65
2023-05-14T00:10:30-05:00,0.0,27.71,28.93,25.42,29.11,31.71,29.07,28.5,30.43,27.43,26.87,26.01,26.5,28.99,27.68
2023-05-14T00:11:00-05:00,0.0,27.71,28.89,25.42,29.11,31.71,29.06,28.52,30.43,27.45,26.89,26.02,26.5,28.97,27.66
2023-05-14T00:11:30-05:00,0.0,27.75,28.91,25.38,29.14,31.72,29.02,28.5,30.41,27.41,26.87,26.05,26.5,28.99,27.69
2023-05-14T00:12:00-05:00,0.0,27.8,28.89,25.41,29.11,31.72,28.97,28.46,30.44,27.39,26.87,26.06,26.5,28.97,27.63
2023-05-14T00:12:30-05:00,0.0,27.82,28.91,25.44,29.11,31.7,28.97,28.46,30.44,27.41,26.87,26.05,26.6,28.95,27.65
2023-05-14T00:13:00-05:00,0.0,27.86,28.91,25.48,29.09,31.74,28.93,28.43,30.43,27.39,26.84,26.06,26.5,28.94,27.63
2023-05-14T00:13:30-05:00,0.0,27.91,28.91,25.54,29.09,31.72,28.92,28.42,30.47,27.35,26.89,26.06,26.6,28.92,27.65
2023-05-14T00:14:00-05:00,0.0,27.92,28.93,25.55,29.11,31.72,28.89,28.39,30.47,27.37,26.86,26.06,26.6,28.91,27.65
2023-05-14T00:14:30-05:00,0.0,27.96,28.91,25.57,29.11,31.74,28.84,28.4,30.47,27.37,26.87,26.05,26.6,28.91,27.59
2023-05-14T00:15:00-05:00,0.0,27.92,28.91,25.58,29.12,31.72,28.82,28.38,30.48,27.35,26.87,26.06,26.6,28.91,27.58
