DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-15T09:41:30-05:00,0.0,0.0,84.84,60.43,59.34,61.2,52.1,61.06,56.32,57.86,64.24,61.32,63.49,54.12,,78.47,65.05,99.9,60.33,59.6
2023-05-15T09:42:00-05:00,0.0,0.0,84.86,61.28,59.26,61.08,51.7,61.04,56.46,57.74,64.31,60.99,63.49,54.41,,78.5,64.91,99.9,60.33,59.64
2023-05-15T09:42:30-05:00,0.0,0.0,84.8,59.89,59.27,61.23,51.85,61.09,56.54,57.57,64.33,61.13,63.41,54.79,,78.39,64.91,99.9,60.37,59.74
2023-05-15T09:43:00-05:00,0.0,0.0,84.69,60.38,59.07,60.94,52.0,61.03,56.61,57.16,64.28,60.52,63.23,54.35,,78.06,65.17,99.9,60.32,60.19
2023-05-15T09:43:30-05:00,0.0,0.0,84.7,60.24,58.96,61.15,51.83,61.04,56.88,56.86,64.39,60.4,63.17,54.5,,78.22,65.28,99.9,60.33,58.74
2023-05-15T09:44:00-05:00,0.0,0.0,84.8,59.78,58.59,60.87,52.24,61.05,56.76,56.75,64.38,60.74,62.93,54.46,,77.85,65.22,99.9,60.44,59.62
2023-05-15T09:44:30-05:00,0.0,0.0,84.7,59.73,58.89,61.23,51.59,61.04,56.82,56.6,64.24,60.38,63.04,54.9,,77.97,65.22,99.9,60.59,59.23
2023-05-15T09:45:00-05:00,0.0,0.0,84.51,,58.64,60.67,51.34,61.0,56.87,56.62,63.97,60.4,62.95,55.69,,77.65,64.9,99.9,60.54,59.59
2023-05-15T09:45:30-05:00,0.0,0.0,84.4,59.62,58.77,60.63,50.95,61.05,56.96,56.73,64.12,60.88,63.06,55.27,,77.45,64.93,99.9,60.57,58.18
2023-05-15T09:46:00-05:00,0.0,0.0,84.3,59.66,58.72,60.81,51.02,61.03,56.84,56.65,63.78,60.67,63.0,54.66,,77.41,64.6,99.9,60.58,58.7
2023-05-15T09:46:30-05:00,0.0,0.0,84.19,59.17,,60.55,51.1,61.02,56.9,56.34,64.07,60.84,63.05,54.78,,77.17,64.54,99.9,60.77,58.46
2023-05-15T09:47:00-05:00,0.0,0.0,84.15,59.35,58.35,60.43,50.82,61.02,56.83,56.36,64.16,60.17,62.85,55.22,,76.94,64.55,99.9,60.77,58.48
2023-05-15T09:47:30-05:00,0.0,0.0,84.02,59.13,57.86,60.39,51.05,,56.85,55.91,64.08,60.4,62.66,55.12,,76.82,,99.9,60.64,57.63
2023-05-15T09:48:00-05:00,0.0,0.0,83.85,59.38,58.48,60.45,51.39,61.01,56.7,55.59,64.32,60.32,62.61,54.94,,76.65,63.74,99.9,60.57,58.54
2023-05-15T09:48:30-05:00,0.0,0.0,83.74,58.78,58.62,60.1,50.62,60.99,56.74,55.39,64.17,59.94,62.44,54.8,,76.5,63.82,99.9,60.64,58.54
2023-05-15T09:49:00-05:00,0.0,0.0,83.73,59.04,58.65,59.89,50.52,61.04,56.77,55.26,64.35,59.75,62.46,54.57,,76.31,64.29,99.9,61.0,57.74
2023-05-15T09:49:30-05:00,0.0,0.0,83.61,58.71,58.45,59.7,50.44,61.04,56.69,55.35,64.31,59.79,62.42,55.2,,76.19,64.77,99.9,60.97,58.14
2023-05-15T09:50:00-05:00,0.0,0.0,83.49,58.8,58.45,59.79,49.91,,56.72,55.36,64.38,60.42,62.39,53.81,,75.98,64.33,99.9,60.84,58.02
2023-05-15T09:50:30-05:00,0.0,0.0,83.48,58.43,58.17,59.64,49.34,61.0,56.57,55.41,64.54,60.17,62.27,54.34,,75.75,64.33,99.9,60.7,58.44
2023-05-15T09:51:00-05:00,0.0,0.0,83.32,58.14,57.11,59.47,48.86,60.99,56.51,55.56,64.56,60.16,62.24,53.99,,75.62,64.39,99.9,60.6,57.49
2023-05-15T09:51:30-05:00,0.0,0.0,83.19,58.13,57.55,58.98,48.51,61.02,56.23,55.5,64.64,60.32,62.35,54.33,,75.47,64.57,99.9,60.6,57.85
2023-05-15T09:52:00-05:00,0.0,0.0,83.05,58.34,57.29,59.3,48.75,61.01,56.37,55.41,64.58,60.2,62.07,55.07,,75.26,64.6,99.9,60.43,58.19
2023-05-15T09:52:30-05:00,0.0,0.0,82.99,58.94,56.76,59.59,48.68,61.02,56.15,55.37,64.52,59.97,62.19,54.81,,75.03,64.84,99.9,60.46,57.91
2023-05-15T09:53:00-05:00,0.0,0.0,82.92,,56.8,59.04,48.55,61.0,56.15,55.19,64.73,59.6,61.72,53.86,,74.85,64.41,99.9,60.64,57.75
2023-05-15T09:53:30-05:00,0.0,0.0,82.78,58.64,56.82,59.0,48.22,60.99,55.98,55.0,64.81,59.32,61.78,54.35,,74.67,64.55,99.9,60.63,57.91
2023-05-15T09:54:00-05:00,0.0,0.0,82.73,58.18,56.54,58.6,48.62,60.99,56.04,55.35,64.7,59.76,61.98,54.51,,74.54,64.79,99.9,60.34,57.86
2023-05-15T09:54:30-05:00,0.0,0.0,82.58,58.02,55.67,58.34,48.17,60.98,56.31,55.6,64.66,59.7,61.97,53.58,,74.39,64.93,99.9,60.07,57.89
2023-05-15T09:55:00-05:00,0.0,0.0,82.53,57.94,56.36,58.34,48.16,60.97,56.34,55.55,64.67,59.72,61.85,53.79,,74.07,64.22,99.9,60.05,57.46
2023-05-15T09:55:30-05:00,0.0,0.0,82.37,58.53,56.4,58.07,48.49,60.99,56.35,55.36,64.55,59.69,61.65,53.15,,73.98,64.43,99.9,60.15,58.0
2023-05-15T09:56:00-05:00,0.0,0.0,82.23,58.45,56.4,58.13,48.29,60.95,56.44,55.29,64.16,59.78,61.81,53.24,,,64.53,99.9,60.15,57.82
2023-05-15T09:56:30-05:00,0.0,0.0,82.11,58.69,55.43,57.65,48.42,60.98,56.46,55.22,64.04,59.59,61.98,52.9,,73.1,64.76,99.9,60.02,57.42
2023-05-15T09:57:00-05:00,0.0,0.0,82.0,57.84,53.64,57.4,48.16,60.99,56.27,54.9,64.0,58.98,62.26,53.06,,73.32,64.91,99.9,59.81,57.35
2023-05-15T09:57:30-05:00,0.0,0.0,81.89,57.52,49.11,57.34,48.12,60.98,56.23,54.98,63.71,59.05,62.68,53.2,,73.27,65.01,99.9,59.86,57.37
2023-05-15T09:58:00-05:00,0.0,0.0,81.79,57.66,,57.44,47.76,60.95,56.22,54.93,63.77,59.44,62.8,53.29,,73.05,64.48,99.9,59.92,57.1
2023-05-15T09:58:30-05:00,0.0,0.0,81.74,57.47,51.2,57.13,47.85,60.93,56.4,54.9,64.0,58.99,62.8,53.74,,73.0,64.66,99.9,59.88,57.51
2023-05-15T09:59:00-05:00,0.0,0.0,81.66,57.42,55.41,56.83,47.57,60.96,56.34,55.01,63.76,59.16,62.87,53.81,,72.74,64.35,99.9,,57.45
2023-05-15T09:59:30-05:00,0.0,0.0,81.48,56.8,54.95,57.08,48.08,60.91,56.42,54.63,63.65,59.51,62.93,53.9,,72.4,64.44,99.9,59.92,57.79
2023-05-15T10:00:00-05:00,0.0,0.0,81.39,56.49,56.1,56.94,48.25,60.93,56.28,54.69,63.82,59.37,62.53,53.49,,72.19,64.31,99.9,,57.31
2023-05-15T10:00:30-05:00,0.0,0.0,81.25,56.18,56.31,57.35,48.06,60.96,56.31,54.79,64.01,59.52,62.38,53.35,,72.03,64.26,99.9,60.37,58.02
2023-05-15T10:01:00-05:00,0.0,0.0,81.17,56.67,55.46,56.42,48.44,60.89,56.38,54.74,64.11,59.32,62.32,53.78,,,64.38,99.9,60.37,57.74
2023-05-15T10:01:30-05:00,0.0,0.0,81.1,56.44,56.18,56.57,48.72,60.88,56.25,54.81,64.04,59.39,62.32,53.82,,71.61,64.49,99.9,60.19,57.8
2023-05-15T10:02:00-05:00,0.0,0.0,80.99,56.34,55.8,56.0,47.82,60.91,56.23,54.59,64.1,59.0,62.48,53.59,,71.55,,99.9,59.91,58.27
2023-05-15T10:02:30-05:00,0.0,0.0,80.8,55.91,54.87,56.22,48.41,60.93,56.17,54.79,64.28,59.21,62.23,53.15,,71.29,,99.9,59.65,57.75
2023-05-15T10:03:00-05:00,0.0,0.0,80.7,55.95,55.87,56.36,47.38,60.9,56.21,54.65,64.52,58.76,62.41,52.81,,71.17,,99.9,59.54,56.85
2023-05-15T10:03:30-05:00,0.0,0.0,80.62,55.74,55.62,,47.45,60.9,56.28,54.26,64.85,58.89,62.7,52.05,,70.88,64.52,99.9,59.69,57.41
2023-05-15T10:04:00-05:00,0.0,0.0,80.44,55.93,55.85,55.88,47.24,60.91,56.1,54.21,64.88,59.01,62.53,50.91,,70.79,64.31,99.9,59.73,57.2
2023-05-15T10:04:30-05:00,0.0,0.0,80.34,55.82,55.97,55.64,46.59,60.89,56.08,54.09,64.95,59.11,62.49,51.33,,70.5,64.89,99.9,59.45,57.35
2023-05-15T10:05:00-05:00,0.0,0.0,80.25,55.92,55.6,55.67,46.72,60.86,56.15,54.1,64.91,58.54,62.51,51.99,,70.72,64.13,99.9,59.35,57.71
2023-05-15T10:05:30-05:00,0.0,0.0,80.22,56.22,,55.43,47.28,60.9,56.03,53.67,64.93,58.77,62.53,52.25,,70.31,63.92,99.9,59.35,56.78
2023-05-15T10:06:00-05:00,0.0,0.0,80.05,55.65,55.76,55.24,46.53,60.92,55.95,53.58,65.31,58.25,62.51,52.42,,69.82,63.88,99.9,59.28,57.29
2023-05-15T10:06:30-05:00,0.0,0.0,79.91,55.43,55.4,55.67,46.48,60.85,56.01,53.72,64.8,58.11,62.73,51.14,,70.11,64.18,99.9,59.17,56.99
2023-05-15T10:07:00-05:00,0.0,0.0,79.8,56.88,55.36,55.23,47.36,60.83,56.0,53.77,64.38,58.11,62.6,51.39,,69.82,63.99,99.9,59.27,57.35
2023-05-15T10:07:30-05:00,0.0,0.0,79.61,57.05,55.69,55.13,46.75,60.84,56.1,53.52,64.43,58.07,62.63,51.94,,69.75,,99.9,58.96,57.9
2023-05-15T10:08:00-05:00,0.0,0.0,79.63,55.86,55.6,54.78,47.15,60.8,55.83,53.44,64.3,58.99,62.53,51.92,,69.48,,99.9,59.12,57.65
2023-05-15T10:08:30-05:00,0.0,0.0,79.39,54.65,54.17,54.69,47.61,60.82,55.65,53.47,64.21,58.46,62.57,51.37,,69.44,,99.9,59.22,58.05
2023-05-15T10:09:00-05:00,0.0,0.0,79.36,54.65,53.77,54.3,47.23,60.84,55.69,53.57,63.92,58.27,62.61,52.09,,,,99.9,59.08,57.96
2023-05-15T10:09:30-05:00,0.0,0.0,79.29,54.63,53.73,54.54,47.06,60.8,55.5,53.46,64.26,58.43,62.56,52.17,,69.17,,99.9,58.82,58.2
