DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-15T09:41:30-05:00,11.0,10.0,10.0,7.0,11.0,6.0,11.0,14.0,11.0,8.0,10.0,9.0,13.0,11.0,,10.0,12.0,6.0,5.0,12.0
2023-05-15T09:42:00-05:00,11.0,10.0,10.0,8.0,11.0,6.0,12.0,15.0,12.0,8.0,10.0,9.0,11.0,11.0,,10.0,11.0,7.0,4.0,12.0
2023-05-15T09:42:30-05:00,11.0,12.0,10.0,7.0,15.0,6.0,12.0,16.0,12.0,8.0,10.0,9.0,10.0,11.0,,10.0,12.0,5.0,5.0,12.0
2023-05-15T09:43:00-05:00,10.0,11.0,11.0,8.0,15.0,7.0,11.0,16.0,11.0,8.0,10.0,8.0,9.0,11.0,,10.0,11.0,5.0,4.0,12.0
2023-05-15T09:43:30-05:00,10.0,11.0,9.0,8.0,15.0,6.0,11.0,14.0,10.0,8.0,10.0,8.0,10.0,12.0,,10.0,11.0,6.0,6.0,13.0
2023-05-15T09:44:00-05:00,10.0,11.0,10.0,8.0,13.0,6.0,11.0,13.0,11.0,8.0,10.0,8.0,11.0,10.0,,11.0,11.0,6.0,5.0,13.0
2023-05-15T09:44:30-05:00,10.0,12.0,11.0,8.0,11.0,6.0,12.0,14.0,12.0,8.0,10.0,8.0,12.0,9.0,,12.0,12.0,8.0,5.0,12.0
2023-05-15T09:45:00-05:00,10.0,11.0,11.0,,10.0,6.0,10.0,14.0,10.0,8.0,9.0,8.0,13.0,11.0,,12.0,10.0,7.0,6.0,13.0
2023-05-15T09:45:30-05:00,10.0,12.0,13.0,8.0,11.0,6.0,12.0,14.0,10.0,8.0,9.0,8.0,12.0,11.0,,12.0,11.0,8.0,5.0,12.0
2023-05-15T09:46:00-05:00,10.0,13.0,12.0,8.0,10.0,6.0,12.0,13.0,11.0,8.0,9.0,9.0,11.0,12.0,,11.0,11.0,7.0,5.0,13.0
2023-05-15T09:46:30-05:00,10.0,12.0,11.0,7.0,,6.0,12.0,13.0,10.0,8.0,10.0,8.0,10.0,13.0,,11.0,12.0,7.0,5.0,13.0
2023-05-15T09:47:00-05:00,10.0,11.0,11.0,7.0,10.0,7.0,12.0,12.0,10.0,8.0,11.0,7.0,11.0,11.0,,11.0,11.0,7.0,5.0,12.0
2023-05-15T09:47:30-05:00,10.0,11.0,12.0,7.0,10.0,6.0,12.0,,11.0,8.0,12.0,8.0,11.0,11.0,,10.0,,9.0,5.0,12.0
2023-05-15T09:48:00-05:00,10.0,11.0,13.0,8.0,10.0,6.0,11.0,11.0,11.0,8.0,12.0,8.0,11.0,11.0,,10.0,10.0,6.0,5.0,12.0
2023-05-15T09:48:30-05:00,10.0,11.0,12.0,7.0,10.0,6.0,11.0,12.0,10.0,8.0,13.0,8.0,11.0,11.0,,10.0,10.0,8.0,5.0,12.0
2023-05-15T09:49:00-05:00,10.0,11.0,11.0,10.0,10.0,6.0,12.0,12.0,11.0,8.0,13.0,7.0,11.0,10.0,,11.0,11.0,8.0,5.0,11.0
2023-05-15T09:49:30-05:00,10.0,12.0,11.0,11.0,10.0,7.0,12.0,12.0,11.0,8.0,13.0,7.0,12.0,12.0,,11.0,11.0,8.0,5.0,12.0
2023-05-15T09:50:00-05:00,10.0,11.0,11.0,8.0,10.0,7.0,12.0,,10.0,8.0,13.0,8.0,11.0,11.0,,11.0,12.0,8.0,4.0,12.0
2023-05-15T09:50:30-05:00,10.0,13.0,13.0,16.0,10.0,7.0,11.0,11.0,9.0,8.0,13.0,7.0,10.0,11.0,,10.0,11.0,8.0,5.0,12.0
2023-05-15T09:51:00-05:00,10.0,11.0,11.0,11.0,8.0,7.0,12.0,10.0,10.0,8.0,11.0,7.0,11.0,10.0,,11.0,12.0,7.0,5.0,11.0
2023-05-15T09:51:30-05:00,10.0,11.0,12.0,8.0,8.0,7.0,12.0,11.0,11.0,8.0,11.0,8.0,11.0,11.0,,11.0,11.0,9.0,5.0,12.0
2023-05-15T09:52:00-05:00,10.0,12.0,12.0,9.0,8.0,7.0,11.0,12.0,11.0,8.0,10.0,7.0,11.0,11.0,,11.0,11.0,9.0,4.0,11.0
2023-05-15T09:52:30-05:00,10.0,11.0,13.0,10.0,8.0,7.0,13.0,10.0,11.0,8.0,10.0,8.0,11.0,10.0,,10.0,10.0,5.0,4.0,12.0
2023-05-15T09:53:00-05:00,10.0,11.0,12.0,,7.0,6.0,14.0,9.0,10.0,8.0,10.0,7.0,11.0,10.0,,12.0,11.0,8.0,4.0,12.0
2023-05-15T09:53:30-05:00,10.0,10.0,12.0,10.0,8.0,7.0,11.0,10.0,11.0,8.0,10.0,7.0,12.0,12.0,,11.0,10.0,7.0,4.0,12.0
2023-05-15T09:54:00-05:00,10.0,10.0,12.0,8.0,8.0,6.0,10.0,10.0,11.0,8.0,10.0,7.0,10.0,11.0,,12.0,10.0,6.0,5.0,12.0
2023-05-15T09:54:30-05:00,10.0,10.0,12.0,8.0,7.0,6.0,12.0,10.0,10.0,8.0,9.0,7.0,11.0,11.0,,10.0,11.0,6.0,5.0,12.0
2023-05-15T09:55:00-05:00,10.0,9.0,12.0,8.0,7.0,6.0,12.0,10.0,10.0,8.0,9.0,10.0,10.0,11.0,,11.0,11.0,7.0,4.0,12.0
2023-05-15T09:55:30-05:00,10.0,10.0,13.0,7.0,7.0,6.0,12.0,11.0,9.0,8.0,10.0,10.0,11.0,11.0,,12.0,12.0,8.0,5.0,11.0
2023-05-15T09:56:00-05:00,10.0,9.0,14.0,8.0,7.0,6.0,12.0,11.0,10.0,8.0,10.0,8.0,10.0,11.0,,,12.0,7.0,5.0,12.0
2023-05-15T09:56:30-05:00,10.0,8.0,14.0,7.0,7.0,7.0,13.0,11.0,11.0,8.0,10.0,7.0,11.0,11.0,,13.0,12.0,7.0,5.0,12.0
2023-05-15T09:57:00-05:00,10.0,9.0,14.0,7.0,7.0,7.0,11.0,10.0,11.0,8.0,10.0,7.0,11.0,12.0,,14.0,12.0,4.0,5.0,12.0
2023-05-15T09:57:30-05:00,10.0,9.0,14.0,7.0,7.0,7.0,11.0,10.0,11.0,8.0,10.0,7.0,10.0,10.0,,11.0,12.0,6.0,4.0,13.0
2023-05-15T09:58:00-05:00,10.0,8.0,14.0,8.0,,6.0,10.0,10.0,10.0,8.0,9.0,6.0,11.0,11.0,,13.0,12.0,4.0,4.0,12.0
2023-05-15T09:58:30-05:00,10.0,9.0,13.0,7.0,7.0,6.0,10.0,10.0,9.0,8.0,9.0,7.0,11.0,11.0,,12.0,13.0,5.0,5.0,12.0
2023-05-15T09:59:00-05:00,10.0,8.0,12.0,10.0,8.0,6.0,11.0,9.0,10.0,8.0,8.0,6.0,11.0,11.0,,12.0,13.0,5.0,,11.0
2023-05-15T09:59:30-05:00,10.0,8.0,13.0,9.0,11.0,6.0,11.0,9.0,10.0,8.0,8.0,7.0,11.0,11.0,,12.0,12.0,3.0,5.0,10.0
2023-05-15T10:00:00-05:00,10.0,8.0,14.0,7.0,11.0,6.0,12.0,9.0,10.0,8.0,9.0,6.0,10.0,10.0,,11.0,13.0,4.0,,11.0
2023-05-15T10:00:30-05:00,10.0,9.0,14.0,7.0,11.0,7.0,11.0,10.0,9.0,8.0,9.0,6.0,10.0,10.0,,12.0,12.0,5.0,5.0,11.0
2023-05-15T10:01:00-05:00,10.0,9.0,13.0,9.0,9.0,6.0,11.0,8.0,10.0,8.0,9.0,7.0,11.0,10.0,,,12.0,4.0,6.0,10.0
2023-05-15T10:01:30-05:00,10.0,9.0,13.0,8.0,8.0,6.0,10.0,8.0,9.0,8.0,9.0,6.0,12.0,11.0,,13.0,12.0,4.0,6.0,12.0
2023-05-15T10:02:00-05:00,10.0,9.0,14.0,7.0,8.0,7.0,11.0,9.0,10.0,8.0,9.0,7.0,12.0,11.0,,13.0,,3.0,6.0,11.0
2023-05-15T10:02:30-05:00,10.0,9.0,13.0,9.0,8.0,6.0,11.0,9.0,10.0,8.0,10.0,7.0,10.0,11.0,,12.0,,5.0,6.0,11.0
2023-05-15T10:03:00-05:00,10.0,9.0,14.0,8.0,7.0,6.0,11.0,10.0,10.0,8.0,9.0,6.0,10.0,10.0,,12.0,,6.0,6.0,12.0
2023-05-15T10:03:30-05:00,10.0,9.0,13.0,8.0,9.0,,11.0,10.0,9.0,8.0,9.0,7.0,11.0,10.0,,12.0,11.0,6.0,5.0,13.0
2023-05-15T10:04:00-05:00,10.0,9.0,14.0,7.0,8.0,7.0,9.0,9.0,9.0,8.0,7.0,7.0,11.0,10.0,,12.0,11.0,4.0,5.0,11.0
