DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-15T09:41:30-05:00,0.0,0.0,22.17,29.89,30.2,30.55,33.92,28.97,31.27,30.33,28.38,30.79,31.58,32.04,,23.67,28.33,29.3,29.8,31.01
2023-05-15T09:42:00-05:00,0.0,0.0,22.17,29.93,30.21,30.59,34.16,28.92,31.26,30.39,28.35,30.81,31.61,32.08,,23.67,28.32,29.3,29.8,31.04
2023-05-15T09:42:30-05:00,0.0,0.0,22.21,29.96,30.24,30.63,34.02,28.92,31.26,30.47,28.4,30.92,31.62,32.12,,23.73,28.33,29.3,29.84,31.01
2023-05-15T09:43:00-05:00,0.0,0.0,22.24,30.02,30.27,30.66,34.15,28.94,31.23,30.51,28.4,30.95,31.65,32.17,,23.76,28.37,29.4,29.89,30.98
2023-05-15T09:43:30-05:00,0.0,0.0,22.29,30.06,30.33,30.71,34.17,28.92,31.26,30.6,28.45,30.92,31.7,32.2,,23.8,28.37,29.4,29.83,31.01
2023-05-15T09:44:00-05:00,0.0,0.0,22.35,30.07,30.38,30.76,34.37,28.92,31.23,30.64,28.45,30.96,31.7,32.24,,23.83,28.4,29.4,29.86,31.05
2023-05-15T09:44:30-05:00,0.0,0.0,22.38,30.12,30.47,30.83,34.27,28.94,31.24,30.64,28.47,30.99,31.76,32.28,,23.85,28.44,29.5,29.92,31.08
2023-05-15T09:45:00-05:00,0.0,0.0,22.41,,30.47,30.87,34.48,28.94,31.29,30.68,28.46,30.91,31.83,32.32,,23.87,28.43,29.5,29.99,31.14
2023-05-15T09:45:30-05:00,0.0,0.0,22.46,30.18,30.48,30.98,34.41,28.98,31.26,30.75,28.5,31.05,31.87,32.36,,23.95,28.46,29.6,29.93,31.14
2023-05-15T09:46:00-05:00,0.0,0.0,22.52,30.26,30.47,31.01,34.54,28.94,31.3,30.77,28.49,31.07,31.92,32.35,,24.03,28.46,29.7,30.01,31.22
2023-05-15T09:46:30-05:00,0.0,0.0,22.56,30.3,,31.04,34.51,28.94,31.3,30.81,28.5,31.11,31.97,32.31,,24.07,28.49,29.8,29.97,31.25
2023-05-15T09:47:00-05:00,0.0,0.0,22.59,30.3,30.49,31.08,34.41,28.95,31.29,30.88,28.49,31.15,32.06,32.38,,24.13,28.5,29.8,29.97,31.24
2023-05-15T09:47:30-05:00,0.0,0.0,22.65,30.33,30.51,31.14,34.29,,31.3,30.91,28.45,31.18,32.12,32.38,,24.19,,29.9,30.06,31.29
2023-05-15T09:48:00-05:00,0.0,0.0,22.69,30.4,30.54,31.22,34.46,28.97,31.3,30.95,28.43,31.21,32.17,32.41,,24.24,28.52,30.0,30.06,31.32
