DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_3782_x,TANGARA_3782_y,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-16T00:00:00-05:00,0.0,0.0,69.9,,,,,,65.08,69.53,,74.22,71.53,,,67.81,73.28,,66.38,
2023-05-16T00:00:30-05:00,0.0,0.0,69.92,,68.96,69.44,73.1,60.79,65.12,69.49,63.11,74.2,71.56,,,67.98,73.32,99.9,66.36,67.14
2023-05-16T00:01:00-05:00,0.0,0.0,69.94,,68.82,69.6,73.39,60.88,65.12,69.53,63.46,74.24,71.62,,,68.19,73.3,99.9,66.39,67.07
2023-05-16T00:01:30-05:00,0.0,0.0,70.02,,69.0,69.68,73.61,60.95,65.15,69.63,63.38,74.09,71.6,,,68.38,73.18,99.9,66.46,67.13
2023-05-16T00:02:00-05:00,0.0,0.0,70.08,,68.96,69.64,73.74,61.06,65.13,69.6,63.51,73.93,71.58,,,68.64,73.08,99.9,66.41,66.81
2023-05-16T00:02:30-05:00,0.0,0.0,70.0,,69.08,69.76,73.98,61.09,65.13,69.51,63.31,73.95,71.57,,,68.39,73.2,99.9,66.41,66.96
2023-05-16T00:03:00-05:00,0.0,0.0,70.12,,68.96,69.79,74.04,61.18,65.12,69.51,63.08,74.01,71.64,,,68.58,73.18,99.9,66.44,66.82
2023-05-16T00:03:30-05:00,0.0,0.0,70.07,,69.07,69.79,73.99,61.17,65.14,69.5,63.54,73.97,71.7,,,68.6,73.17,99.9,66.51,66.84
2023-05-16T00:04:00-05:00,0.0,0.0,70.04,,69.05,69.83,74.06,61.2,65.11,69.41,63.62,73.95,71.57,,,68.63,73.24,99.9,66.53,66.89
2023-05-16T00:04:30-05:00,0.0,0.0,70.02,,69.04,69.84,73.99,61.4,65.13,69.41,63.6,73.85,71.52,,,68.51,73.18,99.9,66.46,67.01
2023-05-16T00:05:00-05:00,0.0,0.0,69.95,,69.07,69.78,73.95,61.47,65.04,69.48,63.68,73.88,71.46,,,68.45,73.27,99.9,66.44,66.84
2023-05-16T00:05:30-05:00,0.0,0.0,69.97,,69.14,69.88,74.16,61.45,65.1,69.32,63.83,73.96,71.52,,,68.41,73.35,99.9,66.42,66.84
2023-05-16T00:06:00-05:00,0.0,0.0,69.95,,69.1,69.92,74.26,61.58,65.11,69.25,64.16,74.29,71.58,,,68.46,73.41,99.9,66.43,66.96
2023-05-16T00:06:30-05:00,0.0,0.0,70.0,,69.03,70.01,74.44,61.61,65.1,69.27,63.96,74.32,71.55,,,68.37,73.46,99.9,66.47,66.78
2023-05-16T00:07:00-05:00,0.0,0.0,69.93,,68.84,70.09,74.54,61.68,65.08,69.13,64.22,74.37,71.63,,,68.42,73.45,99.9,66.47,66.91
2023-05-16T00:07:30-05:00,0.0,0.0,69.97,,69.04,70.18,74.29,61.69,65.06,69.15,64.21,74.41,71.55,,,68.5,73.38,99.9,66.57,67.21
2023-05-16T00:08:00-05:00,0.0,0.0,69.97,,69.02,70.26,74.26,61.75,65.04,69.1,64.07,74.48,71.49,,,68.46,73.4,99.9,66.62,
2023-05-16T00:08:30-05:00,0.0,0.0,70.0,,68.96,70.32,73.95,61.82,65.01,68.98,64.12,74.53,71.58,,,68.48,73.53,99.9,66.67,67.17
2023-05-16T00:09:00-05:00,0.0,0.0,70.02,,68.8,70.24,74.02,61.79,64.87,68.95,64.11,74.54,71.46,,,68.61,73.59,99.9,66.66,67.34
2023-05-16T00:09:30-05:00,0.0,0.0,69.95,,68.43,70.24,73.96,61.91,65.0,68.89,64.15,74.68,71.51,,,68.49,73.55,99.9,66.64,67.1
2023-05-16T00:10:00-05:00,0.0,0.0,69.93,,68.22,70.31,73.92,61.93,64.91,68.66,64.27,74.69,71.39,,,68.3,73.28,99.9,66.69,67.04
2023-05-16T00:10:30-05:00,0.0,0.0,69.94,,68.39,70.46,73.82,62.0,64.75,68.65,64.42,74.79,71.39,,,68.18,73.33,99.9,66.75,66.96
2023-05-16T00:11:00-05:00,0.0,0.0,69.91,,68.43,70.45,73.82,62.01,64.69,68.74,64.69,74.87,71.35,,,68.08,73.29,99.9,66.8,67.05
2023-05-16T00:11:30-05:00,0.0,0.0,69.88,,68.26,70.44,73.65,61.9,64.71,68.72,64.28,74.96,71.24,,,67.94,73.24,99.9,66.8,67.19
2023-05-16T00:12:00-05:00,0.0,0.0,69.89,,68.19,70.43,73.76,61.93,64.6,68.68,64.05,75.02,71.34,,,67.84,73.17,99.9,66.8,67.19
2023-05-16T00:12:30-05:00,0.0,0.0,69.84,,68.28,70.48,73.73,61.9,64.63,68.68,64.28,75.01,71.32,,,67.64,73.03,99.9,66.83,67.05
2023-05-16T00:13:00-05:00,0.0,0.0,69.78,,68.2,70.41,73.78,61.9,,68.57,64.36,74.99,71.27,,,67.51,72.94,99.9,66.8,67.02
2023-05-16T00:13:30-05:00,0.0,0.0,69.75,,68.26,70.43,73.41,61.91,64.61,68.54,64.21,74.99,71.23,,,67.39,72.88,99.9,66.76,67.11
2023-05-16T00:14:00-05:00,0.0,0.0,69.73,,68.24,70.55,73.14,61.87,64.58,68.59,64.44,74.97,71.2,,,67.36,72.86,99.9,66.71,67.03
2023-05-16T00:14:30-05:00,0.0,0.0,69.7,,68.34,70.35,73.35,61.87,64.71,68.6,64.15,75.08,71.15,,,67.29,72.8,99.9,66.68,67.08
2023-05-16T00:15:00-05:00,0.0,0.0,69.72,,68.15,70.55,73.48,61.92,64.68,68.55,64.57,75.05,71.09,,,67.34,72.9,99.9,66.63,67.07
2023-05-16T00:15:30-05:00,0.0,0.0,69.69,,68.29,70.57,73.39,62.06,64.72,68.46,64.67,75.17,71.08,,,67.26,73.12,99.9,66.68,66.84
2023-05-16T00:16:00-05:00,0.0,0.0,69.67,,68.24,70.58,73.36,61.95,64.73,68.47,64.68,75.16,71.07,,,67.35,73.17,99.9,66.75,66.89
2023-05-16T00:16:30-05:00,0.0,0.0,69.75,,68.24,70.47,73.49,62.01,64.7,68.42,64.19,75.35,71.02,,,67.39,72.92,99.9,66.75,66.94
2023-05-16T00:17:00-05:00,0.0,0.0,69.7,,68.25,70.58,73.44,61.91,64.72,68.38,64.25,75.27,70.93,,,67.31,73.04,99.9,66.78,66.91
2023-05-16T00:17:30-05:00,0.0,0.0,69.72,,68.23,70.68,73.54,61.96,64.8,68.35,64.77,75.09,71.02,,,67.24,73.27,99.9,66.77,66.83
2023-05-16T00:18:00-05:00,0.0,0.0,69.73,,68.19,70.6,73.3,62.12,,68.29,64.83,75.2,70.91,,,67.4,73.25,99.9,66.85,66.92
2023-05-16T00:18:30-05:00,0.0,0.0,69.72,,68.16,70.59,73.3,62.03,64.79,68.39,64.57,75.18,70.97,,,67.44,73.43,99.9,66.88,67.04
2023-05-16T00:19:00-05:00,0.0,0.0,69.68,,68.1,70.75,73.32,61.95,64.78,68.38,64.81,75.17,70.89,,,67.21,73.22,99.9,66.96,66.94
2023-05-16T00:19:30-05:00,0.0,0.0,69.69,,67.99,70.68,73.15,61.93,64.77,68.47,64.6,74.98,70.94,,,67.31,72.98,99.9,66.96,67.08
2023-05-16T00:20:00-05:00,0.0,0.0,69.64,,68.02,70.56,73.33,61.79,64.7,68.6,64.84,75.07,70.92,,,67.27,73.01,99.9,66.96,67.05
2023-05-16T00:20:30-05:00,0.0,0.0,69.63,,67.86,70.6,73.5,61.7,64.65,68.81,64.77,75.08,70.93,,,67.26,72.8,99.9,67.0,67.09
2023-05-16T00:21:00-05:00,0.0,0.0,69.59,,67.81,70.6,73.31,61.59,,68.9,65.19,75.03,70.9,,,67.13,73.05,99.9,67.0,67.04
2023-05-16T00:21:30-05:00,0.0,0.0,69.54,,67.79,70.55,73.28,61.71,64.51,68.96,64.83,75.06,70.92,,,67.31,73.02,99.9,67.03,67.21
2023-05-16T00:22:00-05:00,0.0,0.0,69.66,,67.77,70.46,73.18,61.53,,68.96,65.13,75.13,70.84,,,67.34,73.26,99.9,67.06,67.36
2023-05-16T00:22:30-05:00,0.0,0.0,69.7,,67.65,70.4,73.18,61.38,64.38,69.05,65.26,75.1,70.89,,,67.48,73.4,99.9,67.08,67.36
2023-05-16T00:23:00-05:00,0.0,0.0,69.73,,67.61,70.49,73.34,61.17,64.31,68.91,65.34,75.18,70.86,,,67.59,73.58,99.9,67.13,67.3
2023-05-16T00:23:30-05:00,0.0,0.0,69.72,,67.61,70.3,73.22,61.08,64.41,69.07,65.01,75.14,70.84,,,67.55,73.66,99.9,67.27,67.35
2023-05-16T00:24:00-05:00,0.0,0.0,69.89,,67.51,70.36,72.91,60.94,64.46,68.88,64.89,75.3,70.83,,,67.91,73.64,99.9,67.33,67.39
2023-05-16T00:24:30-05:00,0.0,0.0,69.91,,67.45,70.42,72.9,60.87,64.41,69.02,64.75,75.23,70.82,,,67.98,73.67,99.9,67.35,67.56
2023-05-16T00:25:00-05:00,0.0,0.0,69.9,,67.47,70.48,72.88,60.72,64.62,69.19,64.84,75.28,70.87,,,67.96,73.53,99.9,67.29,67.55
2023-05-16T00:25:30-05:00,0.0,0.0,69.99,,67.26,70.53,72.93,60.85,64.51,69.29,64.93,75.22,70.74,,,68.05,73.45,99.9,67.29,67.55
2023-05-16T00:26:00-05:00,0.0,0.0,69.98,,67.18,70.63,72.78,60.62,64.59,69.5,65.05,75.13,70.81,,,68.32,73.28,99.9,67.3,67.59
2023-05-16T00:26:30-05:00,0.0,0.0,69.99,,67.21,70.63,72.49,60.64,64.31,69.68,65.23,75.06,70.91,,,68.31,73.15,99.9,67.2,67.54
2023-05-16T00:27:00-05:00,0.0,0.0,70.04,,67.43,70.66,72.65,60.68,64.35,69.95,65.31,75.25,70.84,,,68.41,73.04,99.9,67.23,67.64
2023-05-16T00:27:30-05:00,0.0,0.0,70.05,,67.56,70.69,72.63,60.72,64.31,69.97,65.66,75.35,70.84,,,68.48,73.27,99.9,67.35,67.61
2023-05-16T00:28:00-05:00,0.0,0.0,70.04,,67.55,70.63,72.82,60.42,65.17,69.94,65.37,75.3,70.8,,,68.45,73.51,99.9,67.33,67.61
2023-05-16T00:28:30-05:00,0.0,0.0,70.07,,67.6,70.73,72.97,60.3,64.44,70.09,65.55,75.43,70.62,,,68.55,73.45,99.9,67.3,67.51
2023-05-16T00:29:00-05:00,0.0,0.0,70.09,,67.6,70.62,72.84,60.51,64.26,70.06,65.09,75.46,70.75,,,68.53,73.77,99.9,67.29,67.5
2023-05-16T00:29:30-05:00,0.0,0.0,70.06,,67.64,70.61,73.23,60.45,64.19,70.16,65.28,75.5,70.79,,,68.45,73.71,99.9,67.25,67.64
2023-05-16T00:30:00-05:00,0.0,0.0,70.0,,67.58,70.68,72.98,60.6,64.19,69.73,65.58,75.49,70.74,,,68.48,73.71,99.9,67.25,67.64
2023-05-16T00:30:30-05:00,0.0,0.0,70.07,,67.48,70.64,72.63,60.59,64.13,70.08,65.25,75.53,70.9,,,68.54,,99.9,67.28,67.62
2023-05-16T00:31:00-05:00,0.0,0.0,69.99,,67.48,70.62,72.95,60.52,64.2,70.11,65.3,75.48,70.76,,,68.44,73.74,99.9,67.26,67.73
2023-05-16T00:31:30-05:00,0.0,0.0,69.96,,67.48,70.63,72.98,60.55,63.86,70.04,65.48,75.51,70.78,,,68.39,73.65,99.9,67.25,67.76
2023-05-16T00:32:00-05:00,0.0,0.0,70.1,,67.41,70.49,72.88,60.55,63.85,70.03,65.53,75.45,70.81,,,68.69,73.67,99.9,67.3,67.82
2023-05-16T00:32:30-05:00,0.0,0.0,70.01,,67.32,70.46,72.85,60.55,63.89,69.96,65.49,75.46,70.79,,,68.61,73.74,99.9,67.36,67.87
2023-05-16T00:33:00-05:00,0.0,0.0,69.95,,67.17,70.49,72.34,60.52,63.91,69.92,65.59,75.38,70.78,,,68.5,,99.9,67.42,67.85
2023-05-16T00:33:30-05:00,0.0,0.0,69.97,,67.11,70.32,72.45,60.58,63.88,70.0,65.48,75.42,71.22,,,68.31,73.82,99.9,67.49,67.8
2023-05-16T00:34:00-05:00,0.0,0.0,69.97,,67.13,70.38,72.31,60.52,63.87,69.87,65.53,75.39,70.84,,,68.41,73.98,99.9,67.44,67.78
2023-05-16T00:34:30-05:00,0.0,0.0,69.97,,67.0,70.28,72.38,60.38,63.85,69.84,65.67,75.39,70.73,,,68.44,74.15,99.9,67.51,67.87
2023-05-16T00:35:00-05:00,0.0,0.0,69.95,,67.09,70.3,72.65,60.36,63.8,69.77,65.87,75.43,70.75,,,68.41,74.31,99.9,67.51,68.08
2023-05-16T00:35:30-05:00,0.0,0.0,70.07,,66.98,70.38,72.7,60.24,63.83,69.86,65.7,75.43,70.69,,,68.75,74.36,99.9,67.48,68.03
2023-05-16T00:36:00-05:00,0.0,0.0,70.09,,66.92,70.36,72.8,60.22,63.73,69.87,65.62,75.43,70.67,,,68.69,74.52,99.9,67.44,68.2
2023-05-16T00:36:30-05:00,0.0,0.0,70.09,,66.85,70.38,72.95,60.18,63.62,69.91,65.69,75.36,70.64,,,68.91,74.19,99.9,67.53,68.12
2023-05-16T00:37:00-05:00,0.0,0.0,70.04,,66.87,70.26,72.88,60.09,63.5,69.93,65.8,75.27,70.64,,,68.7,74.15,99.9,67.6,68.14
2023-05-16T00:37:30-05:00,0.0,0.0,69.98,,66.83,70.36,72.81,60.44,63.47,69.88,65.91,75.36,70.67,,,68.58,74.24,99.9,67.61,68.18
2023-05-16T00:38:00-05:00,0.0,0.0,70.03,,66.69,70.35,72.97,60.27,63.54,69.96,65.92,75.5,70.66,,,68.5,74.1,99.9,67.67,68.19
2023-05-16T00:38:30-05:00,0.0,0.0,70.07,,66.87,70.29,72.88,60.32,63.48,69.83,65.75,75.51,70.65,,,68.7,74.1,99.9,67.77,68.19
2023-05-16T00:39:00-05:00,0.0,0.0,70.11,,66.91,70.34,72.92,60.43,63.09,69.89,65.73,75.5,70.6,,,68.77,74.11,99.9,68.01,68.12
2023-05-16T00:39:30-05:00,0.0,0.0,70.09,,67.05,70.26,72.95,60.24,63.13,69.77,65.73,75.48,70.62,,,68.93,74.11,99.9,68.01,68.11
2023-05-16T00:40:00-05:00,0.0,0.0,70.08,,67.08,70.21,73.03,60.21,63.18,69.8,65.78,75.41,70.75,,,68.86,73.94,,68.09,68.11
2023-05-16T00:40:30-05:00,0.0,0.0,70.02,,67.2,69.99,72.91,59.91,63.18,69.72,65.68,75.47,70.74,,,68.61,74.07,99.9,68.25,68.11
2023-05-16T00:41:00-05:00,0.0,0.0,69.93,,67.26,70.28,72.87,60.0,63.2,69.65,65.81,75.5,70.8,,,68.49,74.13,99.9,68.27,68.18
2023-05-16T00:41:30-05:00,0.0,0.0,69.94,,67.36,70.35,72.87,60.25,63.2,69.71,65.92,75.48,70.76,,,68.53,74.07,99.9,68.32,68.35
2023-05-16T00:42:00-05:00,0.0,0.0,69.92,,67.39,70.43,72.82,59.89,63.18,69.78,65.8,75.47,70.78,,,68.46,73.91,99.9,68.3,68.32
2023-05-16T00:42:30-05:00,0.0,0.0,69.92,,67.43,70.35,72.85,59.69,63.14,69.76,66.04,75.51,70.7,,,68.37,74.02,99.9,68.22,68.36
2023-05-16T00:43:00-05:00,0.0,0.0,69.9,,67.48,70.54,72.95,59.75,62.73,69.73,65.99,75.51,70.78,,,68.28,74.03,99.9,68.12,68.36
2023-05-16T00:43:30-05:00,0.0,0.0,69.92,,67.47,70.55,72.99,59.9,62.64,69.72,65.96,75.52,70.8,,,68.2,73.97,99.9,68.1,68.4
2023-05-16T00:44:00-05:00,0.0,0.0,69.95,,67.49,,73.04,59.7,62.65,69.71,65.89,75.58,70.89,,,68.03,73.87,99.9,68.1,68.39
2023-05-16T00:44:30-05:00,0.0,0.0,69.83,,67.5,70.54,73.07,59.5,62.6,69.66,66.05,75.5,70.98,,,67.94,73.88,99.9,68.01,68.51
2023-05-16T00:45:00-05:00,0.0,0.0,69.76,,67.48,70.43,73.05,59.44,62.6,69.68,66.21,75.36,71.0,,,67.64,73.91,99.9,68.0,68.45
2023-05-16T00:45:30-05:00,0.0,0.0,69.82,,67.55,70.33,73.17,59.5,62.66,69.71,65.97,75.41,71.04,,,67.69,73.91,99.9,67.99,68.37
2023-05-16T00:46:00-05:00,0.0,0.0,69.92,,67.57,70.41,73.26,59.52,62.7,69.74,66.25,75.32,71.11,,,67.88,73.88,99.9,67.95,68.32
2023-05-16T00:46:30-05:00,0.0,0.0,69.85,,67.49,70.26,73.28,59.42,62.67,,65.85,75.39,71.23,,,67.76,73.86,99.9,67.96,68.26
2023-05-16T00:47:00-05:00,0.0,0.0,69.82,,67.51,70.17,73.31,59.86,62.64,,66.46,75.77,71.11,,,67.59,73.89,99.9,67.98,68.13
2023-05-16T00:47:30-05:00,0.0,0.0,69.74,,67.49,70.33,73.29,59.47,62.62,,66.46,75.97,71.16,,,67.43,73.84,99.9,68.02,67.95
2023-05-16T00:48:00-05:00,0.0,0.0,69.8,,67.32,70.48,73.37,59.56,62.39,,66.29,75.99,71.17,,,67.43,73.95,99.9,68.02,68.18
2023-05-16T00:48:30-05:00,0.0,0.0,69.69,,67.31,70.39,73.48,59.62,62.01,,65.99,76.04,71.12,,,67.39,73.94,99.9,68.02,68.25
2023-05-16T00:49:00-05:00,0.0,0.0,69.68,,67.32,70.42,73.57,59.51,62.03,,66.14,76.01,71.17,,,67.24,73.69,99.9,68.03,68.21
2023-05-16T00:49:30-05:00,0.0,0.0,69.64,,67.3,70.46,73.58,59.47,61.94,,66.08,76.08,71.26,,,67.11,73.69,99.9,68.07,68.3
2023-05-16T00:50:00-05:00,0.0,0.0,69.6,,67.35,70.6,73.64,59.58,61.92,,65.93,76.12,71.23,,,67.12,73.75,99.9,68.04,68.42
2023-05-16T00:50:30-05:00,0.0,0.0,69.67,,67.27,70.54,73.58,59.75,61.97,,66.07,76.11,71.27,,,67.11,73.69,99.9,68.04,68.44
2023-05-16T00:51:00-05:00,0.0,0.0,69.69,,67.24,70.57,73.53,59.7,61.97,,66.02,76.13,71.27,,,67.02,73.66,99.9,67.95,68.3
2023-05-16T00:51:30-05:00,0.0,0.0,69.62,,67.28,70.75,73.42,59.74,62.04,,65.19,76.2,71.34,,,67.12,73.96,99.9,67.94,68.19
2023-05-16T00:52:00-05:00,0.0,0.0,69.57,,67.18,70.64,73.41,59.89,62.13,69.77,66.07,76.22,71.26,,,66.96,74.06,99.9,67.92,68.18
2023-05-16T00:52:30-05:00,0.0,0.0,69.6,,67.1,70.77,73.3,59.92,62.1,69.77,65.94,76.22,71.21,,,67.03,73.92,99.9,67.78,68.32
2023-05-16T00:53:00-05:00,0.0,0.0,69.66,,67.06,70.86,73.35,60.01,62.07,69.7,66.52,76.25,71.18,,,67.28,74.11,99.9,67.7,68.16
2023-05-16T00:53:30-05:00,0.0,0.0,69.63,,67.14,70.96,73.24,59.98,62.03,69.68,65.87,76.28,71.18,,,67.26,74.14,99.9,67.7,68.18
2023-05-16T00:54:00-05:00,0.0,0.0,69.59,,67.17,70.97,73.17,59.99,62.3,69.73,65.87,76.21,71.21,,,67.21,74.3,99.9,67.74,68.22
2023-05-16T00:54:30-05:00,0.0,0.0,69.63,,67.26,70.94,73.17,60.04,62.09,69.81,65.42,76.23,71.3,,,67.33,74.17,99.9,67.78,68.03
