DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_3782_x,TANGARA_3782_y,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-16T00:00:00-05:00,0.0,0.0,23.76,,,,,,27.66,26.61,,27.32,26.28,,,24.14,25.89,,27.55,
2023-05-16T00:00:30-05:00,0.0,0.0,23.76,,26.48,27.32,26.59,29.46,27.63,26.6,29.2,27.35,26.26,,,24.12,25.89,27.0,27.55,27.69
2023-05-16T00:01:00-05:00,0.0,0.0,23.75,,26.48,27.29,26.57,29.41,27.66,26.6,29.19,27.33,26.25,,,24.09,25.89,27.0,27.55,27.73
2023-05-16T00:01:30-05:00,0.0,0.0,23.74,,26.48,27.26,26.54,29.38,27.63,26.57,29.13,27.32,26.24,,,24.09,25.86,27.0,27.52,27.76
2023-05-16T00:02:00-05:00,0.0,0.0,23.75,,26.48,27.22,26.48,29.35,27.65,26.55,29.09,27.31,26.24,,,24.06,25.86,27.0,27.49,27.79
2023-05-16T00:02:30-05:00,0.0,0.0,23.75,,26.48,27.24,26.45,29.3,27.65,26.57,29.08,27.31,26.22,,,24.05,25.88,27.0,27.49,27.83
2023-05-16T00:03:00-05:00,0.0,0.0,23.71,,26.46,27.19,26.45,29.25,27.69,26.55,29.06,27.31,26.19,,,24.0,25.84,27.0,27.51,27.84
2023-05-16T00:03:30-05:00,0.0,0.0,23.72,,26.45,27.19,26.44,29.22,27.66,26.58,29.03,27.31,26.19,,,23.99,25.86,27.0,27.51,27.87
2023-05-16T00:04:00-05:00,0.0,0.0,23.69,,26.44,27.18,26.41,29.18,27.67,26.55,29.01,27.29,26.21,,,23.97,25.85,27.0,27.48,27.84
2023-05-16T00:04:30-05:00,0.0,0.0,23.69,,26.45,27.14,26.41,29.18,27.67,26.54,28.96,27.29,26.21,,,23.95,25.84,27.0,27.51,27.87
2023-05-16T00:05:00-05:00,0.0,0.0,23.69,,26.46,27.14,26.43,29.15,27.66,26.55,28.92,27.29,26.22,,,23.93,25.86,27.1,27.49,27.87
2023-05-16T00:05:30-05:00,0.0,0.0,23.66,,26.46,27.11,26.41,29.12,27.66,26.57,28.87,27.28,26.24,,,23.93,25.85,27.0,27.49,27.9
2023-05-16T00:06:00-05:00,0.0,0.0,23.68,,26.48,27.1,26.4,29.08,27.67,26.58,28.81,27.26,26.21,,,23.93,25.86,27.0,27.49,27.9
2023-05-16T00:06:30-05:00,0.0,0.0,23.69,,26.51,27.08,26.4,29.07,27.67,26.64,28.78,27.25,26.21,,,23.93,25.84,27.0,27.51,27.89
2023-05-16T00:07:00-05:00,0.0,0.0,23.69,,26.52,27.08,26.41,29.05,27.66,26.64,28.76,27.26,26.19,,,23.95,25.84,27.0,27.51,27.89
2023-05-16T00:07:30-05:00,0.0,0.0,23.69,,26.51,27.04,26.43,29.03,27.67,26.62,28.72,27.28,26.19,,,23.9,25.84,27.0,27.49,27.92
2023-05-16T00:08:00-05:00,0.0,0.0,23.66,,26.55,27.03,26.41,29.0,27.67,26.64,28.71,27.28,26.22,,,23.9,25.85,27.0,27.51,
2023-05-16T00:08:30-05:00,0.0,0.0,23.66,,26.57,27.01,26.45,28.95,27.65,26.65,28.68,27.23,26.19,,,23.93,25.85,27.0,27.46,27.92
2023-05-16T00:09:00-05:00,0.0,0.0,23.69,,26.59,27.03,26.45,28.95,27.65,26.68,28.61,27.26,26.21,,,23.92,25.84,27.0,27.49,27.89
2023-05-16T00:09:30-05:00,0.0,0.0,23.65,,26.62,27.0,26.49,28.95,27.63,26.71,28.57,27.23,26.19,,,23.93,25.84,27.0,27.45,27.89
2023-05-16T00:10:00-05:00,0.0,0.0,23.68,,26.6,27.0,26.45,28.93,27.62,26.68,28.54,27.25,26.18,,,23.95,25.85,27.0,27.48,27.87
2023-05-16T00:10:30-05:00,0.0,0.0,23.65,,26.63,26.98,26.48,28.93,27.63,26.67,28.52,27.25,26.19,,,24.0,25.85,27.0,27.46,27.93
2023-05-16T00:11:00-05:00,0.0,0.0,23.66,,26.63,26.97,26.54,28.93,27.6,26.69,28.51,27.25,26.21,,,24.02,25.86,27.0,27.45,27.87
2023-05-16T00:11:30-05:00,0.0,0.0,23.68,,26.63,26.93,26.52,28.93,27.6,26.67,28.48,27.26,26.22,,,24.05,25.82,27.0,27.45,27.89
2023-05-16T00:12:00-05:00,0.0,0.0,23.71,,26.66,26.95,26.55,28.91,27.63,26.68,28.49,27.23,26.24,,,24.07,25.85,27.1,27.45,27.87
2023-05-16T00:12:30-05:00,0.0,0.0,23.71,,26.63,26.94,26.55,28.9,27.65,26.68,28.44,27.26,26.24,,,24.12,25.88,27.0,27.45,27.87
2023-05-16T00:13:00-05:00,0.0,0.0,23.69,,26.62,26.91,26.58,28.91,,26.68,28.45,27.26,26.22,,,24.12,25.86,27.0,27.44,27.89
2023-05-16T00:13:30-05:00,0.0,0.0,23.69,,26.62,26.9,26.57,28.87,27.6,26.68,28.43,27.26,26.24,,,24.12,25.88,27.0,27.46,27.9
2023-05-16T00:14:00-05:00,0.0,0.0,23.69,,26.62,26.91,26.59,28.88,27.6,26.68,28.41,27.23,26.24,,,24.12,25.89,27.1,27.44,27.89
2023-05-16T00:14:30-05:00,0.0,0.0,23.65,,26.62,26.91,26.59,28.88,27.57,26.67,28.4,27.23,26.24,,,24.1,25.88,27.0,27.44,27.9
2023-05-16T00:15:00-05:00,0.0,0.0,23.68,,26.59,26.91,26.58,28.86,27.57,26.68,28.38,27.23,26.25,,,24.1,25.88,27.0,27.41,27.89
2023-05-16T00:15:30-05:00,0.0,0.0,23.66,,26.59,26.91,26.58,28.86,27.57,26.68,28.37,27.21,26.25,,,24.1,25.88,27.0,27.42,27.89
2023-05-16T00:16:00-05:00,0.0,0.0,23.66,,26.6,26.88,26.61,28.84,27.57,26.68,28.38,27.23,26.25,,,24.1,25.88,27.0,27.4,27.89
2023-05-16T00:16:30-05:00,0.0,0.0,23.65,,26.57,26.88,26.59,28.86,27.56,26.71,28.25,27.22,26.25,,,24.07,25.86,27.0,27.4,27.87
2023-05-16T00:17:00-05:00,0.0,0.0,23.66,,26.59,26.9,26.59,28.84,27.52,26.69,28.27,27.22,26.24,,,24.12,25.85,27.1,27.38,27.83
2023-05-16T00:17:30-05:00,0.0,0.0,23.68,,26.57,26.86,26.59,28.82,27.49,26.69,28.21,27.19,26.26,,,24.12,25.82,27.1,27.38,27.86
