DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_3782_x,TANGARA_3782_y,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-16T00:00:00-05:00,17,21,13,,,,,,34,25,,25,25,,,13,25,,38,
2023-05-16T00:00:30-05:00,13,25,13,,53,42,122,30,34,25,30,25,25,,,21,21,0,42,25
2023-05-16T00:01:00-05:00,13,25,17,,38,46,127,25,34,30,25,25,25,,,17,21,21,34,34
2023-05-16T00:01:30-05:00,13,25,17,,34,42,132,30,34,30,21,30,25,,,13,21,17,38,34
2023-05-16T00:02:00-05:00,13,30,13,,34,42,130,30,34,30,21,30,25,,,13,25,17,38,30
2023-05-16T00:02:30-05:00,13,30,13,,34,42,130,30,34,30,21,25,25,,,13,25,17,38,30
2023-05-16T00:03:00-05:00,13,25,13,,34,42,132,30,34,30,21,30,25,,,17,25,21,38,30
2023-05-16T00:03:30-05:00,13,25,13,,34,42,127,25,34,30,25,25,30,,,17,21,17,38,30
2023-05-16T00:04:00-05:00,13,25,17,,34,42,132,30,34,30,25,25,25,,,13,25,17,34,30
2023-05-16T00:04:30-05:00,13,25,17,,34,42,,30,34,30,25,25,21,,,13,25,21,38,30
2023-05-16T00:05:00-05:00,13,25,17,,38,38,,25,34,30,25,25,25,,,13,21,17,38,30
2023-05-16T00:05:30-05:00,13,25,13,,38,42,130,25,34,30,25,25,25,,,17,25,25,46,30
2023-05-16T00:06:00-05:00,13,25,17,,38,38,125,25,34,30,21,25,25,,,17,25,25,46,30
2023-05-16T00:06:30-05:00,13,30,17,,38,38,108,25,34,30,21,30,25,,,13,25,17,42,30
2023-05-16T00:07:00-05:00,13,30,13,,38,42,87,25,34,30,25,30,25,,,13,21,25,42,30
2023-05-16T00:07:30-05:00,13,25,17,,38,42,81,25,34,25,21,25,21,,,13,21,25,46,30
2023-05-16T00:08:00-05:00,13,30,17,,38,38,83,25,34,30,25,30,25,,,13,21,17,42,
2023-05-16T00:08:30-05:00,13,25,17,,38,42,81,30,34,30,25,25,25,,,13,21,21,46,30
2023-05-16T00:09:00-05:00,13,25,13,,42,42,85,25,34,30,21,25,21,,,13,25,30,50,30
2023-05-16T00:09:30-05:00,13,25,13,,42,42,83,30,34,25,17,30,25,,,13,25,17,50,34
2023-05-16T00:10:00-05:00,13,25,17,,42,38,83,25,34,25,21,30,21,,,21,25,25,46,34
2023-05-16T00:10:30-05:00,13,25,13,,34,42,83,25,34,25,21,30,21,,,13,25,21,50,34
2023-05-16T00:11:00-05:00,13,21,17,,34,42,89,25,34,25,21,30,25,,,13,25,21,46,30
2023-05-16T00:11:30-05:00,13,25,17,,34,46,89,25,34,30,21,30,25,,,13,25,25,50,25
2023-05-16T00:12:00-05:00,13,25,17,,30,46,89,25,34,25,21,25,25,,,13,25,21,42,25
2023-05-16T00:12:30-05:00,13,25,17,,30,42,87,25,34,25,21,30,25,,,13,25,25,42,30
2023-05-16T00:13:00-05:00,13,25,13,,30,42,85,25,,25,21,30,25,,,17,25,13,50,30
2023-05-16T00:13:30-05:00,13,25,17,,34,42,91,25,34,30,25,34,25,,,13,25,17,42,30
2023-05-16T00:14:00-05:00,13,30,17,,30,42,91,25,34,25,25,34,25,,,17,25,17,46,30
2023-05-16T00:14:30-05:00,13,25,17,,30,42,91,30,34,30,25,30,25,,,17,25,17,50,30
2023-05-16T00:15:00-05:00,13,25,13,,30,46,89,25,34,30,25,30,25,,,13,25,21,50,30
2023-05-16T00:15:30-05:00,13,30,13,,25,46,89,30,34,25,21,30,25,,,13,25,21,50,30
2023-05-16T00:16:00-05:00,13,30,17,,30,46,89,25,34,30,25,34,21,,,13,21,25,53,34
2023-05-16T00:16:30-05:00,13,25,17,,30,42,85,30,34,30,25,34,21,,,17,25,17,53,30
2023-05-16T00:17:00-05:00,13,25,13,,34,42,87,25,34,25,21,34,21,,,17,25,21,53,25
2023-05-16T00:17:30-05:00,13,25,13,,30,38,83,25,34,30,21,30,25,,,17,25,21,46,30
2023-05-16T00:18:00-05:00,13,25,13,,30,46,87,25,,25,21,34,25,,,17,25,25,50,34
2023-05-16T00:18:30-05:00,13,30,13,,30,42,89,25,34,25,21,30,25,,,17,25,30,53,30
2023-05-16T00:19:00-05:00,13,25,17,,30,42,87,25,34,30,21,34,21,,,17,21,30,55,30
2023-05-16T00:19:30-05:00,13,25,13,,25,38,85,30,34,25,21,30,21,,,13,25,25,53,30
2023-05-16T00:20:00-05:00,13,30,13,,25,42,85,25,34,25,21,30,25,,,13,25,25,50,30
2023-05-16T00:20:30-05:00,13,30,17,,30,38,83,21,34,25,21,34,25,,,17,21,25,53,30
2023-05-16T00:21:00-05:00,13,25,13,,30,42,83,25,,25,21,34,25,,,13,21,21,50,30
2023-05-16T00:21:30-05:00,13,25,13,,30,38,81,25,34,30,21,30,25,,,17,25,34,53,34
2023-05-16T00:22:00-05:00,13,25,17,,30,42,66,30,,25,21,30,21,,,17,21,21,53,25
2023-05-16T00:22:30-05:00,13,25,17,,30,42,66,25,34,30,21,30,21,,,17,25,17,50,30
2023-05-16T00:23:00-05:00,13,25,17,,30,38,68,21,34,25,21,34,25,,,13,21,30,53,30
2023-05-16T00:23:30-05:00,13,25,17,,30,42,70,21,34,30,17,30,25,,,13,21,30,53,30
2023-05-16T00:24:00-05:00,13,25,17,,30,38,64,21,34,30,25,30,21,,,13,21,17,53,30
2023-05-16T00:24:30-05:00,13,25,13,,30,38,64,30,34,30,21,30,21,,,13,21,21,53,30
2023-05-16T00:25:00-05:00,13,25,17,,25,38,60,21,34,25,21,30,21,,,13,25,34,53,30
2023-05-16T00:25:30-05:00,13,25,13,,25,38,58,25,34,30,21,34,25,,,13,25,34,53,30
2023-05-16T00:26:00-05:00,13,25,17,,25,38,60,25,34,30,21,30,25,,,13,25,30,55,34
2023-05-16T00:26:30-05:00,13,30,17,,25,38,58,25,34,30,17,34,21,,,13,21,25,53,30
2023-05-16T00:27:00-05:00,13,25,17,,30,34,58,25,34,30,17,30,21,,,17,21,25,53,30
2023-05-16T00:27:30-05:00,13,25,17,,30,34,58,25,34,30,17,34,25,,,17,21,30,53,34
2023-05-16T00:28:00-05:00,13,25,17,,30,38,64,25,34,30,21,34,21,,,13,21,25,55,30
2023-05-16T00:28:30-05:00,13,30,13,,25,34,66,25,34,30,21,34,25,,,13,21,21,55,34
2023-05-16T00:29:00-05:00,13,25,17,,30,34,62,25,34,34,17,25,25,,,13,21,13,50,34
2023-05-16T00:29:30-05:00,13,30,17,,34,38,64,25,34,25,21,30,25,,,13,25,25,42,34
2023-05-16T00:30:00-05:00,13,25,17,,30,38,62,21,34,30,21,30,25,,,17,21,30,46,34
2023-05-16T00:30:30-05:00,13,30,17,,30,34,58,25,34,30,17,30,25,,,13,,25,53,34
2023-05-16T00:31:00-05:00,13,30,17,,30,34,62,25,34,30,17,30,25,,,13,21,21,50,34
2023-05-16T00:31:30-05:00,13,30,17,,30,38,55,25,34,30,21,30,25,,,17,25,25,53,34
2023-05-16T00:32:00-05:00,13,25,17,,25,34,53,25,34,30,21,30,25,,,17,25,25,46,34
2023-05-16T00:32:30-05:00,13,25,17,,30,34,55,25,34,30,21,34,25,,,17,21,25,46,34
2023-05-16T00:33:00-05:00,13,30,17,,30,30,55,25,34,30,21,34,25,,,13,,25,50,34
2023-05-16T00:33:30-05:00,13,30,17,,30,34,53,25,34,30,21,34,21,,,17,25,25,50,34
2023-05-16T00:34:00-05:00,13,30,13,,30,34,50,25,34,30,17,34,25,,,17,25,30,50,34
