DATETIME,TANGARA_2BBA,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-17T09:31:30-05:00,0.0,,0.0,,,59.78,58.72,45.29,57.65,57.16,0.0,62.1,66.92,61.21,50.21,,,99.9,59.04,60.04
2023-05-17T09:32:00-05:00,0.0,,0.0,,,59.34,58.83,45.26,57.58,57.22,0.0,62.49,66.87,61.24,50.37,,67.92,99.9,58.65,59.98
2023-05-17T09:32:30-05:00,0.0,,0.0,,,60.01,58.45,46.06,57.89,57.27,0.0,62.37,66.79,61.84,49.93,,67.4,99.9,58.33,60.39
2023-05-17T09:33:00-05:00,0.0,,0.0,,,60.06,58.34,45.94,57.81,57.28,0.0,62.34,,61.26,49.94,,67.47,99.9,58.2,60.2
2023-05-17T09:33:30-05:00,0.0,,0.0,,,59.36,58.67,45.39,57.78,57.31,0.0,62.31,,61.45,49.72,,66.77,99.9,58.3,60.19
2023-05-17T09:34:00-05:00,0.0,,0.0,,,60.05,58.34,45.58,57.81,57.45,0.0,62.12,,61.18,49.89,,66.8,99.9,58.3,60.26
2023-05-17T09:34:30-05:00,0.0,,0.0,,,60.07,58.66,45.11,57.78,57.45,0.0,62.0,,61.42,,,65.96,99.9,58.37,60.39
2023-05-17T09:35:00-05:00,0.0,,0.0,,,59.4,58.16,45.25,57.74,57.29,0.0,61.85,,60.4,49.06,,66.49,99.9,58.37,59.99
2023-05-17T09:35:30-05:00,0.0,,0.0,,,59.52,58.53,44.75,57.33,57.18,0.0,60.74,,60.75,48.97,,66.92,99.9,58.03,60.27
2023-05-17T09:36:00-05:00,0.0,,0.0,,,59.3,58.31,44.57,57.09,56.96,0.0,60.7,66.38,60.41,48.81,,67.11,99.9,57.72,60.17
2023-05-17T09:36:30-05:00,0.0,,0.0,,,59.31,58.47,44.7,57.03,56.93,0.0,60.59,66.27,59.71,48.62,,67.06,99.9,57.45,60.23
2023-05-17T09:37:00-05:00,0.0,,0.0,,,58.97,58.02,44.69,56.97,56.89,0.0,61.5,66.24,59.03,48.78,,67.15,99.9,57.45,60.29
2023-05-17T09:37:30-05:00,0.0,,0.0,,,58.44,58.38,44.52,56.96,56.84,0.0,61.43,66.14,58.84,49.03,,67.27,99.9,57.73,60.26
2023-05-17T09:38:00-05:00,0.0,,0.0,,,57.91,57.96,44.55,57.08,56.88,0.0,60.56,66.1,59.13,,,68.0,99.9,57.81,60.43
