DATETIME,TANGARA_2BBA,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-17T09:31:30-05:00,-147.2,,0.0,,,29.83,30.91,36.88,30.51,29.85,0.0,29.73,30.15,29.42,33.09,,,30.6,30.35,30.26
2023-05-17T09:32:00-05:00,-147.2,,0.0,,,29.79,30.91,36.98,30.51,29.86,0.0,29.79,30.19,29.48,33.1,,27.72,30.8,30.37,30.3
2023-05-17T09:32:30-05:00,-147.2,,0.0,,,29.82,30.91,36.9,30.57,29.85,0.0,29.81,30.28,29.49,33.15,,27.7,30.8,30.37,30.36
2023-05-17T09:33:00-05:00,-147.2,,0.0,,,29.77,30.92,36.97,30.57,29.89,0.0,29.9,,29.55,33.22,,27.72,30.9,30.37,30.4
2023-05-17T09:33:30-05:00,-147.2,,0.0,,,29.74,30.9,37.04,30.59,29.92,0.0,29.94,,29.66,33.29,,27.72,30.9,30.41,30.43
2023-05-17T09:34:00-05:00,-147.2,,0.0,,,29.76,30.9,37.21,30.62,29.93,0.0,30.03,,29.73,33.42,,27.69,30.9,30.41,30.49
2023-05-17T09:34:30-05:00,-147.2,,0.0,,,29.73,30.91,37.41,30.65,29.95,0.0,30.13,,29.79,,,27.66,30.8,30.37,30.47
2023-05-17T09:35:00-05:00,-147.2,,0.0,,,29.7,30.88,37.28,30.66,29.98,0.0,30.18,,29.89,33.5,,27.62,30.8,30.34,30.53
2023-05-17T09:35:30-05:00,-147.2,,0.0,,,29.74,30.84,37.35,30.71,30.02,0.0,30.21,,29.93,33.59,,27.63,30.7,30.35,30.53
2023-05-17T09:36:00-05:00,-147.2,,0.0,,,29.77,30.87,37.45,30.71,30.05,0.0,30.25,30.3,30.04,33.66,,27.63,30.7,30.37,30.56
2023-05-17T09:36:30-05:00,-147.2,,0.0,,,29.84,30.87,37.43,30.74,30.05,0.0,30.25,30.3,30.07,33.76,,27.65,30.7,30.31,30.59
2023-05-17T09:37:00-05:00,-147.2,,0.0,,,29.9,30.88,37.24,30.74,30.08,0.0,30.31,30.22,30.13,33.85,,27.63,30.7,30.31,30.54
2023-05-17T09:37:30-05:00,-147.2,,0.0,,,29.92,30.88,37.31,30.75,30.13,0.0,30.37,30.25,30.18,33.76,,27.63,30.8,30.31,30.54
2023-05-17T09:38:00-05:00,-147.2,,0.0,,,29.96,30.92,37.35,30.75,30.14,0.0,30.37,30.23,30.23,,,27.63,30.9,30.35,30.52
2023-05-17T09:38:30-05:00,-147.2,,0.0,,30.03,30.03,30.94,37.39,30.78,30.14,0.0,30.41,30.26,30.3,33.62,,27.69,30.9,30.35,30.54
2023-05-17T09:39:00-05:00,-147.2,,0.0,,30.0,30.06,30.98,37.58,30.78,30.19,0.0,30.44,30.29,30.38,33.6,,27.69,31.0,30.39,30.54
2023-05-17T09:39:30-05:00,-147.2,,0.0,,30.0,30.09,31.1,37.52,30.79,30.23,0.0,30.53,30.35,30.44,33.65,,27.68,31.1,30.35,30.59
2023-05-17T09:40:00-05:00,-147.2,,0.0,,29.99,30.06,31.17,37.58,30.82,30.22,0.0,30.56,30.36,30.48,33.72,,27.66,31.1,30.38,30.59
2023-05-17T09:40:30-05:00,-147.2,,0.0,,30.02,30.06,31.24,37.45,30.85,30.23,0.0,30.65,30.39,30.52,33.73,,27.7,31.2,30.39,30.6
2023-05-17T09:41:00-05:00,-147.2,,0.0,,29.99,30.0,31.31,37.79,30.83,30.26,0.0,30.68,30.33,30.64,33.74,,27.73,31.3,30.43,30.56
2023-05-17T09:41:30-05:00,-147.2,,0.0,,29.99,29.97,31.45,37.76,30.86,30.33,0.0,30.75,30.36,30.71,33.81,,27.75,31.3,30.44,30.54
2023-05-17T09:42:00-05:00,-147.2,,0.0,,30.02,29.96,31.53,37.69,30.87,30.36,0.0,30.84,30.39,30.79,33.85,,27.75,31.4,30.41,30.47
2023-05-17T09:42:30-05:00,-147.2,,0.0,,30.05,29.92,31.62,37.92,30.89,30.43,0.0,30.9,30.42,30.86,33.83,,27.72,31.3,30.41,30.44
2023-05-17T09:43:00-05:00,-147.2,,0.0,,29.96,29.9,31.72,38.03,30.9,30.47,0.0,30.94,30.4,30.91,33.74,,27.73,31.3,30.35,30.47
2023-05-17T09:43:30-05:00,-147.2,,0.0,,29.97,29.92,31.73,38.05,30.89,30.48,0.0,31.02,30.42,30.93,33.63,,27.73,31.3,30.35,30.43
2023-05-17T09:44:00-05:00,-147.2,,0.0,,29.99,29.92,31.75,37.9,30.87,30.53,0.0,30.99,30.4,30.99,33.62,,27.78,31.2,30.34,30.42
2023-05-17T09:44:30-05:00,-147.2,,0.0,,30.02,29.97,31.8,37.99,30.9,30.6,0.0,30.98,30.4,31.09,33.63,,27.82,31.2,30.31,30.39
