DATETIME,TANGARA_2BBA,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-17T09:31:30-05:00,8.0,,6.0,,,22.0,23.0,17.0,7.0,8.0,15.0,,8.0,8.0,26.0,,,8.0,15.0,11.0
2023-05-17T09:32:00-05:00,9.0,,6.0,,,20.0,22.0,13.0,6.0,8.0,15.0,17.0,8.0,8.0,23.0,,8.0,10.0,15.0,10.0
2023-05-17T09:32:30-05:00,9.0,,6.0,,,21.0,24.0,13.0,7.0,8.0,15.0,18.0,8.0,7.0,24.0,,8.0,8.0,14.0,11.0
2023-05-17T09:33:00-05:00,8.0,,6.0,,,22.0,23.0,13.0,5.0,8.0,15.0,16.0,,7.0,28.0,,,8.0,13.0,10.0
2023-05-17T09:33:30-05:00,7.0,,6.0,,,22.0,22.0,13.0,6.0,8.0,15.0,15.0,,7.0,27.0,,8.0,9.0,13.0,11.0
2023-05-17T09:34:00-05:00,8.0,,6.0,,,22.0,22.0,13.0,7.0,8.0,15.0,15.0,,7.0,25.0,,8.0,9.0,14.0,11.0
2023-05-17T09:34:30-05:00,9.0,,6.0,,,23.0,22.0,13.0,6.0,8.0,15.0,16.0,,7.0,,,7.0,11.0,13.0,10.0
2023-05-17T09:35:00-05:00,8.0,,6.0,,,24.0,25.0,13.0,7.0,8.0,15.0,15.0,,6.0,27.0,,7.0,10.0,13.0,11.0
2023-05-17T09:35:30-05:00,8.0,,5.0,,,26.0,24.0,13.0,6.0,8.0,18.0,18.0,,7.0,27.0,,7.0,11.0,16.0,11.0
2023-05-17T09:36:00-05:00,9.0,,6.0,,,23.0,24.0,13.0,6.0,8.0,18.0,18.0,8.0,7.0,28.0,,7.0,11.0,15.0,11.0
2023-05-17T09:36:30-05:00,8.0,,6.0,,,23.0,25.0,12.0,7.0,8.0,18.0,17.0,8.0,6.0,26.0,,8.0,11.0,14.0,12.0
2023-05-17T09:37:00-05:00,9.0,,6.0,,,22.0,25.0,13.0,6.0,8.0,18.0,15.0,8.0,7.0,27.0,,8.0,9.0,13.0,11.0
2023-05-17T09:37:30-05:00,8.0,,6.0,,,24.0,23.0,12.0,7.0,8.0,18.0,15.0,9.0,7.0,29.0,,7.0,8.0,13.0,12.0
2023-05-17T09:38:00-05:00,9.0,,5.0,,,24.0,24.0,13.0,6.0,8.0,18.0,15.0,8.0,7.0,,,6.0,10.0,13.0,11.0
2023-05-17T09:38:30-05:00,8.0,,6.0,,19.0,23.0,22.0,11.0,6.0,8.0,18.0,15.0,9.0,7.0,30.0,,7.0,10.0,16.0,11.0
2023-05-17T09:39:00-05:00,9.0,,6.0,,21.0,23.0,23.0,11.0,6.0,8.0,18.0,14.0,9.0,7.0,29.0,,7.0,10.0,16.0,14.0
2023-05-17T09:39:30-05:00,8.0,,6.0,,23.0,25.0,22.0,12.0,7.0,8.0,18.0,15.0,8.0,8.0,30.0,,7.0,8.0,18.0,13.0
2023-05-17T09:40:00-05:00,8.0,,6.0,,23.0,24.0,22.0,11.0,6.0,8.0,18.0,14.0,8.0,8.0,30.0,,8.0,11.0,16.0,16.0
2023-05-17T09:40:30-05:00,8.0,,6.0,,24.0,23.0,22.0,11.0,6.0,8.0,13.0,14.0,9.0,7.0,30.0,,7.0,9.0,17.0,15.0
2023-05-17T09:41:00-05:00,10.0,,6.0,,22.0,23.0,21.0,12.0,6.0,8.0,14.0,13.0,8.0,8.0,30.0,,6.0,9.0,16.0,14.0
2023-05-17T09:41:30-05:00,9.0,,7.0,,23.0,22.0,20.0,13.0,6.0,8.0,13.0,13.0,7.0,8.0,29.0,,7.0,8.0,18.0,12.0
2023-05-17T09:42:00-05:00,10.0,,6.0,,24.0,21.0,21.0,11.0,7.0,8.0,13.0,13.0,8.0,8.0,29.0,,8.0,6.0,18.0,13.0
2023-05-17T09:42:30-05:00,9.0,,6.0,,23.0,20.0,20.0,11.0,7.0,8.0,13.0,14.0,9.0,8.0,25.0,,7.0,6.0,18.0,14.0
2023-05-17T09:43:00-05:00,8.0,,6.0,,21.0,21.0,19.0,11.0,7.0,8.0,13.0,13.0,9.0,7.0,23.0,,7.0,7.0,19.0,14.0
2023-05-17T09:43:30-05:00,8.0,,6.0,,21.0,21.0,18.0,11.0,7.0,8.0,13.0,15.0,9.0,8.0,23.0,,7.0,10.0,18.0,13.0
2023-05-17T09:44:00-05:00,8.0,,7.0,,22.0,21.0,19.0,12.0,8.0,8.0,14.0,18.0,8.0,7.0,22.0,,7.0,8.0,19.0,13.0
2023-05-17T09:44:30-05:00,8.0,,7.0,,20.0,20.0,17.0,11.0,8.0,8.0,14.0,18.0,9.0,7.0,21.0,,7.0,10.0,18.0,12.0
2023-05-17T09:45:00-05:00,8.0,,6.0,,26.0,21.0,17.0,11.0,7.0,8.0,14.0,17.0,9.0,8.0,19.0,,8.0,10.0,19.0,12.0
2023-05-17T09:45:30-05:00,7.0,,6.0,,28.0,19.0,17.0,12.0,7.0,8.0,14.0,25.0,9.0,8.0,18.0,,7.0,6.0,20.0,12.0
2023-05-17T09:46:00-05:00,8.0,,6.0,,26.0,20.0,16.0,12.0,6.0,8.0,14.0,17.0,10.0,8.0,16.0,,7.0,8.0,19.0,11.0
2023-05-17T09:46:30-05:00,8.0,,6.0,,22.0,22.0,17.0,11.0,6.0,8.0,14.0,17.0,10.0,8.0,16.0,,7.0,8.0,18.0,12.0
2023-05-17T09:47:00-05:00,8.0,,7.0,,21.0,22.0,19.0,11.0,7.0,8.0,14.0,,10.0,7.0,20.0,,7.0,8.0,20.0,12.0
2023-05-17T09:47:30-05:00,8.0,,6.0,,22.0,23.0,21.0,10.0,7.0,8.0,14.0,17.0,10.0,7.0,21.0,,7.0,7.0,20.0,
2023-05-17T09:48:00-05:00,7.0,,6.0,,23.0,22.0,24.0,11.0,7.0,8.0,14.0,,10.0,7.0,23.0,,7.0,9.0,20.0,12.0
2023-05-17T09:48:30-05:00,7.0,,6.0,,23.0,21.0,25.0,10.0,7.0,8.0,14.0,,10.0,6.0,21.0,,8.0,8.0,20.0,12.0
2023-05-17T09:49:00-05:00,7.0,,7.0,,23.0,24.0,24.0,11.0,6.0,8.0,14.0,,10.0,6.0,18.0,,7.0,8.0,19.0,12.0
2023-05-17T09:49:30-05:00,8.0,,7.0,,27.0,32.0,24.0,11.0,7.0,8.0,14.0,,10.0,7.0,17.0,,6.0,8.0,20.0,12.0
2023-05-17T09:50:00-05:00,8.0,,7.0,,26.0,29.0,23.0,10.0,8.0,8.0,14.0,,10.0,6.0,19.0,,7.0,10.0,20.0,13.0
