DATETIME,TANGARA_2BBA,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-17T09:31:30-05:00,34,,25,,,72,74,62,30,34,58,,34,34,81,,,34,58,46
2023-05-17T09:32:00-05:00,38,,25,,,68,72,53,25,34,58,62,34,34,74,,34,42,58,42
2023-05-17T09:32:30-05:00,38,,25,,,70,77,53,30,34,58,64,34,30,77,,34,34,55,46
2023-05-17T09:33:00-05:00,34,,25,,,72,74,53,21,34,58,60,,30,85,,,34,53,42
2023-05-17T09:33:30-05:00,30,,25,,,72,72,53,25,34,58,58,,30,83,,34,38,53,46
2023-05-17T09:34:00-05:00,34,,25,,,72,72,53,30,34,58,58,,30,79,,34,38,55,46
2023-05-17T09:34:30-05:00,38,,25,,,74,72,53,25,34,58,60,,30,,,30,46,53,42
2023-05-17T09:35:00-05:00,34,,25,,,77,79,53,30,34,58,58,,25,83,,30,42,53,46
2023-05-17T09:35:30-05:00,34,,21,,,81,77,53,25,34,64,64,,30,83,,30,46,60,46
2023-05-17T09:36:00-05:00,38,,25,,,74,77,53,25,34,64,64,34,30,85,,30,46,58,46
2023-05-17T09:36:30-05:00,34,,25,,,74,79,50,30,34,64,62,34,25,81,,34,46,55,50
2023-05-17T09:37:00-05:00,38,,25,,,72,79,53,25,34,64,58,34,30,83,,34,38,53,46
2023-05-17T09:37:30-05:00,34,,25,,,77,74,50,30,34,64,58,38,30,87,,30,34,53,50
2023-05-17T09:38:00-05:00,38,,21,,,77,77,53,25,34,64,58,34,30,,,25,42,53,46
2023-05-17T09:38:30-05:00,34,,25,,66,74,72,46,25,34,64,58,38,30,89,,30,42,60,46
2023-05-17T09:39:00-05:00,38,,25,,70,74,74,46,25,34,64,55,38,30,87,,30,42,60,55
2023-05-17T09:39:30-05:00,34,,25,,74,79,72,50,30,34,64,58,34,34,89,,30,34,64,53
2023-05-17T09:40:00-05:00,34,,25,,74,77,72,46,25,34,64,55,34,34,89,,34,46,60,60
2023-05-17T09:40:30-05:00,34,,25,,77,74,72,46,25,34,53,55,38,30,89,,30,38,62,58
2023-05-17T09:41:00-05:00,42,,25,,72,74,70,50,25,34,55,53,34,34,89,,25,38,60,55
2023-05-17T09:41:30-05:00,38,,30,,74,72,68,53,25,34,53,53,30,34,87,,30,34,64,50
2023-05-17T09:42:00-05:00,42,,25,,77,70,70,46,30,34,53,53,34,34,87,,34,25,64,53
2023-05-17T09:42:30-05:00,38,,25,,74,68,68,46,30,34,53,55,38,34,79,,30,25,64,55
2023-05-17T09:43:00-05:00,34,,25,,70,70,66,46,30,34,53,53,38,30,74,,30,30,66,55
2023-05-17T09:43:30-05:00,34,,25,,70,70,64,46,30,34,53,58,38,34,74,,30,42,64,53
2023-05-17T09:44:00-05:00,34,,30,,72,70,66,50,34,34,55,64,34,30,72,,30,34,66,53
2023-05-17T09:44:30-05:00,34,,30,,68,68,62,46,34,34,55,64,38,30,70,,30,42,64,50
2023-05-17T09:45:00-05:00,34,,25,,81,70,62,46,30,34,55,62,38,34,66,,34,42,66,50
2023-05-17T09:45:30-05:00,30,,25,,85,66,62,50,30,34,55,79,38,34,64,,30,25,68,50
2023-05-17T09:46:00-05:00,34,,25,,81,68,60,50,25,34,55,62,42,34,60,,30,34,66,46
2023-05-17T09:46:30-05:00,34,,25,,72,72,62,46,25,34,55,62,42,34,60,,30,34,64,50
2023-05-17T09:47:00-05:00,34,,30,,70,72,66,46,30,34,55,,42,30,68,,30,34,68,50
2023-05-17T09:47:30-05:00,34,,25,,72,74,70,42,30,34,55,62,42,30,70,,30,30,68,
2023-05-17T09:48:00-05:00,30,,25,,74,72,77,46,30,34,55,,42,30,74,,30,38,68,50
2023-05-17T09:48:30-05:00,30,,25,,74,70,79,42,30,34,55,,42,25,70,,34,34,68,50
2023-05-17T09:49:00-05:00,30,,30,,74,77,77,46,25,34,55,,42,25,64,,30,34,66,50
2023-05-17T09:49:30-05:00,34,,30,,83,93,77,46,30,34,55,,42,30,62,,25,34,68,50
2023-05-17T09:50:00-05:00,34,,30,,81,87,74,42,34,34,55,,42,25,66,,30,42,68,53
2023-05-17T09:50:30-05:00,34,,30,,77,77,77,46,30,34,55,79,38,30,66,,25,34,66,50
2023-05-17T09:51:00-05:00,34,,30,,79,70,77,46,30,34,55,,38,25,64,,30,30,68,50
2023-05-17T09:51:30-05:00,30,,30,,74,68,77,50,25,34,55,,38,30,,,30,30,64,46
2023-05-17T09:52:00-05:00,30,,25,,77,70,77,50,30,34,55,,34,30,70,,30,38,55,50
2023-05-17T09:52:30-05:00,34,,25,,77,66,74,50,30,34,55,,34,25,66,,30,34,46,53
2023-05-17T09:53:00-05:00,30,,30,,74,66,79,46,25,34,55,,34,25,64,,25,38,50,53
2023-05-17T09:53:30-05:00,34,,25,,77,70,77,50,30,34,46,,38,25,64,,30,30,46,53
2023-05-17T09:54:00-05:00,34,,30,,77,72,74,46,25,34,46,,42,25,66,,30,34,46,53
2023-05-17T09:54:30-05:00,34,,30,,79,74,77,42,25,34,46,,34,25,64,,30,30,53,55
2023-05-17T09:55:00-05:00,30,,30,,79,70,77,42,30,34,46,,38,30,66,,30,34,42,55
2023-05-17T09:55:30-05:00,34,,30,,77,68,70,42,25,34,46,,38,30,66,,,38,50,55
2023-05-17T09:56:00-05:00,30,,30,,72,70,64,42,30,34,46,,42,25,66,,,38,53,53
2023-05-17T09:56:30-05:00,34,,30,,70,66,60,42,30,34,46,,42,25,66,,,38,53,53
2023-05-17T09:57:00-05:00,30,,30,,70,66,58,42,30,34,46,,42,25,70,,,38,50,53
2023-05-17T09:57:30-05:00,30,,30,,77,70,58,42,30,34,46,,38,25,68,,34,46,50,53
2023-05-17T09:58:00-05:00,30,,34,,70,,55,42,30,34,46,,46,25,68,,,34,50,55
2023-05-17T09:58:30-05:00,30,,30,,66,68,55,46,25,34,46,83,50,21,72,,34,21,46,53
2023-05-17T09:59:00-05:00,30,,30,,64,66,50,46,30,34,58,81,46,25,68,,30,34,46,50
2023-05-17T09:59:30-05:00,30,,30,,72,68,46,50,30,34,58,68,42,25,70,,34,30,53,53
2023-05-17T10:00:00-05:00,30,,25,,68,68,50,46,30,34,58,62,42,25,79,,34,34,58,53
2023-05-17T10:00:30-05:00,34,,25,,62,68,53,46,34,34,58,66,42,21,81,,34,30,58,53
2023-05-17T10:01:00-05:00,34,,25,,60,68,53,42,30,34,58,70,46,21,81,,34,38,62,53
2023-05-17T10:01:30-05:00,34,,34,,58,68,53,46,30,34,58,68,46,21,83,,30,38,64,53
2023-05-17T10:02:00-05:00,34,,30,,58,68,55,42,30,34,58,66,46,21,81,,30,34,58,53
2023-05-17T10:02:30-05:00,34,,30,,58,68,58,42,30,34,58,66,42,21,79,,25,50,60,53
2023-05-17T10:03:00-05:00,30,,25,,55,64,55,46,30,34,58,64,42,21,,,30,38,60,55
2023-05-17T10:03:30-05:00,30,,30,,55,66,55,50,34,34,58,64,38,21,77,,30,34,53,53
2023-05-17T10:04:00-05:00,34,,30,,58,64,50,46,34,34,58,70,42,25,77,,30,34,50,50
2023-05-17T10:04:30-05:00,30,,30,,,68,50,46,30,34,58,64,42,25,77,,30,50,58,50
2023-05-17T10:05:00-05:00,30,,25,,,68,58,46,34,34,58,66,38,25,79,,30,38,62,53
2023-05-17T10:05:30-05:00,34,,25,,,66,58,46,30,34,58,66,38,30,77,,30,42,62,53
2023-05-17T10:06:00-05:00,34,,30,,,,58,46,30,34,58,66,42,30,72,,30,38,64,53
2023-05-17T10:06:30-05:00,30,,25,,53,,60,46,30,34,58,66,42,25,77,,30,46,64,55
2023-05-17T10:07:00-05:00,34,,30,,,,62,42,30,34,58,64,42,25,74,,25,21,64,50
2023-05-17T10:07:30-05:00,34,,34,,,70,62,46,34,34,53,64,38,25,72,,30,30,62,50
2023-05-17T10:08:00-05:00,38,,30,,,66,62,50,30,34,53,68,38,25,74,,30,34,58,55
2023-05-17T10:08:30-05:00,38,,30,,,68,60,46,30,34,50,68,38,25,72,,30,38,60,53
2023-05-17T10:09:00-05:00,34,,30,,,68,58,50,34,34,53,66,38,25,70,,30,42,60,53
2023-05-17T10:09:30-05:00,38,,25,,,66,60,53,34,34,53,66,42,25,72,,25,42,62,55
2023-05-17T10:10:00-05:00,34,,25,,,70,60,50,30,34,53,68,46,21,72,,30,34,60,50
2023-05-17T10:10:30-05:00,34,,30,,70,72,58,50,34,34,53,66,42,25,70,,30,42,55,50
2023-05-17T10:11:00-05:00,34,,30,,77,72,60,50,30,34,53,64,42,25,70,,25,38,55,53
2023-05-17T10:11:30-05:00,34,,30,,77,72,64,50,30,34,53,64,42,25,72,,25,38,58,53
2023-05-17T10:12:00-05:00,38,,30,,81,68,64,46,30,34,53,66,42,25,68,,30,42,62,50
2023-05-17T10:12:30-05:00,38,,25,,72,72,62,50,30,34,53,66,50,25,68,,25,30,58,53
2023-05-17T10:13:00-05:00,34,,30,,70,72,62,46,30,34,53,66,46,25,68,,30,46,60,55
2023-05-17T10:13:30-05:00,34,,25,,68,70,62,50,30,34,53,64,46,25,64,,30,34,60,53
2023-05-17T10:14:00-05:00,30,,25,,68,72,60,50,30,34,53,66,46,25,66,,30,46,64,55
2023-05-17T10:14:30-05:00,30,,25,,66,79,60,50,30,34,53,66,50,30,64,,25,42,64,60
2023-05-17T10:15:00-05:00,34,,30,,66,81,58,46,34,34,53,64,46,25,66,,25,50,62,55
2023-05-17T10:15:30-05:00,34,,30,,66,77,60,50,30,34,53,66,50,25,62,,25,53,62,58
2023-05-17T10:16:00-05:00,30,,30,,68,77,62,50,34,34,53,62,46,25,64,,25,46,58,55
2023-05-17T10:16:30-05:00,30,,30,,,83,62,50,30,34,53,62,50,25,64,,25,58,60,
2023-05-17T10:17:00-05:00,30,,30,,66,77,60,55,34,34,53,64,50,25,66,,25,53,58,55
2023-05-17T10:17:30-05:00,30,,30,,64,79,60,53,34,34,53,62,46,25,66,,30,53,55,55
2023-05-17T10:18:00-05:00,34,,30,,64,79,60,55,30,34,53,60,46,25,66,,25,46,58,55
2023-05-17T10:18:30-05:00,38,,30,,64,74,64,53,30,34,53,64,46,21,68,,25,53,53,55
2023-05-17T10:19:00-05:00,30,,34,,66,79,60,53,34,34,53,62,46,25,70,,30,46,53,53
2023-05-17T10:19:30-05:00,30,,30,,66,79,62,50,34,34,53,64,46,25,68,,25,46,53,53
2023-05-17T10:20:00-05:00,30,,34,,64,79,60,53,34,34,53,62,46,25,66,,25,50,53,53
2023-05-17T10:20:30-05:00,30,,34,,64,77,64,53,34,34,53,66,46,25,66,,25,46,53,50
2023-05-17T10:21:00-05:00,30,,30,,66,74,62,55,34,34,53,64,42,30,,,30,46,50,53
2023-05-17T10:21:30-05:00,25,,30,,68,74,64,55,34,34,53,60,46,25,66,,25,60,53,50
2023-05-17T10:22:00-05:00,30,,34,,66,74,64,53,30,34,53,64,42,30,66,,30,55,53,50
2023-05-17T10:22:30-05:00,30,,30,,66,72,64,53,34,34,53,62,38,30,70,,30,55,53,50
2023-05-17T10:23:00-05:00,30,,30,,64,72,64,58,34,34,64,62,42,34,68,,30,50,50,53
2023-05-17T10:23:30-05:00,34,,34,,64,72,64,53,38,34,64,62,46,34,70,,25,60,53,53
2023-05-17T10:24:00-05:00,34,,38,,64,79,62,58,34,34,64,66,,34,68,,25,50,55,53
2023-05-17T10:24:30-05:00,30,,38,,60,79,64,58,34,34,64,60,,34,68,,30,46,53,55
2023-05-17T10:25:00-05:00,34,,30,,,77,66,62,34,34,64,62,,30,72,,30,60,53,50
