DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-18T00:00:00-05:00,0.0,0.0,68.16,,,,,,54.73,0.0,,67.34,59.99,66.34,71.59,,64.52,
2023-05-18T00:00:30-05:00,0.0,0.0,68.2,,59.84,67.47,67.27,53.34,54.57,0.0,61.54,67.53,60.17,66.53,71.56,99.9,64.68,
2023-05-18T00:01:30-05:00,0.0,0.0,68.2,,59.98,67.65,67.45,53.73,54.55,0.0,61.53,67.56,60.38,66.47,71.89,99.9,64.58,64.8
2023-05-18T00:02:00-05:00,0.0,0.0,68.15,,60.1,67.47,67.45,53.55,54.65,0.0,61.63,67.45,60.44,66.45,71.99,99.9,64.31,64.74
2023-05-18T00:02:30-05:00,0.0,0.0,68.13,,60.13,67.72,67.87,53.83,54.72,0.0,61.72,67.5,60.45,66.45,71.94,99.9,64.22,64.77
2023-05-18T00:03:00-05:00,0.0,0.0,68.21,,60.19,67.68,67.62,53.42,54.8,0.0,61.34,67.5,60.51,66.35,72.15,99.9,64.07,64.79
2023-05-18T00:03:30-05:00,0.0,0.0,68.16,,60.21,67.69,67.57,53.66,55.05,0.0,61.69,67.47,60.53,66.32,72.07,99.9,64.07,65.04
2023-05-18T00:04:00-05:00,0.0,0.0,68.21,,60.27,67.73,68.16,53.53,54.89,0.0,61.75,67.53,60.62,66.31,72.06,99.9,63.87,64.93
2023-05-18T00:04:30-05:00,0.0,0.0,68.12,,60.28,67.68,68.12,53.54,54.81,0.0,61.69,67.49,60.69,66.21,72.07,99.9,63.86,64.93
2023-05-18T00:05:00-05:00,0.0,0.0,68.14,,60.36,67.7,68.07,53.67,54.74,0.0,61.98,67.46,60.85,66.1,71.92,99.9,63.88,65.09
2023-05-18T00:05:30-05:00,0.0,0.0,68.14,,60.55,67.81,68.87,53.63,54.81,0.0,61.73,67.62,60.82,65.86,72.0,99.9,63.89,64.92
2023-05-18T00:06:00-05:00,0.0,0.0,68.13,,60.57,67.81,68.13,53.69,54.75,0.0,61.84,67.63,61.02,65.88,72.16,99.9,63.94,65.01
2023-05-18T00:06:30-05:00,0.0,0.0,68.12,,60.59,67.84,68.55,53.79,54.91,0.0,61.77,67.82,60.89,65.79,71.82,99.9,63.93,64.95
2023-05-18T00:07:00-05:00,0.0,0.0,68.11,,60.52,67.77,68.41,53.97,54.9,0.0,61.68,67.67,60.99,65.81,71.96,99.9,63.78,65.01
2023-05-18T00:07:30-05:00,0.0,0.0,68.02,,60.59,67.84,68.07,53.48,54.97,,61.76,67.55,60.87,65.7,72.32,99.9,63.67,65.17
2023-05-18T00:08:00-05:00,0.0,0.0,68.06,,60.69,67.78,68.0,53.65,54.98,0.0,61.74,67.66,60.86,65.71,72.18,99.9,63.67,65.15
2023-05-18T00:08:30-05:00,0.0,0.0,67.95,,60.75,67.88,68.04,53.46,55.07,0.0,61.6,67.57,60.81,65.52,72.36,99.9,63.67,65.05
2023-05-18T00:09:00-05:00,0.0,0.0,67.96,,60.75,67.96,68.22,53.58,55.05,0.0,61.78,67.9,60.82,65.63,72.27,99.9,63.79,64.96
2023-05-18T00:09:30-05:00,0.0,0.0,68.06,,60.78,67.96,68.64,53.81,54.98,0.0,61.52,68.0,60.85,65.75,72.28,99.9,63.8,65.12
2023-05-18T00:10:00-05:00,0.0,0.0,68.08,,60.83,68.08,68.78,53.48,54.93,0.0,61.63,67.98,60.81,65.7,72.35,99.9,63.73,65.08
2023-05-18T00:10:30-05:00,0.0,0.0,68.04,,60.82,68.01,68.96,53.46,55.0,0.0,61.64,67.85,60.78,65.73,72.47,99.9,63.81,65.15
2023-05-18T00:11:00-05:00,0.0,0.0,68.08,,60.88,68.13,68.94,53.51,54.9,0.0,61.54,67.99,60.75,65.69,72.55,99.9,63.74,65.2
2023-05-18T00:11:30-05:00,0.0,0.0,68.13,,60.92,68.04,68.81,53.71,54.94,0.0,61.48,68.14,60.71,65.6,72.5,99.9,63.75,65.13
2023-05-18T00:12:00-05:00,0.0,0.0,68.06,,60.92,68.08,68.64,53.54,54.96,,61.52,67.93,60.74,65.49,72.39,99.9,63.79,65.19
2023-05-18T00:12:30-05:00,0.0,0.0,68.07,,60.98,68.0,68.6,53.42,54.96,0.0,61.52,68.06,60.8,65.47,72.42,99.9,63.73,65.23
2023-05-18T00:13:00-05:00,0.0,0.0,68.02,,60.96,68.06,68.95,53.43,55.09,0.0,61.5,68.16,60.71,65.36,72.41,99.9,63.73,65.31
2023-05-18T00:13:30-05:00,0.0,0.0,68.01,,61.08,68.01,68.77,53.26,55.12,,61.52,68.09,60.56,65.49,72.48,99.9,63.7,65.18
2023-05-18T00:14:00-05:00,0.0,0.0,68.02,,61.02,68.0,68.23,53.31,54.98,0.0,61.41,68.08,60.65,65.42,72.62,99.9,63.64,64.94
2023-05-18T00:14:30-05:00,0.0,0.0,68.01,,61.12,67.94,68.6,53.55,54.95,0.0,61.59,68.3,60.73,65.42,72.58,99.9,63.66,64.83
