DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-18T00:59:30-05:00,46,48,23,,44,60,126,48,34,60,31,69,91,21,70,40,41,65
2023-05-18T01:59:30-05:00,46,48,18,,64,70,131,44,34,56,25,59,94,16,55,40,77,64
2023-05-18T02:59:30-05:00,46,46,13,,81,81,146,36,34,55,25,50,114,12,53,48,87,85
2023-05-18T03:59:30-05:00,46,44,12,,98,72,146,38,34,53,23,45,89,10,39,78,59,102
2023-05-18T04:59:30-05:00,46,46,14,,94,74,135,43,34,53,34,44,82,13,40,73,57,96
2023-05-18T05:59:30-05:00,46,56,17,,74,74,149,45,34,54,43,40,69,16,44,75,71,97
2023-05-18T06:59:30-05:00,46,61,20,,106,75,129,71,34,81,79,52,74,18,56,82,72,90
2023-05-18T07:59:30-05:00,46,79,25,,119,90,149,86,34,105,99,59,94,23,56,90,70,92
2023-05-18T08:59:30-05:00,46,93,34,,116,94,109,100,34,121,98,57,108,31,57,95,76,113
2023-05-18T09:59:30-05:00,46,86,52,71,85,74,111,112,34,124,96,63,73,47,63,66,59,109
2023-05-18T10:59:30-05:00,46,80,55,64,64,59,77,83,34,93,74,58,68,53,63,55,52,95
2023-05-18T11:59:30-05:00,46,72,66,63,63,59,69,74,34,75,66,57,65,64,62,55,50,79
2023-05-18T12:59:30-05:00,46,67,71,66,63,62,73,66,34,75,67,55,68,69,62,56,49,78
2023-05-18T13:59:30-05:00,46,71,71,67,65,62,72,66,34,67,55,67,67,67,70,55,52,81
2023-05-18T14:59:30-05:00,46,43,65,31,41,28,69,24,34,17,20,68,42,62,70,40,27,48
2023-05-18T15:59:30-05:00,46,11,38,24,17,18,22,8,34,8,9,34,21,34,67,11,15,13
2023-05-18T16:59:30-05:00,46,6,31,22,17,18,14,5,34,9,16,8,21,28,,8,15,10
2023-05-18T17:59:30-05:00,46,8,29,20,17,17,14,5,34,8,10,11,15,27,,8,15,10
2023-05-18T18:59:30-05:00,46,10,29,21,16,22,29,5,34,5,9,21,16,26,,7,23,25
2023-05-18T19:59:30-05:00,46,18,31,23,18,22,17,10,34,5,8,35,26,29,,9,20,52
2023-05-18T20:59:30-05:00,46,49,37,33,16,34,20,24,34,5,5,54,56,34,,6,34,41
2023-05-18T21:59:30-05:00,46,53,40,35,23,31,82,42,34,25,21,53,54,35,,7,21,56
2023-05-18T22:59:30-05:00,46,53,38,35,35,29,116,39,34,41,12,54,44,33,,24,22,55
2023-05-18T23:59:30-05:00,46,46,33,40,49,46,123,30,34,11,4,41,47,30,,15,31,57
