DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-19T00:00:00-05:00,0.0,0.0,,66.16,,,,,,,56.71,0.0,,64.66,59.18,65.8,,61.57,
2023-05-19T00:00:30-05:00,0.0,0.0,,66.13,,,58.5,59.97,67.33,54.53,57.81,0.0,62.21,64.62,59.37,65.53,99.9,61.63,62.2
2023-05-19T00:01:00-05:00,0.0,0.0,,66.15,,,58.77,59.96,67.27,54.6,56.73,0.0,62.27,64.79,59.44,65.66,99.9,61.63,62.67
2023-05-19T00:01:30-05:00,0.0,0.0,,66.1,,56.98,58.59,59.96,67.32,54.68,56.6,0.0,62.41,64.82,59.7,65.47,99.9,61.7,62.53
2023-05-19T00:02:00-05:00,0.0,0.0,,66.05,,57.11,58.72,60.03,67.67,54.65,56.62,0.0,62.14,64.8,59.79,65.36,99.9,61.71,62.7
2023-05-19T00:02:30-05:00,0.0,0.0,,66.08,,56.92,58.8,60.14,67.9,54.72,56.65,0.0,62.27,64.81,60.0,65.55,99.9,61.73,62.66
2023-05-19T00:03:00-05:00,0.0,0.0,,66.11,,57.06,58.91,60.16,67.74,54.73,56.89,0.0,62.34,64.82,60.18,65.43,99.9,61.81,62.61
2023-05-19T00:03:30-05:00,0.0,0.0,,66.08,,57.03,59.23,60.25,67.73,54.72,56.83,0.0,62.48,64.71,60.17,65.42,99.9,61.87,62.45
2023-05-19T00:04:00-05:00,0.0,0.0,,66.08,,56.95,59.21,60.31,67.61,54.71,56.61,0.0,62.51,64.83,60.43,65.26,99.9,61.95,62.41
2023-05-19T00:04:30-05:00,0.0,0.0,,66.04,,56.7,59.47,60.26,67.68,54.66,56.55,0.0,62.48,64.81,60.65,65.22,99.9,62.07,62.41
2023-05-19T00:05:00-05:00,0.0,0.0,,66.05,,56.66,59.94,60.38,67.75,54.61,56.7,0.0,62.48,64.77,60.59,65.21,99.9,62.07,62.39
2023-05-19T00:05:30-05:00,0.0,0.0,,66.05,,56.87,60.03,60.58,67.51,54.6,56.5,0.0,62.47,64.75,60.65,65.35,99.9,62.14,62.36
2023-05-19T00:06:00-05:00,0.0,0.0,,66.05,,56.96,59.71,60.59,67.7,54.62,56.46,0.0,62.41,64.78,60.78,65.25,99.9,62.22,62.52
2023-05-19T00:06:30-05:00,0.0,0.0,,66.04,,57.03,60.03,60.6,67.66,54.59,56.45,0.0,62.61,64.81,60.47,65.17,,62.23,62.45
2023-05-19T00:07:00-05:00,0.0,0.0,,65.98,,57.11,60.13,60.61,67.63,54.58,56.33,0.0,62.61,64.9,60.6,65.02,99.9,62.23,62.37
2023-05-19T00:07:30-05:00,0.0,0.0,,66.01,,56.88,60.24,60.62,67.82,54.54,56.35,0.0,62.6,64.88,60.72,65.08,99.9,62.2,62.41
