DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-19T00:00:00-05:00,0.0,0.0,,25.82,,,,,,,29.72,0.0,,28.65,29.61,25.8,,29.08,
2023-05-19T00:00:30-05:00,0.0,0.0,,25.83,,,29.76,29.97,28.23,31.92,29.71,0.0,29.6,28.63,29.57,25.82,29.4,29.08,29.68
2023-05-19T00:01:00-05:00,0.0,0.0,,25.83,,,29.72,29.92,28.22,31.85,29.72,0.0,29.55,28.6,29.54,25.83,29.4,29.08,29.75
2023-05-19T00:01:30-05:00,0.0,0.0,,25.82,,30.45,29.69,29.94,28.16,31.84,29.74,0.0,29.47,28.59,29.47,25.85,29.3,29.08,29.81
2023-05-19T00:02:00-05:00,0.0,0.0,,25.82,,30.44,29.63,29.95,28.06,31.81,29.71,0.0,29.49,28.6,29.44,25.83,29.3,29.05,29.79
2023-05-19T00:02:30-05:00,0.0,0.0,,25.83,,30.44,29.58,29.92,28.04,31.81,29.71,0.0,29.49,28.6,29.34,25.85,29.3,29.05,29.79
2023-05-19T00:03:00-05:00,0.0,0.0,,25.83,,30.43,29.52,29.91,28.04,31.81,29.69,0.0,29.49,28.6,29.31,25.86,29.3,29.06,29.81
2023-05-19T00:03:30-05:00,0.0,0.0,,25.82,,30.44,29.43,29.91,28.04,31.8,29.74,0.0,29.42,28.59,29.29,25.86,29.3,29.05,29.78
2023-05-19T00:04:00-05:00,0.0,0.0,,25.82,,30.41,29.41,29.91,28.06,31.81,29.74,0.0,29.45,28.57,29.25,25.85,29.3,29.05,29.81
2023-05-19T00:04:30-05:00,0.0,0.0,,25.8,,30.4,29.32,29.92,28.06,31.81,29.74,0.0,29.4,28.57,29.24,25.85,29.2,29.04,29.78
2023-05-19T00:05:00-05:00,0.0,0.0,,25.83,,30.41,29.26,29.87,28.04,31.81,29.75,0.0,29.4,28.56,29.24,25.89,29.2,29.04,29.76
2023-05-19T00:05:30-05:00,0.0,0.0,,25.82,,30.41,29.25,29.85,28.06,31.81,29.74,0.0,29.39,28.57,29.21,25.88,29.2,29.04,29.78
2023-05-19T00:06:00-05:00,0.0,0.0,,25.8,,30.38,29.22,29.81,28.06,31.81,29.74,0.0,29.4,28.54,29.19,25.86,29.2,29.02,29.79
2023-05-19T00:06:30-05:00,0.0,0.0,,25.8,,30.37,29.14,29.82,28.06,31.82,29.75,0.0,29.35,28.56,29.21,25.9,,29.02,29.81
2023-05-19T00:07:00-05:00,0.0,0.0,,25.8,,30.36,29.1,29.82,28.06,31.84,29.78,0.0,29.27,28.54,29.19,25.89,29.1,29.01,29.79
2023-05-19T00:07:30-05:00,0.0,0.0,,25.8,,30.34,29.07,29.8,28.02,31.84,29.76,0.0,29.32,28.54,29.18,25.89,29.1,28.99,29.79
2023-05-19T00:08:00-05:00,0.0,0.0,,25.79,,30.38,29.0,29.8,28.04,31.91,29.74,0.0,29.23,28.56,29.18,25.89,29.1,28.99,29.76
2023-05-19T00:08:30-05:00,0.0,0.0,,25.79,,30.36,28.94,29.8,28.09,31.89,29.78,0.0,29.29,28.51,29.11,25.86,29.1,28.99,29.76
2023-05-19T00:09:00-05:00,0.0,0.0,,25.79,,30.36,28.87,29.77,28.05,31.92,29.78,0.0,29.32,28.54,29.12,25.85,29.1,28.97,29.78
2023-05-19T00:09:30-05:00,0.0,0.0,,25.77,,30.36,28.83,29.75,28.08,31.95,29.72,0.0,29.32,28.56,29.12,25.83,29.1,28.97,29.76
2023-05-19T00:10:00-05:00,0.0,0.0,,25.77,,30.33,28.75,29.74,28.09,31.96,29.74,0.0,29.23,28.54,29.14,25.85,29.1,28.98,29.78
2023-05-19T00:10:30-05:00,0.0,0.0,,25.79,,30.36,28.71,29.72,28.09,32.02,29.74,0.0,29.2,28.54,29.14,25.85,29.1,28.95,29.78
2023-05-19T00:11:00-05:00,0.0,0.0,,25.77,,30.33,28.64,29.74,28.06,32.04,29.71,0.0,29.23,28.53,29.12,25.85,29.1,28.94,29.76
2023-05-19T00:11:30-05:00,0.0,0.0,,25.77,,30.31,28.59,29.72,28.09,32.04,29.69,0.0,29.29,28.53,29.12,25.85,29.1,28.94,29.71
2023-05-19T00:12:00-05:00,0.0,0.0,,25.76,,30.3,28.61,29.71,28.09,32.04,29.69,0.0,29.3,28.54,29.1,25.86,29.1,28.94,29.75
2023-05-19T00:12:30-05:00,0.0,0.0,,25.77,,30.28,28.53,29.72,28.12,32.08,29.69,0.0,29.3,28.5,29.14,25.85,29.1,28.92,29.72
