DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-19T00:59:30-05:00,46,38,,31,,20,27,22,64,42,34,27,13,48,24,28,35,16,53
2023-05-19T01:59:30-05:00,46,40,,31,,25,52,24,66,40,34,38,55,46,29,28,45,18,54
2023-05-19T02:59:30-05:00,46,46,,32,,47,53,42,64,39,34,47,33,40,53,29,37,31,49
2023-05-19T03:59:30-05:00,46,41,,32,,54,42,53,84,38,34,45,20,39,56,29,32,40,49
2023-05-19T04:59:30-05:00,46,41,,32,,,52,46,92,37,34,43,28,36,51,28,27,38,48
2023-05-19T05:59:30-05:00,46,43,,31,,,69,66,74,39,34,40,36,44,62,27,50,52,54
2023-05-19T06:59:30-05:00,46,52,,29,,,79,62,87,46,34,52,36,43,70,25,54,57,60
2023-05-19T07:59:30-05:00,46,52,,29,,,85,82,83,48,34,66,62,39,87,25,57,66,57
2023-05-19T08:59:30-05:00,46,43,,31,,,85,77,71,48,34,60,74,46,82,27,58,64,56
2023-05-19T09:59:30-05:00,46,41,,31,,,78,84,57,41,34,55,59,40,94,26,52,65,53
2023-05-19T10:59:30-05:00,46,36,,38,,68,74,71,43,40,34,57,57,38,81,34,44,57,47
2023-05-19T11:59:30-05:00,46,42,,41,,62,59,56,49,43,34,50,48,43,58,37,41,40,53
2023-05-19T12:59:30-05:00,46,45,,42,,58,56,54,54,47,34,53,46,42,60,38,39,40,57
2023-05-19T13:59:30-05:00,46,46,,44,,58,56,55,57,46,34,46,53,45,59,40,41,41,57
2023-05-19T14:59:30-05:00,46,29,,45,,23,36,20,54,17,34,20,17,44,28,40,31,19,34
2023-05-19T15:59:30-05:00,46,22,,18,,26,20,21,21,18,34,10,13,33,20,15,11,19,24
2023-05-19T16:59:30-05:00,46,28,,18,36,32,21,26,18,23,34,12,13,32,23,16,10,23,20
2023-05-19T17:59:30-05:00,46,38,21,18,21,26,23,22,22,18,34,9,13,50,29,16,9,29,23
2023-05-19T18:59:30-05:00,46,36,32,30,30,36,17,29,15,9,34,5,6,49,23,26,5,24,20
2023-05-19T19:59:30-05:00,46,50,33,30,31,39,21,37,25,25,34,5,6,53,45,27,13,37,17
2023-05-19T20:59:30-05:00,46,58,39,36,37,55,39,53,56,52,34,12,6,63,63,31,29,42,53
2023-05-19T21:59:30-05:00,46,55,40,37,36,28,38,28,35,54,34,31,8,65,16,32,27,16,64
2023-05-19T22:59:30-05:00,46,57,43,38,38,19,16,24,18,59,34,56,29,53,28,34,11,18,59
2023-05-19T23:59:30-05:00,46,57,45,40,39,31,20,33,24,53,34,31,43,60,43,35,16,31,55
