DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2B42,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-20T00:00:00-05:00,46,60,50,46,46,,,,,,34,42,,77,34,38,,25,
2023-05-20T00:00:30-05:00,46,62,50,46,46,,5,30,91,38,34,38,9,72,34,42,0,30,85
2023-05-20T00:01:00-05:00,46,62,46,42,42,,17,38,85,38,34,38,9,74,34,42,21,25,62
2023-05-20T00:01:30-05:00,46,62,46,46,,30,21,42,85,38,34,38,9,74,30,38,17,30,60
2023-05-20T00:02:00-05:00,46,62,50,42,46,38,21,42,89,38,34,34,9,74,34,38,17,30,60
2023-05-20T00:02:30-05:00,46,62,50,42,42,38,21,46,87,34,34,34,9,74,30,38,17,25,58
2023-05-20T00:03:00-05:00,46,62,50,42,42,42,21,50,74,38,34,34,9,72,46,38,17,25,55
2023-05-20T00:03:30-05:00,46,64,46,46,,42,17,46,74,38,34,42,9,74,53,38,21,25,58
2023-05-20T00:04:00-05:00,46,66,46,42,46,38,21,46,74,34,34,38,9,74,55,38,13,30,62
2023-05-20T00:04:30-05:00,46,64,50,42,46,38,21,46,77,34,34,38,5,72,64,34,13,25,60
2023-05-20T00:05:00-05:00,46,62,46,42,42,34,25,46,70,38,34,38,5,77,66,38,17,25,60
2023-05-20T00:05:30-05:00,46,66,46,42,38,34,25,46,66,38,34,38,5,74,66,38,21,25,58
2023-05-20T00:06:00-05:00,46,66,46,,42,38,25,42,64,38,34,38,5,74,64,38,17,25,60
2023-05-20T00:06:30-05:00,46,66,46,42,,38,25,42,66,38,34,38,5,74,64,34,17,25,58
2023-05-20T00:07:00-05:00,46,62,42,42,42,34,30,42,66,38,34,34,5,74,,38,21,25,58
2023-05-20T00:07:30-05:00,46,62,42,42,38,30,30,42,62,38,34,34,5,79,70,34,13,21,60
2023-05-20T00:08:00-05:00,46,64,42,42,38,34,30,42,64,42,34,38,5,79,55,34,,21,60
2023-05-20T00:08:30-05:00,46,62,42,42,42,38,25,38,62,34,34,38,5,83,53,38,13,25,60
2023-05-20T00:09:00-05:00,46,64,46,42,42,34,30,38,55,34,34,38,5,83,53,34,21,25,64
2023-05-20T00:09:30-05:00,46,64,46,42,,38,30,38,53,34,34,38,5,83,53,34,13,25,62
2023-05-20T00:10:30-05:00,46,62,46,38,46,34,30,38,53,38,34,38,5,83,42,34,17,25,62
2023-05-20T00:11:00-05:00,46,62,46,42,42,34,30,34,58,42,34,38,5,83,50,38,13,25,62
2023-05-20T00:11:30-05:00,46,64,50,42,42,34,30,38,60,34,34,38,5,87,42,38,17,25,62
2023-05-20T00:12:00-05:00,46,62,50,38,42,34,25,34,46,34,34,38,5,85,38,38,13,25,60
2023-05-20T00:12:30-05:00,46,60,46,42,42,30,25,34,42,38,34,38,5,83,38,34,13,30,62
