DATETIME,TANGARA_25CE,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-21T00:00:00-05:00,99.61,,,,,,70.19,,75.22,70.83,,,70.76,
2023-05-21T00:00:30-05:00,99.61,,74.28,72.48,76.1,,70.18,67.41,75.28,70.57,,99.9,70.75,72.79
2023-05-21T00:01:00-05:00,99.61,,74.61,72.49,76.07,,70.14,67.06,75.29,70.59,,99.9,70.74,73.22
2023-05-21T00:01:30-05:00,99.61,70.88,74.67,72.72,76.19,,70.13,66.92,75.21,70.89,,99.9,70.69,72.98
2023-05-21T00:02:00-05:00,99.61,71.63,74.66,72.73,76.3,,70.06,66.92,75.12,70.66,,99.9,70.63,72.76
2023-05-21T00:02:30-05:00,99.61,71.89,75.09,72.68,76.3,,69.99,67.08,75.1,70.53,,99.9,70.68,72.65
2023-05-21T00:03:00-05:00,99.61,71.67,75.16,72.79,76.45,,69.91,67.0,75.0,70.78,,99.9,70.68,72.54
2023-05-21T00:03:30-05:00,99.61,71.56,75.23,72.86,76.5,,70.03,66.94,75.15,70.58,,99.9,70.74,72.64
2023-05-21T00:04:00-05:00,99.61,71.66,75.21,72.76,76.51,,70.12,67.19,75.34,71.04,,99.9,70.73,72.55
2023-05-21T00:04:30-05:00,99.61,71.84,75.44,72.79,76.4,,70.21,67.02,75.49,71.14,,99.9,70.79,72.56
2023-05-21T00:05:00-05:00,99.61,71.87,75.21,72.76,76.46,,70.31,67.04,75.33,71.15,,99.9,70.75,72.47
2023-05-21T00:05:30-05:00,99.61,71.86,75.3,72.85,76.73,,70.24,67.16,75.44,71.47,,99.9,70.78,72.45
2023-05-21T00:06:00-05:00,99.61,71.83,75.09,73.0,76.66,,70.3,67.09,75.21,71.44,,99.9,70.82,72.56
2023-05-21T00:06:30-05:00,99.61,72.09,75.03,72.94,76.59,,70.39,67.32,75.39,71.56,,99.9,70.81,72.43
2023-05-21T00:07:00-05:00,99.61,72.2,75.15,72.89,76.59,,70.38,67.32,75.37,71.48,,99.9,70.78,72.43
2023-05-21T00:07:30-05:00,99.61,72.46,74.79,73.05,76.48,,70.4,67.11,75.2,71.4,,99.9,70.78,72.38
2023-05-21T00:08:00-05:00,99.61,72.33,75.04,73.04,76.63,,70.42,67.1,75.05,71.73,,99.9,70.84,72.49
2023-05-21T00:08:30-05:00,99.61,72.18,74.98,73.03,76.58,,70.46,67.22,75.11,71.55,,99.9,70.85,72.44
2023-05-21T00:09:00-05:00,99.61,72.2,75.1,72.95,76.48,,70.42,66.91,75.32,71.76,,99.9,70.87,72.48
2023-05-21T00:09:30-05:00,99.61,72.21,75.28,72.85,76.66,,70.39,67.01,75.2,71.76,,99.9,70.86,72.66
2023-05-21T00:10:00-05:00,99.61,72.13,75.3,72.97,76.78,,70.42,67.06,75.14,71.85,,99.9,70.89,72.74
2023-05-21T00:10:30-05:00,99.61,72.1,75.45,72.98,76.7,,70.35,66.92,75.2,72.02,,99.9,70.83,72.6
2023-05-21T00:11:00-05:00,99.61,72.03,75.48,73.09,76.57,,70.4,67.01,75.43,72.09,,99.9,70.85,72.71
2023-05-21T00:11:30-05:00,99.61,71.97,75.53,73.18,76.76,,70.38,67.21,76.15,72.18,,99.9,70.81,72.74
2023-05-21T00:12:00-05:00,99.61,71.97,75.58,73.07,76.68,,70.39,66.98,75.74,72.16,,99.9,70.81,72.76
2023-05-21T00:12:30-05:00,99.61,72.03,75.76,73.05,76.68,,70.43,66.99,75.68,72.33,,99.9,70.79,73.09
2023-05-21T00:13:00-05:00,99.61,72.0,75.81,72.98,77.25,,70.43,66.99,75.57,72.26,,99.9,70.78,72.78
2023-05-21T00:13:30-05:00,99.61,72.2,75.81,73.01,76.78,,70.57,67.14,75.31,72.49,,99.9,70.82,72.9
2023-05-21T00:14:00-05:00,99.61,72.29,75.71,72.85,77.22,,70.56,66.95,75.31,72.42,,99.9,70.87,72.8
2023-05-21T00:14:30-05:00,99.61,72.36,75.65,72.85,77.09,,70.42,67.08,75.39,72.24,,99.9,70.87,72.83
2023-05-21T00:15:00-05:00,99.61,72.23,75.34,72.92,76.77,,70.49,66.96,75.16,72.27,,99.9,70.86,72.82
2023-05-21T00:15:30-05:00,99.61,72.25,75.12,72.83,76.68,,70.52,67.06,75.03,72.28,,99.9,70.89,72.75
2023-05-21T00:16:00-05:00,99.61,72.13,75.15,72.96,76.69,,70.56,66.84,74.83,72.21,,99.9,70.91,72.91
2023-05-21T00:16:30-05:00,99.61,72.42,74.95,73.04,77.48,,70.5,67.01,74.74,72.45,,99.9,70.9,73.03
2023-05-21T00:17:00-05:00,99.61,72.15,74.86,73.09,76.76,,70.66,66.92,74.78,72.45,,99.9,70.9,72.86
2023-05-21T00:17:30-05:00,99.61,72.1,74.78,73.05,76.46,,70.63,66.89,74.82,72.45,,99.9,70.85,72.79
2023-05-21T00:18:00-05:00,99.61,72.02,74.69,72.97,76.6,,70.71,67.14,74.87,72.09,,,70.83,73.05
2023-05-21T00:18:30-05:00,99.61,72.13,74.45,73.04,77.19,,70.67,67.04,74.98,72.26,,99.9,70.87,72.91
2023-05-21T00:19:00-05:00,99.61,72.17,74.38,72.98,77.12,,70.67,66.96,75.1,72.3,,99.9,70.94,72.87
2023-05-21T00:19:30-05:00,99.61,72.19,74.3,72.91,77.0,,70.71,67.03,75.05,72.33,,99.9,70.93,72.92
2023-05-21T00:20:00-05:00,99.61,72.27,74.33,72.96,76.95,,70.83,67.15,75.14,72.26,,99.9,70.95,72.93
2023-05-21T00:20:30-05:00,99.61,72.15,74.27,72.96,76.93,,70.84,67.04,75.18,72.04,,99.9,70.94,73.07
2023-05-21T00:21:00-05:00,99.61,71.89,74.15,72.93,76.84,,70.89,67.06,75.17,72.31,,99.9,70.99,73.18
2023-05-21T00:21:30-05:00,99.61,71.9,74.14,72.86,76.88,,70.86,66.98,75.83,72.44,,99.9,70.99,73.09
2023-05-21T00:22:00-05:00,99.61,72.18,74.16,73.07,77.04,,70.8,66.91,75.7,72.57,,,71.0,73.15
2023-05-21T00:22:30-05:00,99.61,72.14,73.89,73.0,77.11,,70.76,66.86,75.52,72.58,,99.9,70.96,73.19
2023-05-21T00:23:00-05:00,99.61,72.14,73.8,73.02,77.44,,70.69,66.93,75.82,72.6,,99.9,71.0,73.22
2023-05-21T00:23:30-05:00,99.61,71.93,73.77,72.96,77.25,,70.73,66.87,75.79,72.57,,99.9,70.96,73.32
2023-05-21T00:24:00-05:00,99.61,71.93,73.88,72.99,76.98,,70.79,66.89,75.84,72.73,,99.9,70.97,73.24
2023-05-21T00:24:30-05:00,99.61,71.94,74.14,72.98,77.06,,70.75,67.04,76.06,72.89,,99.9,70.98,73.16
