DATETIME,TANGARA_25CE,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-21T00:00:00-05:00,0.0,,,,,,26.6,,25.73,26.4,,,26.38,
2023-05-21T00:00:30-05:00,0.0,,25.46,26.47,25.93,,26.59,28.72,25.71,26.4,,25.3,26.39,26.93
2023-05-21T00:01:00-05:00,0.0,,25.43,26.47,25.89,,26.6,28.75,25.73,26.37,,25.4,26.39,26.97
2023-05-21T00:01:30-05:00,0.0,26.22,25.39,26.45,25.86,,26.6,28.74,25.73,26.4,,25.3,26.39,27.04
2023-05-21T00:02:00-05:00,0.0,26.2,25.37,26.43,25.83,,26.63,28.72,25.73,26.41,,25.3,26.36,27.08
2023-05-21T00:02:30-05:00,0.0,26.21,25.33,26.43,25.85,,26.63,28.74,25.74,26.35,,25.3,26.38,27.14
2023-05-21T00:03:00-05:00,0.0,26.21,25.32,26.39,25.78,,26.64,28.72,25.75,26.34,,25.3,26.38,27.13
2023-05-21T00:03:30-05:00,0.0,26.16,25.3,26.39,25.78,,26.63,28.75,25.75,26.27,,25.3,26.38,27.17
2023-05-21T00:04:00-05:00,0.0,26.18,25.29,26.39,25.79,,26.6,28.71,25.77,26.21,,25.3,26.36,27.17
2023-05-21T00:04:30-05:00,0.0,26.16,25.29,26.39,25.76,,26.63,28.71,25.77,26.18,,25.3,26.36,27.15
2023-05-21T00:05:00-05:00,0.0,26.16,25.33,26.39,25.76,,26.61,28.72,25.77,26.17,,25.3,26.38,27.18
2023-05-21T00:05:30-05:00,0.0,26.13,25.33,26.36,25.75,,26.6,28.71,25.77,26.13,,25.3,26.38,27.18
2023-05-21T00:06:00-05:00,0.0,26.11,25.33,26.35,25.75,,26.57,28.72,25.77,26.13,,25.4,26.36,27.2
2023-05-21T00:06:30-05:00,0.0,26.1,25.37,26.35,25.78,,26.57,28.72,25.75,26.14,,25.3,26.38,27.2
2023-05-21T00:07:00-05:00,0.0,26.1,25.34,26.37,25.79,,26.57,28.72,25.75,26.14,,25.3,26.38,27.18
2023-05-21T00:07:30-05:00,0.0,26.1,25.36,26.35,25.82,,26.57,28.74,25.77,26.09,,25.3,26.38,27.17
2023-05-21T00:08:00-05:00,0.0,26.08,25.34,26.35,25.82,,26.54,28.76,25.77,26.09,,25.3,26.36,27.22
