DATETIME,TANGARA_25CE,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-21T00:59:30-05:00,17,33,32,29,33,,34,55,14,20,,33,19,13
2023-05-21T01:59:30-05:00,9,23,34,31,17,,34,45,10,33,,26,24,13
2023-05-21T02:59:30-05:00,9,,44,39,20,,34,40,11,50,,35,36,15
2023-05-21T03:59:30-05:00,10,,65,39,23,,34,53,10,53,,43,41,12
2023-05-21T04:59:30-05:00,8,,63,57,19,,34,59,10,53,,25,47,10
2023-05-21T05:59:30-05:00,10,,45,65,35,,34,25,12,65,,9,52,11
2023-05-21T06:59:30-05:00,16,,18,21,32,,34,13,,59,,21,16,16
2023-05-21T07:59:30-05:00,19,,25,36,44,,34,33,,55,,23,24,22
2023-05-21T08:59:30-05:00,19,,51,62,37,,34,48,,62,,41,55,27
2023-05-21T09:59:30-05:00,18,,63,68,42,42,34,56,,69,,43,56,37
2023-05-21T10:59:30-05:00,18,,63,60,52,41,34,62,,59,,43,50,40
2023-05-21T11:59:30-05:00,18,,33,43,35,48,34,47,,44,,25,30,41
2023-05-21T12:59:30-05:00,30,34,31,31,27,41,34,40,,26,,11,20,39
2023-05-21T13:59:30-05:00,27,39,21,40,33,28,34,19,28,40,34,16,27,39
2023-05-21T14:59:30-05:00,12,14,9,13,41,5,34,3,24,7,29,8,9,10
2023-05-21T15:59:30-05:00,4,7,8,6,8,3,34,3,8,5,23,1,4,5
2023-05-21T16:59:30-05:00,7,8,7,5,11,5,34,3,11,6,11,2,5,5
2023-05-21T17:59:30-05:00,14,16,16,13,27,13,34,11,15,32,13,23,10,18
2023-05-21T18:59:30-05:00,14,23,20,20,31,15,34,17,16,30,13,14,15,18
2023-05-21T19:59:30-05:00,13,19,21,27,40,15,34,14,15,30,21,16,17,18
2023-05-21T20:59:30-05:00,16,,26,30,42,14,34,33,20,32,21,20,17,22
2023-05-21T21:59:30-05:00,18,,33,23,38,18,34,25,15,29,,15,18,25
2023-05-21T22:59:30-05:00,16,,37,20,33,14,34,35,15,33,,15,16,20
2023-05-21T23:59:30-05:00,18,,31,46,20,14,34,21,17,41,,18,35,20
