DATETIME,TANGARA_25CE,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_333E,TANGARA_3782,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-22T00:00:00-05:00,21,,,,,,34,,13,,50,,50,
2023-05-22T00:00:30-05:00,21,,46,,17,13,34,,13,,50,0,50,21
2023-05-22T00:01:00-05:00,17,,34,,17,13,34,,13,,46,17,46,17
2023-05-22T00:01:30-05:00,17,62,25,,21,13,34,,13,,46,21,50,17
2023-05-22T00:02:00-05:00,17,62,25,,17,13,34,,13,,42,21,46,17
2023-05-22T00:02:30-05:00,21,58,30,,21,17,34,,13,,42,9,50,17
2023-05-22T00:03:00-05:00,17,,30,,25,13,34,,13,,42,30,50,17
2023-05-22T00:03:30-05:00,17,,30,,25,13,34,,13,,42,21,46,17
2023-05-22T00:04:00-05:00,21,,25,,30,13,34,,13,,42,25,46,17
2023-05-22T00:04:30-05:00,21,,30,,34,13,34,,13,,42,21,50,17
2023-05-22T00:05:00-05:00,21,,25,,50,13,34,,9,,42,21,50,17
2023-05-22T00:05:30-05:00,17,,25,,50,13,34,,13,,38,17,46,17
2023-05-22T00:06:00-05:00,21,,25,,,13,34,,13,,46,21,38,17
2023-05-22T00:06:30-05:00,17,,30,,,13,34,,17,,42,21,42,17
2023-05-22T00:07:00-05:00,17,,34,,,13,34,,13,,42,17,42,13
2023-05-22T00:07:30-05:00,17,,30,,,17,34,,13,,42,25,46,17
2023-05-22T00:08:00-05:00,17,,34,60,50,13,34,,13,,42,21,38,13
2023-05-22T00:08:30-05:00,17,,34,53,42,13,34,,13,,42,21,42,17
2023-05-22T00:09:00-05:00,17,,34,55,34,13,34,,17,,42,17,42,13
2023-05-22T00:09:30-05:00,17,,25,53,50,13,34,,13,,42,21,42,13
2023-05-22T00:10:00-05:00,21,,34,53,,9,34,,13,,42,17,38,13
2023-05-22T00:10:30-05:00,21,,42,53,50,9,34,,13,,46,17,38,13
2023-05-22T00:11:00-05:00,17,,38,53,50,9,34,,13,,46,17,38,13
2023-05-22T00:11:30-05:00,17,,42,53,46,13,34,,13,,38,21,38,13
2023-05-22T00:12:00-05:00,17,,42,53,42,13,34,,13,,46,17,38,17
2023-05-22T00:12:30-05:00,21,,38,53,34,9,34,,13,,42,21,38,13
2023-05-22T00:13:00-05:00,17,,38,53,30,9,34,,13,,42,25,38,17
2023-05-22T00:13:30-05:00,17,,34,50,25,9,34,,13,,42,25,34,13
2023-05-22T00:14:00-05:00,17,,30,53,25,9,34,,13,,42,17,38,13
2023-05-22T00:14:30-05:00,17,,30,53,30,9,34,,13,,46,17,38,13
2023-05-22T00:15:00-05:00,13,,25,55,34,13,34,,13,,42,13,34,13
2023-05-22T00:15:30-05:00,17,,30,58,30,9,34,,13,,46,25,34,13
2023-05-22T00:16:00-05:00,13,,30,55,34,13,34,17,13,,50,25,38,13
2023-05-22T00:16:30-05:00,13,,25,53,34,9,34,,13,,50,21,38,9
2023-05-22T00:17:00-05:00,17,,30,53,30,13,34,,13,,50,13,38,17
2023-05-22T00:17:30-05:00,17,,30,55,30,13,34,,17,,50,21,34,13
2023-05-22T00:18:00-05:00,17,,34,53,34,9,34,,17,,46,25,38,13
2023-05-22T00:18:30-05:00,13,,30,53,30,13,34,,13,,50,17,38,13
2023-05-22T00:19:00-05:00,13,,25,53,34,9,34,,13,,46,21,38,13
2023-05-22T00:19:30-05:00,13,,25,55,38,13,34,17,13,,50,21,38,13
2023-05-22T00:20:00-05:00,17,,21,53,46,13,34,,13,,50,17,34,13
2023-05-22T00:20:30-05:00,17,,21,53,50,13,34,,13,,50,30,38,13
2023-05-22T00:21:00-05:00,17,,21,53,50,13,34,,17,,42,17,42,13
2023-05-22T00:21:30-05:00,17,,21,55,46,13,34,17,13,,42,25,42,13
2023-05-22T00:22:00-05:00,17,,17,53,38,13,34,17,13,,46,13,38,13
2023-05-22T00:22:30-05:00,17,,17,53,38,9,34,17,13,,46,21,38,13
2023-05-22T00:23:00-05:00,17,,17,53,38,9,34,17,13,,46,17,34,13
2023-05-22T00:23:30-05:00,17,,13,55,34,9,34,17,13,,46,25,34,13
2023-05-22T00:24:00-05:00,17,,17,53,34,9,34,17,13,,46,13,34,13
2023-05-22T00:24:30-05:00,17,,21,53,34,9,34,17,13,,50,13,34,13
2023-05-22T00:25:00-05:00,17,,21,50,38,9,34,17,13,,50,17,38,13
2023-05-22T00:25:30-05:00,17,,21,53,38,9,34,17,13,,50,17,34,13
2023-05-22T00:26:00-05:00,17,,21,53,38,13,34,,13,,50,13,34,
2023-05-22T00:26:30-05:00,21,,21,50,34,9,34,17,13,,50,21,34,13
