DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_333E,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-23T14:38:00-05:00,0.0,0.0,23.52,23.58,30.77,30.49,31.43,33.41,31.93,31.33,30.58,31.25,,32.89,24.17,28.08,31.7,31.43,30.63
2023-05-23T14:38:30-05:00,0.0,0.0,23.56,23.59,30.79,30.52,31.45,33.31,31.96,31.32,30.54,31.25,,32.85,24.21,28.1,31.7,31.44,30.6
2023-05-23T14:39:00-05:00,0.0,0.0,23.55,23.61,30.81,30.51,31.42,33.33,31.95,31.33,30.58,31.22,,32.83,24.26,28.1,31.6,31.44,30.56
2023-05-23T14:39:30-05:00,0.0,0.0,23.57,23.64,30.82,30.54,31.45,33.34,31.96,31.3,30.6,31.21,,32.83,24.24,28.1,31.7,31.46,30.53
2023-05-23T14:40:00-05:00,0.0,0.0,23.63,23.65,30.85,30.57,31.42,33.35,31.96,31.3,30.56,31.19,,32.83,24.3,28.12,31.6,31.46,30.47
2023-05-23T14:40:30-05:00,0.0,0.0,23.67,23.69,,30.54,31.42,33.27,31.96,31.3,30.56,31.19,,32.82,24.3,28.14,31.6,31.46,30.46
2023-05-23T14:41:00-05:00,0.0,0.0,23.67,23.72,30.88,30.54,31.43,33.24,31.96,31.3,30.57,31.16,,32.82,24.36,,31.6,31.46,30.42
2023-05-23T14:41:30-05:00,0.0,0.0,23.7,23.72,30.89,30.51,31.46,33.26,31.96,31.29,30.53,31.15,,32.82,24.4,28.17,31.6,31.44,30.34
2023-05-23T14:42:00-05:00,0.0,0.0,23.73,23.74,30.89,30.49,31.48,33.24,31.98,31.33,30.56,31.13,,32.8,24.44,28.19,31.6,31.43,30.3
2023-05-23T14:42:30-05:00,0.0,0.0,23.73,23.79,30.91,30.51,31.5,33.26,31.99,31.32,30.6,31.12,,32.82,24.47,28.23,31.6,31.44,30.27
2023-05-23T14:43:00-05:00,0.0,0.0,23.77,23.81,30.94,30.47,31.49,33.2,31.99,31.32,30.57,31.12,,32.8,24.46,28.2,31.5,31.39,30.22
2023-05-23T14:44:00-05:00,0.0,0.0,23.83,23.84,30.98,30.49,31.46,33.29,32.01,31.3,30.6,31.08,,32.75,24.53,28.23,31.5,31.44,30.09
2023-05-23T14:44:30-05:00,0.0,0.0,23.89,23.88,30.98,30.51,31.46,33.23,31.99,31.35,30.58,31.06,,32.76,24.56,28.24,31.5,31.46,30.04
2023-05-23T14:45:00-05:00,0.0,0.0,23.89,23.9,31.0,30.45,31.46,33.27,32.01,31.35,30.63,31.06,,32.78,24.61,28.27,31.5,31.46,29.99
2023-05-23T14:45:30-05:00,0.0,0.0,23.94,23.92,31.02,30.4,31.45,33.23,32.01,31.33,30.65,31.02,,32.82,24.64,28.29,31.5,31.44,29.95
2023-05-23T14:46:00-05:00,0.0,0.0,23.99,23.96,31.0,30.31,31.42,33.23,32.02,31.32,30.63,31.0,,32.82,24.67,28.27,31.5,31.46,29.87
2023-05-23T14:46:30-05:00,0.0,0.0,23.99,23.98,31.0,30.3,31.42,33.19,32.02,31.33,30.67,30.96,,,24.71,,31.5,31.46,29.88
2023-05-23T14:47:00-05:00,0.0,0.0,23.99,23.96,31.0,30.24,31.45,33.19,32.02,31.35,30.64,30.95,,32.8,24.71,28.3,31.5,31.5,29.83
2023-05-23T14:47:30-05:00,0.0,0.0,24.0,24.02,30.99,30.21,31.42,33.16,32.02,31.33,30.6,30.98,,32.85,24.73,28.3,31.4,31.51,29.76
2023-05-23T14:48:00-05:00,0.0,0.0,24.04,24.04,31.02,30.21,31.45,33.19,32.01,31.36,30.58,30.95,,32.89,24.75,28.33,31.4,31.54,29.72
2023-05-23T14:48:30-05:00,0.0,0.0,24.06,24.06,31.03,30.25,31.45,33.09,32.04,31.36,30.53,30.92,,32.92,24.78,28.32,31.5,31.57,29.68
2023-05-23T14:49:00-05:00,0.0,0.0,24.11,24.08,31.02,30.25,31.43,33.13,32.04,31.37,30.61,30.91,,32.95,24.78,28.36,31.4,31.56,29.64
2023-05-23T14:49:30-05:00,0.0,0.0,24.13,24.08,31.02,30.25,31.45,33.1,32.04,31.32,30.58,30.91,,32.9,24.81,28.33,31.4,31.56,29.6
2023-05-23T14:50:00-05:00,0.0,0.0,24.14,24.12,30.96,30.2,31.45,33.09,32.02,31.29,30.54,30.93,,32.92,24.83,28.37,31.4,31.57,29.53
2023-05-23T14:50:30-05:00,0.0,0.0,24.2,24.12,30.94,30.24,31.46,32.96,32.04,31.27,30.57,30.89,,32.95,24.84,28.4,31.4,31.64,29.53
2023-05-23T14:51:00-05:00,0.0,0.0,24.2,24.13,30.95,30.23,31.46,32.93,32.04,31.23,30.54,30.88,,32.95,24.85,28.39,31.4,31.6,29.44
2023-05-23T14:51:30-05:00,0.0,0.0,24.2,24.13,30.94,30.21,31.49,32.92,32.02,31.21,30.57,30.88,,32.98,24.87,28.4,31.4,31.64,29.41
2023-05-23T14:52:00-05:00,0.0,0.0,24.24,24.15,30.89,30.17,31.5,32.9,32.04,31.21,30.58,30.86,,33.02,24.84,28.39,31.3,31.69,29.37
2023-05-23T14:52:30-05:00,0.0,0.0,24.25,24.16,30.92,30.18,31.55,32.8,32.04,31.19,30.44,30.83,,33.06,24.9,28.42,31.3,31.6,29.33
2023-05-23T14:53:00-05:00,0.0,0.0,24.24,24.19,30.92,30.23,31.5,32.8,32.02,31.19,30.44,30.78,,33.09,24.92,28.39,31.3,31.59,29.33
2023-05-23T14:53:30-05:00,0.0,0.0,24.27,24.22,30.95,30.25,31.53,32.64,32.05,31.14,30.47,30.74,,33.1,24.94,28.42,31.2,31.59,29.33
2023-05-23T14:54:00-05:00,0.0,0.0,24.31,24.22,30.98,30.28,31.53,32.61,32.02,31.12,30.45,30.68,,33.12,24.95,28.44,31.2,31.59,29.25
2023-05-23T14:54:30-05:00,0.0,0.0,24.33,24.26,30.96,30.35,31.5,32.32,32.02,31.12,30.38,30.61,,33.16,24.95,28.47,31.2,31.54,29.23
