DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_333E,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-23T14:38:00-05:00,3.0,3.0,5.0,4.0,1.0,3.0,2.0,13.0,4.0,8.0,1.0,,,2.0,3.0,,2.0,7.0,4.0
2023-05-23T14:38:30-05:00,3.0,4.0,5.0,4.0,1.0,4.0,2.0,13.0,4.0,8.0,1.0,,,2.0,3.0,,3.0,8.0,2.0
2023-05-23T14:39:00-05:00,3.0,4.0,4.0,4.0,6.0,4.0,2.0,14.0,4.0,8.0,1.0,,,2.0,4.0,,2.0,7.0,2.0
2023-05-23T14:39:30-05:00,3.0,3.0,5.0,5.0,6.0,4.0,2.0,9.0,4.0,8.0,6.0,,,3.0,3.0,,3.0,8.0,1.0
2023-05-23T14:40:00-05:00,3.0,2.0,4.0,4.0,4.0,4.0,2.0,14.0,3.0,8.0,2.0,,,3.0,3.0,,4.0,8.0,2.0
2023-05-23T14:40:30-05:00,3.0,2.0,5.0,5.0,,6.0,2.0,12.0,3.0,8.0,1.0,,,3.0,3.0,,3.0,6.0,4.0
2023-05-23T14:41:00-05:00,3.0,2.0,5.0,4.0,2.0,3.0,2.0,12.0,3.0,8.0,1.0,,,3.0,3.0,,4.0,6.0,2.0
2023-05-23T14:41:30-05:00,3.0,2.0,5.0,4.0,2.0,2.0,2.0,13.0,3.0,8.0,1.0,,,3.0,4.0,,2.0,8.0,2.0
2023-05-23T14:42:00-05:00,3.0,2.0,4.0,4.0,3.0,3.0,2.0,11.0,3.0,8.0,1.0,,,4.0,3.0,,3.0,9.0,2.0
2023-05-23T14:42:30-05:00,3.0,3.0,4.0,4.0,2.0,3.0,2.0,9.0,3.0,8.0,1.0,,,3.0,4.0,,2.0,7.0,2.0
2023-05-23T14:43:00-05:00,3.0,3.0,4.0,4.0,2.0,4.0,2.0,10.0,2.0,8.0,1.0,,,3.0,3.0,,2.0,6.0,2.0
2023-05-23T14:44:00-05:00,3.0,1.0,4.0,4.0,3.0,6.0,2.0,10.0,2.0,8.0,1.0,,,4.0,3.0,,3.0,5.0,3.0
2023-05-23T14:44:30-05:00,3.0,1.0,4.0,4.0,2.0,6.0,2.0,12.0,2.0,8.0,1.0,,,4.0,3.0,,2.0,5.0,2.0
2023-05-23T14:45:00-05:00,3.0,2.0,4.0,4.0,3.0,3.0,2.0,11.0,2.0,8.0,1.0,,,5.0,3.0,,3.0,5.0,2.0
2023-05-23T14:45:30-05:00,3.0,2.0,3.0,5.0,5.0,2.0,2.0,13.0,2.0,8.0,2.0,,,5.0,4.0,,2.0,5.0,3.0
2023-05-23T14:46:00-05:00,3.0,2.0,4.0,4.0,5.0,2.0,2.0,12.0,3.0,8.0,1.0,,,4.0,3.0,,2.0,5.0,2.0
2023-05-23T14:46:30-05:00,3.0,2.0,5.0,4.0,3.0,2.0,2.0,10.0,3.0,8.0,1.0,,,,4.0,,2.0,8.0,3.0
2023-05-23T14:47:00-05:00,3.0,3.0,4.0,4.0,3.0,7.0,2.0,10.0,3.0,8.0,1.0,,,4.0,4.0,,2.0,12.0,3.0
2023-05-23T14:47:30-05:00,3.0,2.0,4.0,4.0,3.0,4.0,2.0,9.0,2.0,8.0,1.0,,,4.0,4.0,,2.0,10.0,3.0
2023-05-23T14:48:00-05:00,3.0,1.0,4.0,5.0,3.0,4.0,2.0,8.0,2.0,8.0,1.0,,,4.0,4.0,,3.0,,2.0
2023-05-23T14:48:30-05:00,3.0,1.0,4.0,4.0,2.0,4.0,1.0,9.0,2.0,8.0,1.0,,,3.0,4.0,,2.0,,2.0
2023-05-23T14:49:00-05:00,3.0,1.0,4.0,4.0,2.0,8.0,1.0,7.0,2.0,8.0,1.0,,,4.0,3.0,,2.0,,2.0
2023-05-23T14:49:30-05:00,3.0,1.0,4.0,4.0,2.0,7.0,1.0,8.0,2.0,8.0,1.0,,,3.0,3.0,,2.0,,2.0
2023-05-23T14:50:00-05:00,3.0,1.0,5.0,5.0,2.0,6.0,1.0,8.0,2.0,8.0,1.0,,,3.0,4.0,,2.0,11.0,2.0
2023-05-23T14:50:30-05:00,3.0,1.0,4.0,4.0,3.0,4.0,1.0,11.0,2.0,8.0,1.0,,,4.0,4.0,,2.0,9.0,2.0
2023-05-23T14:51:00-05:00,3.0,1.0,4.0,4.0,2.0,3.0,1.0,10.0,2.0,8.0,1.0,,,5.0,4.0,,2.0,9.0,2.0
2023-05-23T14:51:30-05:00,3.0,1.0,4.0,5.0,2.0,4.0,1.0,7.0,2.0,8.0,1.0,,,5.0,3.0,,3.0,7.0,2.0
2023-05-23T14:52:00-05:00,3.0,3.0,4.0,5.0,2.0,5.0,1.0,4.0,3.0,8.0,1.0,,,6.0,4.0,,2.0,4.0,2.0
2023-05-23T14:52:30-05:00,3.0,6.0,4.0,4.0,2.0,5.0,2.0,4.0,2.0,8.0,1.0,,,6.0,4.0,,4.0,5.0,3.0
2023-05-23T14:53:00-05:00,3.0,3.0,4.0,4.0,1.0,7.0,2.0,5.0,2.0,8.0,1.0,7.0,,5.0,3.0,,3.0,7.0,2.0
2023-05-23T14:53:30-05:00,3.0,2.0,4.0,5.0,3.0,6.0,2.0,5.0,2.0,8.0,1.0,6.0,,5.0,3.0,,2.0,6.0,2.0
2023-05-23T14:54:00-05:00,3.0,2.0,5.0,5.0,4.0,7.0,2.0,4.0,3.0,8.0,1.0,6.0,,5.0,4.0,,1.0,6.0,2.0
2023-05-23T14:54:30-05:00,3.0,1.0,4.0,4.0,2.0,,3.0,4.0,2.0,8.0,1.0,4.0,,5.0,3.0,,2.0,6.0,1.0
2023-05-23T14:55:00-05:00,3.0,1.0,5.0,4.0,3.0,11.0,4.0,3.0,2.0,8.0,1.0,3.0,,6.0,3.0,,1.0,6.0,2.0
2023-05-23T14:55:30-05:00,3.0,1.0,4.0,4.0,3.0,4.0,7.0,4.0,2.0,8.0,1.0,3.0,,4.0,3.0,,1.0,7.0,2.0
