DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_333E,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-24T00:00:00-05:00,9,25,9,9,,,,,,21,,25,30,5,25,,21,
2023-05-24T00:00:30-05:00,9,21,9,9,,17,34,50,21,21,53,21,25,5,25,0,21,38
2023-05-24T00:01:00-05:00,9,25,9,9,,21,34,30,21,21,46,25,25,9,25,0,17,30
2023-05-24T00:01:30-05:00,9,,9,9,46,21,34,25,21,34,42,25,25,5,25,13,17,30
2023-05-24T00:02:00-05:00,9,21,9,9,38,25,,25,21,25,42,21,30,5,25,13,21,30
2023-05-24T00:02:30-05:00,9,25,9,9,38,25,,25,21,25,42,21,25,5,25,17,21,30
2023-05-24T00:03:00-05:00,9,25,9,9,34,21,,30,17,25,42,25,30,5,25,13,17,30
2023-05-24T00:03:30-05:00,9,25,9,9,34,21,,25,17,25,42,25,30,5,21,17,30,25
2023-05-24T00:04:00-05:00,9,25,9,9,38,21,,25,21,21,46,21,30,5,25,17,21,30
2023-05-24T00:04:30-05:00,9,,9,9,34,21,,25,21,21,42,30,25,5,25,9,21,30
2023-05-24T00:05:00-05:00,9,25,9,9,34,21,,25,17,21,42,30,25,5,25,9,21,25
2023-05-24T00:05:30-05:00,9,25,9,9,34,21,,25,17,25,42,25,30,5,25,17,21,25
2023-05-24T00:06:00-05:00,9,21,9,9,34,21,,25,17,25,46,25,,5,25,13,21,25
2023-05-24T00:06:30-05:00,9,,9,9,34,25,,25,17,21,42,30,25,9,25,13,21,25
2023-05-24T00:07:00-05:00,9,25,9,9,34,25,,25,17,17,38,25,21,5,25,5,17,25
2023-05-24T00:07:30-05:00,9,21,9,9,30,25,,30,17,21,46,25,21,9,25,17,17,25
