DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_333E,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-24T00:59:30-05:00,9,18,8,8,36,23,34,31,16,24,35,26,27,5,22,14,19,27
2023-05-24T01:59:30-05:00,8,22,7,7,,29,,38,14,23,15,22,,5,19,16,17,28
2023-05-24T02:59:30-05:00,9,22,7,8,,23,,34,17,34,16,16,,5,13,12,18,27
2023-05-24T03:59:30-05:00,7,19,6,6,,35,,61,15,35,18,27,,5,23,24,32,30
2023-05-24T04:59:30-05:00,5,32,6,7,,53,,63,22,42,24,23,,5,21,36,57,47
2023-05-24T05:59:30-05:00,7,21,5,6,,63,73,74,18,46,24,20,,5,19,40,52,48
2023-05-24T06:59:30-05:00,9,28,6,7,,71,,61,27,66,27,32,,5,33,56,40,60
2023-05-24T07:59:30-05:00,9,39,6,7,,77,,57,41,76,34,36,,5,32,51,59,54
2023-05-24T08:59:30-05:00,9,15,11,11,,61,,18,22,49,46,29,,8,29,20,49,38
2023-05-24T09:59:30-05:00,9,14,12,12,,37,,21,17,33,20,21,,9,25,20,28,28
2023-05-24T10:59:30-05:00,11,20,17,17,,43,,35,23,37,28,22,,13,24,27,28,27
2023-05-24T11:59:30-05:00,20,28,19,19,,57,,63,37,61,58,23,,15,23,43,40,45
2023-05-24T12:59:30-05:00,25,63,32,31,64,73,,78,70,82,,53,,25,46,59,52,73
2023-05-24T13:59:30-05:00,30,77,56,56,54,58,50,68,75,72,62,71,,47,68,44,36,73
2023-05-24T14:59:30-05:00,,63,,,50,54,47,59,63,58,53,66,,,61,40,35,61
2023-05-24T15:59:30-05:00,,48,,,33,39,31,60,33,39,27,62,,,59,30,25,39
2023-05-24T16:59:30-05:00,,66,40,40,26,30,19,44,53,33,24,65,,31,67,23,17,52
2023-05-24T17:59:30-05:00,46,50,33,33,33,32,27,54,33,49,29,54,,25,51,32,18,44
2023-05-24T18:59:30-05:00,35,23,38,38,32,20,19,55,16,,16,38,,28,34,26,18,26
2023-05-24T19:59:30-05:00,34,25,35,35,33,16,17,41,11,21,13,44,,27,37,14,20,17
2023-05-24T20:59:30-05:00,23,50,24,23,33,16,38,40,39,38,15,63,,18,64,11,31,26
2023-05-24T21:59:30-05:00,17,61,16,16,48,36,50,75,53,65,43,55,,13,52,40,37,59
2023-05-24T22:59:30-05:00,14,52,15,16,54,52,53,67,50,56,37,36,,12,30,35,43,48
2023-05-24T23:59:30-05:00,13,20,16,16,39,41,38,69,38,40,33,11,,13,10,11,27,16
