DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782_x,TANGARA_3782_y,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-25T00:00:00-05:00,0.0,0.0,71.48,71.73,,,,,,67.6,,72.69,,,68.26,76.8,,62.61,
2023-05-25T00:00:30-05:00,0.0,0.0,71.38,71.68,,72.71,68.84,73.88,60.97,67.65,66.29,72.91,,,68.15,76.96,99.9,62.68,68.67
2023-05-25T00:01:00-05:00,0.0,0.0,71.3,71.67,,72.74,69.0,74.25,61.28,67.84,66.19,73.07,,,68.17,77.01,99.9,62.78,68.91
2023-05-25T00:01:30-05:00,0.0,0.0,71.28,71.65,64.56,72.92,68.99,74.37,61.68,68.03,66.31,72.92,,,68.0,76.98,99.9,62.78,68.48
2023-05-25T00:02:00-05:00,0.0,0.0,71.22,71.61,64.82,72.93,69.12,74.21,61.6,67.7,66.5,72.95,,,67.79,77.06,99.9,62.78,68.67
2023-05-25T00:02:30-05:00,0.0,0.0,71.06,71.54,64.7,72.96,69.18,74.45,61.62,67.67,66.94,73.06,,,67.92,77.22,99.9,62.88,68.67
2023-05-25T00:03:00-05:00,0.0,0.0,71.07,71.54,65.0,72.74,69.34,74.48,61.77,67.64,66.62,72.92,,,,77.09,99.9,62.88,68.44
2023-05-25T00:03:30-05:00,0.0,0.0,71.19,71.61,64.96,72.61,69.32,74.6,61.8,67.6,66.29,72.96,,,68.45,77.29,99.9,62.84,68.48
2023-05-25T00:04:00-05:00,0.0,0.0,71.54,71.72,64.97,72.59,69.33,74.39,61.74,67.79,66.58,73.07,,,68.1,77.2,99.9,62.99,68.35
2023-05-25T00:04:30-05:00,0.0,0.0,71.32,71.62,65.1,72.54,69.45,74.47,61.76,67.5,66.78,73.05,,,68.15,77.2,99.9,62.97,67.92
2023-05-25T00:05:00-05:00,0.0,0.0,71.35,71.69,65.1,72.57,69.41,74.84,61.66,67.26,66.94,73.2,,,68.18,77.29,99.9,62.84,67.81
2023-05-25T00:05:30-05:00,0.0,0.0,71.36,71.66,65.2,72.57,69.45,74.84,61.62,67.34,66.61,73.32,,,68.17,77.45,,62.85,68.08
2023-05-25T00:06:00-05:00,0.0,0.0,71.33,71.64,65.26,72.48,69.45,74.74,61.59,67.04,66.64,73.31,,,68.39,77.46,99.9,62.81,68.08
2023-05-25T00:06:30-05:00,0.0,0.0,71.72,71.73,65.53,72.53,69.49,75.1,61.82,67.19,66.76,73.38,,,68.24,77.38,99.9,62.84,67.73
2023-05-25T00:07:00-05:00,0.0,0.0,71.51,71.69,65.55,72.6,69.61,74.95,61.64,67.37,66.96,73.37,,,68.13,77.36,99.9,62.86,67.68
2023-05-25T00:07:30-05:00,0.0,0.0,71.34,71.67,65.39,72.68,69.45,74.62,61.6,67.3,66.65,73.28,,,68.16,77.63,99.9,62.85,67.64
2023-05-25T00:08:00-05:00,0.0,0.0,71.33,71.73,65.52,72.79,69.49,74.3,61.51,67.22,66.29,73.4,,,68.35,77.7,99.9,62.85,67.76
2023-05-25T00:08:30-05:00,0.0,0.0,71.46,71.8,65.27,72.91,69.58,74.47,61.79,67.08,66.81,73.34,,,68.14,77.63,99.9,62.84,67.86
2023-05-25T00:09:00-05:00,0.0,0.0,71.43,71.73,65.18,73.03,69.58,74.81,61.86,67.07,66.4,73.42,,,68.02,77.6,99.9,62.91,67.99
2023-05-25T00:09:30-05:00,0.0,0.0,71.22,71.71,65.15,73.05,69.56,74.28,61.84,66.86,66.84,73.3,,,68.37,77.73,99.9,62.9,67.88
2023-05-25T00:10:00-05:00,0.0,0.0,71.58,71.82,65.02,73.05,69.65,74.11,62.0,66.95,67.75,73.49,,,68.39,77.71,99.9,62.95,67.81
2023-05-25T00:10:30-05:00,0.0,0.0,71.67,71.94,64.95,72.93,69.61,73.99,62.04,67.33,66.52,73.53,,,68.12,77.95,99.9,63.06,68.11
2023-05-25T00:11:00-05:00,0.0,0.0,71.54,71.75,64.84,72.92,69.54,73.91,61.97,67.2,66.94,73.37,,,68.09,78.0,99.9,63.03,67.79
2023-05-25T00:11:30-05:00,0.0,0.0,71.34,71.76,64.69,72.85,69.5,73.9,62.12,67.1,66.7,73.41,,,68.03,78.07,99.9,63.02,67.7
2023-05-25T00:12:00-05:00,0.0,0.0,71.36,71.78,,72.79,69.34,74.3,61.97,66.89,66.39,73.5,,,68.07,78.03,99.9,62.9,67.72
2023-05-25T00:12:30-05:00,0.0,0.0,71.32,71.75,,72.8,69.25,74.05,61.78,67.36,66.76,73.55,,,67.81,77.96,99.9,62.9,67.7
2023-05-25T00:13:30-05:00,0.0,0.0,71.34,71.73,,72.66,68.93,74.13,61.86,67.2,66.32,73.55,,,67.82,78.12,99.9,62.96,68.0
2023-05-25T00:14:00-05:00,0.0,0.0,71.24,71.63,,72.62,68.7,74.36,61.47,67.1,66.75,73.58,,,67.83,78.22,99.9,63.06,68.27
2023-05-25T00:15:00-05:00,0.0,0.0,71.09,71.65,,72.44,68.89,73.79,61.73,66.71,66.64,73.66,,,67.78,78.25,99.9,62.96,68.27
2023-05-25T00:15:30-05:00,0.0,0.0,70.96,71.67,,72.42,68.96,73.75,61.64,66.5,67.02,73.78,,,67.77,78.26,99.9,62.94,68.54
2023-05-25T00:16:00-05:00,0.0,0.0,71.07,71.66,,72.44,68.96,73.88,61.67,67.34,66.56,73.68,,,67.79,78.15,99.9,62.83,68.56
2023-05-25T00:17:00-05:00,0.0,0.0,70.96,71.53,,72.03,68.99,73.7,61.54,66.61,66.49,73.6,,,67.52,78.17,99.9,62.84,68.63
2023-05-25T00:17:30-05:00,0.0,0.0,70.9,71.48,,71.87,68.94,73.54,61.56,66.51,66.52,73.77,,,67.42,78.17,99.9,62.82,68.68
2023-05-25T00:18:00-05:00,0.0,0.0,70.81,71.47,,71.76,68.87,73.62,61.43,66.74,66.33,73.6,,,67.21,78.19,99.9,62.84,68.7
2023-05-25T00:18:30-05:00,0.0,0.0,70.68,71.45,,71.5,69.02,73.56,61.64,66.8,66.55,73.53,,,,78.25,99.9,62.89,68.78
2023-05-25T00:19:00-05:00,0.0,0.0,70.7,71.41,,71.29,69.1,73.65,61.51,66.69,66.4,73.57,,,67.24,78.12,99.9,62.96,68.76
2023-05-25T00:19:30-05:00,0.0,0.0,70.8,71.37,,71.22,69.09,73.61,61.44,66.68,66.89,73.59,,,,78.11,99.9,62.93,68.87
2023-05-25T00:20:00-05:00,0.0,0.0,70.62,71.44,,71.18,69.05,73.83,61.7,66.51,66.74,73.6,,,67.23,77.89,99.9,62.92,68.76
2023-05-25T00:20:30-05:00,0.0,0.0,70.67,71.42,,71.01,69.05,73.97,61.33,66.02,66.9,73.66,,,67.34,77.87,99.9,62.99,68.96
2023-05-25T00:21:00-05:00,0.0,0.0,70.64,71.36,,70.27,69.0,73.81,61.54,65.87,66.66,73.56,,,,77.9,99.9,63.02,68.98
2023-05-25T00:21:30-05:00,0.0,0.0,70.76,71.44,,70.02,69.03,73.91,61.42,65.91,66.78,73.71,,,67.85,77.89,99.9,62.9,68.91
2023-05-25T00:22:00-05:00,0.0,0.0,71.22,71.73,,70.11,69.08,74.21,61.55,65.73,66.3,73.62,,,67.95,77.75,99.9,62.9,68.95
2023-05-25T00:22:30-05:00,0.0,0.0,71.46,71.7,,70.02,69.12,73.9,61.48,65.94,66.37,73.49,,,67.86,77.83,99.9,62.86,69.04
2023-05-25T00:23:00-05:00,0.0,0.0,71.23,71.69,,69.87,69.0,73.91,61.35,66.09,66.65,73.63,,,67.68,77.51,99.9,62.8,69.08
2023-05-25T00:23:30-05:00,0.0,0.0,71.03,71.59,,69.95,68.91,74.45,61.45,66.18,66.87,73.79,,,67.58,77.57,99.9,62.73,69.04
2023-05-25T00:24:00-05:00,0.0,0.0,70.88,71.55,,69.53,68.93,73.96,61.26,65.79,66.77,73.63,,,,77.67,99.9,62.73,69.0
2023-05-25T00:24:30-05:00,0.0,0.0,70.97,71.54,,69.71,68.62,74.05,61.31,65.34,66.52,73.49,,,67.56,77.51,99.9,62.7,69.12
2023-05-25T00:25:00-05:00,0.0,0.0,71.15,71.62,,69.61,68.42,74.76,61.02,65.38,66.57,73.46,,,67.61,77.58,99.9,62.62,68.97
2023-05-25T00:25:30-05:00,0.0,0.0,71.73,71.86,,69.45,68.28,74.37,60.92,65.75,66.39,73.56,,,68.05,77.67,99.9,62.64,69.03
2023-05-25T00:26:00-05:00,0.0,0.0,72.09,71.85,,69.47,68.07,74.49,61.22,65.64,66.38,73.58,,,67.92,77.64,99.9,62.7,68.95
2023-05-25T00:26:30-05:00,0.0,0.0,71.51,71.76,,69.35,68.16,74.69,60.94,65.94,66.52,73.69,,,67.95,77.76,99.9,62.7,69.09
2023-05-25T00:27:00-05:00,0.0,0.0,71.35,71.78,,69.35,,74.14,60.92,65.87,66.58,73.59,,,,77.86,99.9,62.71,68.97
2023-05-25T00:27:30-05:00,0.0,0.0,71.32,71.74,,69.39,67.98,74.08,60.95,65.78,66.46,73.75,,,67.81,77.64,99.9,62.77,68.95
2023-05-25T00:28:00-05:00,0.0,0.0,71.2,71.69,,69.53,67.93,74.15,61.09,65.12,66.74,73.74,,,67.82,77.6,99.9,62.74,68.91
2023-05-25T00:28:30-05:00,0.0,0.0,71.05,71.57,,69.55,67.87,74.44,61.39,65.24,66.64,73.88,,,67.45,77.71,99.9,62.82,69.21
2023-05-25T00:29:00-05:00,0.0,0.0,70.87,71.47,,69.56,67.82,74.45,61.01,65.18,66.25,73.75,,,67.24,77.68,99.9,62.82,69.27
2023-05-25T00:29:30-05:00,0.0,0.0,70.83,71.46,,69.74,67.79,74.38,61.21,65.24,66.55,73.57,,,67.13,77.75,99.9,63.06,69.14
2023-05-25T00:30:00-05:00,0.0,0.0,70.76,71.37,,69.87,67.9,74.36,61.24,65.03,66.49,73.76,,,67.13,77.78,99.9,62.9,69.05
2023-05-25T00:30:30-05:00,0.0,0.0,70.74,71.33,,69.81,67.82,74.21,61.42,65.17,66.52,73.73,,,,77.69,99.9,62.91,68.95
2023-05-25T00:31:00-05:00,0.0,0.0,70.65,71.36,,69.88,67.82,74.01,60.83,65.37,66.42,73.61,,,67.15,77.66,99.9,62.91,69.12
2023-05-25T00:31:30-05:00,0.0,0.0,70.57,71.33,,69.86,67.74,73.94,60.71,65.5,66.16,73.73,,,67.1,77.7,99.9,62.93,69.44
2023-05-25T00:32:00-05:00,0.0,0.0,70.53,71.3,,69.79,67.79,74.73,61.25,65.38,66.61,73.67,,,,77.68,99.9,62.83,69.25
2023-05-25T00:32:30-05:00,0.0,0.0,70.83,71.45,,69.83,67.83,74.07,61.02,65.38,66.41,73.72,,,67.73,77.73,99.9,62.73,69.14
2023-05-25T00:33:00-05:00,0.0,0.0,70.88,71.51,,69.91,67.53,73.52,60.93,65.48,66.17,73.73,,,,77.64,99.9,62.77,69.07
2023-05-25T00:33:30-05:00,0.0,0.0,71.41,71.69,,70.01,67.56,73.65,61.06,65.43,66.51,73.83,,,67.84,77.74,99.9,62.75,69.17
2023-05-25T00:34:00-05:00,0.0,0.0,70.93,71.49,,70.18,67.61,73.64,61.01,65.5,66.2,73.68,,,67.64,77.84,99.9,62.76,69.29
2023-05-25T00:34:30-05:00,0.0,0.0,70.93,71.55,,70.3,67.61,73.67,60.95,65.38,66.24,73.83,,,67.82,77.8,99.9,62.77,69.3
2023-05-25T00:35:00-05:00,0.0,0.0,71.38,71.72,,70.52,67.56,73.89,61.19,65.4,66.21,73.84,,,68.07,77.82,99.9,62.89,69.46
2023-05-25T00:35:30-05:00,0.0,0.0,71.19,71.62,,70.52,67.67,74.18,61.15,65.34,66.24,73.82,,,68.09,77.82,99.9,62.81,69.57
2023-05-25T00:36:00-05:00,0.0,0.0,70.91,71.58,,70.54,67.75,73.95,60.79,65.6,66.13,73.87,,,67.93,77.76,99.9,62.81,69.38
2023-05-25T00:36:30-05:00,0.0,0.0,70.97,71.5,,70.55,67.63,73.9,60.85,65.6,66.31,73.9,,,67.85,77.73,99.9,62.75,69.42
2023-05-25T00:37:00-05:00,0.0,0.0,70.8,71.44,,70.63,67.7,73.89,60.94,65.37,66.27,73.84,,,67.59,77.74,,62.71,69.56
2023-05-25T00:37:30-05:00,0.0,0.0,70.84,71.44,,70.77,67.78,73.86,60.76,65.48,66.33,73.89,,,67.55,77.81,99.9,62.67,69.68
2023-05-25T00:38:00-05:00,0.0,0.0,71.17,71.57,,70.69,67.88,74.41,61.0,65.83,66.22,73.84,,,67.86,77.84,99.9,62.71,69.81
2023-05-25T00:38:30-05:00,0.0,0.0,71.37,71.68,,70.82,67.94,73.95,60.76,65.63,66.23,73.78,,,67.92,77.74,99.9,62.85,69.9
2023-05-25T00:39:00-05:00,0.0,0.0,71.52,71.73,,70.97,68.07,74.2,60.69,65.66,66.37,73.76,,,68.13,77.6,99.9,62.88,69.79
2023-05-25T00:39:30-05:00,0.0,0.0,71.61,71.71,,71.01,68.12,73.92,61.12,65.45,66.31,73.59,,,67.98,77.63,99.9,62.89,69.79
2023-05-25T00:40:00-05:00,0.0,0.0,71.62,71.71,,70.87,68.18,74.03,61.13,65.45,66.42,73.65,,,68.05,77.79,99.9,62.86,69.73
2023-05-25T00:40:30-05:00,0.0,0.0,71.89,71.82,,70.56,68.25,74.06,60.67,65.53,66.21,73.54,,,68.24,77.75,99.9,62.86,69.76
2023-05-25T00:41:00-05:00,0.0,0.0,72.1,71.89,,70.97,68.43,73.7,60.54,65.74,66.31,73.65,,,68.37,77.73,99.9,62.86,69.69
2023-05-25T00:41:30-05:00,0.0,0.0,72.16,71.94,,70.97,68.53,73.46,60.56,65.83,66.17,73.65,,,68.33,77.61,99.9,62.93,69.79
2023-05-25T00:42:00-05:00,0.0,0.0,72.03,71.85,,71.11,68.64,73.67,60.92,66.03,66.28,73.57,,,68.26,77.7,99.9,62.91,69.67
2023-05-25T00:42:30-05:00,0.0,0.0,71.92,71.79,,71.18,68.66,73.2,60.87,65.84,66.46,73.68,,,68.21,77.72,99.9,62.95,69.76
2023-05-25T00:43:00-05:00,0.0,0.0,71.84,71.73,,71.18,68.84,73.1,60.44,65.7,66.29,73.66,,,68.08,77.7,99.9,62.95,69.69
2023-05-25T00:43:30-05:00,0.0,0.0,71.75,71.7,,71.09,68.84,73.55,60.3,66.12,66.53,73.45,,,68.03,77.62,99.9,62.93,69.86
2023-05-25T00:44:00-05:00,0.0,0.0,71.79,71.65,,71.17,68.83,73.47,60.38,66.03,66.1,73.49,,,68.02,77.61,99.9,62.96,69.73
2023-05-25T00:44:30-05:00,0.0,0.0,71.76,71.69,,70.96,68.89,73.75,60.38,65.78,66.23,73.47,,,68.06,77.68,99.9,62.93,69.76
2023-05-25T00:45:00-05:00,0.0,0.0,71.68,71.68,,70.93,68.94,73.73,60.21,65.69,66.34,73.51,,,68.07,77.63,99.9,62.93,69.85
2023-05-25T00:45:30-05:00,0.0,0.0,71.69,71.65,,70.68,69.02,73.84,60.11,65.79,66.2,73.32,,,68.08,77.57,99.9,62.93,69.83
2023-05-25T00:46:00-05:00,0.0,0.0,71.56,71.69,,70.68,69.09,74.45,60.01,66.18,66.37,73.47,,,68.1,77.56,99.9,62.96,69.56
2023-05-25T00:46:30-05:00,0.0,0.0,71.52,71.65,,70.41,69.13,73.73,59.99,65.84,66.24,73.67,,,68.08,77.56,99.9,63.05,69.58
2023-05-25T00:47:00-05:00,0.0,0.0,71.5,71.68,,70.36,69.06,74.32,60.16,65.94,66.25,73.57,,,68.08,77.69,99.9,63.03,69.61
2023-05-25T00:47:30-05:00,0.0,0.0,71.69,71.67,,70.34,69.15,74.13,60.05,65.64,66.39,73.74,,,68.24,77.65,99.9,63.09,69.7
2023-05-25T00:48:00-05:00,0.0,0.0,71.45,71.6,,70.3,69.1,74.04,60.04,65.99,66.39,73.42,,,68.01,77.58,99.9,63.14,69.7
2023-05-25T00:48:30-05:00,0.0,0.0,72.0,71.78,,70.38,69.06,73.55,60.15,65.87,66.37,73.41,,,68.48,77.65,99.9,63.12,69.74
2023-05-25T00:49:00-05:00,0.0,0.0,71.94,71.8,,70.52,69.15,,60.39,65.68,66.44,73.41,,,68.47,77.32,99.9,63.15,69.76
