DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782_x,TANGARA_3782_y,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-25T00:00:00-05:00,0.0,0.0,23.7,23.57,,,,,,27.04,,24.9,,,24.36,24.12,,27.96,
2023-05-25T00:00:30-05:00,0.0,0.0,23.69,23.59,,25.08,26.63,25.11,29.42,27.02,28.47,24.9,,,24.33,24.13,25.3,27.95,26.67
2023-05-25T00:01:00-05:00,0.0,0.0,23.71,23.57,,25.03,26.63,25.17,29.42,27.04,28.45,24.92,,,24.33,24.15,25.2,27.93,26.64
2023-05-25T00:01:30-05:00,0.0,0.0,23.71,23.59,27.3,25.02,26.6,25.14,29.39,27.04,28.45,24.93,,,24.33,24.12,25.2,27.93,26.76
2023-05-25T00:02:00-05:00,0.0,0.0,23.7,23.57,27.3,25.01,26.57,25.06,29.34,27.04,28.45,24.92,,,24.33,24.11,25.2,27.93,26.77
2023-05-25T00:02:30-05:00,0.0,0.0,23.7,23.57,27.24,24.98,26.57,25.04,29.34,27.07,28.45,24.95,,,24.33,24.12,25.2,27.95,26.79
2023-05-25T00:03:00-05:00,0.0,0.0,23.7,23.57,27.24,24.98,26.53,25.02,29.31,27.04,28.43,24.93,,,,24.13,25.2,27.95,26.79
2023-05-25T00:03:30-05:00,0.0,0.0,23.7,23.57,27.2,24.98,26.5,25.07,29.3,27.07,28.44,24.96,,,24.31,24.13,25.2,27.95,26.8
2023-05-25T00:04:00-05:00,0.0,0.0,23.67,23.55,27.19,24.96,26.5,25.03,29.3,27.08,28.45,24.92,,,24.33,24.12,25.2,27.95,26.82
2023-05-25T00:04:30-05:00,0.0,0.0,23.69,23.58,27.19,24.96,26.49,24.97,29.3,27.09,28.45,24.92,,,24.33,24.11,25.1,27.95,26.84
2023-05-25T00:05:00-05:00,0.0,0.0,23.69,23.58,27.2,24.96,26.52,24.97,29.3,27.08,28.47,24.9,,,24.34,24.11,25.2,27.95,26.84
2023-05-25T00:05:30-05:00,0.0,0.0,23.69,23.58,27.17,24.95,26.52,24.96,29.25,27.09,28.45,24.92,,,24.34,24.15,,27.93,26.83
2023-05-25T00:06:00-05:00,0.0,0.0,23.71,23.58,27.14,24.95,26.5,24.92,29.27,27.08,28.48,24.92,,,24.37,24.13,25.2,27.95,26.84
2023-05-25T00:06:30-05:00,0.0,0.0,23.71,23.58,27.13,24.95,26.5,24.96,29.28,27.08,28.48,24.96,,,24.36,24.11,25.2,27.92,26.84
2023-05-25T00:07:00-05:00,0.0,0.0,23.7,23.62,27.13,24.92,26.46,24.97,29.27,27.08,28.52,24.92,,,24.39,24.09,25.2,27.89,26.84
2023-05-25T00:07:30-05:00,0.0,0.0,23.71,23.59,27.16,24.92,26.42,25.03,29.24,27.09,28.51,24.95,,,24.39,24.06,25.1,27.89,26.9
2023-05-25T00:08:00-05:00,0.0,0.0,23.7,23.61,27.11,24.89,26.43,25.07,29.24,27.08,28.52,24.95,,,24.37,24.06,25.2,27.89,26.84
2023-05-25T00:08:30-05:00,0.0,0.0,23.71,23.61,27.14,24.89,26.4,25.06,29.22,27.09,28.51,24.92,,,24.4,24.09,25.2,27.89,26.89
2023-05-25T00:09:00-05:00,0.0,0.0,23.7,23.59,27.13,24.89,26.4,25.09,29.27,27.08,28.52,24.93,,,24.43,24.05,25.2,27.86,26.9
