DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782_x,TANGARA_3782_y,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-25T00:00:00-05:00,13,13,17,17,,,,,,21,,9,,,13,9,,13,
2023-05-25T00:00:30-05:00,13,13,13,17,,17,13,53,17,17,21,9,,,13,9,0,13,25
2023-05-25T00:01:00-05:00,13,13,13,17,,13,13,,17,17,30,9,,,13,5,0,13,13
2023-05-25T00:01:30-05:00,13,13,17,13,46,17,13,,21,17,25,9,,,13,9,9,13,9
2023-05-25T00:02:00-05:00,13,9,17,17,17,17,13,,21,17,25,9,,,13,5,5,13,9
2023-05-25T00:02:30-05:00,13,13,17,17,13,17,13,,17,17,25,9,,,13,5,9,13,13
2023-05-25T00:03:00-05:00,13,13,17,17,13,13,13,,21,21,25,9,,,,9,5,13,13
2023-05-25T00:03:30-05:00,13,13,17,21,13,13,13,,21,17,21,9,,,13,9,5,13,9
2023-05-25T00:04:00-05:00,13,13,21,21,13,13,13,,17,17,25,9,,,13,5,5,9,9
2023-05-25T00:04:30-05:00,13,13,17,21,17,13,13,,17,17,25,9,,,13,9,0,13,9
2023-05-25T00:05:00-05:00,13,13,21,21,17,13,17,,17,17,25,9,,,17,9,5,13,9
2023-05-25T00:05:30-05:00,13,13,17,21,17,13,13,,21,17,21,9,,,17,5,,9,9
2023-05-25T00:06:00-05:00,13,13,21,,17,13,13,,17,17,25,9,,,,9,0,9,9
2023-05-25T00:06:30-05:00,13,9,,,13,13,13,,17,17,21,9,,,,5,9,9,13
2023-05-25T00:07:00-05:00,13,13,,,13,9,13,,17,17,25,9,,,,5,0,9,9
2023-05-25T00:07:30-05:00,13,9,,,17,13,13,,21,17,30,9,,,,9,5,9,9
2023-05-25T00:08:00-05:00,13,13,,,13,13,13,,17,17,25,9,,,,9,5,9,9
2023-05-25T00:08:30-05:00,13,9,,,17,13,13,,21,17,21,9,,,,5,0,9,9
2023-05-25T00:09:00-05:00,13,9,,,13,13,13,,17,17,21,9,,,,9,0,9,9
2023-05-25T00:09:30-05:00,13,9,,,13,13,13,,17,17,25,9,,,,9,5,9,9
2023-05-25T00:10:00-05:00,13,13,,,13,13,13,,17,13,38,9,,,,5,5,9,9
2023-05-25T00:10:30-05:00,13,13,,,13,13,13,,17,17,30,5,,,,9,5,9,9
2023-05-25T00:11:00-05:00,13,9,,,13,13,13,46,17,17,25,9,,,,9,9,9,9
2023-05-25T00:11:30-05:00,13,9,,,13,13,13,42,17,17,25,9,,,,9,0,9,9
2023-05-25T00:12:00-05:00,13,9,,,,13,13,38,21,13,25,9,,,,9,0,9,9
2023-05-25T00:12:30-05:00,13,13,,,,13,13,30,21,13,25,9,,,,9,5,9,9
2023-05-25T00:13:30-05:00,13,9,,,,13,13,25,17,13,25,9,,,,9,5,9,9
2023-05-25T00:14:00-05:00,13,13,,,,13,13,25,21,13,30,9,,,,5,9,9,9
2023-05-25T00:15:00-05:00,13,9,,,,13,13,21,17,13,30,9,,,,9,5,9,9
2023-05-25T00:15:30-05:00,13,9,,,,13,13,17,17,13,34,9,,,,9,9,9,9
2023-05-25T00:16:00-05:00,13,9,,,,13,13,21,17,13,30,9,,,,9,5,9,9
2023-05-25T00:17:00-05:00,13,9,,,,13,13,25,17,13,34,9,,,,9,5,9,9
2023-05-25T00:17:30-05:00,13,9,,,,9,13,17,21,13,30,9,,,,9,0,5,9
2023-05-25T00:18:00-05:00,13,9,,,,13,13,13,17,13,30,9,,,,9,5,9,13
2023-05-25T00:18:30-05:00,13,9,,,,13,13,13,17,13,34,9,,,,9,5,9,9
2023-05-25T00:19:00-05:00,,9,,,,13,13,13,17,13,34,9,,,,9,0,9,9
2023-05-25T00:19:30-05:00,,9,,,,13,13,13,17,13,30,9,,,,5,9,9,9
2023-05-25T00:20:00-05:00,,9,,,,13,17,13,17,13,38,9,,,,9,5,9,9
2023-05-25T00:20:30-05:00,,9,,,,13,13,17,21,13,30,9,,,,9,5,9,9
2023-05-25T00:21:00-05:00,,9,,,,9,13,21,21,13,25,9,,,,5,0,9,9
2023-05-25T00:21:30-05:00,,13,,,,9,13,21,17,17,30,9,,,,9,5,13,9
2023-05-25T00:22:00-05:00,,9,,,,13,17,17,21,13,30,5,,,,9,5,13,9
2023-05-25T00:22:30-05:00,,9,,,,13,17,21,21,13,30,9,,,,9,0,9,9
2023-05-25T00:23:00-05:00,,9,,,,13,13,21,21,13,30,9,,,,9,9,13,9
2023-05-25T00:23:30-05:00,,9,,,,13,13,21,21,13,30,9,,,,5,5,13,9
2023-05-25T00:24:00-05:00,,9,,,,9,17,21,17,13,30,9,,,,5,5,13,9
2023-05-25T00:24:30-05:00,,9,,,,13,13,25,17,9,30,9,,,,9,0,17,9
2023-05-25T00:25:00-05:00,,9,,,,13,13,30,17,9,30,9,,,,9,5,17,9
2023-05-25T00:25:30-05:00,,9,,,,13,13,25,17,13,30,9,,,,9,5,17,9
2023-05-25T00:26:00-05:00,,9,,,,13,13,25,17,13,30,9,,,,5,5,13,9
2023-05-25T00:26:30-05:00,,9,,,,13,9,25,17,13,30,9,,,,9,5,13,9
