DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782_x,TANGARA_3782_y,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-25T00:49:30-05:00,13,10,20,20,16,11,14,24,16,13,25,8,,,15,8,4,10,9
2023-05-25T01:49:30-05:00,17,13,18,19,,18,16,28,17,10,12,6,,,14,5,4,14,9
2023-05-25T02:49:30-05:00,17,18,18,18,,23,17,20,21,28,20,12,,,13,13,11,13,17
2023-05-25T03:49:30-05:00,17,23,18,18,,18,16,24,23,29,20,11,,,13,6,9,15,20
2023-05-25T04:49:30-05:00,17,20,16,17,,29,21,24,28,36,24,13,,,13,13,15,16,19
2023-05-25T05:49:30-05:00,13,50,16,16,,62,38,49,52,55,56,31,,,12,39,33,30,50
2023-05-25T06:49:30-05:00,13,55,13,14,,68,46,58,53,67,63,,,,10,,45,42,53
2023-05-25T07:49:30-05:00,13,52,14,15,,67,61,50,,72,67,28,,,11,36,56,54,41
2023-05-25T08:49:30-05:00,13,26,16,17,,73,61,38,28,62,65,19,,,13,20,39,42,35
2023-05-25T09:49:30-05:00,13,6,8,9,66,48,53,31,9,32,43,11,,,7,14,28,31,12
2023-05-25T10:49:30-05:00,6,8,10,10,62,35,59,26,9,27,18,6,,,8,9,25,34,8
2023-05-25T11:49:30-05:00,17,11,14,16,38,31,36,18,14,25,22,7,,,13,7,30,25,13
2023-05-25T12:49:30-05:00,13,9,,17,46,36,40,23,15,38,33,7,,,13,10,33,28,16
2023-05-25T13:49:30-05:00,13,14,,16,50,50,46,40,18,40,40,13,,,13,13,30,31,24
2023-05-25T14:49:30-05:00,13,26,,18,49,51,42,38,28,51,37,21,,,14,23,36,36,26
2023-05-25T15:49:30-05:00,13,22,,18,33,49,25,27,25,26,13,20,,,15,24,35,22,25
2023-05-25T16:49:30-05:00,13,10,,5,21,54,13,19,12,13,10,12,14,14,5,15,7,11,9
