DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-26T00:00:00-05:00,0.0,,,,,,,,,69.47,65.85,77.11,65.47,,,74.91,
2023-05-26T00:00:30-05:00,0.0,,,,,,76.72,75.43,61.46,69.54,65.6,76.9,65.29,,,74.69,72.88
2023-05-26T00:01:00-05:00,0.0,,,,,,76.75,75.42,61.57,69.4,65.84,76.93,65.28,,99.9,74.69,73.31
2023-05-26T00:01:30-05:00,0.0,,,,73.7,,76.97,76.33,61.9,69.54,65.76,76.92,65.37,,99.9,74.94,73.48
2023-05-26T00:02:00-05:00,0.0,,,,,,76.98,76.33,61.81,69.35,65.77,77.24,65.5,,99.9,74.91,73.43
2023-05-26T00:02:30-05:00,0.0,,,,,,77.02,76.13,61.95,69.65,65.61,77.11,65.4,,99.9,75.08,73.41
2023-05-26T00:03:00-05:00,0.0,,,,,,77.09,76.52,61.74,69.63,65.47,77.09,65.83,,99.9,74.86,73.19
2023-05-26T00:03:30-05:00,0.0,,,,,,77.34,76.63,61.83,69.11,65.8,77.03,,,99.9,74.91,73.35
2023-05-26T00:04:00-05:00,0.0,,,,,,76.57,76.73,61.86,69.17,65.8,77.22,66.0,,99.9,74.96,73.22
2023-05-26T00:04:30-05:00,0.0,,,,,,77.22,76.39,61.9,69.12,65.65,77.07,65.98,,99.9,74.84,73.24
2023-05-26T00:05:00-05:00,0.0,,,,,,77.45,76.59,61.86,69.15,65.31,77.36,65.98,,99.9,74.88,73.05
2023-05-26T00:05:30-05:00,0.0,,,,,,77.32,76.68,61.91,68.99,65.63,77.73,66.1,,99.9,74.88,73.1
2023-05-26T00:06:00-05:00,0.0,,,,,,77.26,76.73,61.95,69.05,65.75,77.16,,,99.9,74.93,73.14
2023-05-26T00:06:30-05:00,0.0,,,,,,77.35,76.69,61.87,69.1,65.74,77.13,66.2,,99.9,74.9,73.28
2023-05-26T00:07:00-05:00,0.0,,,,,,77.5,76.41,62.13,69.12,65.74,77.14,66.2,,99.9,75.04,73.49
2023-05-26T00:07:30-05:00,0.0,,,,,,77.24,76.44,62.08,69.1,65.77,77.12,,,99.9,75.36,73.66
2023-05-26T00:08:00-05:00,0.0,,,,,,77.05,76.5,62.27,69.14,65.62,77.2,66.07,,99.9,75.42,73.75
2023-05-26T00:08:30-05:00,0.0,,,,,,77.19,76.1,62.16,69.29,65.61,77.15,65.8,,99.9,75.14,73.73
2023-05-26T00:09:00-05:00,0.0,,,,,,77.18,76.01,62.19,69.21,65.8,77.2,66.23,,99.9,75.38,73.77
2023-05-26T00:09:30-05:00,0.0,,,,,,77.61,76.23,62.28,69.04,65.79,77.02,66.19,,99.9,75.53,73.81
2023-05-26T00:10:00-05:00,0.0,,,,,,77.17,76.28,62.5,69.12,65.85,77.0,66.53,,99.9,75.26,73.85
2023-05-26T00:10:30-05:00,0.0,,,,,,77.19,75.88,62.42,69.05,65.74,77.24,66.27,,99.9,75.26,73.93
2023-05-26T00:11:00-05:00,0.0,,,,,,77.17,76.03,62.53,69.03,65.62,77.48,66.35,,99.9,75.42,74.06
2023-05-26T00:11:30-05:00,0.0,,,,,,77.74,75.56,62.49,68.95,65.43,77.04,66.34,,99.9,75.44,73.89
2023-05-26T00:12:00-05:00,0.0,,,,,,78.2,75.83,62.49,68.95,65.71,77.03,66.33,,99.9,75.42,73.67
2023-05-26T00:12:30-05:00,0.0,,,,,,77.9,75.73,62.46,68.96,65.56,77.17,66.54,,99.9,75.53,73.72
2023-05-26T00:13:00-05:00,0.0,,,,,,77.52,75.73,62.43,69.12,65.45,77.05,66.67,,99.9,75.44,73.72
2023-05-26T00:13:30-05:00,0.0,,,,,,78.03,75.56,62.63,69.07,65.75,77.18,66.83,,99.9,75.42,73.55
2023-05-26T00:14:00-05:00,0.0,,,,,,77.76,75.67,62.7,69.18,65.38,77.36,66.61,,99.9,75.32,73.5
2023-05-26T00:14:30-05:00,0.0,,,,,,77.5,75.54,62.87,69.22,65.54,77.15,66.87,,99.9,75.38,73.61
2023-05-26T00:15:00-05:00,0.0,,,,,,77.08,75.83,62.68,68.94,65.69,77.02,66.94,,99.9,75.38,73.45
2023-05-26T00:15:30-05:00,0.0,,,,,,77.12,75.25,62.86,68.61,65.68,77.16,66.84,,99.9,75.47,73.63
2023-05-26T00:16:00-05:00,0.0,,,,,,77.15,75.29,62.83,68.83,65.69,77.04,67.02,,99.9,75.66,73.47
2023-05-26T00:16:30-05:00,0.0,,,,,,77.09,75.63,62.86,68.97,66.09,77.04,66.71,,99.9,75.53,73.62
2023-05-26T00:17:00-05:00,0.0,,,,,,77.0,76.14,62.75,69.02,66.33,77.09,66.66,,99.9,75.58,73.48
2023-05-26T00:17:30-05:00,0.0,,,,,,77.05,75.54,62.91,68.95,66.31,77.03,66.9,,99.9,75.59,73.58
2023-05-26T00:18:00-05:00,0.0,,,,,,77.19,74.84,62.84,68.93,66.05,76.91,66.69,,99.9,75.47,73.39
2023-05-26T00:18:30-05:00,0.0,,,,,,77.26,74.85,62.99,68.95,66.07,77.06,66.41,,99.9,75.59,73.58
2023-05-26T00:19:00-05:00,0.0,,,,,,77.0,75.19,63.25,68.98,65.98,77.41,66.44,,99.9,75.54,73.53
2023-05-26T00:19:30-05:00,0.0,,,,,,77.26,74.74,63.07,68.94,65.87,77.14,66.17,,99.9,75.54,73.98
2023-05-26T00:20:00-05:00,0.0,,,,,,77.19,74.82,63.14,68.88,65.88,77.01,66.02,,99.9,75.66,73.9
2023-05-26T00:20:30-05:00,0.0,,,,,,76.94,75.06,63.1,68.89,65.55,76.95,66.02,,99.9,75.79,74.07
2023-05-26T00:21:00-05:00,0.0,,,,,,76.89,74.91,63.35,68.64,65.7,77.05,65.96,,99.9,75.93,74.1
2023-05-26T00:21:30-05:00,0.0,,,,,,77.53,75.83,63.28,68.58,66.01,76.96,66.07,,99.9,75.85,74.06
2023-05-26T00:22:00-05:00,0.0,,,,,,76.95,74.73,63.31,68.39,66.12,77.19,66.19,,99.9,75.65,74.1
2023-05-26T00:22:30-05:00,0.0,,,,,,76.63,74.58,63.4,68.28,66.34,77.52,66.06,,99.9,75.75,74.24
2023-05-26T00:23:00-05:00,0.0,,,,,,77.05,74.6,63.41,68.36,66.39,77.23,65.65,,99.9,75.68,74.18
2023-05-26T00:23:30-05:00,0.0,,,,,,77.82,74.58,63.39,68.33,66.2,76.89,66.15,,99.9,75.78,74.21
2023-05-26T00:24:00-05:00,0.0,,,,,,78.13,74.7,63.41,68.72,66.29,76.96,65.82,,99.9,75.78,74.32
2023-05-26T00:24:30-05:00,0.0,,,,,,77.32,74.64,63.29,68.72,66.19,77.04,65.66,,99.9,75.99,74.25
2023-05-26T00:25:00-05:00,0.0,,,,,,77.37,74.42,63.35,68.57,65.93,76.9,65.8,,99.9,75.89,74.19
2023-05-26T00:25:30-05:00,0.0,,,,,,77.49,74.61,63.34,68.49,65.98,76.96,65.72,,99.9,75.76,74.37
2023-05-26T00:26:00-05:00,0.0,,,,,,77.51,74.71,63.24,68.63,66.21,77.04,65.76,,99.9,75.59,74.21
2023-05-26T00:26:30-05:00,0.0,,,,,,77.62,74.48,63.22,68.94,65.77,77.0,66.76,,99.9,75.69,74.28
2023-05-26T00:27:00-05:00,0.0,,,,,,77.22,74.69,63.23,68.94,65.62,77.12,65.57,,99.9,75.82,74.22
2023-05-26T00:27:30-05:00,0.0,,,,,,77.43,74.64,63.18,68.73,65.73,76.99,65.42,,99.9,75.93,74.04
2023-05-26T00:28:00-05:00,0.0,,,,,,77.65,74.58,63.05,69.04,66.06,77.09,65.55,,99.9,76.23,73.98
2023-05-26T00:28:30-05:00,0.0,,,,,,77.44,74.68,62.97,68.86,66.34,77.17,65.93,,99.9,76.23,
2023-05-26T00:29:00-05:00,0.0,,,,,,77.44,74.87,63.05,69.03,65.98,77.04,65.73,,99.9,76.04,73.97
2023-05-26T00:29:30-05:00,0.0,,,,,,77.36,75.18,63.1,69.25,65.91,77.2,65.84,,99.9,76.17,74.08
2023-05-26T00:30:00-05:00,0.0,,,,,,77.57,75.49,63.15,69.14,66.26,77.37,65.67,,99.9,75.99,74.14
2023-05-26T00:30:30-05:00,0.0,,,,,67.79,77.59,74.91,63.33,69.14,66.34,77.41,65.76,,99.9,75.67,74.01
2023-05-26T00:31:00-05:00,0.0,,,,,67.83,77.76,75.05,63.28,69.46,66.32,77.24,65.89,,99.9,75.63,74.01
2023-05-26T00:31:30-05:00,0.0,,,,,67.88,78.07,,63.21,69.44,66.45,77.25,65.81,,99.9,75.67,74.15
2023-05-26T00:32:00-05:00,0.0,,,,,67.95,77.68,75.04,63.23,69.55,66.16,77.28,65.72,,99.9,75.73,74.37
2023-05-26T00:32:30-05:00,0.0,,,,,68.02,77.96,,63.28,69.34,66.18,77.05,65.72,,99.9,75.99,74.36
2023-05-26T00:33:00-05:00,0.0,,,,,68.12,77.67,74.65,63.26,69.33,66.01,77.3,65.63,,99.9,75.99,74.25
2023-05-26T00:33:30-05:00,0.0,,,,,68.18,77.72,75.01,63.03,69.43,65.72,77.1,65.84,,99.9,76.03,74.35
2023-05-26T00:34:00-05:00,0.0,,,,,68.5,77.51,74.96,62.96,69.29,66.31,77.19,65.76,,99.9,75.89,74.37
2023-05-26T00:34:30-05:00,0.0,,,,,68.57,77.55,75.4,62.66,69.24,66.61,76.87,65.6,,99.9,75.75,74.33
2023-05-26T00:35:00-05:00,0.0,,,,,68.68,77.83,75.2,62.71,69.21,65.86,77.14,65.4,,99.9,75.6,74.09
2023-05-26T00:35:30-05:00,0.0,,,,,69.16,77.62,75.01,62.76,69.25,65.8,77.18,65.42,,99.9,75.85,74.25
2023-05-26T00:36:00-05:00,0.0,,,,,69.25,77.22,75.08,62.73,69.35,66.02,77.14,65.57,,99.9,75.79,74.24
2023-05-26T00:36:30-05:00,0.0,,,,,69.09,77.33,75.49,62.93,69.49,65.91,77.06,65.82,,,75.81,74.17
2023-05-26T00:37:00-05:00,0.0,,,,,69.17,77.42,75.03,63.1,69.51,65.77,76.99,65.62,,99.9,75.57,73.89
2023-05-26T00:37:30-05:00,0.0,,,,,69.49,77.37,75.45,63.2,69.58,66.28,77.09,65.82,,99.9,75.57,73.9
2023-05-26T00:38:00-05:00,0.0,,,,,69.76,77.3,74.67,63.3,69.6,66.42,76.88,65.42,,99.9,75.38,73.63
2023-05-26T00:38:30-05:00,0.0,,,,,69.92,77.52,74.57,63.49,69.44,66.16,77.08,65.69,,99.9,75.34,73.64
2023-05-26T00:39:00-05:00,0.0,,,,,70.24,77.76,74.78,63.75,69.72,66.07,77.21,65.64,,99.9,75.52,73.75
2023-05-26T00:39:30-05:00,0.0,,,,,70.77,77.37,74.82,63.87,69.69,65.57,77.4,65.32,,99.9,75.28,73.61
2023-05-26T00:40:00-05:00,0.0,,,,,70.74,77.25,75.01,63.98,69.74,66.02,77.48,65.75,,99.9,75.27,73.56
2023-05-26T00:40:30-05:00,0.0,,,,,71.09,77.38,74.39,64.23,69.7,66.02,77.69,65.79,,99.9,75.49,73.59
2023-05-26T00:41:00-05:00,0.0,,,,,71.21,77.32,74.54,64.02,69.71,66.0,77.76,65.78,,99.9,75.74,73.49
2023-05-26T00:41:30-05:00,0.0,,,,,71.16,78.17,74.45,64.02,69.62,65.96,77.98,65.52,,99.9,75.83,73.39
2023-05-26T00:42:00-05:00,0.0,,,,,71.0,77.78,74.78,63.93,69.63,66.1,77.68,66.04,,99.9,75.83,73.52
2023-05-26T00:42:30-05:00,0.0,,,,,70.96,77.55,75.05,63.83,69.61,65.76,77.84,66.09,,99.9,75.9,73.54
2023-05-26T00:43:00-05:00,0.0,,,,,71.03,77.63,74.95,63.8,69.64,65.72,77.52,66.0,,99.9,75.73,73.53
2023-05-26T00:43:30-05:00,0.0,,,,,70.92,77.3,74.95,63.76,69.73,66.04,77.58,65.63,,99.9,75.58,73.51
2023-05-26T00:44:00-05:00,0.0,,,,,71.0,77.1,74.84,63.78,69.42,66.1,77.7,65.64,,99.9,75.32,73.74
2023-05-26T00:44:30-05:00,0.0,,,,,70.79,77.53,74.96,63.86,69.52,65.87,77.43,65.9,,99.9,75.18,73.79
2023-05-26T00:45:00-05:00,0.0,,,,,70.58,77.32,75.11,63.69,69.54,65.93,77.27,66.08,,99.9,75.43,73.9
