DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-26T00:00:00-05:00,0.0,,,,,,,,,26.35,28.52,24.61,27.52,,,25.0,
2023-05-26T00:00:30-05:00,0.0,,,,,,25.02,25.0,29.62,26.33,28.55,24.64,27.56,,,25.0,25.87
2023-05-26T00:01:00-05:00,0.0,,,,,,24.96,24.97,29.58,26.33,28.55,24.64,27.53,,24.6,25.0,25.92
2023-05-26T00:01:30-05:00,0.0,,,,24.99,,24.94,24.94,29.55,26.31,28.54,24.65,27.5,,24.6,24.96,25.98
2023-05-26T00:02:00-05:00,0.0,,,,,,24.94,24.94,29.56,26.33,28.55,24.62,27.49,,24.6,25.0,26.02
2023-05-26T00:02:30-05:00,0.0,,,,,,24.9,24.96,29.53,26.31,28.55,24.61,27.42,,24.6,24.99,26.02
2023-05-26T00:03:00-05:00,0.0,,,,,,24.88,24.96,29.51,26.35,28.57,24.62,27.42,,24.6,25.0,26.02
2023-05-26T00:03:30-05:00,0.0,,,,,,24.89,24.96,29.51,26.31,28.55,24.62,,,24.6,25.0,26.05
2023-05-26T00:04:00-05:00,0.0,,,,,,24.86,24.99,29.48,26.33,28.54,24.61,27.43,,24.5,24.97,26.08
2023-05-26T00:04:30-05:00,0.0,,,,,,24.88,25.0,29.49,26.35,28.57,24.61,27.41,,24.6,24.99,26.11
2023-05-26T00:05:00-05:00,0.0,,,,,,24.86,25.02,29.46,26.33,28.54,24.61,27.41,,24.6,24.99,26.15
2023-05-26T00:05:30-05:00,0.0,,,,,,24.85,25.02,29.46,26.36,28.55,24.61,27.38,,24.5,24.99,26.13
2023-05-26T00:06:00-05:00,0.0,,,,,,24.86,25.04,29.46,26.35,28.57,24.64,,,24.5,24.97,26.16
2023-05-26T00:06:30-05:00,0.0,,,,,,24.89,25.09,29.45,26.36,28.57,24.62,27.41,,24.4,24.97,26.13
2023-05-26T00:07:00-05:00,0.0,,,,,,24.89,25.07,29.42,26.37,28.51,24.66,27.41,,24.4,24.97,26.13
2023-05-26T00:07:30-05:00,0.0,,,,,,24.86,25.07,29.39,26.37,28.52,24.66,,,24.4,24.97,26.15
2023-05-26T00:08:00-05:00,0.0,,,,,,24.82,25.1,29.41,26.39,28.55,24.68,27.35,,24.4,24.96,26.15
2023-05-26T00:08:30-05:00,0.0,,,,,,24.85,25.14,29.37,26.4,28.55,24.66,27.35,,24.4,24.96,26.13
2023-05-26T00:09:00-05:00,0.0,,,,,,24.82,25.2,29.35,26.39,28.52,24.68,27.36,,24.4,24.97,26.13
2023-05-26T00:09:30-05:00,0.0,,,,,,24.85,25.17,29.37,26.39,28.52,24.68,27.35,,24.4,24.96,26.12
