DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-26T00:00:00-05:00,21,,,,,,,,,50,25,42,17,,,42,
2023-05-26T00:00:30-05:00,21,,,,,,34,34,21,50,25,38,17,,,38,46
2023-05-26T00:01:00-05:00,21,,,,,,30,38,25,50,25,38,17,,42,38,30
2023-05-26T00:01:30-05:00,21,,,,50,,34,38,25,50,25,38,21,,34,34,34
2023-05-26T00:02:00-05:00,21,,,,,,30,38,25,50,25,42,17,,50,34,42
2023-05-26T00:02:30-05:00,17,,,,,,34,42,25,50,25,38,17,,55,38,42
2023-05-26T00:03:00-05:00,21,,,,,,34,38,25,50,25,38,21,,55,38,46
2023-05-26T00:03:30-05:00,25,,,,,,34,38,25,50,25,34,,,58,38,46
2023-05-26T00:04:00-05:00,21,,,,,,30,38,21,46,25,38,17,,60,42,46
2023-05-26T00:04:30-05:00,17,,,,,,30,38,25,50,25,38,17,,60,34,38
2023-05-26T00:05:00-05:00,21,,,,,,30,42,25,46,25,38,17,,60,34,42
2023-05-26T00:05:30-05:00,21,,,,,,30,42,25,50,25,42,21,,60,38,42
2023-05-26T00:06:00-05:00,17,,,,,,34,38,25,46,25,38,,,55,38,42
2023-05-26T00:06:30-05:00,21,,,,,,30,38,25,46,25,38,21,,58,42,38
2023-05-26T00:07:00-05:00,21,,,,,,30,38,21,46,25,38,21,,55,34,38
2023-05-26T00:07:30-05:00,17,,,,,,30,42,25,42,25,38,,,62,38,42
2023-05-26T00:08:00-05:00,21,,,,,,30,46,21,42,25,38,21,,62,38,42
2023-05-26T00:08:30-05:00,25,,,,,,30,53,21,42,25,42,17,,53,38,42
2023-05-26T00:09:00-05:00,25,,,,,,30,53,21,42,25,42,17,,46,42,42
2023-05-26T00:09:30-05:00,25,,,,,,34,50,21,42,30,38,21,,50,46,46
2023-05-26T00:10:00-05:00,21,,,,,,30,46,21,42,30,38,17,,50,46,46
2023-05-26T00:10:30-05:00,21,,,,,,30,46,21,42,25,42,17,,53,38,50
2023-05-26T00:11:00-05:00,17,,,,,,30,42,21,42,25,42,21,,53,46,42
2023-05-26T00:11:30-05:00,21,,,,,,30,53,21,42,30,38,21,,50,42,42
2023-05-26T00:12:00-05:00,21,,,,,,34,55,21,42,25,38,21,,46,46,46
2023-05-26T00:12:30-05:00,17,,,,,,34,58,25,42,25,38,21,,46,46,46
2023-05-26T00:13:00-05:00,17,,,,,,34,55,21,42,25,38,21,,55,46,46
2023-05-26T00:13:30-05:00,21,,,,,,30,66,21,42,25,42,21,,50,42,50
2023-05-26T00:14:00-05:00,17,,,,,,30,79,21,42,25,42,21,,53,42,46
2023-05-26T00:14:30-05:00,17,,,,,,30,74,21,42,25,42,21,,50,42,46
2023-05-26T00:15:00-05:00,17,,,,,,30,72,21,42,21,38,21,,50,42,50
