DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-27T00:00:00-05:00,0.0,,74.91,,,,,,63.19,,73.39,64.69,79.12,,67.38,
2023-05-27T00:00:30-05:00,0.0,,74.92,,67.18,69.52,74.17,60.66,62.97,65.81,73.42,64.83,79.21,99.9,67.34,68.82
2023-05-27T00:01:00-05:00,0.0,,74.89,,67.19,69.63,74.21,60.75,63.16,65.95,73.37,64.82,79.09,99.9,67.32,69.14
2023-05-27T00:01:30-05:00,0.0,,74.78,69.13,67.23,69.66,74.47,60.74,62.97,65.86,73.39,64.25,78.86,99.9,67.34,68.79
2023-05-27T00:02:00-05:00,0.0,,74.83,,67.29,69.66,74.04,60.98,62.86,65.98,73.39,64.21,78.84,99.9,67.51,68.63
2023-05-27T00:02:30-05:00,0.0,,74.83,,67.27,69.71,74.14,61.19,62.71,65.93,73.39,64.87,78.85,99.9,67.53,68.47
2023-05-27T00:03:00-05:00,0.0,,74.87,,67.34,69.79,74.5,61.06,62.64,65.8,73.36,65.12,78.63,99.9,67.58,68.55
2023-05-27T00:03:30-05:00,0.0,,74.99,,67.28,69.97,74.7,61.04,63.1,65.98,73.38,64.8,78.59,99.9,67.6,68.61
2023-05-27T00:04:00-05:00,0.0,,74.85,,67.29,70.13,75.01,61.21,62.59,65.97,73.43,64.92,78.6,99.9,67.6,68.51
2023-05-27T00:04:30-05:00,0.0,,74.81,,67.24,69.92,74.66,61.18,62.43,65.88,73.59,64.91,78.43,99.9,67.67,68.46
2023-05-27T00:05:00-05:00,0.0,,74.8,,67.3,70.02,74.64,61.32,62.48,65.97,73.52,65.01,78.41,99.9,67.79,68.4
2023-05-27T00:05:30-05:00,0.0,,74.83,,67.34,70.07,74.67,61.31,,66.1,73.38,64.8,78.35,99.9,67.7,68.46
2023-05-27T00:06:00-05:00,0.0,,74.82,,67.39,69.94,74.53,61.5,62.39,66.13,73.45,64.88,78.4,99.9,67.71,68.32
2023-05-27T00:06:30-05:00,0.0,,74.84,,67.37,69.95,74.49,61.44,,66.11,73.52,65.07,78.35,99.9,67.63,68.5
2023-05-27T00:07:00-05:00,0.0,,74.85,,67.28,70.03,74.49,61.38,62.4,66.11,73.51,64.56,78.22,,67.73,68.62
2023-05-27T00:07:30-05:00,0.0,,74.84,,67.37,70.02,74.4,61.4,62.61,66.07,73.53,64.81,78.25,99.9,67.66,68.62
2023-05-27T00:08:00-05:00,0.0,,74.89,,67.26,70.11,74.54,61.64,63.67,66.21,73.51,65.02,78.17,99.9,67.67,68.53
2023-05-27T00:08:30-05:00,0.0,,74.93,,67.4,70.17,74.42,61.66,62.25,66.2,73.49,64.88,78.14,99.9,67.53,68.6
2023-05-27T00:09:00-05:00,0.0,,74.95,,67.49,70.26,74.32,61.7,62.06,65.95,73.44,65.07,78.19,99.9,67.53,68.59
2023-05-27T00:09:30-05:00,0.0,,74.85,,67.43,70.18,74.47,61.67,62.15,66.21,73.5,65.18,78.03,99.9,67.33,68.71
2023-05-27T00:10:00-05:00,0.0,,74.94,,67.47,70.11,74.13,61.46,62.27,66.19,73.54,64.9,77.89,99.9,67.22,68.69
2023-05-27T00:10:30-05:00,0.0,,74.89,,67.58,70.1,74.2,61.44,62.39,66.14,73.59,64.94,77.95,99.9,67.08,68.57
2023-05-27T00:11:00-05:00,0.0,,74.9,,67.66,70.15,74.6,61.62,62.11,65.96,73.56,64.8,78.02,99.9,67.14,68.51
2023-05-27T00:11:30-05:00,0.0,,74.9,,67.68,70.11,74.31,61.49,62.09,65.99,73.6,64.98,78.04,99.9,67.11,68.44
2023-05-27T00:12:00-05:00,0.0,,74.9,,67.79,70.13,74.54,61.55,62.13,65.97,73.64,65.04,77.99,99.9,67.04,68.51
2023-05-27T00:12:30-05:00,0.0,,74.89,,67.83,70.16,74.02,61.65,62.01,66.17,73.66,64.86,77.93,99.9,67.0,68.53
2023-05-27T00:13:00-05:00,0.0,,74.86,,67.78,70.26,74.13,61.61,62.04,66.15,73.88,64.97,77.92,99.9,66.91,68.73
2023-05-27T00:13:30-05:00,0.0,,74.83,,67.81,70.15,73.81,61.55,62.07,66.18,73.75,64.65,77.94,99.9,66.91,68.49
2023-05-27T00:14:00-05:00,0.0,,74.86,,67.81,70.11,74.02,61.43,62.08,66.13,73.62,64.54,77.95,99.9,66.91,68.42
2023-05-27T00:14:30-05:00,0.0,,74.91,,67.76,70.0,74.21,61.54,62.12,66.08,73.68,64.58,77.97,99.9,67.21,68.53
2023-05-27T00:15:00-05:00,0.0,,74.87,,67.69,70.0,74.24,61.62,62.1,65.99,73.56,64.49,77.89,99.9,67.25,68.58
2023-05-27T00:15:30-05:00,0.0,,74.79,,67.74,69.94,74.07,61.63,62.18,65.87,73.64,64.46,77.77,99.9,67.22,68.51
2023-05-27T00:16:00-05:00,0.0,,74.82,,67.85,69.92,73.84,61.57,62.2,66.06,73.59,64.69,77.74,99.9,67.29,68.44
2023-05-27T00:16:30-05:00,0.0,,74.76,,67.83,70.01,73.75,61.6,62.29,66.08,73.63,64.9,77.67,99.9,67.32,68.48
2023-05-27T00:17:00-05:00,0.0,,74.77,,67.85,69.94,73.47,61.58,62.29,65.92,73.84,64.7,77.68,99.9,67.38,68.39
2023-05-27T00:17:30-05:00,0.0,,74.77,,67.69,69.92,73.64,61.56,62.02,66.06,73.72,64.96,77.81,99.9,67.37,68.39
2023-05-27T00:18:00-05:00,0.0,,74.7,,67.68,69.87,74.04,61.51,62.26,66.08,73.52,,77.82,99.9,67.39,68.42
2023-05-27T00:18:30-05:00,0.0,,74.78,,67.8,69.88,73.99,61.55,62.49,66.04,73.52,65.03,77.72,99.9,67.5,68.34
2023-05-27T00:19:00-05:00,0.0,,74.8,,67.68,69.79,73.67,61.48,62.16,66.0,73.33,64.72,77.65,99.9,67.5,68.47
2023-05-27T00:19:30-05:00,0.0,,74.89,,67.65,69.88,73.61,61.5,62.08,65.81,73.17,,77.63,99.9,67.53,68.62
2023-05-27T00:20:00-05:00,0.0,,74.98,,67.57,70.03,73.97,61.49,62.13,65.91,73.4,64.73,77.63,99.9,67.51,68.41
2023-05-27T00:20:30-05:00,0.0,,74.94,,67.66,70.1,73.62,61.41,61.96,65.91,73.28,64.8,77.54,99.9,67.44,68.39
