DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-28T00:00:00-05:00,0.0,63.0,70.87,,,,,,,56.2,,66.7,61.58,74.26,,67.64,
2023-05-28T00:00:30-05:00,0.0,62.9,71.19,,65.55,70.65,72.28,,54.91,56.32,61.56,67.18,60.7,74.75,99.9,67.64,62.63
2023-05-28T00:01:00-05:00,0.0,63.0,71.38,,65.9,71.75,72.03,,54.85,56.55,61.59,67.53,61.11,74.87,99.9,67.69,63.01
2023-05-28T00:01:30-05:00,0.0,63.58,71.52,70.96,66.12,71.73,72.29,,54.85,56.72,61.33,67.97,61.17,74.89,99.9,67.76,63.01
2023-05-28T00:02:00-05:00,0.0,63.28,71.71,70.73,66.34,70.59,73.08,,55.06,57.22,61.64,67.81,61.18,75.17,99.9,67.88,63.02
2023-05-28T00:02:30-05:00,0.0,63.3,71.84,,66.63,70.51,73.66,,55.03,57.49,61.7,68.29,61.11,75.13,99.9,68.14,62.99
2023-05-28T00:03:00-05:00,0.0,63.64,71.85,,66.89,71.24,73.32,,55.61,57.32,61.19,68.27,61.68,75.51,99.9,68.36,63.06
2023-05-28T00:03:30-05:00,0.0,63.43,71.92,,67.48,71.72,72.96,,55.49,58.43,61.72,68.73,61.14,75.61,99.9,68.21,63.17
2023-05-28T00:04:00-05:00,0.0,63.85,72.02,,67.49,71.86,74.07,,55.74,58.13,61.56,68.37,61.31,75.67,99.9,68.12,63.17
2023-05-28T00:04:30-05:00,0.0,63.58,72.4,,67.7,72.78,73.64,,56.0,58.41,61.45,68.63,61.02,75.74,99.9,68.01,63.28
2023-05-28T00:05:00-05:00,0.0,63.6,72.26,,67.97,72.35,74.48,,55.8,58.35,61.61,68.87,61.1,75.82,99.9,67.96,63.39
2023-05-28T00:05:30-05:00,0.0,63.66,72.18,,68.04,73.24,74.37,,55.91,58.34,61.37,68.87,61.17,75.99,99.9,67.96,63.39
2023-05-28T00:06:00-05:00,0.0,63.72,72.47,,68.17,73.08,74.09,,56.13,58.54,61.49,69.29,60.19,76.19,99.9,67.96,63.48
2023-05-28T00:06:30-05:00,0.0,63.74,72.56,,68.22,72.57,74.92,,56.08,58.67,61.59,69.3,58.62,75.7,99.9,68.09,63.58
2023-05-28T00:07:00-05:00,0.0,63.96,72.5,,68.4,72.7,74.9,,56.37,59.21,61.59,68.44,59.42,76.21,99.9,68.26,63.71
2023-05-28T00:07:30-05:00,0.0,64.06,72.68,,68.9,72.4,75.98,,56.41,59.07,61.6,69.94,59.99,75.96,99.9,68.48,64.02
2023-05-28T00:08:00-05:00,0.0,64.23,72.7,,69.19,72.3,75.36,,56.49,59.19,61.38,69.68,60.78,76.11,99.9,68.7,63.99
2023-05-28T00:08:30-05:00,0.0,64.4,72.87,,69.25,72.1,75.14,,56.77,59.34,61.54,69.82,60.78,76.13,99.9,68.87,64.31
2023-05-28T00:09:00-05:00,0.0,64.31,72.99,,69.2,72.42,75.08,,56.77,59.94,61.45,70.06,60.03,76.66,99.9,68.93,64.02
2023-05-28T00:09:30-05:00,0.0,64.38,72.97,,69.29,72.12,75.77,,56.8,60.58,61.31,69.81,60.39,76.45,,68.97,64.31
2023-05-28T00:10:00-05:00,0.0,64.3,72.71,,69.29,72.12,75.14,,56.79,60.92,61.27,69.91,61.19,76.32,99.9,68.97,64.43
2023-05-28T00:10:30-05:00,0.0,64.13,,,69.67,72.32,73.52,,56.91,60.91,61.4,70.09,61.26,76.56,99.9,69.19,64.61
2023-05-28T00:11:00-05:00,0.0,64.5,73.02,,69.16,72.57,74.48,,56.96,61.52,61.57,70.61,61.67,76.96,99.9,69.29,64.82
2023-05-28T00:11:30-05:00,0.0,64.54,73.49,,69.41,72.8,74.31,,57.03,61.47,61.59,71.07,61.61,77.2,99.9,69.21,64.95
2023-05-28T00:12:00-05:00,0.0,64.46,73.53,,69.04,73.22,74.83,,56.97,61.72,61.66,70.94,61.54,77.38,99.9,69.16,65.15
2023-05-28T00:12:30-05:00,0.0,64.75,73.18,,68.52,72.88,74.85,,57.12,62.13,61.63,71.55,61.73,77.54,99.9,69.19,65.02
2023-05-28T00:13:00-05:00,0.0,64.62,,,68.64,73.31,74.81,,57.33,61.89,61.66,71.87,61.36,77.82,99.9,69.23,65.21
