DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-28T00:00:00-05:00,25,34,60,,,,,,,53,,21,25,30,,25,
2023-05-28T00:00:30-05:00,25,34,46,,13,38,30,,25,50,38,21,25,30,0,21,30
2023-05-28T00:01:00-05:00,25,34,46,,30,34,30,,25,50,34,21,25,30,25,25,17
2023-05-28T00:01:30-05:00,25,34,42,38,34,38,30,,25,50,50,25,25,34,17,25,21
2023-05-28T00:02:00-05:00,25,38,38,38,38,34,30,,25,46,42,25,21,34,17,25,21
2023-05-28T00:02:30-05:00,30,34,42,,38,30,30,,21,46,38,25,25,34,17,21,25
2023-05-28T00:03:00-05:00,30,34,38,,38,30,30,,25,50,42,25,25,,30,21,21
2023-05-28T00:03:30-05:00,25,34,42,,38,30,30,,25,50,46,25,25,34,21,25,21
2023-05-28T00:04:00-05:00,25,34,42,,42,30,30,,25,46,46,25,21,,30,21,21
2023-05-28T00:04:30-05:00,30,30,42,,34,30,34,,25,46,50,30,21,,25,21,21
2023-05-28T00:05:00-05:00,25,30,46,,38,34,30,,25,50,46,34,25,34,21,21,21
2023-05-28T00:05:30-05:00,25,34,46,,38,34,34,,25,50,53,30,25,,17,21,21
2023-05-28T00:06:00-05:00,25,34,46,,38,34,42,,25,50,58,30,25,,25,21,21
2023-05-28T00:06:30-05:00,25,34,42,,38,34,42,,21,46,55,34,21,,25,21,21
2023-05-28T00:07:00-05:00,25,34,38,,38,34,42,,30,50,50,34,21,,25,21,21
2023-05-28T00:07:30-05:00,25,38,38,,38,34,42,,25,50,50,34,25,,30,21,21
2023-05-28T00:08:00-05:00,25,34,38,,42,34,42,,25,46,50,34,25,,25,21,21
2023-05-28T00:08:30-05:00,25,34,42,,42,34,46,,25,46,50,34,25,,21,21,25
2023-05-28T00:09:00-05:00,25,34,42,,42,38,46,,25,50,46,34,25,,21,21,21
2023-05-28T00:09:30-05:00,25,34,38,,42,34,46,,21,46,50,34,25,,,21,21
2023-05-28T00:10:00-05:00,25,34,38,,42,34,50,,21,46,46,38,25,34,21,21,25
2023-05-28T00:10:30-05:00,25,34,,,42,34,42,,25,46,42,38,25,34,30,25,21
2023-05-28T00:11:00-05:00,30,38,38,,42,34,42,,25,46,38,38,25,34,25,21,25
2023-05-28T00:11:30-05:00,30,34,42,,42,34,42,,21,46,34,38,25,,25,25,25
2023-05-28T00:12:00-05:00,30,34,38,,42,34,42,,25,53,34,38,25,,17,25,25
2023-05-28T00:12:30-05:00,25,34,42,,42,34,50,,30,53,34,42,25,,17,30,25
2023-05-28T00:13:00-05:00,25,38,,,38,38,55,,25,50,34,46,25,,21,21,21
2023-05-28T00:13:30-05:00,30,38,46,,38,34,50,,25,50,30,38,25,,,25,21
2023-05-28T00:14:00-05:00,30,,46,,42,34,50,,,50,30,38,25,34,17,25,21
2023-05-28T00:14:30-05:00,30,38,50,,38,34,50,,,50,30,42,25,,17,25,25
2023-05-28T00:21:00-05:00,30,38,34,,34,38,38,,,25,34,38,25,,17,25,21
2023-05-28T00:21:30-05:00,30,,38,,38,38,34,,,25,34,42,30,,21,25,25
2023-05-28T00:22:00-05:00,34,38,42,,38,38,34,,,25,30,42,34,,21,30,30
2023-05-28T00:22:30-05:00,34,,42,,34,38,38,,,25,25,38,30,,21,30,25
2023-05-28T00:23:00-05:00,34,,46,,38,38,38,,,25,25,38,30,,21,25,25
2023-05-28T00:23:30-05:00,34,38,46,,42,38,38,,,25,30,42,30,,21,30,25
2023-05-28T00:24:00-05:00,34,,55,,42,42,42,,,30,30,38,30,,21,25,25
2023-05-28T00:24:30-05:00,34,38,64,,38,38,38,,,25,30,42,30,,21,25,25
2023-05-28T00:25:00-05:00,30,38,58,,38,34,38,,,30,30,42,30,,21,25,30
2023-05-28T00:25:30-05:00,34,38,66,,42,42,38,,,34,30,42,30,,25,30,30
2023-05-28T00:26:30-05:00,34,38,70,,42,46,42,,,30,30,46,30,,25,30,30
2023-05-28T00:27:00-05:00,34,38,66,,42,42,38,,,30,25,42,30,,21,25,34
2023-05-28T00:27:30-05:00,25,38,55,,42,42,42,,,30,21,38,30,,17,30,34
2023-05-28T00:28:00-05:00,30,34,72,,46,,38,,,30,25,38,25,,25,30,30
2023-05-28T00:28:30-05:00,34,38,70,,46,42,42,,,30,25,38,30,,25,25,34
2023-05-28T00:29:00-05:00,30,34,68,,42,42,38,,,30,25,42,34,34,21,30,30
2023-05-28T00:29:30-05:00,30,38,,,46,42,38,,,30,25,38,30,,17,30,34
2023-05-28T00:30:00-05:00,34,,68,,42,42,42,,,30,21,38,30,34,21,30,30
2023-05-28T00:31:00-05:00,34,38,55,,34,46,42,,,30,25,38,30,34,17,30,30
2023-05-28T00:31:30-05:00,34,,55,,34,46,42,,,34,25,34,30,34,21,30,34
2023-05-28T00:32:00-05:00,34,38,55,,38,42,38,,,34,30,38,30,30,17,25,30
2023-05-28T00:32:30-05:00,34,38,58,,38,42,34,,,30,25,38,34,34,25,30,30
2023-05-28T00:33:00-05:00,34,38,,,34,42,38,,,25,25,38,30,34,21,25,30
2023-05-28T00:33:30-05:00,34,38,66,,30,46,38,,,30,25,34,30,34,17,25,
2023-05-28T00:34:00-05:00,34,38,53,,34,42,34,,,30,25,38,34,,17,30,34
2023-05-28T00:34:30-05:00,34,34,53,,38,42,38,,,30,30,34,30,34,21,25,30
2023-05-28T00:35:00-05:00,34,38,50,,34,50,34,,,30,25,30,34,34,21,25,34
2023-05-28T00:35:30-05:00,34,38,38,,30,38,38,,,30,25,30,,34,21,25,34
2023-05-28T00:36:00-05:00,34,34,38,,25,42,38,,,30,25,25,,34,17,25,34
2023-05-28T00:36:30-05:00,34,38,46,,30,38,42,,,34,30,30,,34,17,30,34
2023-05-28T00:37:00-05:00,42,34,42,,25,42,42,,,34,25,25,,34,21,30,30
2023-05-28T00:37:30-05:00,38,38,42,,25,46,42,,,38,25,25,,34,25,25,34
2023-05-28T00:38:00-05:00,38,34,38,,30,46,38,,,38,25,25,,30,21,25,34
2023-05-28T00:38:30-05:00,38,30,34,,25,46,38,,,30,25,25,,34,17,25,34
2023-05-28T00:39:00-05:00,38,34,38,,25,46,42,,,30,25,25,,34,17,25,34
2023-05-28T00:39:30-05:00,38,34,46,,30,46,38,,,30,21,25,,34,17,25,34
2023-05-28T00:40:00-05:00,38,34,46,,25,42,38,,,30,25,25,,30,17,30,34
2023-05-28T00:40:30-05:00,38,34,42,,30,42,38,,,38,25,25,,30,17,30,34
2023-05-28T00:41:00-05:00,38,30,42,,30,38,38,,,38,21,25,,30,25,25,34
2023-05-28T00:41:30-05:00,38,30,42,,25,38,,,,46,25,25,,30,25,25,34
2023-05-28T00:42:00-05:00,38,30,38,,30,34,38,,,60,25,25,,25,21,30,34
2023-05-28T00:42:30-05:00,38,38,38,,30,34,38,,,60,30,21,,25,21,25,30
2023-05-28T00:43:00-05:00,42,30,38,,25,34,38,,,46,25,21,,25,25,25,30
2023-05-28T00:43:30-05:00,38,30,34,,30,34,,,,34,25,21,,17,17,25,34
2023-05-28T00:44:00-05:00,38,34,34,,25,38,38,,,30,25,21,,17,21,25,34
2023-05-28T00:44:30-05:00,38,30,38,,25,38,42,,,30,25,21,,21,21,25,34
2023-05-28T00:45:00-05:00,38,34,38,,25,34,38,,,30,25,21,,25,21,30,34
2023-05-28T00:45:30-05:00,42,30,38,,30,34,38,,,30,21,21,,30,25,30,34
2023-05-28T00:46:00-05:00,38,30,38,,30,34,34,,,30,25,21,,25,13,25,34
2023-05-28T00:46:30-05:00,42,30,42,,30,34,38,,,25,25,21,,25,13,25,34
2023-05-28T00:47:00-05:00,42,30,42,,30,34,38,,,30,25,21,,25,21,25,34
2023-05-28T00:47:30-05:00,38,30,42,,25,30,38,,,30,25,21,,30,21,21,34
