DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-28T00:58:30-05:00,33,33,46,38,34,36,41,,25,37,31,31,27,30,21,25,30
2023-05-28T01:58:30-05:00,38,30,53,,34,35,50,,34,25,22,34,,28,19,24,39
2023-05-28T02:58:30-05:00,36,,61,,46,44,62,,32,30,16,26,,25,28,47,38
2023-05-28T03:58:30-05:00,28,,,,53,49,57,,30,54,40,37,,32,36,33,32
2023-05-28T04:58:30-05:00,34,,,,45,,46,,,40,24,26,,,22,38,35
2023-05-28T05:58:30-05:00,38,,,,36,40,62,,23,23,13,24,,,25,36,30
2023-05-28T06:58:30-05:00,27,,64,,36,,57,,26,36,14,26,,,24,53,32
2023-05-28T07:58:30-05:00,23,,60,,40,,46,,25,37,15,26,,,29,38,25
2023-05-28T08:58:30-05:00,23,,69,,58,,65,,17,54,43,41,,,46,58,40
2023-05-28T09:58:30-05:00,31,,68,,67,,79,,,67,62,38,,,55,65,58
2023-05-28T10:58:30-05:00,35,,41,,62,,77,,,76,74,40,,,53,53,54
2023-05-28T11:58:30-05:00,42,,24,,52,,70,,,59,57,46,49,,48,27,54
2023-05-28T12:58:30-05:00,54,,18,43,56,,65,,,60,58,45,54,,46,25,59
2023-05-28T13:58:30-05:00,54,,15,33,56,25,55,,55,62,59,49,59,,42,18,58
2023-05-28T14:58:30-05:00,48,,14,19,45,18,50,,47,55,54,44,58,,33,11,52
2023-05-28T15:58:30-05:00,39,,26,36,40,35,45,,40,55,46,37,50,,28,21,49
2023-05-28T16:58:30-05:00,38,,30,28,26,27,46,,39,,29,37,38,,26,23,45
2023-05-28T17:58:30-05:00,25,,32,13,6,11,18,,20,,6,43,38,,4,16,15
2023-05-28T18:58:30-05:00,26,,18,11,5,9,10,6,14,,5,43,57,,3,9,12
2023-05-28T19:58:30-05:00,18,,18,22,7,16,12,4,9,,10,38,50,,3,9,8
2023-05-28T20:58:30-05:00,,,,,,,,,,,,,,,,,
2023-05-28T21:58:30-05:00,,,,,,,,,,,,,,,,,
2023-05-28T22:58:30-05:00,,,,,,,,,,,,,,,,,
2023-05-28T23:58:30-05:00,12,,46,,17,19,26,15,13,17,15,18,16,22,10,13,15
