DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-29T00:00:30-05:00,0.0,62.98,70.1,67.03,72.32,69.88,75.67,65.19,,65.78,62.86,71.97,59.84,,77.31,99.9,65.88,71.05
2023-05-29T00:01:00-05:00,0.0,63.06,70.13,,72.43,70.3,76.19,65.18,57.3,65.78,62.91,71.71,60.02,,77.37,99.9,65.91,72.35
2023-05-29T00:01:30-05:00,0.0,63.05,70.18,,73.2,70.57,76.19,65.19,57.38,65.75,63.31,71.82,59.68,,77.37,99.9,65.93,71.72
2023-05-29T00:02:00-05:00,0.0,63.15,70.09,,72.93,70.68,76.17,65.17,57.66,65.71,63.19,71.92,59.97,,77.36,99.9,65.95,71.53
2023-05-29T00:02:30-05:00,0.0,63.19,70.16,,73.46,70.62,76.33,65.23,57.79,65.56,63.26,72.05,59.6,,77.64,99.9,65.96,71.32
2023-05-29T00:03:00-05:00,0.0,63.29,70.15,,73.32,70.7,76.67,65.21,57.81,65.94,63.76,72.27,60.04,,77.36,99.9,65.96,71.09
2023-05-29T00:03:30-05:00,0.0,63.18,70.19,,73.49,70.74,76.81,65.2,57.8,65.6,63.58,72.19,59.93,,77.37,99.9,66.08,71.07
2023-05-29T00:04:00-05:00,0.0,63.36,70.2,,73.6,71.07,76.77,65.16,57.87,65.57,63.62,72.21,59.26,,77.36,99.9,66.12,70.6
2023-05-29T00:04:30-05:00,0.0,63.29,70.22,,73.61,71.17,76.73,65.21,58.07,65.61,63.6,72.22,59.87,,77.31,99.9,66.17,70.3
2023-05-29T00:05:00-05:00,0.0,63.25,70.29,,73.67,71.43,77.08,65.24,58.07,65.54,64.69,72.43,59.55,,77.25,99.9,66.2,70.4
2023-05-29T00:05:30-05:00,0.0,63.23,70.43,,73.89,71.39,77.17,65.25,58.14,65.59,64.5,72.36,59.43,,77.38,99.9,66.25,70.24
2023-05-29T00:06:00-05:00,0.0,63.2,70.54,,73.68,71.4,77.19,65.26,58.2,65.64,64.38,72.32,59.95,,77.45,99.9,66.27,70.21
2023-05-29T00:06:30-05:00,0.0,63.26,70.55,,73.84,71.6,77.38,65.27,58.08,65.71,64.7,72.51,59.89,,77.54,99.9,66.29,70.05
2023-05-29T00:07:00-05:00,0.0,63.41,70.55,,73.59,71.78,77.18,,58.08,65.76,64.04,72.63,60.29,,77.63,99.9,66.25,70.03
2023-05-29T00:07:30-05:00,0.0,63.39,70.61,,73.56,71.56,77.18,65.25,58.22,65.82,63.94,72.67,59.76,,77.56,99.9,66.25,69.85
