DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-29T00:00:30-05:00,11.0,7.0,6.0,2.0,2.0,5.0,6.0,3.0,,4.0,3.0,4.0,4.0,,17.0,0.0,3.0,5.0
2023-05-29T00:01:00-05:00,5.0,4.0,17.0,,5.0,5.0,7.0,3.0,4.0,4.0,4.0,5.0,4.0,,9.0,0.0,3.0,5.0
2023-05-29T00:01:30-05:00,4.0,5.0,19.0,,4.0,4.0,7.0,3.0,4.0,5.0,3.0,6.0,4.0,,9.0,2.0,3.0,5.0
2023-05-29T00:02:00-05:00,4.0,4.0,16.0,,4.0,4.0,7.0,3.0,4.0,5.0,4.0,4.0,4.0,,10.0,2.0,3.0,4.0
2023-05-29T00:02:30-05:00,5.0,5.0,15.0,,4.0,5.0,7.0,3.0,4.0,4.0,3.0,4.0,4.0,,10.0,2.0,3.0,4.0
2023-05-29T00:03:00-05:00,5.0,5.0,13.0,,5.0,5.0,8.0,3.0,4.0,4.0,4.0,4.0,4.0,,13.0,2.0,3.0,4.0
2023-05-29T00:03:30-05:00,4.0,5.0,13.0,,4.0,5.0,7.0,2.0,4.0,6.0,4.0,5.0,4.0,,12.0,2.0,3.0,4.0
2023-05-29T00:04:00-05:00,3.0,5.0,14.0,,4.0,4.0,7.0,3.0,4.0,7.0,4.0,4.0,4.0,,12.0,3.0,4.0,4.0
2023-05-29T00:04:30-05:00,4.0,5.0,12.0,,4.0,4.0,6.0,3.0,4.0,5.0,5.0,5.0,4.0,,15.0,2.0,3.0,4.0
2023-05-29T00:05:00-05:00,4.0,4.0,11.0,,4.0,4.0,6.0,3.0,4.0,5.0,5.0,5.0,4.0,,15.0,2.0,3.0,4.0
2023-05-29T00:05:30-05:00,4.0,4.0,12.0,,4.0,4.0,6.0,3.0,4.0,5.0,4.0,5.0,4.0,,19.0,3.0,3.0,4.0
2023-05-29T00:06:00-05:00,3.0,4.0,12.0,,4.0,4.0,6.0,3.0,4.0,5.0,4.0,4.0,4.0,,22.0,3.0,3.0,4.0
2023-05-29T00:06:30-05:00,4.0,4.0,13.0,,4.0,4.0,6.0,3.0,4.0,5.0,4.0,4.0,4.0,,25.0,2.0,3.0,4.0
2023-05-29T00:07:00-05:00,4.0,4.0,13.0,,5.0,4.0,8.0,,4.0,6.0,3.0,4.0,4.0,,24.0,5.0,3.0,4.0
2023-05-29T00:07:30-05:00,3.0,4.0,14.0,,4.0,4.0,9.0,3.0,4.0,5.0,4.0,3.0,4.0,,22.0,4.0,4.0,4.0
2023-05-29T00:08:00-05:00,4.0,4.0,14.0,,4.0,4.0,10.0,3.0,4.0,5.0,4.0,4.0,4.0,,21.0,4.0,3.0,4.0
2023-05-29T00:08:30-05:00,4.0,4.0,14.0,,3.0,4.0,11.0,,4.0,5.0,4.0,5.0,4.0,,21.0,3.0,3.0,4.0
2023-05-29T00:09:00-05:00,4.0,4.0,12.0,,3.0,4.0,11.0,3.0,4.0,5.0,4.0,5.0,4.0,,22.0,4.0,4.0,4.0
2023-05-29T00:09:30-05:00,4.0,4.0,12.0,,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,,23.0,4.0,3.0,4.0
2023-05-29T00:10:00-05:00,3.0,4.0,11.0,,4.0,4.0,9.0,3.0,4.0,,4.0,4.0,3.0,,22.0,6.0,3.0,4.0
2023-05-29T00:10:30-05:00,3.0,4.0,10.0,,4.0,3.0,8.0,,3.0,5.0,4.0,4.0,4.0,,21.0,5.0,4.0,4.0
2023-05-29T00:11:00-05:00,3.0,4.0,11.0,,4.0,4.0,8.0,3.0,4.0,4.0,4.0,4.0,4.0,,20.0,3.0,4.0,4.0
2023-05-29T00:11:30-05:00,4.0,4.0,11.0,,4.0,4.0,7.0,3.0,4.0,3.0,4.0,4.0,4.0,,18.0,3.0,3.0,5.0
2023-05-29T00:12:00-05:00,4.0,4.0,11.0,,4.0,4.0,9.0,3.0,4.0,4.0,4.0,4.0,4.0,,17.0,3.0,3.0,5.0
2023-05-29T00:12:30-05:00,3.0,4.0,11.0,,4.0,4.0,9.0,,4.0,4.0,5.0,4.0,4.0,,14.0,2.0,3.0,5.0
2023-05-29T00:13:00-05:00,4.0,4.0,11.0,,4.0,4.0,9.0,3.0,3.0,4.0,4.0,4.0,4.0,,14.0,3.0,3.0,4.0
2023-05-29T00:13:30-05:00,4.0,4.0,10.0,,4.0,4.0,,2.0,4.0,4.0,4.0,3.0,4.0,,11.0,1.0,3.0,4.0
2023-05-29T00:14:00-05:00,4.0,5.0,10.0,,4.0,4.0,9.0,2.0,4.0,4.0,4.0,4.0,4.0,,10.0,1.0,3.0,4.0
2023-05-29T00:14:30-05:00,4.0,4.0,10.0,,4.0,4.0,8.0,3.0,4.0,4.0,4.0,4.0,4.0,,9.0,2.0,3.0,4.0
2023-05-29T00:15:00-05:00,4.0,4.0,10.0,,4.0,4.0,9.0,3.0,4.0,4.0,4.0,4.0,4.0,,9.0,1.0,4.0,4.0
2023-05-29T00:15:30-05:00,4.0,4.0,8.0,,4.0,4.0,9.0,3.0,3.0,4.0,4.0,4.0,4.0,,8.0,2.0,3.0,4.0
2023-05-29T00:16:00-05:00,4.0,4.0,8.0,,3.0,4.0,8.0,3.0,4.0,4.0,4.0,4.0,4.0,,8.0,2.0,3.0,4.0
2023-05-29T00:16:30-05:00,4.0,5.0,8.0,,3.0,4.0,7.0,3.0,4.0,4.0,4.0,4.0,4.0,,7.0,2.0,3.0,4.0
2023-05-29T00:17:00-05:00,3.0,4.0,8.0,,3.0,3.0,8.0,2.0,4.0,4.0,5.0,4.0,3.0,,6.0,3.0,3.0,4.0
2023-05-29T00:17:30-05:00,4.0,4.0,8.0,,4.0,4.0,7.0,3.0,3.0,4.0,4.0,4.0,3.0,,5.0,3.0,4.0,5.0
2023-05-29T00:18:00-05:00,4.0,4.0,9.0,,3.0,4.0,6.0,3.0,3.0,4.0,4.0,4.0,4.0,,4.0,2.0,3.0,3.0
2023-05-29T00:18:30-05:00,4.0,5.0,9.0,,4.0,4.0,6.0,3.0,3.0,4.0,4.0,4.0,4.0,,5.0,3.0,3.0,4.0
2023-05-29T00:19:00-05:00,4.0,5.0,8.0,,4.0,4.0,7.0,3.0,3.0,4.0,4.0,4.0,4.0,,5.0,3.0,3.0,4.0
2023-05-29T00:19:30-05:00,4.0,4.0,8.0,,4.0,4.0,7.0,,4.0,4.0,4.0,4.0,3.0,,5.0,4.0,3.0,4.0
2023-05-29T00:20:00-05:00,4.0,4.0,7.0,,3.0,4.0,6.0,3.0,3.0,4.0,4.0,4.0,4.0,,4.0,2.0,3.0,4.0
2023-05-29T00:20:30-05:00,4.0,5.0,9.0,,3.0,4.0,9.0,3.0,3.0,4.0,4.0,4.0,4.0,,4.0,2.0,3.0,4.0
2023-05-29T00:21:00-05:00,4.0,4.0,9.0,,3.0,4.0,9.0,2.0,3.0,4.0,5.0,5.0,4.0,,3.0,3.0,3.0,4.0
2023-05-29T00:21:30-05:00,3.0,3.0,9.0,,3.0,4.0,10.0,3.0,3.0,4.0,4.0,5.0,4.0,,4.0,1.0,3.0,4.0
2023-05-29T00:22:00-05:00,4.0,4.0,9.0,,2.0,5.0,10.0,3.0,3.0,4.0,5.0,4.0,3.0,,4.0,1.0,3.0,4.0
2023-05-29T00:22:30-05:00,3.0,5.0,9.0,,3.0,4.0,10.0,,3.0,4.0,3.0,5.0,4.0,,4.0,1.0,3.0,4.0
2023-05-29T00:23:00-05:00,4.0,4.0,11.0,,3.0,4.0,11.0,,3.0,,5.0,4.0,4.0,,4.0,1.0,4.0,4.0
2023-05-29T00:23:30-05:00,4.0,4.0,11.0,,3.0,4.0,10.0,3.0,3.0,4.0,4.0,4.0,4.0,,4.0,3.0,4.0,4.0
2023-05-29T00:24:00-05:00,3.0,4.0,11.0,,4.0,3.0,12.0,3.0,3.0,4.0,4.0,5.0,4.0,,4.0,2.0,4.0,4.0
2023-05-29T00:24:30-05:00,4.0,5.0,15.0,,4.0,4.0,13.0,3.0,3.0,4.0,4.0,4.0,3.0,,4.0,2.0,3.0,4.0
