DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-30T12:52:30-05:00,15.0,11.0,7.0,3.0,17.0,,9.0,5.0,6.0,11.0,11.0,10.0,9.0,11.0,17.0,12.0,8.0,3.0,9.0
2023-05-30T12:53:00-05:00,15.0,11.0,7.0,3.0,18.0,,10.0,4.0,6.0,10.0,11.0,10.0,9.0,11.0,16.0,11.0,7.0,4.0,9.0
2023-05-30T12:53:30-05:00,15.0,11.0,7.0,2.0,19.0,,8.0,4.0,7.0,10.0,11.0,9.0,9.0,10.0,15.0,10.0,6.0,3.0,9.0
2023-05-30T12:54:00-05:00,15.0,11.0,7.0,3.0,19.0,,9.0,4.0,6.0,11.0,11.0,9.0,8.0,9.0,16.0,10.0,13.0,3.0,8.0
2023-05-30T12:54:30-05:00,15.0,11.0,7.0,3.0,18.0,,9.0,4.0,7.0,9.0,11.0,10.0,9.0,9.0,16.0,10.0,15.0,3.0,9.0
2023-05-30T12:55:00-05:00,15.0,11.0,7.0,3.0,19.0,,8.0,5.0,6.0,11.0,11.0,12.0,9.0,10.0,16.0,10.0,15.0,3.0,10.0
2023-05-30T12:55:30-05:00,15.0,10.0,7.0,3.0,19.0,,8.0,6.0,6.0,10.0,11.0,11.0,9.0,8.0,15.0,10.0,9.0,4.0,9.0
2023-05-30T12:56:00-05:00,15.0,11.0,6.0,2.0,18.0,,8.0,5.0,7.0,10.0,10.0,11.0,9.0,8.0,15.0,10.0,6.0,3.0,8.0
2023-05-30T12:56:30-05:00,15.0,11.0,7.0,3.0,19.0,,9.0,5.0,7.0,10.0,11.0,11.0,8.0,8.0,17.0,9.0,4.0,3.0,9.0
2023-05-30T12:57:00-05:00,15.0,11.0,6.0,3.0,19.0,,9.0,6.0,7.0,11.0,11.0,11.0,9.0,7.0,17.0,10.0,4.0,3.0,8.0
2023-05-30T12:57:30-05:00,15.0,11.0,6.0,2.0,19.0,,8.0,5.0,6.0,11.0,11.0,10.0,8.0,9.0,16.0,10.0,7.0,4.0,9.0
2023-05-30T12:58:00-05:00,15.0,12.0,6.0,3.0,19.0,,8.0,5.0,6.0,10.0,10.0,15.0,9.0,11.0,17.0,9.0,5.0,3.0,8.0
2023-05-30T12:58:30-05:00,15.0,11.0,6.0,2.0,19.0,,7.0,5.0,6.0,10.0,10.0,16.0,9.0,9.0,17.0,10.0,6.0,3.0,9.0
2023-05-30T14:13:30-05:00,14.0,7.0,6.0,4.0,17.0,,7.0,6.0,6.0,10.0,8.0,8.0,7.0,9.0,14.0,9.0,3.0,6.0,9.0
2023-05-30T14:14:00-05:00,14.0,8.0,6.0,4.0,17.0,,8.0,6.0,6.0,11.0,8.0,7.0,7.0,9.0,14.0,8.0,3.0,5.0,8.0
2023-05-30T14:14:30-05:00,14.0,8.0,6.0,3.0,17.0,,6.0,6.0,5.0,10.0,8.0,7.0,7.0,10.0,15.0,8.0,6.0,5.0,9.0
2023-05-30T14:15:00-05:00,14.0,7.0,5.0,3.0,17.0,,6.0,6.0,6.0,11.0,8.0,7.0,7.0,9.0,14.0,9.0,4.0,5.0,8.0
2023-05-30T14:15:30-05:00,14.0,8.0,6.0,3.0,18.0,,6.0,6.0,6.0,12.0,8.0,8.0,6.0,9.0,15.0,9.0,4.0,5.0,8.0
2023-05-30T14:16:00-05:00,14.0,8.0,6.0,4.0,17.0,,6.0,7.0,6.0,12.0,8.0,7.0,7.0,9.0,15.0,9.0,2.0,5.0,8.0
2023-05-30T14:16:30-05:00,14.0,7.0,6.0,4.0,18.0,,6.0,5.0,7.0,11.0,8.0,7.0,8.0,9.0,14.0,9.0,5.0,6.0,8.0
2023-05-30T14:17:00-05:00,14.0,7.0,5.0,4.0,17.0,,6.0,7.0,6.0,10.0,8.0,7.0,8.0,8.0,14.0,9.0,5.0,5.0,8.0
2023-05-30T14:17:30-05:00,14.0,7.0,6.0,3.0,17.0,,6.0,6.0,6.0,10.0,7.0,8.0,8.0,9.0,15.0,9.0,3.0,5.0,8.0
2023-05-30T14:18:00-05:00,14.0,7.0,7.0,4.0,18.0,,6.0,6.0,6.0,10.0,8.0,8.0,8.0,9.0,16.0,8.0,3.0,5.0,8.0
2023-05-30T14:18:30-05:00,14.0,7.0,6.0,3.0,18.0,,7.0,7.0,6.0,11.0,9.0,9.0,7.0,10.0,16.0,9.0,3.0,5.0,9.0
2023-05-30T14:19:00-05:00,14.0,7.0,6.0,4.0,18.0,,7.0,7.0,6.0,10.0,8.0,8.0,8.0,10.0,15.0,9.0,3.0,5.0,8.0
2023-05-30T14:19:30-05:00,14.0,7.0,7.0,4.0,17.0,,7.0,7.0,7.0,10.0,8.0,8.0,8.0,11.0,14.0,10.0,4.0,5.0,8.0
2023-05-30T14:20:00-05:00,14.0,8.0,6.0,4.0,17.0,,6.0,6.0,6.0,11.0,8.0,8.0,8.0,11.0,15.0,9.0,5.0,5.0,8.0
2023-05-30T14:20:30-05:00,14.0,8.0,7.0,4.0,18.0,,7.0,6.0,6.0,10.0,8.0,8.0,7.0,10.0,15.0,10.0,4.0,5.0,8.0
2023-05-30T14:21:00-05:00,14.0,7.0,6.0,4.0,18.0,,7.0,6.0,5.0,10.0,8.0,7.0,7.0,10.0,15.0,10.0,4.0,,10.0
2023-05-30T14:21:30-05:00,14.0,7.0,7.0,4.0,17.0,,8.0,6.0,7.0,10.0,8.0,7.0,8.0,9.0,15.0,12.0,4.0,6.0,11.0
2023-05-30T14:22:00-05:00,14.0,7.0,7.0,4.0,16.0,,8.0,6.0,7.0,10.0,8.0,7.0,7.0,7.0,15.0,11.0,3.0,7.0,13.0
2023-05-30T14:22:30-05:00,14.0,7.0,6.0,3.0,19.0,,7.0,6.0,6.0,10.0,8.0,8.0,8.0,7.0,14.0,10.0,3.0,6.0,13.0
2023-05-30T14:23:00-05:00,14.0,8.0,6.0,4.0,,,7.0,6.0,6.0,10.0,7.0,9.0,8.0,7.0,14.0,9.0,5.0,6.0,12.0
2023-05-30T14:23:30-05:00,14.0,6.0,6.0,5.0,16.0,,6.0,6.0,6.0,10.0,7.0,10.0,9.0,7.0,15.0,10.0,5.0,5.0,10.0
2023-05-30T14:24:00-05:00,14.0,8.0,6.0,4.0,17.0,,6.0,6.0,6.0,10.0,6.0,10.0,9.0,8.0,14.0,9.0,4.0,6.0,10.0
2023-05-30T14:24:30-05:00,14.0,7.0,7.0,4.0,18.0,,6.0,6.0,6.0,11.0,8.0,9.0,8.0,9.0,14.0,9.0,3.0,5.0,8.0
2023-05-30T14:25:00-05:00,14.0,8.0,7.0,4.0,17.0,,7.0,,6.0,10.0,7.0,9.0,7.0,8.0,14.0,8.0,3.0,4.0,8.0
2023-05-30T14:25:30-05:00,14.0,8.0,7.0,4.0,17.0,,7.0,6.0,6.0,10.0,7.0,9.0,8.0,8.0,14.0,8.0,5.0,7.0,9.0
2023-05-30T14:26:00-05:00,14.0,7.0,6.0,5.0,18.0,,6.0,7.0,6.0,8.0,7.0,9.0,7.0,8.0,14.0,8.0,5.0,6.0,9.0
2023-05-30T14:26:30-05:00,14.0,7.0,7.0,4.0,18.0,,6.0,6.0,5.0,9.0,8.0,9.0,7.0,8.0,15.0,9.0,4.0,5.0,9.0
2023-05-30T14:27:00-05:00,14.0,7.0,6.0,4.0,18.0,,7.0,6.0,5.0,9.0,8.0,9.0,8.0,9.0,14.0,9.0,4.0,7.0,8.0
2023-05-30T14:27:30-05:00,14.0,7.0,6.0,4.0,18.0,,7.0,6.0,6.0,10.0,8.0,9.0,8.0,7.0,14.0,9.0,3.0,8.0,8.0
2023-05-30T14:28:00-05:00,14.0,7.0,6.0,4.0,17.0,,7.0,6.0,5.0,10.0,8.0,9.0,8.0,7.0,15.0,10.0,2.0,6.0,8.0
2023-05-30T14:28:30-05:00,14.0,7.0,6.0,4.0,17.0,,6.0,6.0,6.0,10.0,8.0,9.0,8.0,7.0,15.0,8.0,3.0,6.0,8.0
2023-05-30T14:29:00-05:00,14.0,7.0,7.0,4.0,17.0,,6.0,6.0,7.0,10.0,9.0,10.0,7.0,7.0,15.0,8.0,4.0,6.0,9.0
2023-05-30T14:29:30-05:00,14.0,7.0,6.0,4.0,18.0,,7.0,6.0,7.0,10.0,8.0,10.0,8.0,7.0,15.0,9.0,5.0,6.0,9.0
2023-05-30T14:30:00-05:00,14.0,7.0,6.0,4.0,17.0,,7.0,7.0,6.0,9.0,8.0,9.0,7.0,7.0,15.0,9.0,5.0,6.0,9.0
2023-05-30T14:30:30-05:00,14.0,7.0,6.0,4.0,16.0,,7.0,6.0,6.0,10.0,9.0,8.0,7.0,7.0,15.0,9.0,3.0,6.0,9.0
