DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782_x,TANGARA_3782_y,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-31T13:00:30-05:00,0.0,0.0,46.64,36.2,60.09,46.46,44.98,46.69,58.49,48.6,42.96,51.16,42.12,,,53.48,58.07,97.9,48.63,49.69
2023-05-31T13:01:00-05:00,0.0,0.0,46.75,36.01,59.92,45.93,44.79,46.78,58.48,48.83,42.83,51.69,,,,53.7,57.05,97.8,48.93,49.6
2023-05-31T13:01:30-05:00,0.0,0.0,46.91,35.83,60.36,45.26,44.76,46.06,58.43,49.29,43.69,51.11,42.68,,,53.38,57.72,97.7,48.84,49.61
2023-05-31T13:02:00-05:00,0.0,0.0,47.09,35.84,59.83,48.01,44.87,45.96,58.45,49.4,42.56,51.78,42.55,,,53.12,57.74,97.6,48.31,49.69
2023-05-31T13:02:30-05:00,0.0,0.0,47.18,35.85,61.41,47.76,44.8,46.46,58.38,49.39,42.16,50.73,42.43,,,53.68,57.38,97.5,47.94,50.45
2023-05-31T13:03:00-05:00,0.0,0.0,47.09,35.79,61.47,46.95,44.8,46.64,58.38,49.45,42.67,50.03,43.23,,,53.17,58.52,97.4,48.05,50.22
2023-05-31T13:03:30-05:00,0.0,0.0,47.15,35.79,60.97,48.25,44.85,46.17,58.33,49.41,42.62,51.46,44.36,,,53.89,58.56,97.4,48.09,50.62
2023-05-31T13:04:00-05:00,0.0,0.0,47.01,35.63,59.77,48.21,44.77,46.69,58.31,49.39,41.87,51.46,,,,52.33,59.39,97.3,47.92,50.38
2023-05-31T13:04:30-05:00,0.0,0.0,47.3,35.57,58.71,47.63,44.74,47.29,58.26,49.38,41.9,51.58,43.56,,,53.31,58.36,97.4,47.6,50.73
2023-05-31T13:05:00-05:00,0.0,0.0,47.39,35.43,60.56,47.69,44.83,47.49,58.26,49.05,42.96,50.89,44.36,,,52.66,58.0,97.4,47.31,50.42
2023-05-31T13:05:30-05:00,0.0,0.0,47.31,35.49,59.92,48.43,45.02,47.88,58.27,48.4,43.36,50.33,44.05,,,53.62,57.71,97.4,47.31,50.68
2023-05-31T13:06:00-05:00,0.0,0.0,47.33,35.38,61.06,47.98,45.26,47.6,58.2,48.77,43.48,51.22,44.57,,,53.57,57.62,97.5,47.33,50.52
2023-05-31T13:06:30-05:00,0.0,0.0,47.38,35.24,60.52,48.12,45.25,47.43,58.19,49.15,43.55,50.06,43.83,,,53.09,57.47,97.5,46.95,50.83
2023-05-31T13:07:00-05:00,0.0,0.0,47.48,35.23,59.58,48.84,45.32,47.66,58.15,49.22,43.16,50.33,43.74,,,52.87,58.41,97.5,46.73,51.89
2023-05-31T13:07:30-05:00,0.0,0.0,47.64,35.28,59.57,48.84,45.39,47.24,58.19,49.45,43.11,49.82,,,,53.24,60.86,97.5,46.76,52.48
2023-05-31T13:08:00-05:00,0.0,0.0,47.6,35.13,59.96,48.69,45.53,47.41,58.15,49.43,43.02,50.0,45.19,,,52.49,59.5,97.5,46.51,51.51
2023-05-31T13:08:30-05:00,0.0,0.0,47.17,35.08,60.09,48.95,45.21,47.4,58.11,48.81,42.81,50.17,45.69,,,52.25,57.83,97.5,46.43,51.31
2023-05-31T13:09:00-05:00,0.0,0.0,47.27,35.13,59.4,47.47,45.14,47.04,58.04,48.81,43.01,51.57,44.81,,,52.57,58.37,97.4,46.35,51.66
2023-05-31T13:09:30-05:00,0.0,0.0,47.05,35.33,59.55,45.92,45.01,46.94,58.07,49.42,42.45,51.41,,,,52.53,57.33,97.4,46.32,51.8
2023-05-31T13:10:00-05:00,0.0,0.0,47.07,35.18,59.41,47.4,45.01,47.42,58.02,49.48,42.05,50.7,43.9,,,52.47,57.9,97.5,46.32,51.22
2023-05-31T13:10:30-05:00,0.0,0.0,47.24,35.3,59.16,43.88,45.22,46.89,58.02,49.45,42.63,49.43,43.41,,,51.91,58.39,97.4,46.21,51.95
2023-05-31T13:11:00-05:00,0.0,0.0,47.18,35.12,59.45,47.3,45.33,47.0,57.99,48.27,41.9,49.72,43.49,,,52.16,58.69,97.4,46.41,51.78
2023-05-31T13:11:30-05:00,0.0,0.0,47.44,35.25,59.15,47.46,45.64,47.08,57.96,48.28,41.87,50.3,,,,52.92,58.3,97.4,46.4,51.64
2023-05-31T13:12:00-05:00,0.0,0.0,47.72,35.45,60.06,47.66,45.73,47.04,57.87,49.07,42.05,49.54,44.69,,,52.55,58.4,97.4,46.47,51.67
2023-05-31T13:12:30-05:00,0.0,0.0,47.74,35.2,58.82,47.73,45.46,46.93,57.88,49.28,42.06,50.14,44.58,,,52.11,58.29,97.4,46.58,51.8
2023-05-31T13:13:00-05:00,0.0,0.0,47.81,35.29,58.42,47.2,45.56,47.3,57.87,49.3,42.02,50.07,,,,51.99,58.84,97.3,46.78,51.5
2023-05-31T13:13:30-05:00,0.0,0.0,47.76,35.38,59.44,45.86,45.5,48.07,57.78,48.67,42.18,49.84,42.54,,,52.52,59.1,97.4,46.82,50.46
2023-05-31T13:14:00-05:00,0.0,0.0,47.76,35.46,59.51,47.18,45.88,48.1,57.79,49.15,42.36,49.43,,,,52.65,58.66,97.4,46.96,50.42
2023-05-31T13:14:30-05:00,0.0,0.0,47.88,35.35,58.76,47.1,45.4,48.08,57.77,49.29,42.07,49.34,42.65,,,52.41,56.95,97.4,46.96,50.15
2023-05-31T13:15:00-05:00,0.0,0.0,47.85,35.26,60.26,47.34,45.53,47.85,57.73,49.17,41.75,49.51,,,,52.97,57.13,97.4,46.64,50.19
2023-05-31T13:15:30-05:00,0.0,0.0,47.63,35.27,59.02,46.93,45.45,47.73,57.69,49.05,41.32,50.51,42.7,,,52.9,57.25,97.4,46.59,50.08
2023-05-31T13:16:00-05:00,0.0,0.0,48.1,35.44,59.59,46.98,45.38,48.15,57.69,49.06,41.1,50.88,42.12,,,52.74,58.31,97.3,46.62,50.14
2023-05-31T13:16:30-05:00,0.0,0.0,47.92,35.43,60.0,47.1,45.53,47.6,57.66,48.91,40.96,49.62,42.52,,,53.37,57.63,97.3,46.51,50.69
2023-05-31T13:17:00-05:00,0.0,0.0,47.72,35.38,60.2,47.22,45.77,47.57,57.69,49.05,41.09,50.8,42.33,,,52.93,57.84,97.3,46.79,50.69
2023-05-31T13:17:30-05:00,0.0,0.0,47.75,35.18,59.74,47.28,45.6,47.39,57.61,48.78,40.85,49.69,42.5,,,53.27,58.11,97.3,47.07,50.43
2023-05-31T13:18:00-05:00,0.0,0.0,47.85,35.34,59.12,46.49,45.66,47.36,57.56,48.55,40.79,49.81,,,,52.26,57.89,97.3,47.12,50.32
2023-05-31T13:18:30-05:00,0.0,0.0,47.92,35.44,59.69,45.28,45.9,47.1,57.58,47.09,40.76,50.15,43.01,,,52.48,57.7,97.3,47.23,50.13
2023-05-31T13:19:00-05:00,0.0,0.0,47.96,35.36,60.9,46.32,45.62,47.47,57.52,46.57,40.58,51.21,43.06,,,54.01,57.33,97.3,47.06,
2023-05-31T13:19:30-05:00,0.0,0.0,47.87,35.32,60.93,45.2,45.5,48.06,57.48,47.29,40.54,51.17,43.76,,,54.37,57.33,97.3,47.06,50.39
2023-05-31T13:20:00-05:00,0.0,0.0,48.12,35.27,61.31,43.66,45.61,47.33,57.45,48.1,40.45,50.67,45.61,,,53.94,56.93,97.3,47.14,50.57
2023-05-31T13:20:30-05:00,0.0,0.0,48.12,35.28,60.13,46.84,45.6,47.73,57.48,48.5,40.16,49.73,45.17,,,52.56,56.69,97.2,47.28,51.46
2023-05-31T13:21:00-05:00,0.0,0.0,48.1,35.43,59.7,44.57,45.39,47.76,57.46,47.11,40.41,49.82,,,,52.57,56.77,97.2,46.98,49.62
2023-05-31T13:21:30-05:00,0.0,0.0,47.84,35.4,60.22,44.58,45.55,47.92,57.43,48.06,40.37,50.22,44.83,,,53.47,57.47,97.2,46.71,49.38
2023-05-31T13:22:00-05:00,0.0,0.0,47.82,35.46,60.13,45.63,45.85,47.55,57.38,47.78,40.15,50.5,,,,52.69,56.81,97.3,46.53,49.44
2023-05-31T13:22:30-05:00,0.0,0.0,47.66,35.6,59.48,46.14,45.87,47.45,57.34,48.59,40.22,49.49,45.51,,,53.37,57.72,97.3,46.67,50.36
2023-05-31T13:23:00-05:00,0.0,0.0,47.67,35.56,59.76,46.51,46.21,47.22,57.33,48.76,40.12,49.5,,,,52.11,57.88,97.3,46.62,50.46
2023-05-31T13:23:30-05:00,0.0,0.0,47.64,35.89,59.25,46.55,45.98,47.39,57.28,47.38,40.0,50.58,44.88,,,52.02,57.74,97.3,46.52,51.2
