DATETIME,TANGARA_260A,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_532E,TANGARA_F1AE,TANGARA_06BE
2023-10-29 00:00:30-05:00,71.55,79.0,73.08,71.43,61.65,80.71,73.27,76.84,99.9,99.9,65.76,74.87
2023-10-29 00:01:00-05:00,71.63,78.84,73.36,71.45,61.71,80.93,73.34,76.86,99.9,99.9,65.71,74.8
2023-10-29 00:01:30-05:00,71.61,78.82,73.24,71.5,61.78,81.08,73.46,76.85,99.9,99.9,65.7,74.51
2023-10-29 00:02:00-05:00,71.6,78.67,73.27,71.55,61.72,81.21,73.54,76.87,99.9,99.9,65.69,74.42
2023-10-29 00:02:30-05:00,71.48,78.86,73.29,71.58,61.84,81.4,73.49,76.82,99.9,99.9,65.72,74.24
2023-10-29 00:03:00-05:00,71.4,78.72,73.24,71.58,61.77,81.43,73.64,76.87,99.9,99.9,65.74,74.28
2023-10-29 00:03:30-05:00,71.44,78.53,73.48,71.56,61.83,81.39,73.62,76.93,99.9,99.9,65.7,73.86
2023-10-29 00:04:00-05:00,71.39,78.68,73.39,71.54,61.85,81.48,73.67,76.84,99.9,99.9,65.79,73.99
2023-10-29 00:04:30-05:00,71.45,78.59,73.5,71.59,61.84,81.64,73.7,76.74,99.9,99.9,65.83,74.03
2023-10-29 00:05:00-05:00,71.4,78.63,73.57,71.6,61.84,81.73,73.68,76.73,99.9,99.9,65.93,73.85
2023-10-29 00:05:30-05:00,71.5,78.67,73.39,71.66,61.86,81.83,73.6,76.85,99.9,99.9,65.94,73.88
2023-10-29 00:06:00-05:00,71.48,78.62,73.39,71.73,61.87,81.9,73.62,76.9,99.9,99.9,65.94,73.83
2023-10-29 00:06:30-05:00,71.41,78.65,73.42,71.75,61.91,81.88,73.62,76.89,99.9,99.9,66.04,73.72
2023-10-29 00:07:00-05:00,71.48,78.59,73.51,71.8,61.85,81.87,73.56,76.74,99.9,99.9,66.07,73.77
2023-10-29 00:07:30-05:00,71.48,78.5,73.69,71.76,61.81,81.82,73.54,76.64,99.9,99.9,66.09,73.82
2023-10-29 00:08:00-05:00,71.44,78.45,73.55,71.83,61.81,81.85,73.55,76.56,99.9,99.9,66.12,73.77
2023-10-29 00:08:30-05:00,71.44,78.37,73.57,71.79,61.85,81.83,73.62,76.65,99.9,99.9,66.24,73.79
2023-10-29 00:09:00-05:00,71.51,78.43,73.73,71.79,61.84,81.8,73.56,76.69,99.9,99.9,66.26,73.7
2023-10-29 00:09:30-05:00,71.48,78.11,73.75,71.84,61.77,81.77,73.53,76.71,,99.9,66.26,73.67
2023-10-29 00:10:00-05:00,71.56,78.03,73.77,71.84,61.79,81.75,73.51,76.91,99.9,99.9,66.36,73.57
2023-10-29 00:10:30-05:00,71.56,78.12,73.81,71.8,61.74,81.75,73.57,76.74,99.9,99.9,66.31,73.66
2023-10-29 00:11:00-05:00,71.55,77.95,73.68,71.79,61.79,81.7,73.5,76.9,99.9,99.9,66.28,73.76
2023-10-29 00:11:30-05:00,71.64,77.9,73.65,71.83,61.8,81.7,73.48,76.88,99.9,99.9,66.2,73.9
2023-10-29 00:12:00-05:00,71.64,,73.72,71.81,61.73,81.64,73.57,,99.9,99.9,66.21,73.95
2023-10-29 00:12:30-05:00,71.54,77.94,73.71,71.77,61.69,81.64,73.55,76.91,99.9,99.9,66.31,73.97
2023-10-29 00:13:00-05:00,71.57,77.99,73.69,71.77,61.74,81.59,73.57,76.99,99.9,99.9,66.4,73.96
2023-10-29 00:13:30-05:00,71.57,77.86,73.67,71.83,61.56,81.53,73.66,76.92,99.9,99.9,66.42,74.05
2023-10-29 00:14:00-05:00,71.55,77.81,73.66,71.85,61.78,81.65,73.55,77.02,99.9,99.9,66.43,73.95
2023-10-29 00:14:30-05:00,71.52,77.84,73.68,71.87,61.76,81.71,73.6,77.14,99.9,99.9,66.42,74.03
2023-10-29 00:15:00-05:00,71.48,77.71,73.67,71.94,61.76,81.65,73.47,77.17,99.9,99.9,66.41,74.07
2023-10-29 00:15:30-05:00,71.44,77.66,73.65,71.95,61.83,81.67,73.62,77.24,99.9,99.9,66.34,74.08
2023-10-29 00:16:00-05:00,71.41,77.92,73.8,71.95,61.77,81.64,73.59,77.35,99.9,99.9,66.27,74.19
2023-10-29 00:16:30-05:00,71.42,77.78,73.7,71.95,61.76,81.59,73.59,77.25,99.9,99.9,66.13,74.19
2023-10-29 00:17:00-05:00,71.27,77.67,73.7,71.98,61.78,81.6,73.57,77.41,99.9,99.9,65.92,74.11
2023-10-29 00:17:30-05:00,71.27,77.52,73.75,71.98,61.59,81.61,73.63,77.42,99.9,99.9,65.84,74.05
2023-10-29 00:18:00-05:00,71.24,77.66,73.75,71.93,61.75,81.63,73.45,77.28,99.9,99.9,65.91,74.02
2023-10-29 00:18:30-05:00,71.13,77.64,73.82,71.78,61.77,81.66,73.44,77.15,99.9,99.9,66.05,74.06
2023-10-29 00:19:00-05:00,71.13,77.56,73.77,71.75,61.77,81.65,73.46,77.16,99.9,99.9,66.01,74.11
2023-10-29 00:19:30-05:00,,,,,,,,,,,,
2023-10-29 00:20:00-05:00,71.12,77.31,73.71,71.83,61.78,81.54,73.42,77.05,99.9,99.9,65.84,74.22
2023-10-29 00:20:30-05:00,71.13,77.45,73.74,71.87,61.7,81.51,73.5,77.06,99.9,99.9,65.81,74.07
2023-10-29 00:21:00-05:00,71.11,77.53,73.75,71.91,61.75,81.49,73.57,77.05,,99.9,65.89,74.06
2023-10-29 00:21:30-05:00,71.08,77.14,73.84,71.95,61.82,81.49,73.53,77.05,99.9,99.9,66.18,74.04
2023-10-29 00:22:00-05:00,71.06,77.01,73.87,71.93,61.8,81.48,73.55,77.06,99.9,99.9,66.34,74.01
2023-10-29 00:22:30-05:00,71.03,76.98,73.89,71.93,,81.47,73.51,77.09,99.9,99.9,66.38,73.99
2023-10-29 00:23:00-05:00,71.06,77.0,73.95,71.88,61.74,81.47,73.58,77.14,99.9,99.9,66.56,74.09
2023-10-29 00:23:30-05:00,71.03,76.99,74.03,71.97,61.8,81.46,73.56,,99.9,99.9,66.76,74.14
2023-10-29 00:24:00-05:00,70.99,76.82,74.2,72.07,61.75,81.5,73.48,77.28,99.9,99.9,67.0,74.11
2023-10-29 00:24:30-05:00,71.0,,74.09,72.07,61.73,81.65,73.62,77.3,99.9,99.9,67.17,74.11
2023-10-29 00:25:00-05:00,70.96,76.79,73.94,72.16,61.8,81.73,73.53,77.25,99.9,99.9,67.32,74.06
2023-10-29 00:25:30-05:00,70.97,76.85,73.77,72.21,61.88,81.75,73.49,77.28,99.9,99.9,67.53,74.16
2023-10-29 00:26:00-05:00,70.98,76.82,73.92,72.17,61.67,81.72,73.53,77.37,99.9,99.9,67.54,74.41
2023-10-29 00:26:30-05:00,70.99,76.82,74.06,72.16,61.86,81.77,73.6,77.39,99.9,99.9,67.69,74.11
2023-10-29 00:27:00-05:00,70.98,76.87,73.95,72.19,61.77,81.84,73.5,77.26,99.9,99.9,67.67,74.06
2023-10-29 00:27:30-05:00,71.01,76.95,73.82,72.19,61.82,81.83,73.44,77.33,99.9,99.9,67.67,74.15
2023-10-29 00:28:00-05:00,70.94,76.94,73.89,72.2,61.79,81.93,73.38,77.4,99.9,99.9,67.63,74.14
2023-10-29 00:28:30-05:00,71.0,76.98,73.86,72.1,61.75,82.07,73.51,77.36,99.9,99.9,67.61,74.06
2023-10-29 00:29:00-05:00,70.99,76.98,73.8,72.2,61.79,82.11,73.39,77.36,99.9,99.9,67.64,74.04
2023-10-29 00:29:30-05:00,71.01,77.22,73.81,72.23,61.84,82.15,73.46,77.41,99.9,99.9,67.53,74.08
2023-10-29 00:30:00-05:00,70.99,77.32,73.89,72.23,61.87,82.19,73.43,77.46,99.9,99.9,67.51,74.11
2023-10-29 00:30:30-05:00,71.0,77.4,73.8,72.26,61.81,82.25,73.37,77.42,99.9,99.9,67.53,74.11
2023-10-29 00:31:00-05:00,71.05,77.51,73.76,72.27,61.8,82.23,73.32,77.46,99.9,99.9,67.67,74.19
2023-10-29 00:31:30-05:00,71.03,77.59,73.79,72.2,61.86,82.24,73.49,77.59,99.9,99.9,67.6,74.14
2023-10-29 00:32:00-05:00,71.09,77.62,73.81,72.24,61.83,82.21,73.33,77.63,99.9,99.9,67.55,74.21
2023-10-29 00:32:30-05:00,71.15,77.72,73.83,72.2,61.83,82.17,73.39,77.67,,99.9,67.45,74.2
2023-10-29 00:33:00-05:00,71.18,77.75,73.84,72.19,61.86,82.15,73.42,77.64,99.9,99.9,67.38,74.22
2023-10-29 00:33:30-05:00,,,,,,,,,,,,
2023-10-29 00:34:00-05:00,71.24,77.85,73.85,72.14,61.84,82.13,73.36,77.74,99.9,99.9,67.49,73.9
2023-10-29 00:34:30-05:00,71.28,77.8,73.85,72.09,61.87,82.09,73.41,77.72,99.9,99.9,67.43,73.81
2023-10-29 00:35:00-05:00,71.35,77.83,73.93,72.04,61.84,82.06,73.37,77.69,99.9,99.9,67.53,73.73
2023-10-29 00:35:30-05:00,71.33,77.87,73.88,72.08,61.86,82.09,73.3,77.69,99.9,99.9,67.43,73.74
2023-10-29 00:36:00-05:00,71.31,77.93,73.86,72.1,61.85,82.07,73.25,77.69,99.9,99.9,67.41,73.59
2023-10-29 00:36:30-05:00,71.38,,73.75,72.11,61.87,82.13,73.32,77.61,99.9,99.9,67.44,73.64
2023-10-29 00:37:00-05:00,71.42,78.08,73.69,72.08,61.82,82.18,73.26,,99.9,99.9,67.46,73.59
2023-10-29 00:37:30-05:00,71.42,78.12,73.77,72.09,61.75,82.12,73.25,77.5,99.9,99.9,67.48,73.51
2023-10-29 00:38:00-05:00,71.43,78.25,73.75,72.11,61.83,82.1,73.28,77.31,99.9,99.9,67.48,73.58
2023-10-29 00:38:30-05:00,71.44,78.29,73.71,72.24,61.87,82.14,73.3,77.16,99.9,99.9,67.49,73.76
2023-10-29 00:39:00-05:00,71.43,78.3,73.8,72.3,61.8,82.27,73.26,77.36,99.9,99.9,67.51,73.72
2023-10-29 00:39:30-05:00,71.39,78.4,73.85,72.32,61.83,82.27,73.12,77.28,99.9,99.9,67.45,73.73
2023-10-29 00:40:00-05:00,71.41,78.37,73.82,72.04,61.86,82.36,73.04,77.25,99.9,99.9,67.55,73.81
2023-10-29 00:40:30-05:00,71.43,78.37,73.81,72.25,61.86,82.34,73.02,77.21,,99.9,67.49,73.95
2023-10-29 00:41:00-05:00,71.4,78.36,73.77,72.27,61.69,82.37,72.88,77.14,99.9,99.9,67.44,73.86
2023-10-29 00:41:30-05:00,71.43,78.45,73.77,72.3,61.86,82.3,72.85,77.15,99.9,99.9,67.47,73.75
2023-10-29 00:42:00-05:00,71.42,78.38,73.69,72.14,61.91,82.28,73.09,77.04,,99.9,67.53,73.7
2023-10-29 00:42:30-05:00,71.38,78.31,73.72,72.12,61.9,82.2,73.03,76.99,99.9,99.9,67.47,73.75
2023-10-29 00:43:00-05:00,71.35,78.31,73.7,72.16,60.65,82.15,73.22,76.94,99.9,99.9,67.5,73.84
2023-10-29 00:43:30-05:00,71.4,78.28,73.87,72.17,61.7,82.07,73.16,76.95,99.9,99.9,67.52,73.8
2023-10-29 00:44:00-05:00,71.36,78.38,73.86,72.2,61.88,82.0,73.09,76.87,99.9,99.9,67.58,73.84
2023-10-29 00:44:30-05:00,71.33,78.32,73.87,72.1,61.89,82.01,73.09,76.83,99.9,99.9,67.61,73.94
2023-10-29 00:45:00-05:00,71.34,78.4,73.75,72.0,61.92,81.89,73.05,76.77,99.9,99.9,67.63,73.97
2023-10-29 00:45:30-05:00,71.36,78.48,73.77,71.65,61.71,81.89,73.05,76.63,99.9,99.9,67.71,73.94
2023-10-29 00:46:00-05:00,71.28,78.49,73.79,71.74,61.91,81.95,73.04,77.05,99.9,99.9,67.75,73.89
2023-10-29 00:46:30-05:00,71.3,78.55,73.78,71.95,61.38,81.99,73.11,77.27,99.9,99.9,67.75,73.93
2023-10-29 00:47:00-05:00,71.27,78.46,73.76,72.07,61.69,81.95,73.19,77.4,99.9,99.9,67.77,74.05
2023-10-29 00:47:30-05:00,71.33,78.51,73.88,72.08,61.81,81.9,73.13,77.2,99.9,99.9,67.76,73.95
2023-10-29 00:48:00-05:00,71.28,78.57,73.93,72.13,61.5,81.87,73.11,77.3,99.9,99.9,67.7,73.85
2023-10-29 00:48:30-05:00,71.29,78.56,73.89,72.0,61.9,81.92,73.09,77.29,99.9,99.9,67.67,73.8
2023-10-29 00:49:00-05:00,71.29,78.5,73.87,71.8,61.59,81.91,73.05,77.47,99.9,99.9,67.75,73.68
2023-10-29 00:49:30-05:00,71.33,,73.81,71.91,61.86,81.86,73.13,77.31,99.9,99.9,67.62,73.72
2023-10-29 00:50:00-05:00,71.34,78.59,73.81,72.1,61.32,81.85,73.02,,99.9,99.9,67.53,74.07
2023-10-29 00:50:30-05:00,,,,,,,,,,,,
2023-10-29 00:51:00-05:00,71.31,78.67,73.89,72.41,61.6,81.83,73.1,77.27,99.9,99.9,67.61,74.26
2023-10-29 00:51:30-05:00,71.34,78.72,73.89,72.44,61.55,81.75,73.04,77.25,99.9,99.9,67.64,74.39
2023-10-29 00:52:00-05:00,71.3,78.79,73.9,72.4,60.82,81.77,73.11,77.07,99.9,99.9,67.67,74.38
2023-10-29 00:52:30-05:00,71.3,78.82,73.84,72.39,61.38,81.77,73.06,77.02,99.9,99.9,67.61,74.28
2023-10-29 00:53:00-05:00,71.29,78.86,73.87,72.22,61.42,81.77,72.99,76.78,,99.9,67.51,74.16
2023-10-29 00:53:30-05:00,71.28,78.96,73.88,72.1,61.66,81.75,73.02,76.62,99.9,99.9,67.5,73.97
2023-10-29 00:54:00-05:00,71.22,78.94,73.95,71.57,61.43,81.78,73.04,76.64,99.9,99.9,67.5,73.9
2023-10-29 00:54:30-05:00,71.28,79.02,73.87,70.87,61.25,81.7,73.04,76.68,99.9,99.9,67.5,73.9
2023-10-29 00:55:00-05:00,71.2,79.06,73.99,70.95,61.88,81.67,73.12,76.79,99.9,99.9,67.52,73.94
2023-10-29 00:55:30-05:00,71.2,79.1,74.02,70.88,,81.63,73.27,76.85,99.9,99.9,67.45,73.9
2023-10-29 00:56:00-05:00,71.09,79.17,74.04,70.94,61.92,81.61,73.15,76.83,99.9,99.9,67.43,73.89
2023-10-29 00:56:30-05:00,71.11,79.24,74.02,70.96,61.7,81.6,73.28,76.97,99.9,99.9,67.4,73.72
2023-10-29 00:57:00-05:00,71.08,79.26,74.04,71.07,61.74,81.61,73.31,77.05,99.9,99.9,67.37,73.86
2023-10-29 00:57:30-05:00,71.07,79.31,74.08,71.21,61.82,81.6,73.64,77.16,99.9,99.9,67.41,73.9
2023-10-29 00:58:00-05:00,71.07,79.36,74.04,71.35,61.55,81.53,73.39,77.2,99.9,99.9,67.44,73.9
2023-10-29 00:58:30-05:00,71.06,79.39,74.05,71.45,61.74,81.52,73.49,77.19,99.9,99.9,67.54,74.08
2023-10-29 00:59:00-05:00,71.07,79.31,74.11,71.44,61.8,81.45,73.5,77.09,99.9,99.9,67.69,74.01
2023-10-29 00:59:30-05:00,71.08,79.47,73.9,71.5,61.63,81.45,73.45,77.18,99.9,99.9,67.8,73.97
2023-10-29 01:00:00-05:00,71.18,79.49,74.06,71.53,61.84,81.42,73.43,77.49,99.9,99.9,67.89,74.04
2023-10-29 01:00:30-05:00,71.23,79.58,73.86,71.56,61.89,81.39,73.48,77.39,99.9,99.9,67.9,74.08
2023-10-29 01:01:00-05:00,71.3,79.65,73.8,71.58,61.74,81.43,73.51,77.24,99.9,99.9,67.97,74.1
2023-10-29 01:01:30-05:00,71.28,79.69,73.85,71.65,61.7,81.46,73.59,77.39,99.9,99.9,68.04,73.77
2023-10-29 01:02:00-05:00,71.35,79.73,73.77,71.51,61.54,81.49,73.58,77.33,,99.9,68.12,73.68
2023-10-29 01:02:30-05:00,71.37,79.79,73.82,71.49,61.88,81.41,73.63,,99.9,99.9,68.04,73.69
2023-10-29 01:03:00-05:00,71.46,,73.84,71.61,61.76,81.46,73.59,77.34,99.9,99.9,68.06,73.83
2023-10-29 01:03:30-05:00,71.52,79.81,73.73,71.66,61.49,81.43,73.52,77.3,99.9,99.9,67.99,73.88
2023-10-29 01:04:00-05:00,71.47,79.87,73.75,71.55,61.71,81.44,73.55,77.32,99.9,99.9,68.02,73.79
