DATETIME,TANGARA_260A,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_532E,TANGARA_F1AE,TANGARA_06BE
2023-10-28 00:00:00-05:00,26.68,,,25.45,,,,,,23.9,27.11,
2023-10-28 00:00:30-05:00,,25.18,26.1,25.44,29.45,25.99,25.27,23.77,25.1,23.9,27.11,26.08
2023-10-28 00:01:00-05:00,26.67,25.18,26.09,25.45,29.43,25.98,25.22,23.77,25.1,24.0,27.1,26.13
2023-10-28 00:01:30-05:00,26.65,25.18,26.08,25.41,29.39,25.96,25.17,23.77,25.1,23.9,27.13,26.16
2023-10-28 00:02:00-05:00,26.61,25.18,26.04,25.44,29.35,25.95,25.19,23.77,25.0,23.9,27.1,26.18
2023-10-28 00:02:30-05:00,26.62,25.16,26.04,,29.29,25.95,25.16,23.75,25.0,23.9,27.07,26.21
2023-10-28 00:03:00-05:00,26.59,25.19,26.01,25.42,29.29,25.95,25.16,23.78,25.0,24.0,27.08,26.19
2023-10-28 00:03:30-05:00,26.55,25.21,26.01,25.42,29.25,25.95,25.15,23.75,25.0,23.9,27.11,26.21
2023-10-28 00:04:00-05:00,26.57,25.21,25.99,25.39,29.23,25.96,25.12,23.71,25.0,23.9,27.11,26.21
2023-10-28 00:04:30-05:00,26.54,25.21,26.01,25.45,29.25,25.96,25.13,23.72,25.0,24.0,27.08,26.18
2023-10-28 00:05:00-05:00,26.52,25.21,25.98,25.42,29.2,25.99,25.16,23.72,25.0,24.0,27.1,26.22
2023-10-28 00:05:30-05:00,26.47,25.21,25.98,25.44,29.23,25.99,25.15,23.72,25.0,24.0,27.08,26.21
2023-10-28 00:06:00-05:00,26.47,25.22,25.97,25.44,29.19,25.98,25.16,23.72,25.0,24.0,27.08,26.22
2023-10-28 00:06:30-05:00,26.44,25.25,25.91,25.45,29.22,25.99,25.16,23.72,25.0,24.0,27.11,26.22
