DATETIME,TANGARA_260A,TANGARA_4B1A,TANGARA_14D6,TANGARA_2B42,TANGARA_2E9A,TANGARA_2FF6,TANGARA_307A,TANGARA_1712,TANGARA_48C6,TANGARA_532E,TANGARA_F1AE,TANGARA_06BE
2023-10-30 00:00:00-05:00,59.0,,52.0,43.0,37.0,40.0,34.0,30.0,41.0,38.0,47.0,53.0
2023-10-30 01:00:00-05:00,58.0,,52.0,43.0,38.0,39.0,35.0,31.0,40.0,38.0,46.0,53.0
2023-10-30 02:00:00-05:00,57.0,,50.0,44.0,39.0,39.0,35.0,31.0,40.0,40.0,45.0,53.0
2023-10-30 03:00:00-05:00,56.0,,48.0,44.0,40.0,39.0,36.0,31.0,39.0,41.0,43.0,53.0
2023-10-30 04:00:00-05:00,55.0,,46.0,45.0,41.0,39.0,36.0,32.0,38.0,41.0,41.0,54.0
2023-10-30 05:00:00-05:00,56.0,,45.0,46.0,42.0,39.0,37.0,33.0,39.0,43.0,40.0,54.0
2023-10-30 06:00:00-05:00,57.0,,43.0,46.0,43.0,39.0,37.0,33.0,39.0,43.0,40.0,54.0
2023-10-30 07:00:00-05:00,57.0,,41.0,46.0,44.0,39.0,37.0,34.0,38.0,44.0,37.0,53.0
2023-10-30 08:00:00-05:00,55.0,,39.0,46.0,44.0,38.0,37.0,33.0,36.0,43.0,36.0,52.0
2023-10-30 09:00:00-05:00,55.0,,38.0,44.0,43.0,36.0,37.0,33.0,33.0,41.0,35.0,48.0
2023-10-30 10:00:00-05:00,54.0,,37.0,40.0,40.0,33.0,36.0,34.0,31.0,38.0,34.0,46.0
2023-10-30 11:00:00-05:00,53.0,,36.0,37.0,37.0,33.0,37.0,35.0,29.0,34.0,33.0,46.0
2023-10-30 12:00:00-05:00,,,34.0,35.0,35.0,34.0,38.0,36.0,26.0,31.0,32.0,47.0
2023-10-30 13:00:00-05:00,,,32.0,30.0,31.0,32.0,39.0,37.0,23.0,27.0,30.0,44.0
2023-10-30 14:00:00-05:00,,,30.0,31.0,32.0,29.0,38.0,36.0,22.0,28.0,28.0,40.0
2023-10-30 15:00:00-05:00,,,31.0,32.0,35.0,31.0,37.0,36.0,22.0,30.0,28.0,42.0
2023-10-30 16:00:00-05:00,,,34.0,36.0,38.0,34.0,40.0,39.0,23.0,33.0,30.0,46.0
2023-10-30 17:00:00-05:00,,,38.0,40.0,43.0,38.0,41.0,40.0,25.0,38.0,33.0,52.0
2023-10-30 18:00:00-05:00,,,40.0,44.0,47.0,40.0,41.0,40.0,28.0,43.0,37.0,54.0
2023-10-30 19:00:00-05:00,,,42.0,46.0,47.0,41.0,43.0,42.0,28.0,44.0,39.0,55.0
2023-10-30 20:00:00-05:00,,,44.0,48.0,43.0,43.0,45.0,45.0,30.0,46.0,40.0,56.0
2023-10-30 21:00:00-05:00,,,50.0,48.0,43.0,44.0,47.0,47.0,32.0,48.0,46.0,57.0
2023-10-30 22:00:00-05:00,,,55.0,46.0,43.0,45.0,50.0,46.0,37.0,44.0,54.0,58.0
2023-10-30 23:00:00-05:00,,,60.0,48.0,46.0,47.0,52.0,48.0,42.0,43.0,58.0,60.0
